Entidad,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
ESTADO DE MÉXICO,569.00,0.48,0.04,411.00,0.35,0.04,186.00,0.16,0.04,12.00,0.01,0.05,640.00,0.54,0.04,444.00,0.38,0.04,90.00,0.08,0.04,4.00,0.00,0.04,212.00,0.18,0.05,226.00,0.19,0.04,561.00,0.48,0.04,179.00,0.15,0.04,474.00,0.40,0.04,446.00,0.38,0.04,236.00,0.20,0.04,22.00,0.02,0.06,469.00,0.40,0.04,501.00,0.43,0.04,191.00,0.16,0.04,17.00,0.01,0.05,165.00,0.14,0.05,242.00,0.21,0.04,463.00,0.39,0.04,308.00,0.26,0.04,435.00,0.37,0.04,504.00,0.43,0.04,204.00,0.17,0.04,35.00,0.03,0.06,420.00,0.36,0.04,540.00,0.46,0.04,204.00,0.17,0.04,14.00,0.01,0.04,517.00,0.44,0.04,503.00,0.43,0.04,153.00,0.13,0.04,5.00,0.00,0.02,521.00,0.44,0.04,487.00,0.41,0.04,155.00,0.13,0.04,15.00,0.01,0.06,469.00,0.40,0.04,514.00,0.44,0.04,171.00,0.15,0.04,24.00,0.02,0.06
GUANAJUATO,801.00,0.47,0.06,638.00,0.37,0.06,256.00,0.15,0.05,18.00,0.01,0.08,922.00,0.54,0.06,662.00,0.39,0.06,119.00,0.07,0.06,10.00,0.01,0.11,294.00,0.17,0.07,355.00,0.21,0.06,772.00,0.45,0.05,292.00,0.17,0.06,672.00,0.39,0.06,700.00,0.41,0.06,321.00,0.19,0.06,20.00,0.01,0.05,700.00,0.41,0.06,740.00,0.43,0.06,257.00,0.15,0.05,16.00,0.01,0.05,206.00,0.12,0.06,366.00,0.21,0.06,701.00,0.41,0.06,440.00,0.26,0.06,622.00,0.36,0.06,768.00,0.45,0.06,280.00,0.16,0.05,43.00,0.03,0.07,605.00,0.35,0.06,792.00,0.46,0.06,286.00,0.17,0.05,30.00,0.02,0.08,715.00,0.42,0.06,783.00,0.46,0.06,199.00,0.12,0.06,16.00,0.01,0.07,747.00,0.44,0.06,744.00,0.43,0.06,202.00,0.12,0.05,20.00,0.01,0.08,679.00,0.40,0.06,781.00,0.46,0.06,218.00,0.13,0.05,35.00,0.02,0.09
GUERRERO,130.00,0.52,0.01,67.00,0.27,0.01,50.00,0.20,0.01,2.00,0.01,0.01,136.00,0.55,0.01,95.00,0.38,0.01,18.00,0.07,0.01,0.00,0.00,0.00,33.00,0.13,0.01,45.00,0.18,0.01,103.00,0.41,0.01,68.00,0.27,0.01,100.00,0.40,0.01,91.00,0.37,0.01,52.00,0.21,0.01,6.00,0.02,0.02,98.00,0.39,0.01,108.00,0.43,0.01,41.00,0.17,0.01,2.00,0.01,0.01,32.00,0.13,0.01,47.00,0.19,0.01,88.00,0.35,0.01,82.00,0.33,0.01,91.00,0.37,0.01,100.00,0.40,0.01,50.00,0.20,0.01,8.00,0.03,0.01,83.00,0.33,0.01,111.00,0.45,0.01,52.00,0.21,0.01,3.00,0.01,0.01,109.00,0.44,0.01,114.00,0.46,0.01,24.00,0.10,0.01,2.00,0.01,0.01,117.00,0.47,0.01,96.00,0.39,0.01,30.00,0.12,0.01,6.00,0.02,0.02,104.00,0.42,0.01,102.00,0.41,0.01,39.00,0.16,0.01,4.00,0.02,0.01
HIDALGO,501.00,0.48,0.04,374.00,0.36,0.04,163.00,0.16,0.03,6.00,0.01,0.03,538.00,0.52,0.03,421.00,0.40,0.04,83.00,0.08,0.04,2.00,0.00,0.02,154.00,0.15,0.04,210.00,0.20,0.04,498.00,0.48,0.04,182.00,0.17,0.04,390.00,0.37,0.03,419.00,0.40,0.04,221.00,0.21,0.04,14.00,0.01,0.04,412.00,0.40,0.04,437.00,0.42,0.03,183.00,0.18,0.04,12.00,0.01,0.04,114.00,0.11,0.04,244.00,0.23,0.04,439.00,0.42,0.04,247.00,0.24,0.03,349.00,0.33,0.03,445.00,0.43,0.03,227.00,0.22,0.04,23.00,0.02,0.04,354.00,0.34,0.04,466.00,0.45,0.03,208.00,0.20,0.04,16.00,0.02,0.04,462.00,0.44,0.04,455.00,0.44,0.03,110.00,0.11,0.03,17.00,0.02,0.07,426.00,0.41,0.03,465.00,0.45,0.04,144.00,0.14,0.04,9.00,0.01,0.04,380.00,0.36,0.03,497.00,0.48,0.04,150.00,0.14,0.04,17.00,0.02,0.04
JALISCO,517.00,0.41,0.04,506.00,0.40,0.05,227.00,0.18,0.05,7.00,0.01,0.03,641.00,0.51,0.04,530.00,0.42,0.05,83.00,0.07,0.04,3.00,0.00,0.03,136.00,0.11,0.03,224.00,0.18,0.04,663.00,0.53,0.05,234.00,0.19,0.05,464.00,0.37,0.04,563.00,0.45,0.05,213.00,0.17,0.04,17.00,0.01,0.05,459.00,0.37,0.04,576.00,0.46,0.05,206.00,0.16,0.04,16.00,0.01,0.05,112.00,0.09,0.03,260.00,0.21,0.04,524.00,0.42,0.04,361.00,0.29,0.05,421.00,0.34,0.04,615.00,0.49,0.05,201.00,0.16,0.04,20.00,0.02,0.03,388.00,0.31,0.04,629.00,0.50,0.05,227.00,0.18,0.04,13.00,0.01,0.03,501.00,0.40,0.04,612.00,0.49,0.05,135.00,0.11,0.04,9.00,0.01,0.04,524.00,0.42,0.04,564.00,0.45,0.05,159.00,0.13,0.04,10.00,0.01,0.04,475.00,0.38,0.04,597.00,0.48,0.05,174.00,0.14,0.04,11.00,0.01,0.03
MICHOACÁN,6.00,0.50,0.00,5.00,0.42,0.00,1.00,0.08,0.00,0.00,0.00,0.00,8.00,0.67,0.00,3.00,0.25,0.00,1.00,0.08,0.00,0.00,0.00,0.00,3.00,0.25,0.00,1.00,0.08,0.00,4.00,0.33,0.00,4.00,0.33,0.00,3.00,0.25,0.00,8.00,0.67,0.00,1.00,0.08,0.00,0.00,0.00,0.00,2.00,0.17,0.00,8.00,0.67,0.00,2.00,0.17,0.00,0.00,0.00,0.00,1.00,0.08,0.00,3.00,0.25,0.00,3.00,0.25,0.00,5.00,0.42,0.00,4.00,0.33,0.00,6.00,0.50,0.00,2.00,0.17,0.00,0.00,0.00,0.00,5.00,0.42,0.00,6.00,0.50,0.00,1.00,0.08,0.00,0.00,0.00,0.00,2.00,0.17,0.00,9.00,0.75,0.00,1.00,0.08,0.00,0.00,0.00,0.00,6.00,0.50,0.00,4.00,0.33,0.00,2.00,0.17,0.00,0.00,0.00,0.00,5.00,0.42,0.00,6.00,0.50,0.00,1.00,0.08,0.00,0.00,0.00,0.00
MORELOS,674.00,0.45,0.05,571.00,0.38,0.05,254.00,0.17,0.05,14.00,0.01,0.06,778.00,0.52,0.05,616.00,0.41,0.06,111.00,0.07,0.06,7.00,0.01,0.08,284.00,0.19,0.07,354.00,0.23,0.06,716.00,0.47,0.05,158.00,0.10,0.03,519.00,0.34,0.05,638.00,0.42,0.05,338.00,0.22,0.06,18.00,0.01,0.05,551.00,0.36,0.05,660.00,0.44,0.05,285.00,0.19,0.06,17.00,0.01,0.05,182.00,0.12,0.06,327.00,0.22,0.05,643.00,0.43,0.05,361.00,0.24,0.05,479.00,0.32,0.05,681.00,0.45,0.05,315.00,0.21,0.06,38.00,0.03,0.06,478.00,0.32,0.05,695.00,0.46,0.05,325.00,0.22,0.06,14.00,0.01,0.04,614.00,0.41,0.05,703.00,0.47,0.05,185.00,0.12,0.05,10.00,0.01,0.04,635.00,0.42,0.05,645.00,0.43,0.05,218.00,0.14,0.06,14.00,0.01,0.06,524.00,0.35,0.05,699.00,0.46,0.05,263.00,0.17,0.06,26.00,0.02,0.07
NAYARIT,297.00,0.46,0.02,233.00,0.36,0.02,112.00,0.17,0.02,4.00,0.01,0.02,371.00,0.57,0.02,223.00,0.35,0.02,50.00,0.08,0.03,2.00,0.00,0.02,81.00,0.13,0.02,117.00,0.18,0.02,315.00,0.49,0.02,133.00,0.21,0.03,270.00,0.42,0.02,240.00,0.37,0.02,128.00,0.20,0.02,8.00,0.01,0.02,236.00,0.37,0.02,285.00,0.44,0.02,118.00,0.18,0.02,7.00,0.01,0.02,64.00,0.10,0.02,123.00,0.19,0.02,278.00,0.43,0.02,181.00,0.28,0.02,229.00,0.35,0.02,285.00,0.44,0.02,114.00,0.18,0.02,18.00,0.03,0.03,227.00,0.35,0.02,289.00,0.45,0.02,120.00,0.19,0.02,10.00,0.02,0.03,264.00,0.41,0.02,290.00,0.45,0.02,83.00,0.13,0.02,9.00,0.01,0.04,299.00,0.46,0.02,259.00,0.40,0.02,83.00,0.13,0.02,5.00,0.01,0.02,265.00,0.41,0.02,281.00,0.44,0.02,86.00,0.13,0.02,14.00,0.02,0.04
NUEVO LEÓN,67.00,0.64,0.01,27.00,0.26,0.00,9.00,0.09,0.00,1.00,0.01,0.00,73.00,0.70,0.00,26.00,0.25,0.00,4.00,0.04,0.00,1.00,0.01,0.01,12.00,0.12,0.00,14.00,0.14,0.00,41.00,0.39,0.00,37.00,0.36,0.01,58.00,0.56,0.01,35.00,0.34,0.00,10.00,0.10,0.00,1.00,0.01,0.00,54.00,0.52,0.01,39.00,0.38,0.00,10.00,0.10,0.00,1.00,0.01,0.00,13.00,0.13,0.00,17.00,0.16,0.00,33.00,0.32,0.00,41.00,0.39,0.01,52.00,0.50,0.01,36.00,0.35,0.00,14.00,0.14,0.00,2.00,0.02,0.00,47.00,0.45,0.01,42.00,0.40,0.00,13.00,0.13,0.00,2.00,0.02,0.01,47.00,0.45,0.00,46.00,0.44,0.00,10.00,0.10,0.00,1.00,0.01,0.00,61.00,0.59,0.01,29.00,0.28,0.00,12.00,0.12,0.00,2.00,0.02,0.01,58.00,0.56,0.01,34.00,0.33,0.00,8.00,0.08,0.00,4.00,0.04,0.01
PUEBLA,438.00,0.49,0.03,319.00,0.36,0.03,129.00,0.15,0.03,6.00,0.01,0.03,496.00,0.56,0.03,336.00,0.38,0.03,56.00,0.06,0.03,4.00,0.00,0.04,133.00,0.15,0.03,170.00,0.19,0.03,410.00,0.46,0.03,179.00,0.20,0.04,343.00,0.39,0.03,361.00,0.41,0.03,175.00,0.20,0.03,13.00,0.02,0.03,353.00,0.40,0.03,373.00,0.42,0.03,159.00,0.18,0.03,7.00,0.01,0.02,98.00,0.11,0.03,187.00,0.21,0.03,360.00,0.40,0.03,247.00,0.28,0.03,352.00,0.40,0.03,363.00,0.41,0.03,160.00,0.18,0.03,17.00,0.02,0.03,321.00,0.36,0.03,404.00,0.45,0.03,153.00,0.17,0.03,14.00,0.02,0.04,368.00,0.41,0.03,400.00,0.45,0.03,118.00,0.13,0.03,6.00,0.01,0.03,404.00,0.45,0.03,370.00,0.42,0.03,110.00,0.12,0.03,8.00,0.01,0.03,370.00,0.42,0.03,376.00,0.42,0.03,133.00,0.15,0.03,13.00,0.02,0.03
QUERÉTARO,705.00,0.47,0.05,547.00,0.37,0.05,231.00,0.16,0.05,12.00,0.01,0.05,805.00,0.54,0.05,582.00,0.39,0.05,105.00,0.07,0.05,3.00,0.00,0.03,224.00,0.15,0.05,337.00,0.23,0.06,695.00,0.47,0.05,239.00,0.16,0.05,563.00,0.38,0.05,617.00,0.41,0.05,293.00,0.20,0.05,22.00,0.02,0.06,567.00,0.38,0.05,648.00,0.43,0.05,268.00,0.18,0.05,12.00,0.01,0.04,162.00,0.11,0.05,317.00,0.21,0.05,628.00,0.42,0.05,388.00,0.26,0.05,538.00,0.36,0.05,625.00,0.42,0.05,304.00,0.20,0.06,27.00,0.02,0.04,491.00,0.33,0.05,693.00,0.46,0.05,288.00,0.19,0.05,22.00,0.02,0.06,598.00,0.40,0.05,682.00,0.46,0.05,200.00,0.13,0.06,14.00,0.01,0.06,611.00,0.41,0.05,661.00,0.44,0.05,210.00,0.14,0.06,12.00,0.01,0.05,553.00,0.37,0.05,652.00,0.44,0.05,258.00,0.17,0.06,31.00,0.02,0.08
QUINTANA ROO,539.00,0.40,0.04,489.00,0.36,0.05,321.00,0.24,0.06,11.00,0.01,0.05,695.00,0.51,0.04,555.00,0.41,0.05,108.00,0.08,0.05,2.00,0.00,0.02,260.00,0.19,0.06,299.00,0.22,0.05,630.00,0.46,0.04,171.00,0.13,0.03,501.00,0.37,0.04,568.00,0.42,0.05,275.00,0.20,0.05,16.00,0.01,0.04,483.00,0.36,0.04,586.00,0.43,0.05,276.00,0.20,0.05,14.00,0.01,0.04,169.00,0.12,0.05,320.00,0.24,0.05,585.00,0.43,0.05,285.00,0.21,0.04,457.00,0.34,0.04,592.00,0.44,0.05,285.00,0.21,0.05,25.00,0.02,0.04,433.00,0.32,0.04,625.00,0.46,0.05,288.00,0.21,0.05,13.00,0.01,0.03,574.00,0.42,0.05,599.00,0.44,0.05,179.00,0.13,0.05,7.00,0.01,0.03,549.00,0.40,0.04,619.00,0.46,0.05,184.00,0.14,0.05,6.00,0.00,0.02,525.00,0.39,0.05,595.00,0.44,0.05,232.00,0.17,0.06,6.00,0.00,0.02
SAN LUIS POTOSÍ,342.00,0.43,0.03,293.00,0.37,0.03,146.00,0.19,0.03,8.00,0.01,0.03,447.00,0.57,0.03,276.00,0.35,0.03,62.00,0.08,0.03,4.00,0.01,0.04,112.00,0.14,0.03,139.00,0.18,0.02,378.00,0.48,0.03,160.00,0.20,0.03,293.00,0.37,0.03,331.00,0.42,0.03,152.00,0.19,0.03,13.00,0.02,0.03,289.00,0.37,0.03,331.00,0.42,0.03,156.00,0.20,0.03,13.00,0.02,0.04,80.00,0.10,0.03,172.00,0.22,0.03,303.00,0.38,0.02,234.00,0.30,0.03,273.00,0.35,0.03,363.00,0.46,0.03,138.00,0.18,0.03,15.00,0.02,0.02,284.00,0.36,0.03,351.00,0.45,0.03,142.00,0.18,0.03,12.00,0.02,0.03,326.00,0.41,0.03,351.00,0.45,0.03,103.00,0.13,0.03,9.00,0.01,0.04,330.00,0.42,0.03,347.00,0.44,0.03,105.00,0.13,0.03,7.00,0.01,0.03,315.00,0.40,0.03,354.00,0.45,0.03,109.00,0.14,0.03,11.00,0.01,0.03
SINALOA,724.00,0.48,0.05,550.00,0.37,0.05,218.00,0.15,0.04,7.00,0.01,0.03,841.00,0.56,0.05,572.00,0.38,0.05,80.00,0.05,0.04,6.00,0.00,0.07,190.00,0.13,0.04,298.00,0.20,0.05,701.00,0.47,0.05,310.00,0.21,0.06,664.00,0.44,0.06,608.00,0.41,0.05,211.00,0.14,0.04,16.00,0.01,0.04,586.00,0.39,0.05,679.00,0.45,0.05,217.00,0.15,0.04,17.00,0.01,0.05,148.00,0.10,0.05,317.00,0.21,0.05,625.00,0.42,0.05,409.00,0.27,0.05,570.00,0.38,0.05,659.00,0.44,0.05,245.00,0.16,0.05,25.00,0.02,0.04,520.00,0.35,0.05,717.00,0.48,0.05,243.00,0.16,0.05,19.00,0.01,0.05,639.00,0.43,0.05,692.00,0.46,0.05,161.00,0.11,0.04,7.00,0.01,0.03,710.00,0.47,0.06,633.00,0.42,0.05,146.00,0.10,0.04,10.00,0.01,0.04,625.00,0.42,0.05,699.00,0.47,0.05,163.00,0.11,0.04,12.00,0.01,0.03
SONORA,531.00,0.55,0.04,335.00,0.35,0.03,102.00,0.11,0.02,1.00,0.00,0.00,633.00,0.65,0.04,313.00,0.32,0.03,22.00,0.02,0.01,1.00,0.00,0.01,93.00,0.10,0.02,136.00,0.14,0.02,500.00,0.52,0.04,240.00,0.25,0.05,471.00,0.49,0.04,385.00,0.40,0.03,109.00,0.11,0.02,4.00,0.00,0.01,440.00,0.45,0.04,417.00,0.43,0.03,109.00,0.11,0.02,3.00,0.00,0.01,84.00,0.09,0.03,168.00,0.17,0.03,434.00,0.45,0.04,283.00,0.29,0.04,427.00,0.44,0.04,434.00,0.45,0.03,96.00,0.10,0.02,12.00,0.01,0.02,411.00,0.42,0.04,436.00,0.45,0.03,116.00,0.12,0.02,6.00,0.01,0.02,460.00,0.48,0.04,426.00,0.44,0.03,81.00,0.08,0.02,2.00,0.00,0.01,487.00,0.50,0.04,410.00,0.42,0.03,69.00,0.07,0.02,3.00,0.00,0.01,475.00,0.49,0.04,404.00,0.42,0.03,87.00,0.09,0.02,3.00,0.00,0.01
TABASCO,498.00,0.54,0.04,257.00,0.28,0.02,168.00,0.18,0.03,7.00,0.01,0.03,565.00,0.61,0.04,302.00,0.33,0.03,62.00,0.07,0.03,1.00,0.00,0.01,120.00,0.13,0.03,163.00,0.18,0.03,433.00,0.47,0.03,214.00,0.23,0.04,407.00,0.44,0.04,357.00,0.38,0.03,158.00,0.17,0.03,8.00,0.01,0.02,398.00,0.43,0.04,375.00,0.40,0.03,148.00,0.16,0.03,9.00,0.01,0.03,103.00,0.11,0.03,166.00,0.18,0.03,373.00,0.40,0.03,288.00,0.31,0.04,393.00,0.42,0.04,362.00,0.39,0.03,165.00,0.18,0.03,10.00,0.01,0.02,367.00,0.40,0.04,413.00,0.44,0.03,138.00,0.15,0.03,12.00,0.01,0.03,442.00,0.48,0.04,385.00,0.41,0.03,95.00,0.10,0.03,8.00,0.01,0.03,462.00,0.50,0.04,345.00,0.37,0.03,116.00,0.13,0.03,7.00,0.01,0.03,427.00,0.46,0.04,368.00,0.40,0.03,125.00,0.13,0.03,10.00,0.01,0.03
TAMAULIPAS,586.00,0.50,0.04,403.00,0.34,0.04,175.00,0.15,0.04,11.00,0.01,0.05,693.00,0.59,0.04,416.00,0.35,0.04,63.00,0.05,0.03,3.00,0.00,0.03,168.00,0.14,0.04,200.00,0.17,0.03,600.00,0.51,0.04,207.00,0.18,0.04,526.00,0.45,0.05,485.00,0.41,0.04,158.00,0.13,0.03,6.00,0.01,0.02,464.00,0.40,0.04,526.00,0.45,0.04,176.00,0.15,0.03,8.00,0.01,0.02,123.00,0.11,0.04,194.00,0.17,0.03,491.00,0.42,0.04,367.00,0.31,0.05,475.00,0.40,0.05,510.00,0.43,0.04,178.00,0.15,0.03,12.00,0.01,0.02,447.00,0.38,0.04,560.00,0.48,0.04,160.00,0.14,0.03,8.00,0.01,0.02,511.00,0.44,0.04,560.00,0.48,0.04,96.00,0.08,0.03,8.00,0.01,0.03,575.00,0.49,0.04,479.00,0.41,0.04,113.00,0.10,0.03,8.00,0.01,0.03,522.00,0.44,0.04,529.00,0.45,0.04,114.00,0.10,0.03,10.00,0.01,0.03
TLAXCALA,393.00,0.37,0.03,384.00,0.36,0.04,285.00,0.27,0.06,15.00,0.01,0.06,533.00,0.50,0.03,430.00,0.40,0.04,106.00,0.10,0.05,8.00,0.01,0.09,160.00,0.15,0.04,240.00,0.22,0.04,552.00,0.51,0.04,125.00,0.12,0.02,298.00,0.28,0.03,432.00,0.40,0.04,329.00,0.31,0.06,18.00,0.02,0.05,287.00,0.27,0.03,488.00,0.45,0.04,282.00,0.26,0.06,20.00,0.02,0.06,105.00,0.10,0.03,249.00,0.23,0.04,500.00,0.46,0.04,223.00,0.21,0.03,297.00,0.28,0.03,501.00,0.47,0.04,252.00,0.23,0.05,27.00,0.03,0.04,308.00,0.29,0.03,489.00,0.45,0.04,263.00,0.24,0.05,17.00,0.02,0.04,367.00,0.34,0.03,518.00,0.48,0.04,184.00,0.17,0.05,8.00,0.01,0.03,373.00,0.35,0.03,483.00,0.45,0.04,207.00,0.19,0.06,14.00,0.01,0.06,353.00,0.33,0.03,475.00,0.44,0.04,228.00,0.21,0.05,21.00,0.02,0.05
VERACRUZ,255.00,0.40,0.02,212.00,0.33,0.02,157.00,0.25,0.03,10.00,0.02,0.04,319.00,0.50,0.02,261.00,0.41,0.02,53.00,0.08,0.03,1.00,0.00,0.01,121.00,0.19,0.03,148.00,0.23,0.03,280.00,0.44,0.02,85.00,0.13,0.02,248.00,0.39,0.02,239.00,0.38,0.02,137.00,0.22,0.02,10.00,0.02,0.03,212.00,0.33,0.02,276.00,0.44,0.02,134.00,0.21,0.03,12.00,0.02,0.04,97.00,0.15,0.03,131.00,0.21,0.02,268.00,0.42,0.02,138.00,0.22,0.02,206.00,0.33,0.02,280.00,0.44,0.02,129.00,0.20,0.02,19.00,0.03,0.03,217.00,0.34,0.02,281.00,0.44,0.02,126.00,0.20,0.02,10.00,0.02,0.03,260.00,0.41,0.02,286.00,0.45,0.02,83.00,0.13,0.02,5.00,0.01,0.02,251.00,0.40,0.02,274.00,0.43,0.02,98.00,0.16,0.03,11.00,0.02,0.04,227.00,0.36,0.02,285.00,0.45,0.02,112.00,0.18,0.03,10.00,0.02,0.03
YUCATÁN,342.00,0.48,0.03,236.00,0.33,0.02,125.00,0.18,0.03,5.00,0.01,0.02,445.00,0.63,0.03,226.00,0.32,0.02,36.00,0.05,0.02,1.00,0.00,0.01,80.00,0.11,0.02,113.00,0.16,0.02,368.00,0.52,0.03,147.00,0.21,0.03,330.00,0.47,0.03,256.00,0.36,0.02,118.00,0.17,0.02,4.00,0.01,0.01,301.00,0.43,0.03,272.00,0.38,0.02,127.00,0.18,0.03,8.00,0.01,0.02,61.00,0.09,0.02,135.00,0.19,0.02,312.00,0.44,0.03,200.00,0.28,0.03,286.00,0.40,0.03,304.00,0.43,0.02,107.00,0.15,0.02,11.00,0.02,0.02,270.00,0.38,0.03,321.00,0.45,0.02,111.00,0.16,0.02,6.00,0.01,0.02,326.00,0.46,0.03,288.00,0.41,0.02,90.00,0.13,0.03,4.00,0.01,0.02,353.00,0.50,0.03,277.00,0.39,0.02,76.00,0.11,0.02,2.00,0.00,0.01,336.00,0.48,0.03,293.00,0.41,0.02,75.00,0.11,0.02,4.00,0.01,0.01
ZACATECAS,440.00,0.40,0.03,449.00,0.40,0.04,211.00,0.19,0.04,14.00,0.01,0.06,526.00,0.47,0.03,473.00,0.43,0.04,111.00,0.10,0.06,4.00,0.00,0.04,176.00,0.16,0.04,230.00,0.21,0.04,556.00,0.50,0.04,152.00,0.14,0.03,334.00,0.30,0.03,484.00,0.43,0.04,273.00,0.25,0.05,23.00,0.02,0.06,326.00,0.29,0.03,491.00,0.44,0.04,277.00,0.25,0.05,20.00,0.02,0.06,140.00,0.13,0.04,262.00,0.24,0.04,492.00,0.44,0.04,220.00,0.20,0.03,318.00,0.29,0.03,512.00,0.46,0.04,253.00,0.23,0.05,31.00,0.03,0.05,296.00,0.27,0.03,523.00,0.47,0.04,273.00,0.25,0.05,22.00,0.02,0.06,387.00,0.35,0.03,530.00,0.48,0.04,186.00,0.17,0.05,11.00,0.01,0.05,404.00,0.36,0.03,506.00,0.45,0.04,191.00,0.17,0.05,13.00,0.01,0.05,351.00,0.32,0.03,527.00,0.47,0.04,223.00,0.20,0.05,13.00,0.01,0.03
