Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas
ESTADO DE MÉXICO,752.00,0.64,0.04,425.00,0.36,0.04,819.00,0.70,0.04,358.00,0.30,0.04,844.00,0.72,0.04,333.00,0.28,0.04,918.00,0.78,0.04,259.00,0.22,0.04,885.00,0.75,0.04,292.00,0.25,0.04,890.00,0.76,0.04,287.00,0.24,0.04,894.00,0.76,0.04,283.00,0.24,0.05
GUANAJUATO,1124.00,0.66,0.06,588.00,0.34,0.06,1271.00,0.74,0.06,441.00,0.26,0.05,1283.00,0.75,0.06,429.00,0.25,0.06,1324.00,0.77,0.06,389.00,0.23,0.06,1293.00,0.76,0.06,419.00,0.25,0.06,1291.00,0.75,0.06,421.00,0.25,0.06,1334.00,0.78,0.06,378.00,0.22,0.06
GUERRERO,167.00,0.67,0.01,83.00,0.33,0.01,184.00,0.74,0.01,66.00,0.26,0.01,189.00,0.76,0.01,61.00,0.24,0.01,191.00,0.76,0.01,59.00,0.24,0.01,190.00,0.76,0.01,60.00,0.24,0.01,190.00,0.76,0.01,60.00,0.24,0.01,197.00,0.79,0.01,53.00,0.21,0.01
HIDALGO,756.00,0.73,0.04,285.00,0.27,0.03,787.00,0.76,0.04,254.00,0.24,0.03,766.00,0.74,0.04,275.00,0.26,0.04,851.00,0.82,0.04,190.00,0.18,0.03,836.00,0.80,0.04,205.00,0.20,0.03,849.00,0.82,0.04,192.00,0.18,0.03,844.00,0.81,0.04,197.00,0.19,0.03
JALISCO,829.00,0.66,0.04,429.00,0.34,0.04,906.00,0.72,0.04,352.00,0.28,0.04,926.00,0.74,0.04,332.00,0.26,0.04,979.00,0.78,0.04,279.00,0.22,0.04,963.00,0.77,0.04,295.00,0.23,0.04,974.00,0.77,0.04,284.00,0.23,0.04,999.00,0.79,0.04,259.00,0.21,0.04
MICHOACÁN,7.00,0.64,0.00,4.00,0.36,0.00,7.00,0.64,0.00,4.00,0.36,0.00,8.00,0.73,0.00,3.00,0.27,0.00,5.00,0.46,0.00,6.00,0.55,0.00,9.00,0.82,0.00,2.00,0.18,0.00,6.00,0.55,0.00,5.00,0.46,0.00,7.00,0.64,0.00,4.00,0.36,0.00
MORELOS,1015.00,0.67,0.05,496.00,0.33,0.05,1089.00,0.72,0.05,422.00,0.28,0.05,1064.00,0.70,0.05,447.00,0.30,0.06,1182.00,0.78,0.05,329.00,0.22,0.05,1189.00,0.79,0.05,321.00,0.21,0.05,1169.00,0.77,0.05,342.00,0.23,0.05,1194.00,0.79,0.05,315.00,0.21,0.05
NAYARIT,395.00,0.61,0.02,250.00,0.39,0.02,446.00,0.69,0.02,199.00,0.31,0.02,472.00,0.73,0.02,173.00,0.27,0.02,505.00,0.78,0.02,140.00,0.22,0.02,500.00,0.78,0.02,145.00,0.23,0.02,486.00,0.75,0.02,159.00,0.25,0.02,492.00,0.76,0.02,153.00,0.24,0.02
NUEVO LEÓN,68.00,0.66,0.00,35.00,0.34,0.00,70.00,0.68,0.00,33.00,0.32,0.00,79.00,0.77,0.00,24.00,0.23,0.00,83.00,0.81,0.00,20.00,0.19,0.00,82.00,0.80,0.00,21.00,0.20,0.00,80.00,0.78,0.00,23.00,0.22,0.00,78.00,0.76,0.00,25.00,0.24,0.00
PUEBLA,584.00,0.65,0.03,309.00,0.35,0.03,640.00,0.72,0.03,253.00,0.28,0.03,641.00,0.72,0.03,252.00,0.28,0.03,729.00,0.82,0.03,164.00,0.18,0.03,705.00,0.79,0.03,188.00,0.21,0.03,701.00,0.79,0.03,192.00,0.22,0.03,731.00,0.82,0.03,162.00,0.18,0.03
QUERÉTARO,934.00,0.63,0.05,557.00,0.37,0.05,1025.00,0.69,0.05,466.00,0.31,0.06,1074.00,0.72,0.05,417.00,0.28,0.05,1126.00,0.76,0.05,364.00,0.24,0.06,1104.00,0.74,0.05,386.00,0.26,0.06,1109.00,0.74,0.05,381.00,0.26,0.05,1137.00,0.76,0.05,353.00,0.24,0.06
QUINTANA ROO,884.00,0.65,0.05,480.00,0.35,0.05,995.00,0.73,0.05,369.00,0.27,0.04,1020.00,0.75,0.05,344.00,0.25,0.04,1085.00,0.80,0.05,279.00,0.21,0.04,1067.00,0.78,0.05,297.00,0.22,0.04,1062.00,0.78,0.05,302.00,0.22,0.04,1085.00,0.80,0.05,279.00,0.21,0.04
SAN LUIS POTOSÍ,519.00,0.66,0.03,267.00,0.34,0.03,581.00,0.74,0.03,205.00,0.26,0.02,581.00,0.74,0.03,205.00,0.26,0.03,610.00,0.78,0.03,176.00,0.22,0.03,612.00,0.78,0.03,174.00,0.22,0.03,606.00,0.77,0.03,180.00,0.23,0.03,607.00,0.77,0.03,179.00,0.23,0.03
SINALOA,938.00,0.63,0.05,558.00,0.37,0.05,1077.00,0.72,0.05,419.00,0.28,0.05,1107.00,0.74,0.05,389.00,0.26,0.05,1157.00,0.77,0.05,339.00,0.23,0.05,1161.00,0.78,0.05,335.00,0.22,0.05,1133.00,0.76,0.05,363.00,0.24,0.05,1185.00,0.79,0.05,311.00,0.21,0.05
SONORA,626.00,0.64,0.03,346.00,0.36,0.03,699.00,0.72,0.03,273.00,0.28,0.03,738.00,0.76,0.03,234.00,0.24,0.03,782.00,0.81,0.03,190.00,0.20,0.03,759.00,0.78,0.03,213.00,0.22,0.03,736.00,0.76,0.03,236.00,0.24,0.03,780.00,0.80,0.03,192.00,0.20,0.03
TABASCO,635.00,0.68,0.03,294.00,0.32,0.03,691.00,0.74,0.03,238.00,0.26,0.03,710.00,0.76,0.03,219.00,0.24,0.03,776.00,0.84,0.03,153.00,0.17,0.02,748.00,0.81,0.03,181.00,0.20,0.03,750.00,0.81,0.03,179.00,0.19,0.03,761.00,0.82,0.03,168.00,0.18,0.03
TAMAULIPAS,773.00,0.66,0.04,401.00,0.34,0.04,877.00,0.75,0.04,297.00,0.25,0.04,891.00,0.76,0.04,283.00,0.24,0.04,904.00,0.77,0.04,270.00,0.23,0.04,901.00,0.77,0.04,273.00,0.23,0.04,904.00,0.77,0.04,270.00,0.23,0.04,913.00,0.78,0.04,261.00,0.22,0.04
TLAXCALA,707.00,0.66,0.04,365.00,0.34,0.04,775.00,0.72,0.04,297.00,0.28,0.04,791.00,0.74,0.04,281.00,0.26,0.04,844.00,0.79,0.04,229.00,0.21,0.04,839.00,0.78,0.04,233.00,0.22,0.04,825.00,0.77,0.04,247.00,0.23,0.04,849.00,0.79,0.04,223.00,0.21,0.04
VERACRUZ,396.00,0.63,0.02,237.00,0.37,0.02,465.00,0.74,0.02,168.00,0.27,0.02,465.00,0.74,0.02,168.00,0.27,0.02,484.00,0.77,0.02,149.00,0.24,0.02,497.00,0.79,0.02,136.00,0.22,0.02,471.00,0.74,0.02,162.00,0.26,0.02,492.00,0.78,0.02,141.00,0.22,0.02
YUCATÁN,419.00,0.59,0.02,288.00,0.41,0.03,489.00,0.69,0.02,218.00,0.31,0.03,479.00,0.68,0.02,228.00,0.32,0.03,554.00,0.78,0.02,153.00,0.22,0.02,546.00,0.77,0.02,161.00,0.23,0.02,543.00,0.77,0.02,164.00,0.23,0.02,564.00,0.80,0.02,143.00,0.20,0.02
ZACATECAS,681.00,0.61,0.04,430.00,0.39,0.04,759.00,0.68,0.04,352.00,0.32,0.04,784.00,0.71,0.04,327.00,0.29,0.04,829.00,0.75,0.04,282.00,0.25,0.04,844.00,0.76,0.04,267.00,0.24,0.04,817.00,0.74,0.04,294.00,0.27,0.04,868.00,0.78,0.04,243.00,0.22,0.04
Hombre,8374.00,0.67,0.44,4062.00,0.33,0.39,9223.00,0.74,0.44,3213.00,0.26,0.38,9266.00,0.75,0.43,3170.00,0.26,0.40,9763.00,0.79,0.42,2675.00,0.22,0.41,9631.00,0.77,0.42,2805.00,0.23,0.42,9528.00,0.77,0.42,2908.00,0.23,0.42,9918.00,0.80,0.43,2516.00,0.20,0.40
Mujer,10597.00,0.62,0.56,6449.00,0.38,0.61,11839.00,0.70,0.56,5207.00,0.31,0.62,12353.00,0.73,0.57,4693.00,0.28,0.60,13263.00,0.78,0.58,3782.00,0.22,0.59,13096.00,0.77,0.58,3948.00,0.23,0.59,12939.00,0.76,0.58,4106.00,0.24,0.59,13212.00,0.78,0.57,3832.00,0.23,0.60
18 a 20 años,174.00,0.76,0.01,55.00,0.24,0.01,180.00,0.79,0.01,49.00,0.21,0.01,171.00,0.75,0.01,58.00,0.25,0.01,181.00,0.79,0.01,48.00,0.21,0.01,181.00,0.79,0.01,48.00,0.21,0.01,180.00,0.79,0.01,49.00,0.21,0.01,185.00,0.81,0.01,44.00,0.19,0.01
21 a 30 años,2277.00,0.63,0.12,1312.00,0.37,0.13,2497.00,0.70,0.12,1092.00,0.30,0.13,2638.00,0.74,0.12,951.00,0.27,0.12,2726.00,0.76,0.12,862.00,0.24,0.13,2679.00,0.75,0.12,909.00,0.25,0.14,2626.00,0.73,0.12,962.00,0.27,0.14,2725.00,0.76,0.12,862.00,0.24,0.14
31 a 40 años,5874.00,0.61,0.31,3712.00,0.39,0.35,6536.00,0.68,0.31,3050.00,0.32,0.36,6931.00,0.72,0.32,2655.00,0.28,0.34,7422.00,0.77,0.32,2164.00,0.23,0.34,7295.00,0.76,0.32,2291.00,0.24,0.34,7158.00,0.75,0.32,2428.00,0.25,0.35,7391.00,0.77,0.32,2195.00,0.23,0.35
41 a 50 años,6062.00,0.65,0.32,3271.00,0.35,0.31,6755.00,0.72,0.32,2578.00,0.28,0.31,6812.00,0.73,0.32,2521.00,0.27,0.32,7313.00,0.78,0.32,2021.00,0.22,0.31,7256.00,0.78,0.32,2076.00,0.22,0.31,7195.00,0.77,0.32,2138.00,0.23,0.31,7374.00,0.79,0.32,1957.00,0.21,0.31
51 a 60 años,3897.00,0.68,0.21,1857.00,0.32,0.18,4335.00,0.75,0.21,1419.00,0.25,0.17,4301.00,0.75,0.20,1453.00,0.25,0.19,4588.00,0.80,0.20,1167.00,0.20,0.18,4544.00,0.79,0.20,1210.00,0.21,0.18,4521.00,0.79,0.20,1233.00,0.21,0.18,4644.00,0.81,0.20,1110.00,0.19,0.18
61 a 70 años,649.00,0.69,0.03,292.00,0.31,0.03,722.00,0.77,0.03,219.00,0.23,0.03,726.00,0.77,0.03,215.00,0.23,0.03,760.00,0.81,0.03,181.00,0.19,0.03,732.00,0.78,0.03,209.00,0.22,0.03,751.00,0.80,0.03,190.00,0.20,0.03,772.00,0.82,0.03,169.00,0.18,0.03
71 a 80 años,38.00,0.76,0.00,12.00,0.24,0.00,37.00,0.74,0.00,13.00,0.26,0.00,40.00,0.80,0.00,10.00,0.20,0.00,36.00,0.72,0.00,14.00,0.28,0.00,40.00,0.80,0.00,10.00,0.20,0.00,36.00,0.72,0.00,14.00,0.28,0.00,39.00,0.78,0.00,11.00,0.22,0.00
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",480.00,0.70,0.03,211.00,0.31,0.02,552.00,0.80,0.03,139.00,0.20,0.02,527.00,0.76,0.02,164.00,0.24,0.02,543.00,0.79,0.02,148.00,0.21,0.02,538.00,0.78,0.02,153.00,0.22,0.02,536.00,0.78,0.02,155.00,0.22,0.02,556.00,0.81,0.02,135.00,0.20,0.02
Normal básica sin licenciatura,117.00,0.77,0.01,36.00,0.24,0.00,123.00,0.80,0.01,30.00,0.20,0.00,114.00,0.75,0.01,39.00,0.26,0.01,125.00,0.82,0.01,28.00,0.18,0.00,122.00,0.80,0.01,31.00,0.20,0.01,121.00,0.79,0.01,32.00,0.21,0.01,123.00,0.80,0.01,30.00,0.20,0.01
Normal superior,2848.00,0.66,0.15,1484.00,0.34,0.14,3176.00,0.73,0.15,1156.00,0.27,0.14,3187.00,0.74,0.15,1145.00,0.26,0.15,3426.00,0.79,0.15,906.00,0.21,0.14,3376.00,0.78,0.15,956.00,0.22,0.14,3396.00,0.78,0.15,936.00,0.22,0.13,3430.00,0.79,0.15,901.00,0.21,0.14
Normal Intercultural Bilingüe,11.00,0.73,0.00,4.00,0.27,0.00,11.00,0.73,0.00,4.00,0.27,0.00,12.00,0.80,0.00,3.00,0.20,0.00,11.00,0.73,0.00,4.00,0.27,0.00,12.00,0.80,0.00,3.00,0.20,0.00,10.00,0.67,0.00,5.00,0.33,0.00,13.00,0.87,0.00,2.00,0.13,0.00
Licenciatura,10309.00,0.64,0.54,5698.00,0.36,0.54,11486.00,0.72,0.55,4521.00,0.28,0.54,11757.00,0.73,0.54,4250.00,0.27,0.54,12513.00,0.78,0.54,3495.00,0.22,0.54,12332.00,0.77,0.54,3673.00,0.23,0.54,12202.00,0.76,0.54,3804.00,0.24,0.54,12588.00,0.79,0.54,3417.00,0.21,0.54
Especialidad,490.00,0.66,0.03,254.00,0.34,0.02,513.00,0.69,0.02,231.00,0.31,0.03,537.00,0.72,0.03,207.00,0.28,0.03,559.00,0.75,0.02,185.00,0.25,0.03,575.00,0.77,0.03,169.00,0.23,0.03,546.00,0.73,0.02,198.00,0.27,0.03,571.00,0.77,0.03,173.00,0.23,0.03
Maestría,4217.00,0.62,0.22,2551.00,0.38,0.24,4654.00,0.69,0.22,2114.00,0.31,0.25,4904.00,0.73,0.23,1864.00,0.28,0.24,5248.00,0.78,0.23,1520.00,0.23,0.24,5169.00,0.76,0.23,1599.00,0.24,0.24,5073.00,0.75,0.23,1695.00,0.25,0.24,5258.00,0.78,0.23,1510.00,0.22,0.24
Doctorado,479.00,0.64,0.03,266.00,0.36,0.03,523.00,0.70,0.03,222.00,0.30,0.03,561.00,0.75,0.03,184.00,0.25,0.02,580.00,0.78,0.03,165.00,0.22,0.03,582.00,0.78,0.03,163.00,0.22,0.02,562.00,0.75,0.03,183.00,0.25,0.03,569.00,0.76,0.03,176.00,0.24,0.03
Posdoctorado,20.00,0.74,0.00,7.00,0.26,0.00,24.00,0.89,0.00,3.00,0.11,0.00,20.00,0.74,0.00,7.00,0.26,0.00,21.00,0.78,0.00,6.00,0.22,0.00,21.00,0.78,0.00,6.00,0.22,0.00,21.00,0.78,0.00,6.00,0.22,0.00,22.00,0.85,0.00,4.00,0.15,0.00
Menor o igual a 10,5799.00,0.62,0.31,3580.00,0.38,0.34,6412.00,0.68,0.30,2967.00,0.32,0.35,6763.00,0.72,0.31,2616.00,0.28,0.33,7130.00,0.76,0.31,2248.00,0.24,0.35,7028.00,0.75,0.31,2350.00,0.25,0.35,6925.00,0.74,0.31,2453.00,0.26,0.35,7092.00,0.76,0.31,2285.00,0.24,0.36
11 a 20,7180.00,0.64,0.38,4125.00,0.37,0.39,8013.00,0.71,0.38,3292.00,0.29,0.39,8312.00,0.74,0.38,2993.00,0.27,0.38,8882.00,0.79,0.39,2425.00,0.21,0.38,8732.00,0.77,0.38,2572.00,0.23,0.38,8630.00,0.76,0.38,2675.00,0.24,0.38,8915.00,0.79,0.39,2389.00,0.21,0.38
21 a 30,5992.00,0.68,0.32,2806.00,0.32,0.27,6637.00,0.75,0.32,2161.00,0.25,0.26,6544.00,0.74,0.30,2254.00,0.26,0.29,7014.00,0.80,0.31,1784.00,0.20,0.28,6967.00,0.79,0.31,1831.00,0.21,0.27,6912.00,0.79,0.31,1886.00,0.21,0.27,7123.00,0.81,0.31,1674.00,0.19,0.26
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mayor o igual a 51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Definitivo o base,17755.00,0.64,0.94,9907.00,0.36,0.94,19731.00,0.71,0.94,7931.00,0.29,0.94,20272.00,0.73,0.94,7390.00,0.27,0.94,21632.00,0.78,0.94,6031.00,0.22,0.93,21360.00,0.77,0.94,6300.00,0.23,0.93,21130.00,0.76,0.94,6531.00,0.24,0.93,21751.00,0.79,0.94,5907.00,0.21,0.93
Interino,683.00,0.67,0.04,335.00,0.33,0.03,757.00,0.74,0.04,261.00,0.26,0.03,769.00,0.76,0.04,249.00,0.25,0.03,788.00,0.77,0.03,230.00,0.23,0.04,771.00,0.76,0.03,247.00,0.24,0.04,761.00,0.75,0.03,257.00,0.25,0.04,781.00,0.77,0.03,237.00,0.23,0.04
Tiempo fijo,310.00,0.69,0.02,139.00,0.31,0.01,329.00,0.73,0.02,120.00,0.27,0.01,322.00,0.72,0.02,127.00,0.28,0.02,337.00,0.75,0.02,112.00,0.25,0.02,340.00,0.76,0.02,109.00,0.24,0.02,324.00,0.72,0.01,125.00,0.28,0.02,335.00,0.75,0.01,114.00,0.25,0.02
No tengo nombramiento,32.00,0.64,0.00,18.00,0.36,0.00,33.00,0.66,0.00,17.00,0.34,0.00,36.00,0.72,0.00,14.00,0.28,0.00,38.00,0.76,0.00,12.00,0.24,0.00,38.00,0.76,0.00,12.00,0.24,0.00,34.00,0.68,0.00,16.00,0.32,0.00,35.00,0.70,0.00,15.00,0.30,0.00
Otro,189.00,0.63,0.01,112.00,0.37,0.01,210.00,0.70,0.01,91.00,0.30,0.01,220.00,0.73,0.01,81.00,0.27,0.01,229.00,0.76,0.01,72.00,0.24,0.01,216.00,0.72,0.01,85.00,0.28,0.01,216.00,0.72,0.01,85.00,0.28,0.01,226.00,0.75,0.01,75.00,0.25,0.01
GENERAL PÚBLICA,9269.00,0.65,0.49,4988.00,0.35,0.48,10332.00,0.73,0.49,3925.00,0.28,0.47,10494.00,0.74,0.49,3763.00,0.26,0.48,11172.00,0.78,0.49,3086.00,0.22,0.48,10996.00,0.77,0.48,3261.00,0.23,0.48,10938.00,0.77,0.49,3319.00,0.23,0.47,11238.00,0.79,0.49,3019.00,0.21,0.48
TÉCNICA,7885.00,0.64,0.42,4440.00,0.36,0.42,8763.00,0.71,0.42,3562.00,0.29,0.42,9052.00,0.73,0.42,3273.00,0.27,0.42,9562.00,0.78,0.42,2763.00,0.22,0.43,9502.00,0.77,0.42,2821.00,0.23,0.42,9331.00,0.76,0.42,2993.00,0.24,0.43,9622.00,0.78,0.42,2699.00,0.22,0.43
TELESECUNDARIA,1817.00,0.63,0.10,1083.00,0.37,0.10,1967.00,0.68,0.09,933.00,0.32,0.11,2073.00,0.72,0.10,827.00,0.29,0.11,2292.00,0.79,0.10,608.00,0.21,0.09,2229.00,0.77,0.10,671.00,0.23,0.10,2198.00,0.76,0.10,702.00,0.24,0.10,2270.00,0.78,0.10,630.00,0.22,0.10
Total,18971.00,0.64,1.00,10511.00,0.36,1.00,21062.00,0.71,1.00,8420.00,0.29,1.00,21619.00,0.73,1.00,7863.00,0.27,1.00,23026.00,0.78,1.00,6457.00,0.22,1.00,22727.00,0.77,1.00,6753.00,0.23,1.00,22467.00,0.76,1.00,7014.00,0.24,1.00,23130.00,0.79,1.00,6348.00,0.22,1.00
