Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-A-No aplica-Recuento,B4-A-No aplica-% del N de fila,B4-A-No aplica-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-B-No aplica-Recuento,B4-B-No aplica-% del N de fila,B4-B-No aplica-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-C-No aplica-Recuento,B4-C-No aplica-% del N de fila,B4-C-No aplica-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-D-No aplica-Recuento,B4-D-No aplica-% del N de fila,B4-D-No aplica-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-E-No aplica-Recuento,B4-E-No aplica-% del N de fila,B4-E-No aplica-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-F-No aplica-Recuento,B4-F-No aplica-% del N de fila,B4-F-No aplica-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-G-No aplica-Recuento,B4-G-No aplica-% del N de fila,B4-G-No aplica-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-H-No aplica-Recuento,B4-H-No aplica-% del N de fila,B4-H-No aplica-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-I-No aplica-Recuento,B4-I-No aplica-% del N de fila,B4-I-No aplica-% de N columnas
21 a 30 años,1151.000,0.989,0.218,10.000,0.009,0.196,3.000,0.003,0.250,1133.000,0.973,0.216,22.000,0.019,0.306,9.000,0.008,0.225,1080.000,0.928,0.218,67.000,0.058,0.212,17.000,0.015,0.205,799.000,0.686,0.234,114.000,0.098,0.205,251.000,0.216,0.182,982.000,0.844,0.216,71.000,0.061,0.217,111.000,0.095,0.230,937.000,0.805,0.216,148.000,0.127,0.206,79.000,0.068,0.266,777.000,0.668,0.207,242.000,0.208,0.236,145.000,0.125,0.254,761.000,0.654,0.205,252.000,0.216,0.237,151.000,0.130,0.264,754.000,0.648,0.214,243.000,0.209,0.228,167.000,0.143,0.220
31 a 40 años,1849.000,0.986,0.350,22.000,0.012,0.431,5.000,0.003,0.417,1837.000,0.979,0.351,20.000,0.011,0.278,19.000,0.010,0.475,1738.000,0.926,0.351,110.000,0.059,0.348,28.000,0.015,0.337,1195.000,0.637,0.350,177.000,0.094,0.318,504.000,0.269,0.365,1609.000,0.858,0.354,109.000,0.058,0.333,158.000,0.084,0.327,1513.000,0.807,0.349,265.000,0.141,0.370,98.000,0.052,0.330,1308.000,0.697,0.348,372.000,0.198,0.363,196.000,0.104,0.344,1320.000,0.704,0.355,380.000,0.203,0.357,176.000,0.094,0.308,1223.000,0.652,0.347,392.000,0.209,0.368,261.000,0.139,0.344
41 a 50 años,1566.000,0.989,0.296,13.000,0.008,0.255,4.000,0.003,0.333,1556.000,0.983,0.297,20.000,0.013,0.278,7.000,0.004,0.175,1459.000,0.922,0.295,97.000,0.061,0.307,27.000,0.017,0.325,996.000,0.629,0.292,170.000,0.107,0.305,417.000,0.263,0.302,1358.000,0.858,0.299,91.000,0.057,0.278,134.000,0.085,0.277,1295.000,0.818,0.299,210.000,0.133,0.293,78.000,0.049,0.263,1157.000,0.731,0.308,277.000,0.175,0.270,149.000,0.094,0.261,1136.000,0.718,0.306,293.000,0.185,0.275,154.000,0.097,0.270,1066.000,0.673,0.302,301.000,0.190,0.283,216.000,0.136,0.285
51 a 60 años,664.000,0.991,0.126,6.000,0.009,0.118,0.000,0.000,0.000,656.000,0.979,0.125,10.000,0.015,0.139,4.000,0.006,0.100,625.000,0.933,0.126,38.000,0.057,0.120,7.000,0.010,0.084,386.000,0.577,0.113,89.000,0.133,0.160,194.000,0.290,0.140,547.000,0.816,0.120,53.000,0.079,0.162,70.000,0.104,0.145,545.000,0.813,0.126,85.000,0.127,0.119,40.000,0.060,0.135,472.000,0.706,0.126,128.000,0.191,0.125,69.000,0.103,0.121,456.000,0.682,0.123,131.000,0.196,0.123,82.000,0.123,0.144,446.000,0.667,0.126,118.000,0.176,0.111,105.000,0.157,0.139
61 a 70 años,26.000,1.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,25.000,0.962,0.005,0.000,0.000,0.000,1.000,0.038,0.025,24.000,0.923,0.005,1.000,0.038,0.003,1.000,0.038,0.012,15.000,0.577,0.004,2.000,0.077,0.004,9.000,0.346,0.007,20.000,0.769,0.004,1.000,0.038,0.003,5.000,0.192,0.010,20.000,0.769,0.005,6.000,0.231,0.008,0.000,0.000,0.000,17.000,0.654,0.005,4.000,0.154,0.004,5.000,0.192,0.009,19.000,0.731,0.005,3.000,0.115,0.003,4.000,0.154,0.007,19.000,0.731,0.005,3.000,0.115,0.003,4.000,0.154,0.005
71 a 80 años,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
81 a 90 años,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
91 a 99 años,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Preparatoria, bachillerato o carrera técnica",45.000,1.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,45.000,1.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,43.000,0.956,0.009,2.000,0.044,0.006,0.000,0.000,0.000,36.000,0.800,0.011,4.000,0.089,0.007,5.000,0.111,0.004,39.000,0.867,0.009,3.000,0.067,0.009,3.000,0.067,0.006,39.000,0.867,0.009,3.000,0.067,0.004,3.000,0.067,0.010,31.000,0.689,0.008,10.000,0.222,0.010,4.000,0.089,0.007,32.000,0.711,0.009,9.000,0.200,0.008,4.000,0.089,0.007,32.000,0.711,0.009,8.000,0.178,0.008,5.000,0.111,0.007
Normal básica sin licenciatura,136.000,0.978,0.026,3.000,0.022,0.059,0.000,0.000,0.000,133.000,0.957,0.025,2.000,0.014,0.028,4.000,0.029,0.100,133.000,0.957,0.027,5.000,0.036,0.016,1.000,0.007,0.012,86.000,0.619,0.025,19.000,0.137,0.034,34.000,0.245,0.025,113.000,0.813,0.025,12.000,0.086,0.037,14.000,0.101,0.029,112.000,0.806,0.026,21.000,0.151,0.029,6.000,0.043,0.020,85.000,0.612,0.023,35.000,0.252,0.034,19.000,0.137,0.033,91.000,0.655,0.024,36.000,0.259,0.034,12.000,0.086,0.021,90.000,0.647,0.026,29.000,0.209,0.027,20.000,0.144,0.026
Normal superior,74.000,1.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,72.000,0.973,0.014,1.000,0.014,0.014,1.000,0.014,0.025,65.000,0.878,0.013,7.000,0.095,0.022,2.000,0.027,0.024,47.000,0.635,0.014,12.000,0.162,0.022,15.000,0.203,0.011,59.000,0.797,0.013,8.000,0.108,0.024,7.000,0.095,0.014,54.000,0.730,0.012,14.000,0.189,0.020,6.000,0.081,0.020,54.000,0.730,0.014,13.000,0.176,0.013,7.000,0.095,0.012,48.000,0.649,0.013,18.000,0.243,0.017,8.000,0.108,0.014,45.000,0.608,0.013,16.000,0.216,0.015,13.000,0.176,0.017
Normal Intercultural Bilingüe,5.000,1.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,5.000,1.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,5.000,1.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.800,0.001,0.000,0.000,0.000,1.000,0.200,0.001,5.000,1.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.600,0.001,2.000,0.400,0.003,0.000,0.000,0.000,3.000,0.600,0.001,2.000,0.400,0.002,0.000,0.000,0.000,2.000,0.400,0.001,2.000,0.400,0.002,1.000,0.200,0.002,2.000,0.400,0.001,2.000,0.400,0.002,1.000,0.200,0.001
Licenciatura,4148.000,0.988,0.784,43.000,0.010,0.843,9.000,0.002,0.750,4119.000,0.981,0.786,54.000,0.013,0.750,27.000,0.006,0.675,3882.000,0.924,0.784,251.000,0.060,0.794,67.000,0.016,0.807,2674.000,0.637,0.783,447.000,0.106,0.803,1079.000,0.257,0.781,3560.000,0.848,0.784,254.000,0.060,0.777,386.000,0.092,0.799,3404.000,0.810,0.785,559.000,0.133,0.780,237.000,0.056,0.798,2930.000,0.698,0.780,810.000,0.193,0.790,460.000,0.110,0.807,2924.000,0.696,0.787,821.000,0.195,0.772,455.000,0.108,0.797,2776.000,0.661,0.787,832.000,0.198,0.782,592.000,0.141,0.781
Especialidad,22.000,1.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,22.000,1.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.909,0.004,2.000,0.091,0.006,0.000,0.000,0.000,18.000,0.818,0.005,2.000,0.091,0.004,2.000,0.091,0.001,20.000,0.909,0.004,2.000,0.091,0.006,0.000,0.000,0.000,16.000,0.727,0.004,5.000,0.227,0.007,1.000,0.045,0.003,18.000,0.818,0.005,2.000,0.091,0.002,2.000,0.091,0.004,16.000,0.727,0.004,4.000,0.182,0.004,2.000,0.091,0.004,15.000,0.682,0.004,4.000,0.182,0.004,3.000,0.136,0.004
Maestría,801.000,0.991,0.151,4.000,0.005,0.078,3.000,0.004,0.250,787.000,0.974,0.150,15.000,0.019,0.208,6.000,0.007,0.150,748.000,0.926,0.151,48.000,0.059,0.152,12.000,0.015,0.145,510.000,0.632,0.149,70.000,0.087,0.126,227.000,0.281,0.164,697.000,0.863,0.153,42.000,0.052,0.128,69.000,0.085,0.143,660.000,0.817,0.152,106.000,0.131,0.148,42.000,0.052,0.141,592.000,0.734,0.158,144.000,0.178,0.140,71.000,0.088,0.125,563.000,0.698,0.152,161.000,0.200,0.151,83.000,0.103,0.145,528.000,0.654,0.150,161.000,0.200,0.151,118.000,0.146,0.156
Doctorado,57.000,0.983,0.011,1.000,0.017,0.020,0.000,0.000,0.000,56.000,0.966,0.011,0.000,0.000,0.000,2.000,0.034,0.050,56.000,0.966,0.011,1.000,0.017,0.003,1.000,0.017,0.012,38.000,0.655,0.011,3.000,0.052,0.005,17.000,0.293,0.012,48.000,0.828,0.011,6.000,0.103,0.018,4.000,0.069,0.008,49.000,0.845,0.011,7.000,0.121,0.010,2.000,0.034,0.007,42.000,0.724,0.011,9.000,0.155,0.009,7.000,0.121,0.012,40.000,0.690,0.011,12.000,0.207,0.011,6.000,0.103,0.011,41.000,0.707,0.012,11.000,0.190,0.010,6.000,0.103,0.008
Posdoctorado,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.001,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.001,0.000,0.000,0.000
Menor o igual a 10,1841.000,0.987,0.348,19.000,0.010,0.373,6.000,0.003,0.500,1819.000,0.975,0.347,28.000,0.015,0.389,19.000,0.010,0.475,1727.000,0.926,0.349,112.000,0.060,0.354,27.000,0.014,0.325,1271.000,0.681,0.372,172.000,0.092,0.309,423.000,0.227,0.306,1589.000,0.852,0.350,107.000,0.057,0.327,170.000,0.091,0.352,1501.000,0.804,0.346,246.000,0.132,0.343,119.000,0.064,0.401,1242.000,0.666,0.331,390.000,0.209,0.380,234.000,0.125,0.411,1242.000,0.666,0.334,399.000,0.214,0.375,225.000,0.121,0.394,1201.000,0.644,0.340,396.000,0.212,0.372,269.000,0.144,0.355
11 a 20,1939.000,0.990,0.367,14.000,0.007,0.275,5.000,0.003,0.417,1928.000,0.985,0.368,19.000,0.010,0.264,11.000,0.006,0.275,1817.000,0.928,0.367,106.000,0.054,0.335,35.000,0.018,0.422,1211.000,0.618,0.355,211.000,0.108,0.379,536.000,0.274,0.388,1673.000,0.854,0.368,118.000,0.060,0.361,167.000,0.085,0.346,1583.000,0.808,0.365,280.000,0.143,0.391,95.000,0.049,0.320,1413.000,0.722,0.376,367.000,0.187,0.358,178.000,0.091,0.312,1399.000,0.715,0.376,393.000,0.201,0.369,166.000,0.085,0.291,1316.000,0.672,0.373,388.000,0.198,0.365,254.000,0.130,0.335
21 a 30,1509.000,0.988,0.285,18.000,0.012,0.353,1.000,0.001,0.083,1493.000,0.977,0.285,25.000,0.016,0.347,10.000,0.007,0.250,1409.000,0.922,0.284,98.000,0.064,0.310,21.000,0.014,0.253,931.000,0.610,0.273,174.000,0.114,0.312,422.000,0.276,0.306,1280.000,0.838,0.282,102.000,0.067,0.312,146.000,0.096,0.302,1254.000,0.821,0.289,191.000,0.125,0.266,83.000,0.054,0.279,1101.000,0.721,0.293,268.000,0.176,0.261,158.000,0.103,0.277,1075.000,0.704,0.289,272.000,0.178,0.256,180.000,0.118,0.315,1012.000,0.663,0.287,280.000,0.183,0.263,235.000,0.154,0.310
31 a 40,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41 a 50,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Mayor o igual a 51,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Definitivo o base,4914.000,0.988,0.929,49.000,0.010,0.961,12.000,0.002,1.000,4870.000,0.979,0.929,66.000,0.013,0.917,39.000,0.008,0.975,4602.000,0.925,0.929,293.000,0.059,0.927,80.000,0.016,0.964,3128.000,0.629,0.916,510.000,0.103,0.916,1336.000,0.269,0.967,4222.000,0.849,0.930,293.000,0.059,0.896,460.000,0.092,0.952,4037.000,0.811,0.931,667.000,0.134,0.930,271.000,0.054,0.912,3504.000,0.704,0.933,949.000,0.191,0.926,521.000,0.105,0.914,3462.000,0.696,0.932,985.000,0.198,0.926,527.000,0.106,0.923,3289.000,0.661,0.932,982.000,0.197,0.923,703.000,0.141,0.927
Interino,157.000,0.994,0.030,1.000,0.006,0.020,0.000,0.000,0.000,156.000,0.987,0.030,2.000,0.013,0.028,0.000,0.000,0.000,149.000,0.943,0.030,8.000,0.051,0.025,1.000,0.006,0.012,124.000,0.785,0.036,18.000,0.114,0.032,16.000,0.101,0.012,137.000,0.867,0.030,15.000,0.095,0.046,6.000,0.038,0.012,123.000,0.778,0.028,19.000,0.120,0.026,16.000,0.101,0.054,107.000,0.677,0.028,31.000,0.196,0.030,20.000,0.127,0.035,110.000,0.696,0.030,30.000,0.190,0.028,18.000,0.114,0.032,98.000,0.620,0.028,36.000,0.228,0.034,24.000,0.152,0.032
Tiempo fijo,94.000,0.989,0.018,1.000,0.011,0.020,0.000,0.000,0.000,94.000,0.989,0.018,1.000,0.011,0.014,0.000,0.000,0.000,91.000,0.958,0.018,3.000,0.032,0.009,1.000,0.011,0.012,76.000,0.800,0.022,10.000,0.105,0.018,9.000,0.095,0.007,86.000,0.905,0.019,5.000,0.053,0.015,4.000,0.042,0.008,75.000,0.789,0.017,14.000,0.147,0.020,6.000,0.063,0.020,66.000,0.695,0.018,20.000,0.211,0.020,9.000,0.095,0.016,66.000,0.695,0.018,21.000,0.221,0.020,8.000,0.084,0.014,64.000,0.674,0.018,20.000,0.211,0.019,11.000,0.116,0.015
No tengo nombramiento,32.000,1.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,30.000,0.938,0.006,1.000,0.031,0.014,1.000,0.031,0.025,26.000,0.813,0.005,5.000,0.156,0.016,1.000,0.031,0.012,18.000,0.563,0.005,7.000,0.219,0.013,7.000,0.219,0.005,22.000,0.688,0.005,7.000,0.219,0.021,3.000,0.094,0.006,29.000,0.906,0.007,3.000,0.094,0.004,0.000,0.000,0.000,22.000,0.688,0.006,6.000,0.188,0.006,4.000,0.125,0.007,21.000,0.656,0.006,9.000,0.281,0.008,2.000,0.063,0.004,21.000,0.656,0.006,7.000,0.219,0.007,4.000,0.125,0.005
Otro,92.000,1.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,90.000,0.978,0.017,2.000,0.022,0.028,0.000,0.000,0.000,85.000,0.924,0.017,7.000,0.076,0.022,0.000,0.000,0.000,67.000,0.728,0.020,12.000,0.130,0.022,13.000,0.141,0.009,75.000,0.815,0.017,7.000,0.076,0.021,10.000,0.109,0.021,74.000,0.804,0.017,14.000,0.152,0.020,4.000,0.043,0.013,57.000,0.620,0.015,19.000,0.207,0.019,16.000,0.174,0.028,57.000,0.620,0.015,19.000,0.207,0.018,16.000,0.174,0.028,57.000,0.620,0.016,19.000,0.207,0.018,16.000,0.174,0.021
GENERAL PÚBLICA,4976.000,0.988,0.941,47.000,0.009,0.922,11.000,0.002,0.917,4925.000,0.978,0.940,70.000,0.014,0.972,39.000,0.008,0.975,4647.000,0.923,0.938,308.000,0.061,0.975,79.000,0.016,0.952,3193.000,0.634,0.936,526.000,0.105,0.944,1314.000,0.261,0.951,4282.000,0.851,0.943,305.000,0.061,0.933,447.000,0.089,0.925,4081.000,0.811,0.941,677.000,0.134,0.944,276.000,0.055,0.929,3514.000,0.698,0.936,974.000,0.194,0.950,545.000,0.108,0.956,3490.000,0.693,0.939,999.000,0.198,0.939,544.000,0.108,0.953,3300.000,0.656,0.935,1006.000,0.200,0.945,727.000,0.144,0.959
INDÍGENAS,313.000,0.984,0.059,4.000,0.013,0.078,1.000,0.003,0.083,315.000,0.991,0.060,2.000,0.006,0.028,1.000,0.003,0.025,306.000,0.962,0.062,8.000,0.025,0.025,4.000,0.013,0.048,220.000,0.692,0.064,31.000,0.097,0.056,67.000,0.211,0.049,260.000,0.818,0.057,22.000,0.069,0.067,36.000,0.113,0.075,257.000,0.808,0.059,40.000,0.126,0.056,21.000,0.066,0.071,242.000,0.761,0.064,51.000,0.160,0.050,25.000,0.079,0.044,226.000,0.711,0.061,65.000,0.204,0.061,27.000,0.085,0.047,229.000,0.720,0.065,58.000,0.182,0.055,31.000,0.097,0.041
Total,5289.000,0.988,1.000,51.000,0.010,1.000,12.000,0.002,1.000,5240.000,0.979,1.000,72.000,0.013,1.000,40.000,0.007,1.000,4953.000,0.925,1.000,316.000,0.059,1.000,83.000,0.016,1.000,3413.000,0.638,1.000,557.000,0.104,1.000,1381.000,0.258,1.000,4542.000,0.849,1.000,327.000,0.061,1.000,483.000,0.090,1.000,4338.000,0.811,1.000,717.000,0.134,1.000,297.000,0.055,1.000,3756.000,0.702,1.000,1025.000,0.192,1.000,570.000,0.107,1.000,3716.000,0.694,1.000,1064.000,0.199,1.000,571.000,0.107,1.000,3529.000,0.660,1.000,1064.000,0.199,1.000,758.000,0.142,1.000
