Entidad,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas
QUINTANA ROO,116.00,0.68,0.05,51.00,0.30,0.03,3.00,0.02,0.02,0.00,0.00,0.00,111.00,0.65,0.04,56.00,0.33,0.03,3.00,0.02,0.04,0.00,0.00,0.00,132.00,0.78,0.04,37.00,0.22,0.04,1.00,0.01,0.02,0.00,0.00,0.00,112.00,0.66,0.04,56.00,0.33,0.04,2.00,0.01,0.02,0.00,0.00,0.00,112.00,0.66,0.04,54.00,0.32,0.04,4.00,0.02,0.03,0.00,0.00,0.00
SAN LUIS POTOSÍ,89.00,0.53,0.04,78.00,0.46,0.05,2.00,0.01,0.02,0.00,0.00,0.00,90.00,0.53,0.04,78.00,0.46,0.05,1.00,0.01,0.01,0.00,0.00,0.00,125.00,0.74,0.04,43.00,0.25,0.04,1.00,0.01,0.02,0.00,0.00,0.00,101.00,0.60,0.04,66.00,0.39,0.04,1.00,0.01,0.01,1.00,0.01,0.25,98.00,0.58,0.04,65.00,0.39,0.04,6.00,0.04,0.04,0.00,0.00,0.00
SINALOA,117.00,0.61,0.05,69.00,0.36,0.04,5.00,0.03,0.04,0.00,0.00,0.00,125.00,0.65,0.05,61.00,0.32,0.04,5.00,0.03,0.06,0.00,0.00,0.00,154.00,0.81,0.05,36.00,0.19,0.03,1.00,0.01,0.02,0.00,0.00,0.00,128.00,0.67,0.05,62.00,0.33,0.04,1.00,0.01,0.01,0.00,0.00,0.00,128.00,0.67,0.05,60.00,0.31,0.04,3.00,0.02,0.02,0.00,0.00,0.00
SONORA,95.00,0.65,0.04,46.00,0.31,0.03,5.00,0.03,0.04,1.00,0.01,0.17,92.00,0.63,0.04,51.00,0.35,0.03,4.00,0.03,0.05,0.00,0.00,0.00,111.00,0.76,0.04,34.00,0.23,0.03,2.00,0.01,0.04,0.00,0.00,0.00,97.00,0.66,0.04,46.00,0.31,0.03,4.00,0.03,0.05,0.00,0.00,0.00,97.00,0.66,0.04,48.00,0.33,0.03,2.00,0.01,0.01,0.00,0.00,0.00
TABASCO,69.00,0.53,0.03,55.00,0.42,0.03,6.00,0.05,0.04,0.00,0.00,0.00,78.00,0.60,0.03,50.00,0.39,0.03,2.00,0.02,0.02,0.00,0.00,0.00,92.00,0.71,0.03,36.00,0.28,0.03,2.00,0.02,0.04,0.00,0.00,0.00,72.00,0.55,0.03,53.00,0.41,0.03,5.00,0.04,0.06,0.00,0.00,0.00,77.00,0.59,0.03,45.00,0.35,0.03,7.00,0.05,0.05,1.00,0.01,0.13
TAMAULIPAS,76.00,0.50,0.03,69.00,0.46,0.04,6.00,0.04,0.04,0.00,0.00,0.00,77.00,0.51,0.03,71.00,0.47,0.04,3.00,0.02,0.04,0.00,0.00,0.00,110.00,0.73,0.04,39.00,0.26,0.04,2.00,0.01,0.04,0.00,0.00,0.00,89.00,0.59,0.03,61.00,0.40,0.04,1.00,0.01,0.01,0.00,0.00,0.00,88.00,0.58,0.03,56.00,0.37,0.04,7.00,0.05,0.05,0.00,0.00,0.00
TLAXCALA,79.00,0.50,0.03,71.00,0.45,0.04,7.00,0.05,0.05,0.00,0.00,0.00,85.00,0.54,0.03,68.00,0.43,0.04,3.00,0.02,0.04,1.00,0.01,0.25,103.00,0.66,0.03,53.00,0.34,0.05,1.00,0.01,0.02,0.00,0.00,0.00,85.00,0.54,0.03,70.00,0.45,0.04,2.00,0.01,0.02,0.00,0.00,0.00,89.00,0.57,0.03,63.00,0.40,0.04,5.00,0.03,0.04,0.00,0.00,0.00
VERACRUZ,51.00,0.46,0.02,59.00,0.53,0.03,1.00,0.01,0.01,1.00,0.01,0.17,54.00,0.48,0.02,56.00,0.50,0.03,2.00,0.02,0.02,0.00,0.00,0.00,76.00,0.68,0.02,36.00,0.32,0.03,0.00,0.00,0.00,0.00,0.00,0.00,58.00,0.52,0.02,51.00,0.46,0.03,3.00,0.03,0.04,0.00,0.00,0.00,62.00,0.55,0.02,47.00,0.42,0.03,2.00,0.02,0.01,1.00,0.01,0.13
YUCATÁN,51.00,0.51,0.02,47.00,0.47,0.03,3.00,0.03,0.02,0.00,0.00,0.00,54.00,0.54,0.02,41.00,0.41,0.03,5.00,0.05,0.06,1.00,0.01,0.25,69.00,0.68,0.02,31.00,0.31,0.03,1.00,0.01,0.02,0.00,0.00,0.00,60.00,0.59,0.02,40.00,0.40,0.03,1.00,0.01,0.01,0.00,0.00,0.00,60.00,0.59,0.02,39.00,0.39,0.03,2.00,0.02,0.01,0.00,0.00,0.00
ZACATECAS,94.00,0.50,0.04,87.00,0.47,0.05,6.00,0.03,0.04,0.00,0.00,0.00,92.00,0.49,0.04,91.00,0.49,0.05,4.00,0.02,0.05,0.00,0.00,0.00,128.00,0.68,0.04,56.00,0.30,0.05,3.00,0.02,0.06,0.00,0.00,0.00,101.00,0.54,0.04,82.00,0.44,0.05,3.00,0.02,0.04,1.00,0.01,0.25,105.00,0.56,0.04,73.00,0.39,0.05,9.00,0.05,0.06,0.00,0.00,0.00
Hombre,1124.00,0.61,0.47,681.00,0.37,0.40,44.00,0.02,0.32,4.00,0.00,0.67,1091.00,0.59,0.44,725.00,0.39,0.43,36.00,0.02,0.44,1.00,0.00,0.25,1376.00,0.74,0.44,455.00,0.25,0.43,21.00,0.01,0.40,1.00,0.00,0.25,1118.00,0.60,0.43,705.00,0.38,0.45,27.00,0.02,0.33,3.00,0.00,0.75,1127.00,0.61,0.43,658.00,0.36,0.44,63.00,0.03,0.45,5.00,0.00,0.63
Mujer,1272.00,0.53,0.53,1034.00,0.43,0.60,92.00,0.04,0.68,2.00,0.00,0.33,1406.00,0.59,0.56,945.00,0.39,0.57,46.00,0.02,0.56,3.00,0.00,0.75,1762.00,0.73,0.56,604.00,0.25,0.57,31.00,0.01,0.60,3.00,0.00,0.75,1468.00,0.61,0.57,875.00,0.37,0.55,56.00,0.02,0.68,1.00,0.00,0.25,1472.00,0.61,0.57,848.00,0.35,0.56,77.00,0.03,0.55,3.00,0.00,0.38
18 a 20 años,4.00,0.40,0.00,6.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.40,0.00,6.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.50,0.00,5.00,0.50,0.01,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.40,0.00,6.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.40,0.00,6.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21 a 30 años,112.00,0.55,0.05,86.00,0.42,0.05,7.00,0.03,0.05,0.00,0.00,0.00,111.00,0.54,0.04,87.00,0.42,0.05,7.00,0.03,0.09,0.00,0.00,0.00,143.00,0.70,0.05,58.00,0.28,0.06,4.00,0.02,0.08,0.00,0.00,0.00,115.00,0.56,0.04,84.00,0.41,0.05,6.00,0.03,0.07,0.00,0.00,0.00,131.00,0.64,0.05,69.00,0.34,0.05,5.00,0.02,0.04,0.00,0.00,0.00
31 a 40 años,552.00,0.56,0.23,398.00,0.40,0.23,40.00,0.04,0.29,3.00,0.00,0.50,541.00,0.55,0.22,426.00,0.43,0.26,23.00,0.02,0.28,3.00,0.00,0.75,722.00,0.73,0.23,257.00,0.26,0.24,13.00,0.01,0.25,1.00,0.00,0.25,598.00,0.60,0.23,368.00,0.37,0.23,26.00,0.03,0.31,1.00,0.00,0.25,601.00,0.61,0.23,352.00,0.35,0.23,38.00,0.04,0.27,2.00,0.00,0.25
41 a 50 años,716.00,0.57,0.30,504.00,0.40,0.29,37.00,0.03,0.27,1.00,0.00,0.17,740.00,0.59,0.30,488.00,0.39,0.29,29.00,0.02,0.35,1.00,0.00,0.25,948.00,0.75,0.30,295.00,0.23,0.28,13.00,0.01,0.25,2.00,0.00,0.50,772.00,0.61,0.30,459.00,0.37,0.29,26.00,0.02,0.31,1.00,0.00,0.25,777.00,0.62,0.30,434.00,0.35,0.29,47.00,0.04,0.34,0.00,0.00,0.00
51 a 60 años,698.00,0.55,0.29,518.00,0.41,0.30,43.00,0.03,0.32,2.00,0.00,0.33,769.00,0.61,0.31,473.00,0.38,0.28,19.00,0.02,0.23,0.00,0.00,0.00,929.00,0.74,0.30,319.00,0.25,0.30,12.00,0.01,0.23,1.00,0.00,0.25,782.00,0.62,0.30,459.00,0.36,0.29,19.00,0.02,0.23,1.00,0.00,0.25,756.00,0.60,0.29,461.00,0.37,0.31,40.00,0.03,0.29,4.00,0.00,0.50
61 a 70 años,282.00,0.61,0.12,173.00,0.37,0.10,9.00,0.02,0.07,0.00,0.00,0.00,296.00,0.64,0.12,165.00,0.36,0.10,3.00,0.01,0.04,0.00,0.00,0.00,351.00,0.76,0.11,104.00,0.22,0.10,9.00,0.02,0.17,0.00,0.00,0.00,280.00,0.60,0.11,177.00,0.38,0.11,6.00,0.01,0.07,1.00,0.00,0.25,290.00,0.63,0.11,164.00,0.35,0.11,8.00,0.02,0.06,2.00,0.00,0.25
71 a 80 años,32.00,0.52,0.01,30.00,0.48,0.02,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.58,0.01,25.00,0.40,0.02,1.00,0.02,0.01,0.00,0.00,0.00,40.00,0.65,0.01,21.00,0.34,0.02,1.00,0.02,0.02,0.00,0.00,0.00,35.00,0.57,0.01,27.00,0.44,0.02,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.65,0.02,20.00,0.32,0.01,2.00,0.03,0.01,0.00,0.00,0.00
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",6.00,0.33,0.00,12.00,0.67,0.01,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.33,0.00,12.00,0.67,0.01,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.33,0.00,11.00,0.61,0.01,1.00,0.06,0.02,0.00,0.00,0.00,6.00,0.33,0.00,11.00,0.61,0.01,1.00,0.06,0.01,0.00,0.00,0.00,6.00,0.33,0.00,11.00,0.61,0.01,1.00,0.06,0.01,0.00,0.00,0.00
Normal básica sin licenciatura,36.00,0.42,0.02,46.00,0.54,0.03,4.00,0.05,0.03,0.00,0.00,0.00,42.00,0.49,0.02,43.00,0.50,0.03,1.00,0.01,0.01,0.00,0.00,0.00,53.00,0.62,0.02,33.00,0.38,0.03,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.47,0.02,44.00,0.51,0.03,2.00,0.02,0.02,0.00,0.00,0.00,47.00,0.55,0.02,37.00,0.43,0.03,2.00,0.02,0.01,0.00,0.00,0.00
Normal superior,137.00,0.57,0.06,98.00,0.41,0.06,6.00,0.03,0.04,1.00,0.00,0.17,138.00,0.57,0.06,101.00,0.42,0.06,3.00,0.01,0.04,0.00,0.00,0.00,173.00,0.72,0.06,68.00,0.28,0.06,1.00,0.00,0.02,0.00,0.00,0.00,142.00,0.59,0.06,98.00,0.41,0.06,2.00,0.01,0.02,0.00,0.00,0.00,141.00,0.58,0.05,93.00,0.38,0.06,7.00,0.03,0.05,1.00,0.00,0.13
Normal Intercultural Bilingüe,3.00,0.60,0.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.60,0.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.80,0.00,1.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.80,0.00,1.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.60,0.00,2.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Licenciatura,995.00,0.54,0.42,782.00,0.43,0.46,55.00,0.03,0.40,2.00,0.00,0.33,1024.00,0.56,0.41,776.00,0.42,0.47,33.00,0.02,0.40,1.00,0.00,0.25,1320.00,0.72,0.42,497.00,0.27,0.47,16.00,0.01,0.31,1.00,0.00,0.25,1073.00,0.59,0.42,725.00,0.40,0.46,34.00,0.02,0.41,2.00,0.00,0.50,1111.00,0.61,0.43,676.00,0.37,0.45,47.00,0.03,0.34,0.00,0.00,0.00
