Entidad,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
ESTADO DE MÉXICO,88.00,0.48,0.04,86.00,0.47,0.03,9.00,0.05,0.03,1.00,0.01,0.06,81.00,0.44,0.04,90.00,0.49,0.03,12.00,0.07,0.04,1.00,0.01,0.06,66.00,0.36,0.03,98.00,0.53,0.04,18.00,0.10,0.03,2.00,0.01,0.02,84.00,0.46,0.04,96.00,0.52,0.04,3.00,0.02,0.01,1.00,0.01,0.03,79.00,0.43,0.04,98.00,0.53,0.04,7.00,0.04,0.02,0.00,0.00,0.00,87.00,0.47,0.04,88.00,0.48,0.04,9.00,0.05,0.04,0.00,0.00,0.00,82.00,0.45,0.04,91.00,0.50,0.03,11.00,0.06,0.03,0.00,0.00,0.00,62.00,0.34,0.04,101.00,0.55,0.03,18.00,0.10,0.03,3.00,0.02,0.04
GUANAJUATO,118.00,0.47,0.06,122.00,0.48,0.04,14.00,0.06,0.04,0.00,0.00,0.00,112.00,0.44,0.06,135.00,0.53,0.05,7.00,0.03,0.02,0.00,0.00,0.00,116.00,0.46,0.06,114.00,0.45,0.04,21.00,0.08,0.04,3.00,0.01,0.03,128.00,0.50,0.06,118.00,0.47,0.04,8.00,0.03,0.03,0.00,0.00,0.00,122.00,0.48,0.06,121.00,0.48,0.05,9.00,0.04,0.03,2.00,0.01,0.04,138.00,0.54,0.06,111.00,0.44,0.04,4.00,0.02,0.02,1.00,0.00,0.03,117.00,0.46,0.05,124.00,0.49,0.04,13.00,0.05,0.04,0.00,0.00,0.00,96.00,0.38,0.06,132.00,0.52,0.05,25.00,0.10,0.04,1.00,0.00,0.01
GUERRERO,7.00,0.39,0.00,11.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.33,0.00,8.00,0.44,0.00,4.00,0.22,0.01,0.00,0.00,0.00,4.00,0.22,0.00,13.00,0.72,0.01,1.00,0.06,0.00,0.00,0.00,0.00,5.00,0.28,0.00,13.00,0.72,0.01,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.28,0.00,11.00,0.61,0.00,2.00,0.11,0.01,0.00,0.00,0.00,5.00,0.28,0.00,12.00,0.67,0.01,1.00,0.06,0.00,0.00,0.00,0.00,5.00,0.28,0.00,12.00,0.67,0.00,1.00,0.06,0.00,0.00,0.00,0.00,4.00,0.22,0.00,11.00,0.61,0.00,3.00,0.17,0.01,0.00,0.00,0.00
HIDALGO,76.00,0.44,0.04,88.00,0.51,0.03,9.00,0.05,0.03,0.00,0.00,0.00,65.00,0.38,0.03,100.00,0.58,0.03,8.00,0.05,0.03,0.00,0.00,0.00,68.00,0.39,0.03,85.00,0.49,0.03,18.00,0.10,0.03,2.00,0.01,0.02,66.00,0.38,0.03,100.00,0.58,0.04,7.00,0.04,0.03,0.00,0.00,0.00,67.00,0.39,0.03,95.00,0.55,0.04,9.00,0.05,0.03,2.00,0.01,0.04,77.00,0.45,0.03,90.00,0.52,0.04,5.00,0.03,0.02,1.00,0.01,0.03,72.00,0.42,0.03,90.00,0.52,0.03,11.00,0.06,0.03,0.00,0.00,0.00,66.00,0.38,0.04,94.00,0.54,0.03,12.00,0.07,0.02,1.00,0.01,0.01
JALISCO,64.00,0.35,0.03,105.00,0.57,0.04,16.00,0.09,0.05,0.00,0.00,0.00,63.00,0.34,0.03,106.00,0.57,0.04,15.00,0.08,0.05,1.00,0.01,0.06,70.00,0.38,0.03,91.00,0.49,0.04,20.00,0.11,0.04,4.00,0.02,0.04,79.00,0.43,0.04,96.00,0.52,0.04,8.00,0.04,0.03,2.00,0.01,0.06,78.00,0.42,0.04,95.00,0.51,0.04,10.00,0.05,0.03,2.00,0.01,0.04,85.00,0.46,0.03,93.00,0.50,0.04,6.00,0.03,0.03,1.00,0.01,0.03,77.00,0.42,0.04,98.00,0.53,0.04,10.00,0.05,0.03,0.00,0.00,0.00,54.00,0.29,0.03,105.00,0.57,0.04,24.00,0.13,0.04,2.00,0.01,0.03
MICHOACÁN,16.00,0.35,0.01,25.00,0.54,0.01,5.00,0.11,0.02,0.00,0.00,0.00,18.00,0.39,0.01,24.00,0.52,0.01,4.00,0.09,0.01,0.00,0.00,0.00,17.00,0.37,0.01,22.00,0.48,0.01,7.00,0.15,0.01,0.00,0.00,0.00,22.00,0.48,0.01,20.00,0.44,0.01,4.00,0.09,0.02,0.00,0.00,0.00,21.00,0.46,0.01,20.00,0.44,0.01,4.00,0.09,0.01,1.00,0.02,0.02,22.00,0.48,0.01,23.00,0.50,0.01,1.00,0.02,0.00,0.00,0.00,0.00,21.00,0.46,0.01,24.00,0.52,0.01,1.00,0.02,0.00,0.00,0.00,0.00,13.00,0.28,0.01,29.00,0.63,0.01,4.00,0.09,0.01,0.00,0.00,0.00
MORELOS,83.00,0.50,0.04,76.00,0.46,0.03,7.00,0.04,0.02,0.00,0.00,0.00,69.00,0.42,0.03,93.00,0.56,0.03,4.00,0.02,0.01,0.00,0.00,0.00,76.00,0.46,0.04,69.00,0.42,0.03,16.00,0.10,0.03,5.00,0.03,0.05,83.00,0.50,0.04,78.00,0.47,0.03,5.00,0.03,0.02,0.00,0.00,0.00,83.00,0.50,0.04,73.00,0.44,0.03,9.00,0.05,0.03,1.00,0.01,0.02,92.00,0.55,0.04,67.00,0.40,0.03,6.00,0.04,0.03,1.00,0.01,0.03,85.00,0.51,0.04,73.00,0.44,0.03,8.00,0.05,0.02,0.00,0.00,0.00,60.00,0.36,0.04,89.00,0.54,0.03,13.00,0.08,0.02,4.00,0.02,0.05
NAYARIT,66.00,0.35,0.03,112.00,0.59,0.04,12.00,0.06,0.04,0.00,0.00,0.00,73.00,0.38,0.04,107.00,0.56,0.04,9.00,0.05,0.03,1.00,0.01,0.06,83.00,0.44,0.04,87.00,0.46,0.03,17.00,0.09,0.03,3.00,0.02,0.03,84.00,0.44,0.04,96.00,0.51,0.04,10.00,0.05,0.04,0.00,0.00,0.00,85.00,0.45,0.04,88.00,0.46,0.03,17.00,0.09,0.05,0.00,0.00,0.00,94.00,0.50,0.04,87.00,0.46,0.03,8.00,0.04,0.03,1.00,0.01,0.03,74.00,0.39,0.03,99.00,0.52,0.04,17.00,0.09,0.05,0.00,0.00,0.00,63.00,0.33,0.04,94.00,0.50,0.03,32.00,0.17,0.06,1.00,0.01,0.01
NUEVO LEÓN,13.00,0.41,0.01,16.00,0.50,0.01,3.00,0.09,0.01,0.00,0.00,0.00,11.00,0.34,0.01,18.00,0.56,0.01,3.00,0.09,0.01,0.00,0.00,0.00,14.00,0.44,0.01,15.00,0.47,0.01,3.00,0.09,0.01,0.00,0.00,0.00,11.00,0.34,0.01,18.00,0.56,0.01,3.00,0.09,0.01,0.00,0.00,0.00,12.00,0.38,0.01,18.00,0.56,0.01,2.00,0.06,0.01,0.00,0.00,0.00,17.00,0.53,0.01,14.00,0.44,0.01,1.00,0.03,0.00,0.00,0.00,0.00,14.00,0.44,0.01,13.00,0.41,0.01,5.00,0.16,0.02,0.00,0.00,0.00,10.00,0.31,0.01,17.00,0.53,0.01,5.00,0.16,0.01,0.00,0.00,0.00
PUEBLA,79.00,0.41,0.04,106.00,0.56,0.04,6.00,0.03,0.02,0.00,0.00,0.00,79.00,0.41,0.04,105.00,0.55,0.04,7.00,0.04,0.02,0.00,0.00,0.00,76.00,0.40,0.04,88.00,0.46,0.03,25.00,0.13,0.05,2.00,0.01,0.02,84.00,0.44,0.04,103.00,0.54,0.04,4.00,0.02,0.02,0.00,0.00,0.00,87.00,0.46,0.04,96.00,0.50,0.04,7.00,0.04,0.02,1.00,0.01,0.02,94.00,0.49,0.04,90.00,0.47,0.04,6.00,0.03,0.03,1.00,0.01,0.03,80.00,0.42,0.04,107.00,0.56,0.04,4.00,0.02,0.01,0.00,0.00,0.00,64.00,0.34,0.04,112.00,0.59,0.04,15.00,0.08,0.03,0.00,0.00,0.00
QUERÉTARO,63.00,0.26,0.03,142.00,0.59,0.05,34.00,0.14,0.10,2.00,0.01,0.13,69.00,0.29,0.03,142.00,0.59,0.05,28.00,0.12,0.10,2.00,0.01,0.12,80.00,0.33,0.04,111.00,0.46,0.04,38.00,0.16,0.07,12.00,0.05,0.12,80.00,0.33,0.04,131.00,0.54,0.05,26.00,0.11,0.10,4.00,0.02,0.12,77.00,0.32,0.04,119.00,0.49,0.04,38.00,0.16,0.10,7.00,0.03,0.13,88.00,0.37,0.04,121.00,0.50,0.05,28.00,0.12,0.12,4.00,0.02,0.10,78.00,0.32,0.04,133.00,0.55,0.05,26.00,0.11,0.08,4.00,0.02,0.14,66.00,0.27,0.04,132.00,0.55,0.05,35.00,0.15,0.06,8.00,0.03,0.10
QUINTANA ROO,66.00,0.33,0.03,122.00,0.60,0.04,14.00,0.07,0.04,0.00,0.00,0.00,64.00,0.32,0.03,123.00,0.61,0.04,15.00,0.07,0.05,0.00,0.00,0.00,75.00,0.37,0.04,100.00,0.50,0.04,24.00,0.12,0.04,3.00,0.02,0.03,80.00,0.40,0.04,106.00,0.53,0.04,10.00,0.05,0.04,6.00,0.03,0.18,75.00,0.37,0.03,107.00,0.53,0.04,13.00,0.06,0.04,7.00,0.04,0.13,85.00,0.42,0.03,110.00,0.55,0.04,7.00,0.04,0.03,0.00,0.00,0.00,69.00,0.34,0.03,113.00,0.56,0.04,18.00,0.09,0.06,2.00,0.01,0.07,48.00,0.24,0.03,126.00,0.62,0.04,22.00,0.11,0.04,6.00,0.03,0.08
SAN LUIS POTOSÍ,97.00,0.40,0.05,133.00,0.55,0.05,13.00,0.05,0.04,0.00,0.00,0.00,90.00,0.37,0.05,146.00,0.60,0.05,7.00,0.03,0.02,0.00,0.00,0.00,92.00,0.38,0.04,129.00,0.53,0.05,18.00,0.07,0.03,4.00,0.02,0.04,97.00,0.40,0.04,135.00,0.56,0.05,10.00,0.04,0.04,1.00,0.00,0.03,100.00,0.41,0.05,131.00,0.54,0.05,10.00,0.04,0.03,2.00,0.01,0.04,117.00,0.48,0.05,116.00,0.48,0.05,10.00,0.04,0.04,0.00,0.00,0.00,100.00,0.41,0.05,127.00,0.52,0.05,16.00,0.07,0.05,0.00,0.00,0.00,80.00,0.33,0.05,141.00,0.58,0.05,22.00,0.09,0.04,0.00,0.00,0.00
SINALOA,149.00,0.39,0.07,211.00,0.55,0.07,22.00,0.06,0.06,0.00,0.00,0.00,160.00,0.42,0.08,208.00,0.55,0.07,14.00,0.04,0.05,0.00,0.00,0.00,148.00,0.39,0.07,209.00,0.55,0.08,23.00,0.06,0.04,2.00,0.01,0.02,169.00,0.44,0.08,195.00,0.51,0.07,16.00,0.04,0.06,2.00,0.01,0.06,172.00,0.45,0.08,193.00,0.51,0.07,16.00,0.04,0.04,1.00,0.00,0.02,195.00,0.51,0.08,182.00,0.48,0.07,5.00,0.01,0.02,0.00,0.00,0.00,162.00,0.42,0.07,201.00,0.53,0.07,17.00,0.05,0.05,2.00,0.01,0.07,125.00,0.33,0.07,223.00,0.58,0.08,30.00,0.08,0.05,4.00,0.01,0.05
SONORA,76.00,0.45,0.04,84.00,0.50,0.03,8.00,0.05,0.02,0.00,0.00,0.00,70.00,0.42,0.04,93.00,0.55,0.03,4.00,0.02,0.01,1.00,0.01,0.06,76.00,0.45,0.04,75.00,0.45,0.03,15.00,0.09,0.03,2.00,0.01,0.02,91.00,0.54,0.04,66.00,0.39,0.02,11.00,0.07,0.04,0.00,0.00,0.00,85.00,0.51,0.04,71.00,0.42,0.03,10.00,0.06,0.03,2.00,0.01,0.04,102.00,0.61,0.04,62.00,0.37,0.02,4.00,0.02,0.02,0.00,0.00,0.00,80.00,0.48,0.04,80.00,0.48,0.03,7.00,0.04,0.02,1.00,0.01,0.04,62.00,0.37,0.04,93.00,0.55,0.03,12.00,0.07,0.02,1.00,0.01,0.01
TABASCO,19.00,0.30,0.01,42.00,0.66,0.01,3.00,0.05,0.01,0.00,0.00,0.00,25.00,0.39,0.01,35.00,0.55,0.01,4.00,0.06,0.01,0.00,0.00,0.00,20.00,0.31,0.01,33.00,0.52,0.01,9.00,0.14,0.02,2.00,0.03,0.02,24.00,0.38,0.01,39.00,0.61,0.01,1.00,0.02,0.00,0.00,0.00,0.00,25.00,0.39,0.01,34.00,0.53,0.01,4.00,0.06,0.01,1.00,0.02,0.02,30.00,0.47,0.01,31.00,0.48,0.01,3.00,0.05,0.01,0.00,0.00,0.00,24.00,0.38,0.01,36.00,0.56,0.01,4.00,0.06,0.01,0.00,0.00,0.00,20.00,0.31,0.01,36.00,0.56,0.01,6.00,0.09,0.01,2.00,0.03,0.03
