Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas
GUANAJUATO,240.00,0.95,0.05,14.00,0.06,0.03,206.00,0.81,0.05,48.00,0.19,0.04,186.00,0.73,0.05,68.00,0.27,0.04,245.00,0.97,0.05,9.00,0.04,0.02,189.00,0.74,0.05,65.00,0.26,0.04,146.00,0.58,0.05,108.00,0.43,0.04
GUERRERO,17.00,0.94,0.00,1.00,0.06,0.00,14.00,0.78,0.00,4.00,0.22,0.00,15.00,0.83,0.00,3.00,0.17,0.00,18.00,1.00,0.00,0.00,0.00,0.00,10.00,0.56,0.00,8.00,0.44,0.01,6.00,0.33,0.00,12.00,0.67,0.01
HIDALGO,159.00,0.90,0.03,18.00,0.10,0.04,120.00,0.68,0.03,57.00,0.32,0.04,132.00,0.75,0.04,45.00,0.25,0.03,161.00,0.91,0.03,16.00,0.09,0.04,106.00,0.60,0.03,71.00,0.40,0.05,86.00,0.49,0.03,91.00,0.51,0.04
JALISCO,166.00,0.91,0.03,17.00,0.09,0.04,153.00,0.84,0.04,30.00,0.16,0.02,107.00,0.59,0.03,76.00,0.42,0.04,166.00,0.91,0.03,17.00,0.09,0.04,165.00,0.90,0.04,18.00,0.10,0.01,106.00,0.58,0.04,77.00,0.42,0.03
MICHOACÁN,44.00,0.94,0.01,3.00,0.06,0.01,28.00,0.60,0.01,19.00,0.40,0.02,30.00,0.64,0.01,17.00,0.36,0.01,45.00,0.96,0.01,2.00,0.04,0.01,24.00,0.51,0.01,23.00,0.49,0.02,16.00,0.34,0.01,31.00,0.66,0.01
MORELOS,160.00,0.96,0.03,6.00,0.04,0.01,116.00,0.70,0.03,50.00,0.30,0.04,123.00,0.74,0.04,43.00,0.26,0.02,160.00,0.96,0.03,6.00,0.04,0.02,123.00,0.74,0.03,43.00,0.26,0.03,80.00,0.48,0.03,86.00,0.52,0.03
NAYARIT,169.00,0.89,0.04,20.00,0.11,0.04,159.00,0.84,0.04,30.00,0.16,0.02,121.00,0.64,0.03,68.00,0.36,0.04,178.00,0.94,0.04,11.00,0.06,0.03,148.00,0.78,0.04,41.00,0.22,0.03,97.00,0.51,0.04,92.00,0.49,0.04
NUEVO LEÓN,31.00,0.91,0.01,3.00,0.09,0.01,28.00,0.82,0.01,6.00,0.18,0.01,21.00,0.62,0.01,13.00,0.38,0.01,32.00,0.94,0.01,2.00,0.06,0.01,32.00,0.94,0.01,2.00,0.06,0.00,19.00,0.56,0.01,15.00,0.44,0.01
PUEBLA,179.00,0.94,0.04,12.00,0.06,0.03,136.00,0.71,0.03,55.00,0.29,0.04,144.00,0.75,0.04,47.00,0.25,0.03,182.00,0.95,0.04,9.00,0.05,0.02,123.00,0.64,0.03,68.00,0.36,0.04,103.00,0.54,0.04,88.00,0.46,0.03
QUERÉTARO,200.00,0.83,0.04,41.00,0.17,0.09,166.00,0.69,0.04,75.00,0.31,0.06,100.00,0.42,0.03,141.00,0.59,0.08,205.00,0.85,0.04,36.00,0.15,0.09,210.00,0.87,0.06,31.00,0.13,0.02,101.00,0.42,0.04,140.00,0.58,0.05
QUINTANA ROO,183.00,0.91,0.04,18.00,0.09,0.04,157.00,0.78,0.04,44.00,0.22,0.03,131.00,0.65,0.04,70.00,0.35,0.04,173.00,0.86,0.04,28.00,0.14,0.07,133.00,0.66,0.04,68.00,0.34,0.04,95.00,0.47,0.04,106.00,0.53,0.04
SAN LUIS POTOSÍ,223.00,0.92,0.05,20.00,0.08,0.04,184.00,0.76,0.05,59.00,0.24,0.05,179.00,0.74,0.05,64.00,0.26,0.04,222.00,0.91,0.05,21.00,0.09,0.05,150.00,0.62,0.04,93.00,0.38,0.06,131.00,0.54,0.05,112.00,0.46,0.04
SINALOA,364.00,0.96,0.08,17.00,0.05,0.04,337.00,0.89,0.08,44.00,0.12,0.03,273.00,0.72,0.08,108.00,0.28,0.06,356.00,0.93,0.07,25.00,0.07,0.06,263.00,0.69,0.07,118.00,0.31,0.08,172.00,0.45,0.06,209.00,0.55,0.08
SONORA,155.00,0.92,0.03,13.00,0.08,0.03,142.00,0.85,0.04,26.00,0.16,0.02,119.00,0.71,0.03,49.00,0.29,0.03,161.00,0.96,0.03,7.00,0.04,0.02,138.00,0.82,0.04,30.00,0.18,0.02,102.00,0.61,0.04,66.00,0.39,0.03
TABASCO,52.00,0.84,0.01,10.00,0.16,0.02,43.00,0.69,0.01,19.00,0.31,0.02,39.00,0.63,0.01,23.00,0.37,0.01,55.00,0.89,0.01,7.00,0.11,0.02,20.00,0.32,0.01,42.00,0.68,0.03,8.00,0.13,0.00,54.00,0.87,0.02
TAMAULIPAS,188.00,0.92,0.04,17.00,0.08,0.04,174.00,0.85,0.04,32.00,0.16,0.03,157.00,0.76,0.04,49.00,0.24,0.03,197.00,0.96,0.04,9.00,0.04,0.02,167.00,0.81,0.04,39.00,0.19,0.03,125.00,0.61,0.05,81.00,0.39,0.03
TLAXCALA,83.00,0.91,0.02,8.00,0.09,0.02,52.00,0.57,0.01,39.00,0.43,0.03,59.00,0.65,0.02,32.00,0.35,0.02,84.00,0.92,0.02,7.00,0.08,0.02,62.00,0.68,0.02,29.00,0.32,0.02,50.00,0.55,0.02,41.00,0.45,0.02
VERACRUZ,107.00,0.90,0.02,12.00,0.10,0.03,69.00,0.58,0.02,50.00,0.42,0.04,82.00,0.69,0.02,37.00,0.31,0.02,102.00,0.86,0.02,17.00,0.14,0.04,67.00,0.56,0.02,52.00,0.44,0.03,47.00,0.40,0.02,72.00,0.61,0.03
YUCATÁN,103.00,0.82,0.02,22.00,0.18,0.05,95.00,0.76,0.02,30.00,0.24,0.02,68.00,0.54,0.02,57.00,0.46,0.03,108.00,0.86,0.02,17.00,0.14,0.04,85.00,0.68,0.02,40.00,0.32,0.03,67.00,0.54,0.03,58.00,0.46,0.02
ZACATECAS,194.00,0.89,0.04,24.00,0.11,0.05,133.00,0.61,0.03,85.00,0.39,0.07,164.00,0.75,0.05,54.00,0.25,0.03,210.00,0.96,0.04,8.00,0.04,0.02,177.00,0.81,0.05,41.00,0.19,0.03,125.00,0.57,0.05,93.00,0.43,0.04
Hombre,205.00,0.89,0.04,25.00,0.11,0.05,178.00,0.77,0.04,52.00,0.23,0.04,158.00,0.69,0.04,72.00,0.31,0.04,205.00,0.89,0.04,25.00,0.11,0.06,149.00,0.65,0.04,81.00,0.35,0.05,123.00,0.54,0.05,107.00,0.47,0.04
Mujer,4670.00,0.91,0.96,441.00,0.09,0.95,3863.00,0.76,0.96,1249.00,0.24,0.96,3406.00,0.67,0.96,1706.00,0.33,0.96,4731.00,0.93,0.96,381.00,0.08,0.94,3634.00,0.71,0.96,1478.00,0.29,0.95,2599.00,0.51,0.96,2513.00,0.49,0.96
18 a 20 años,31.00,0.94,0.01,2.00,0.06,0.00,23.00,0.70,0.01,10.00,0.30,0.01,23.00,0.70,0.01,10.00,0.30,0.01,32.00,0.97,0.01,1.00,0.03,0.00,25.00,0.76,0.01,8.00,0.24,0.01,17.00,0.52,0.01,16.00,0.49,0.01
21 a 30 años,1063.00,0.91,0.22,103.00,0.09,0.22,949.00,0.81,0.24,217.00,0.19,0.17,799.00,0.69,0.22,367.00,0.32,0.21,1076.00,0.92,0.22,90.00,0.08,0.22,789.00,0.68,0.21,377.00,0.32,0.24,600.00,0.52,0.22,566.00,0.49,0.22
31 a 40 años,1694.00,0.91,0.35,174.00,0.09,0.37,1401.00,0.75,0.35,467.00,0.25,0.36,1161.00,0.62,0.33,707.00,0.38,0.40,1699.00,0.91,0.34,169.00,0.09,0.42,1329.00,0.71,0.35,539.00,0.29,0.35,929.00,0.50,0.34,939.00,0.50,0.36
41 a 50 años,1435.00,0.91,0.29,143.00,0.09,0.31,1147.00,0.73,0.28,431.00,0.27,0.33,1074.00,0.68,0.30,504.00,0.32,0.28,1462.00,0.93,0.30,116.00,0.07,0.29,1147.00,0.73,0.30,431.00,0.27,0.28,807.00,0.51,0.30,771.00,0.49,0.29
51 a 60 años,628.00,0.94,0.13,43.00,0.06,0.09,499.00,0.74,0.12,172.00,0.26,0.13,487.00,0.73,0.14,184.00,0.27,0.10,641.00,0.96,0.13,30.00,0.05,0.07,475.00,0.71,0.13,196.00,0.29,0.13,355.00,0.53,0.13,316.00,0.47,0.12
61 a 70 años,24.00,0.96,0.01,1.00,0.04,0.00,22.00,0.85,0.01,4.00,0.15,0.00,20.00,0.77,0.01,6.00,0.23,0.00,26.00,1.00,0.01,0.00,0.00,0.00,18.00,0.69,0.01,8.00,0.31,0.01,14.00,0.54,0.01,12.00,0.46,0.01
71 a 80 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",40.00,0.89,0.01,5.00,0.11,0.01,32.00,0.71,0.01,13.00,0.29,0.01,31.00,0.69,0.01,14.00,0.31,0.01,38.00,0.84,0.01,7.00,0.16,0.02,25.00,0.56,0.01,20.00,0.44,0.01,20.00,0.44,0.01,25.00,0.56,0.01
Normal básica sin licenciatura,128.00,0.93,0.03,10.00,0.07,0.02,116.00,0.84,0.03,23.00,0.17,0.02,99.00,0.71,0.03,40.00,0.29,0.02,130.00,0.94,0.03,9.00,0.07,0.02,102.00,0.73,0.03,37.00,0.27,0.02,69.00,0.50,0.03,70.00,0.50,0.03
Normal superior,66.00,0.89,0.01,8.00,0.11,0.02,54.00,0.73,0.01,20.00,0.27,0.02,51.00,0.69,0.01,23.00,0.31,0.01,69.00,0.93,0.01,5.00,0.07,0.01,42.00,0.57,0.01,32.00,0.43,0.02,36.00,0.49,0.01,38.00,0.51,0.02
Normal Intercultural Bilingüe,5.00,1.00,0.00,0.00,0.00,0.00,4.00,0.80,0.00,1.00,0.20,0.00,5.00,1.00,0.00,0.00,0.00,0.00,4.00,0.80,0.00,1.00,0.20,0.00,3.00,0.60,0.00,2.00,0.40,0.00,1.00,0.20,0.00,4.00,0.80,0.00
Licenciatura,3850.00,0.92,0.79,345.00,0.08,0.74,3194.00,0.76,0.79,1001.00,0.24,0.77,2853.00,0.68,0.80,1342.00,0.32,0.76,3894.00,0.93,0.79,301.00,0.07,0.74,2968.00,0.71,0.79,1227.00,0.29,0.79,2155.00,0.51,0.79,2040.00,0.49,0.78
Especialidad,20.00,0.91,0.00,2.00,0.09,0.00,16.00,0.73,0.00,6.00,0.27,0.01,16.00,0.73,0.00,6.00,0.27,0.00,20.00,0.91,0.00,2.00,0.09,0.01,15.00,0.68,0.00,7.00,0.32,0.00,13.00,0.59,0.01,9.00,0.41,0.00
Maestría,717.00,0.89,0.15,87.00,0.11,0.19,580.00,0.72,0.14,224.00,0.28,0.17,474.00,0.59,0.13,330.00,0.41,0.19,734.00,0.91,0.15,70.00,0.09,0.17,590.00,0.73,0.16,214.00,0.27,0.14,399.00,0.50,0.15,405.00,0.50,0.16
Doctorado,48.00,0.84,0.01,9.00,0.16,0.02,44.00,0.77,0.01,13.00,0.23,0.01,35.00,0.61,0.01,22.00,0.39,0.01,46.00,0.81,0.01,11.00,0.19,0.03,37.00,0.65,0.01,20.00,0.35,0.01,28.00,0.49,0.01,29.00,0.51,0.01
Posdoctorado,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Menor o igual a 10,1690.00,0.91,0.35,177.00,0.10,0.38,1497.00,0.80,0.37,370.00,0.20,0.28,1226.00,0.66,0.34,641.00,0.34,0.36,1697.00,0.91,0.34,170.00,0.09,0.42,1258.00,0.67,0.33,609.00,0.33,0.39,923.00,0.49,0.34,944.00,0.51,0.36
11 a 20,1775.00,0.91,0.36,172.00,0.09,0.37,1443.00,0.74,0.36,504.00,0.26,0.39,1258.00,0.65,0.35,689.00,0.35,0.39,1798.00,0.92,0.36,149.00,0.08,0.37,1419.00,0.73,0.38,528.00,0.27,0.34,990.00,0.51,0.36,957.00,0.49,0.37
21 a 30,1410.00,0.92,0.29,117.00,0.08,0.25,1101.00,0.72,0.27,427.00,0.28,0.33,1080.00,0.71,0.30,448.00,0.29,0.25,1441.00,0.94,0.29,87.00,0.06,0.21,1106.00,0.72,0.29,422.00,0.28,0.27,809.00,0.53,0.30,719.00,0.47,0.27
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mayor o igual a 51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Definitivo o base,4520.00,0.91,0.93,444.00,0.09,0.95,3723.00,0.75,0.92,1242.00,0.25,0.96,3262.00,0.66,0.92,1703.00,0.34,0.96,4584.00,0.92,0.93,381.00,0.08,0.94,3503.00,0.71,0.93,1462.00,0.29,0.94,2508.00,0.51,0.92,2457.00,0.50,0.94
Interino,151.00,0.96,0.03,7.00,0.04,0.02,138.00,0.87,0.03,20.00,0.13,0.02,135.00,0.85,0.04,23.00,0.15,0.01,152.00,0.96,0.03,6.00,0.04,0.02,122.00,0.77,0.03,36.00,0.23,0.02,99.00,0.63,0.04,59.00,0.37,0.02
Tiempo fijo,90.00,0.96,0.02,4.00,0.04,0.01,82.00,0.87,0.02,12.00,0.13,0.01,72.00,0.77,0.02,22.00,0.23,0.01,90.00,0.96,0.02,4.00,0.04,0.01,76.00,0.81,0.02,18.00,0.19,0.01,54.00,0.57,0.02,40.00,0.43,0.02
No tengo nombramiento,29.00,0.91,0.01,3.00,0.09,0.01,25.00,0.78,0.01,7.00,0.22,0.01,24.00,0.75,0.01,8.00,0.25,0.00,27.00,0.84,0.01,5.00,0.16,0.01,17.00,0.53,0.00,15.00,0.47,0.01,12.00,0.38,0.00,20.00,0.63,0.01
Otro,85.00,0.91,0.02,8.00,0.09,0.02,73.00,0.79,0.02,20.00,0.22,0.02,71.00,0.76,0.02,22.00,0.24,0.01,83.00,0.89,0.02,10.00,0.11,0.03,65.00,0.70,0.02,28.00,0.30,0.02,49.00,0.53,0.02,44.00,0.47,0.02
GENERAL PÚBLICA,4578.00,0.91,0.94,444.00,0.09,0.95,3834.00,0.76,0.95,1189.00,0.24,0.91,3321.00,0.66,0.93,1702.00,0.34,0.96,4664.00,0.93,0.95,359.00,0.07,0.88,3663.00,0.73,0.97,1360.00,0.27,0.87,2621.00,0.52,0.96,2402.00,0.48,0.92
INDÍGENAS,297.00,0.93,0.06,22.00,0.07,0.05,207.00,0.65,0.05,112.00,0.35,0.09,243.00,0.76,0.07,76.00,0.24,0.04,272.00,0.85,0.06,47.00,0.15,0.12,120.00,0.38,0.03,199.00,0.62,0.13,101.00,0.32,0.04,218.00,0.68,0.08
Total,4875.00,0.91,1.00,466.00,0.09,1.00,4041.00,0.76,1.00,1301.00,0.24,1.00,3564.00,0.67,1.00,1778.00,0.33,1.00,4936.00,0.92,1.00,406.00,0.08,1.00,3783.00,0.71,1.00,1559.00,0.29,1.00,2722.00,0.51,1.00,2620.00,0.49,1.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
