Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas
PUEBLA,128.00,0.67,0.04,63.00,0.33,0.03,141.00,0.74,0.04,50.00,0.26,0.03,145.00,0.76,0.04,46.00,0.24,0.03,161.00,0.84,0.04,30.00,0.16,0.03,158.00,0.83,0.04,33.00,0.17,0.03,149.00,0.78,0.04,42.00,0.22,0.03,145.00,0.76,0.04,46.00,0.24,0.04
QUERÉTARO,144.00,0.60,0.04,97.00,0.40,0.05,158.00,0.66,0.04,83.00,0.34,0.05,171.00,0.71,0.05,70.00,0.29,0.05,202.00,0.84,0.05,39.00,0.16,0.04,181.00,0.75,0.04,60.00,0.25,0.05,186.00,0.77,0.05,55.00,0.23,0.04,178.00,0.74,0.04,63.00,0.26,0.05
QUINTANA ROO,120.00,0.59,0.04,85.00,0.42,0.04,125.00,0.61,0.04,80.00,0.39,0.05,147.00,0.72,0.04,58.00,0.28,0.04,167.00,0.82,0.04,38.00,0.19,0.04,162.00,0.79,0.04,43.00,0.21,0.04,148.00,0.72,0.04,57.00,0.28,0.04,164.00,0.80,0.04,41.00,0.20,0.03
SAN LUIS POTOSÍ,179.00,0.73,0.05,65.00,0.27,0.03,180.00,0.74,0.05,64.00,0.26,0.04,192.00,0.79,0.05,52.00,0.21,0.03,208.00,0.85,0.05,36.00,0.15,0.04,202.00,0.83,0.05,42.00,0.17,0.04,185.00,0.76,0.05,59.00,0.24,0.05,189.00,0.78,0.05,55.00,0.23,0.04
SINALOA,259.00,0.68,0.08,122.00,0.32,0.06,274.00,0.72,0.08,107.00,0.28,0.06,279.00,0.73,0.07,102.00,0.27,0.07,315.00,0.83,0.07,66.00,0.17,0.07,294.00,0.77,0.07,87.00,0.23,0.07,291.00,0.76,0.07,90.00,0.24,0.07,305.00,0.80,0.07,76.00,0.20,0.06
SONORA,103.00,0.61,0.03,65.00,0.39,0.03,113.00,0.67,0.03,55.00,0.33,0.03,123.00,0.73,0.03,45.00,0.27,0.03,141.00,0.84,0.03,27.00,0.16,0.03,132.00,0.79,0.03,36.00,0.21,0.03,127.00,0.76,0.03,41.00,0.24,0.03,137.00,0.82,0.03,31.00,0.19,0.03
TABASCO,41.00,0.66,0.01,21.00,0.34,0.01,46.00,0.74,0.01,16.00,0.26,0.01,45.00,0.73,0.01,17.00,0.27,0.01,53.00,0.86,0.01,9.00,0.15,0.01,49.00,0.79,0.01,13.00,0.21,0.01,46.00,0.74,0.01,16.00,0.26,0.01,47.00,0.76,0.01,15.00,0.24,0.01
TAMAULIPAS,125.00,0.60,0.04,83.00,0.40,0.04,137.00,0.66,0.04,71.00,0.34,0.04,137.00,0.66,0.04,71.00,0.34,0.05,158.00,0.76,0.04,50.00,0.24,0.05,150.00,0.72,0.04,58.00,0.28,0.05,154.00,0.74,0.04,54.00,0.26,0.04,152.00,0.73,0.04,56.00,0.27,0.05
TLAXCALA,61.00,0.68,0.02,29.00,0.32,0.01,65.00,0.72,0.02,25.00,0.28,0.01,62.00,0.69,0.02,28.00,0.31,0.02,67.00,0.74,0.02,23.00,0.26,0.02,66.00,0.73,0.02,24.00,0.27,0.02,61.00,0.68,0.02,29.00,0.32,0.02,67.00,0.74,0.02,23.00,0.26,0.02
VERACRUZ,74.00,0.62,0.02,45.00,0.38,0.02,80.00,0.67,0.02,39.00,0.33,0.02,87.00,0.73,0.02,32.00,0.27,0.02,94.00,0.79,0.02,25.00,0.21,0.03,91.00,0.77,0.02,28.00,0.24,0.02,91.00,0.77,0.02,28.00,0.24,0.02,91.00,0.77,0.02,28.00,0.24,0.02
YUCATÁN,71.00,0.57,0.02,54.00,0.43,0.03,71.00,0.57,0.02,54.00,0.43,0.03,75.00,0.60,0.02,50.00,0.40,0.03,97.00,0.78,0.02,28.00,0.22,0.03,97.00,0.78,0.02,28.00,0.22,0.02,92.00,0.74,0.02,33.00,0.26,0.03,91.00,0.73,0.02,34.00,0.27,0.03
ZACATECAS,144.00,0.66,0.04,75.00,0.34,0.04,151.00,0.69,0.04,68.00,0.31,0.04,155.00,0.71,0.04,64.00,0.29,0.04,190.00,0.87,0.04,29.00,0.13,0.03,183.00,0.84,0.04,36.00,0.16,0.03,180.00,0.82,0.05,39.00,0.18,0.03,189.00,0.86,0.05,30.00,0.14,0.02
Hombre,168.00,0.73,0.05,63.00,0.27,0.03,177.00,0.77,0.05,54.00,0.23,0.03,166.00,0.72,0.04,65.00,0.28,0.04,195.00,0.84,0.05,36.00,0.16,0.04,187.00,0.81,0.05,44.00,0.19,0.04,189.00,0.82,0.05,42.00,0.18,0.03,191.00,0.83,0.05,40.00,0.17,0.03
Mujer,3151.00,0.62,0.95,1959.00,0.38,0.97,3380.00,0.66,0.95,1730.00,0.34,0.97,3632.00,0.71,0.96,1478.00,0.29,0.96,4169.00,0.82,0.96,941.00,0.18,0.96,3973.00,0.78,0.96,1137.00,0.22,0.96,3849.00,0.75,0.95,1261.00,0.25,0.97,3910.00,0.77,0.95,1200.00,0.24,0.97
18 a 20 años,27.00,0.82,0.01,6.00,0.18,0.00,28.00,0.85,0.01,5.00,0.15,0.00,23.00,0.70,0.01,10.00,0.30,0.01,24.00,0.73,0.01,9.00,0.27,0.01,26.00,0.79,0.01,7.00,0.21,0.01,28.00,0.85,0.01,5.00,0.15,0.00,26.00,0.79,0.01,7.00,0.21,0.01
21 a 30 años,718.00,0.62,0.22,444.00,0.38,0.22,755.00,0.65,0.21,407.00,0.35,0.23,814.00,0.70,0.21,348.00,0.30,0.23,931.00,0.80,0.21,231.00,0.20,0.24,875.00,0.75,0.21,287.00,0.25,0.24,850.00,0.73,0.21,312.00,0.27,0.24,855.00,0.74,0.21,307.00,0.26,0.25
31 a 40 años,1074.00,0.57,0.32,796.00,0.43,0.39,1166.00,0.62,0.33,704.00,0.38,0.40,1330.00,0.71,0.35,540.00,0.29,0.35,1519.00,0.81,0.35,351.00,0.19,0.36,1418.00,0.76,0.34,452.00,0.24,0.38,1356.00,0.73,0.34,514.00,0.28,0.39,1397.00,0.75,0.34,473.00,0.25,0.38
41 a 50 años,1035.00,0.66,0.31,543.00,0.34,0.27,1096.00,0.70,0.31,482.00,0.31,0.27,1115.00,0.71,0.29,463.00,0.29,0.30,1301.00,0.82,0.30,277.00,0.18,0.28,1275.00,0.81,0.31,303.00,0.19,0.26,1245.00,0.79,0.31,333.00,0.21,0.26,1269.00,0.80,0.31,309.00,0.20,0.25
51 a 60 años,448.00,0.67,0.14,224.00,0.33,0.11,493.00,0.73,0.14,179.00,0.27,0.10,495.00,0.74,0.13,177.00,0.26,0.12,567.00,0.84,0.13,105.00,0.16,0.11,546.00,0.81,0.13,126.00,0.19,0.11,539.00,0.80,0.13,133.00,0.20,0.10,535.00,0.80,0.13,137.00,0.20,0.11
61 a 70 años,17.00,0.65,0.01,9.00,0.35,0.00,19.00,0.73,0.01,7.00,0.27,0.00,21.00,0.81,0.01,5.00,0.19,0.00,22.00,0.85,0.01,4.00,0.15,0.00,20.00,0.77,0.01,6.00,0.23,0.01,20.00,0.77,0.01,6.00,0.23,0.01,19.00,0.73,0.01,7.00,0.27,0.01
71 a 80 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",32.00,0.71,0.01,13.00,0.29,0.01,33.00,0.73,0.01,12.00,0.27,0.01,31.00,0.69,0.01,14.00,0.31,0.01,38.00,0.84,0.01,7.00,0.16,0.01,37.00,0.82,0.01,8.00,0.18,0.01,36.00,0.80,0.01,9.00,0.20,0.01,39.00,0.87,0.01,6.00,0.13,0.01
Normal básica sin licenciatura,102.00,0.73,0.03,37.00,0.27,0.02,104.00,0.75,0.03,35.00,0.25,0.02,99.00,0.71,0.03,40.00,0.29,0.03,120.00,0.86,0.03,19.00,0.14,0.02,118.00,0.85,0.03,21.00,0.15,0.02,116.00,0.84,0.03,23.00,0.17,0.02,114.00,0.82,0.03,25.00,0.18,0.02
Normal superior,46.00,0.63,0.01,27.00,0.37,0.01,54.00,0.74,0.02,19.00,0.26,0.01,57.00,0.78,0.02,16.00,0.22,0.01,59.00,0.81,0.01,14.00,0.19,0.01,54.00,0.74,0.01,19.00,0.26,0.02,52.00,0.71,0.01,21.00,0.29,0.02,58.00,0.80,0.01,15.00,0.21,0.01
Normal Intercultural Bilingüe,3.00,0.60,0.00,2.00,0.40,0.00,3.00,0.60,0.00,2.00,0.40,0.00,2.00,0.40,0.00,3.00,0.60,0.00,4.00,0.80,0.00,1.00,0.20,0.00,3.00,0.60,0.00,2.00,0.40,0.00,3.00,0.60,0.00,2.00,0.40,0.00,3.00,0.60,0.00,2.00,0.40,0.00
Licenciatura,2612.00,0.62,0.79,1585.00,0.38,0.78,2778.00,0.66,0.78,1419.00,0.34,0.80,2990.00,0.71,0.79,1207.00,0.29,0.78,3410.00,0.81,0.78,787.00,0.19,0.81,3254.00,0.78,0.78,943.00,0.23,0.80,3162.00,0.75,0.78,1035.00,0.25,0.79,3209.00,0.77,0.78,988.00,0.24,0.80
Especialidad,15.00,0.68,0.01,7.00,0.32,0.00,15.00,0.68,0.00,7.00,0.32,0.00,13.00,0.59,0.00,9.00,0.41,0.01,18.00,0.82,0.00,4.00,0.18,0.00,16.00,0.73,0.00,6.00,0.27,0.01,17.00,0.77,0.00,5.00,0.23,0.00,17.00,0.77,0.00,5.00,0.23,0.00
Maestría,469.00,0.59,0.14,333.00,0.42,0.17,529.00,0.66,0.15,273.00,0.34,0.15,564.00,0.70,0.15,238.00,0.30,0.15,666.00,0.83,0.15,136.00,0.17,0.14,632.00,0.79,0.15,170.00,0.21,0.14,610.00,0.76,0.15,192.00,0.24,0.15,614.00,0.77,0.15,188.00,0.23,0.15
Doctorado,39.00,0.68,0.01,18.00,0.32,0.01,40.00,0.70,0.01,17.00,0.30,0.01,41.00,0.72,0.01,16.00,0.28,0.01,48.00,0.84,0.01,9.00,0.16,0.01,45.00,0.79,0.01,12.00,0.21,0.01,41.00,0.72,0.01,16.00,0.28,0.01,46.00,0.81,0.01,11.00,0.19,0.01
Posdoctorado,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Menor o igual a 10,1107.00,0.59,0.33,757.00,0.41,0.37,1163.00,0.62,0.33,701.00,0.38,0.39,1309.00,0.70,0.35,555.00,0.30,0.36,1495.00,0.80,0.34,369.00,0.20,0.38,1376.00,0.74,0.33,488.00,0.26,0.41,1326.00,0.71,0.33,538.00,0.29,0.41,1327.00,0.71,0.32,537.00,0.29,0.43
11 a 20,1178.00,0.61,0.36,770.00,0.40,0.38,1290.00,0.66,0.36,658.00,0.34,0.37,1374.00,0.71,0.36,574.00,0.30,0.37,1583.00,0.81,0.36,365.00,0.19,0.37,1533.00,0.79,0.37,415.00,0.21,0.35,1475.00,0.76,0.37,473.00,0.24,0.36,1520.00,0.78,0.37,428.00,0.22,0.35
21 a 30,1034.00,0.68,0.31,495.00,0.32,0.25,1104.00,0.72,0.31,425.00,0.28,0.24,1115.00,0.73,0.29,414.00,0.27,0.27,1286.00,0.84,0.30,243.00,0.16,0.25,1251.00,0.82,0.30,278.00,0.18,0.24,1237.00,0.81,0.31,292.00,0.19,0.22,1254.00,0.82,0.31,275.00,0.18,0.22
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mayor o igual a 51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Definitivo o base,3080.00,0.62,0.93,1885.00,0.38,0.93,3298.00,0.66,0.93,1667.00,0.34,0.93,3530.00,0.71,0.93,1435.00,0.29,0.93,4073.00,0.82,0.93,892.00,0.18,0.91,3881.00,0.78,0.93,1084.00,0.22,0.92,3755.00,0.76,0.93,1210.00,0.24,0.93,3823.00,0.77,0.93,1142.00,0.23,0.92
Interino,100.00,0.63,0.03,59.00,0.37,0.03,108.00,0.68,0.03,51.00,0.32,0.03,110.00,0.69,0.03,49.00,0.31,0.03,127.00,0.80,0.03,32.00,0.20,0.03,120.00,0.76,0.03,39.00,0.25,0.03,114.00,0.72,0.03,45.00,0.28,0.04,116.00,0.73,0.03,43.00,0.27,0.04
Tiempo fijo,58.00,0.63,0.02,34.00,0.37,0.02,61.00,0.66,0.02,31.00,0.34,0.02,66.00,0.72,0.02,26.00,0.28,0.02,64.00,0.70,0.02,28.00,0.30,0.03,62.00,0.67,0.02,30.00,0.33,0.03,71.00,0.77,0.02,21.00,0.23,0.02,70.00,0.76,0.02,22.00,0.24,0.02
No tengo nombramiento,23.00,0.72,0.01,9.00,0.28,0.00,27.00,0.84,0.01,5.00,0.16,0.00,25.00,0.78,0.01,7.00,0.22,0.01,26.00,0.81,0.01,6.00,0.19,0.01,25.00,0.78,0.01,7.00,0.22,0.01,29.00,0.91,0.01,3.00,0.09,0.00,27.00,0.84,0.01,5.00,0.16,0.00
Otro,58.00,0.62,0.02,35.00,0.38,0.02,63.00,0.68,0.02,30.00,0.32,0.02,67.00,0.72,0.02,26.00,0.28,0.02,74.00,0.80,0.02,19.00,0.20,0.02,72.00,0.77,0.02,21.00,0.23,0.02,69.00,0.74,0.02,24.00,0.26,0.02,65.00,0.70,0.02,28.00,0.30,0.02
GENERAL PÚBLICA,3108.00,0.62,0.94,1915.00,0.38,0.95,3328.00,0.66,0.94,1695.00,0.34,0.95,3544.00,0.71,0.93,1479.00,0.29,0.96,4096.00,0.82,0.94,927.00,0.19,0.95,3901.00,0.78,0.94,1122.00,0.22,0.95,3787.00,0.75,0.94,1236.00,0.25,0.95,3844.00,0.77,0.94,1179.00,0.24,0.95
INDÍGENAS,211.00,0.66,0.06,107.00,0.34,0.05,229.00,0.72,0.06,89.00,0.28,0.05,254.00,0.80,0.07,64.00,0.20,0.04,268.00,0.84,0.06,50.00,0.16,0.05,259.00,0.81,0.06,59.00,0.19,0.05,251.00,0.79,0.06,67.00,0.21,0.05,257.00,0.81,0.06,61.00,0.19,0.05
Total,3319.00,0.62,1.00,2022.00,0.38,1.00,3557.00,0.67,1.00,1784.00,0.33,1.00,3798.00,0.71,1.00,1543.00,0.29,1.00,4364.00,0.82,1.00,977.00,0.18,1.00,4160.00,0.78,1.00,1181.00,0.22,1.00,4038.00,0.76,1.00,1303.00,0.24,1.00,4101.00,0.77,1.00,1240.00,0.23,1.00
