Entidad,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
ESTADO DE MÉXICO,265.00,0.53,0.04,157.00,0.32,0.04,72.00,0.15,0.05,3.00,0.01,0.05,269.00,0.54,0.04,172.00,0.35,0.05,54.00,0.11,0.07,2.00,0.00,0.06,81.00,0.16,0.05,99.00,0.20,0.06,202.00,0.41,0.04,115.00,0.23,0.03,184.00,0.37,0.03,197.00,0.40,0.05,106.00,0.21,0.06,10.00,0.02,0.09,204.00,0.41,0.04,218.00,0.44,0.05,68.00,0.14,0.05,7.00,0.01,0.07,59.00,0.12,0.05,104.00,0.21,0.06,190.00,0.38,0.04,144.00,0.29,0.04,191.00,0.38,0.04,205.00,0.41,0.05,91.00,0.18,0.05,10.00,0.02,0.05,201.00,0.40,0.04,207.00,0.42,0.04,85.00,0.17,0.05,4.00,0.01,0.03,230.00,0.46,0.04,202.00,0.41,0.04,61.00,0.12,0.06,4.00,0.01,0.06,229.00,0.46,0.04,205.00,0.41,0.05,59.00,0.12,0.05,4.00,0.01,0.05,216.00,0.44,0.04,207.00,0.42,0.05,66.00,0.13,0.05,8.00,0.02,0.07
GUANAJUATO,243.00,i,0.04,107.00,0.29,0.03,21.00,0.06,0.02,0.00,0.00,0.00,245.00,0.66,0.04,118.00,0.32,0.03,8.00,0.02,0.01,0.00,0.00,0.00,48.00,0.13,0.03,44.00,0.12,0.03,155.00,0.42,0.03,124.00,0.33,0.04,206.00,0.56,0.04,121.00,0.33,0.03,44.00,0.12,0.03,0.00,0.00,0.00,222.00,0.60,0.04,122.00,0.33,0.03,25.00,0.07,0.02,2.00,0.01,0.02,37.00,0.10,0.03,50.00,0.14,0.03,127.00,0.34,0.03,157.00,0.42,0.04,196.00,0.53,0.04,133.00,0.36,0.03,40.00,0.11,0.02,2.00,0.01,0.01,180.00,0.49,0.04,153.00,0.41,0.03,37.00,0.10,0.02,1.00,0.00,0.01,194.00,0.52,0.04,148.00,0.40,0.03,28.00,0.08,0.03,1.00,0.00,0.01,211.00,0.57,0.04,132.00,0.36,0.03,27.00,0.07,0.02,1.00,0.00,0.01,204.00,0.55,0.04,129.00,0.35,0.03,37.00,0.10,0.03,1.00,0.00,0.01
GUERRERO,12.00,0.60,0.00,6.00,0.30,0.00,2.00,0.10,0.00,0.00,0.00,0.00,9.00,0.45,0.00,10.00,0.50,0.00,1.00,0.05,0.00,0.00,0.00,0.00,3.00,0.15,0.00,4.00,0.20,0.00,8.00,0.40,0.00,5.00,0.25,0.00,9.00,0.45,0.00,5.00,0.25,0.00,6.00,0.30,0.00,0.00,0.00,0.00,7.00,0.35,0.00,7.00,0.35,0.00,6.00,0.30,0.00,0.00,0.00,0.00,1.00,0.05,0.00,2.00,0.10,0.00,9.00,0.45,0.00,8.00,0.40,0.00,7.00,0.35,0.00,7.00,0.35,0.00,6.00,0.30,0.00,0.00,0.00,0.00,6.00,0.30,0.00,8.00,0.40,0.00,5.00,0.25,0.00,1.00,0.05,0.01,8.00,0.40,0.00,9.00,0.45,0.00,3.00,0.15,0.00,0.00,0.00,0.00,9.00,0.45,0.00,6.00,0.30,0.00,5.00,0.25,0.00,0.00,0.00,0.00,10.00,0.50,0.00,4.00,0.20,0.00,6.00,0.30,0.01,0.00,0.00,0.00
HIDALGO,179.00,0.55,0.03,106.00,0.32,0.03,42.00,0.13,0.03,1.00,0.00,0.02,214.00,0.65,0.03,95.00,0.29,0.03,19.00,0.06,0.02,0.00,0.00,0.00,30.00,0.09,0.02,50.00,0.15,0.03,155.00,0.47,0.03,93.00,0.28,0.03,154.00,0.47,0.03,110.00,0.34,0.03,62.00,0.19,0.04,2.00,0.01,0.02,158.00,0.48,0.03,124.00,0.38,0.03,42.00,0.13,0.03,4.00,0.01,0.04,43.00,0.13,0.03,36.00,0.11,0.02,138.00,0.42,0.03,111.00,0.34,0.03,151.00,0.46,0.03,121.00,0.37,0.03,46.00,0.14,0.03,10.00,0.03,0.05,143.00,0.44,0.03,133.00,0.41,0.03,47.00,0.14,0.03,5.00,0.02,0.04,168.00,0.51,0.03,128.00,0.39,0.03,31.00,0.10,0.03,1.00,0.00,0.01,162.00,0.49,0.03,131.00,0.40,0.03,29.00,0.09,0.03,6.00,0.02,0.07,163.00,0.50,0.03,132.00,0.40,0.03,29.00,0.09,0.02,4.00,0.01,0.03
JALISCO,120.00,0.50,0.02,88.00,0.37,0.02,29.00,0.12,0.02,1.00,0.00,0.02,139.00,0.58,0.02,83.00,0.35,0.02,15.00,0.06,0.02,1.00,0.00,0.03,30.00,0.13,0.02,31.00,0.13,0.02,109.00,0.46,0.02,68.00,0.29,0.02,127.00,0.53,0.02,75.00,0.32,0.02,36.00,0.15,0.02,0.00,0.00,0.00,130.00,0.55,0.02,80.00,0.34,0.02,27.00,0.11,0.02,1.00,0.00,0.01,23.00,0.10,0.02,30.00,0.13,0.02,95.00,0.40,0.02,90.00,0.38,0.02,113.00,0.48,0.02,84.00,0.35,0.02,37.00,0.16,0.02,4.00,0.02,0.02,97.00,0.41,0.02,103.00,0.43,0.02,33.00,0.14,0.02,5.00,0.02,0.04,140.00,0.59,0.03,70.00,0.29,0.02,26.00,0.11,0.02,2.00,0.01,0.03,129.00,0.54,0.02,82.00,0.35,0.02,24.00,0.10,0.02,3.00,0.01,0.04,121.00,0.51,0.02,89.00,0.37,0.02,26.00,0.11,0.02,2.00,0.01,0.02
MICHOACÁN,19.00,0.51,0.00,11.00,0.30,0.00,7.00,0.19,0.01,0.00,0.00,0.00,16.00,0.43,0.00,18.00,0.49,0.01,3.00,0.08,0.00,0.00,0.00,0.00,2.00,0.05,0.00,2.00,0.05,0.00,11.00,0.30,0.00,22.00,0.60,0.01,16.00,0.43,0.00,11.00,0.30,0.00,9.00,0.24,0.01,1.00,0.03,0.01,14.00,0.38,0.00,17.00,0.46,0.00,6.00,0.16,0.00,0.00,0.00,0.00,2.00,0.05,0.00,2.00,0.05,0.00,11.00,0.30,0.00,22.00,0.60,0.01,17.00,0.46,0.00,13.00,0.35,0.00,5.00,0.14,0.00,2.00,0.05,0.01,17.00,0.46,0.00,15.00,0.41,0.00,5.00,0.14,0.00,0.00,0.00,0.00,17.00,0.46,0.00,15.00,0.41,0.00,5.00,0.14,0.01,0.00,0.00,0.00,16.00,0.43,0.00,14.00,0.38,0.00,7.00,0.19,0.01,0.00,0.00,0.00,15.00,0.41,0.00,17.00,0.46,0.00,5.00,0.14,0.00,0.00,0.00,0.00
MORELOS,189.00,0.53,0.03,123.00,0.34,0.03,44.00,0.12,0.03,3.00,0.01,0.05,201.00,0.56,0.03,134.00,0.37,0.04,21.00,0.06,0.03,3.00,0.01,0.08,38.00,0.11,0.03,56.00,0.16,0.03,169.00,0.47,0.04,96.00,0.27,0.03,154.00,0.43,0.03,143.00,0.40,0.03,56.00,0.16,0.03,6.00,0.02,0.06,145.00,0.40,0.03,157.00,0.44,0.04,51.00,0.14,0.04,6.00,0.02,0.06,33.00,0.09,0.03,60.00,0.17,0.03,147.00,0.41,0.03,119.00,0.33,0.03,144.00,0.40,0.03,141.00,0.39,0.03,65.00,0.18,0.04,9.00,0.03,0.04,151.00,0.42,0.03,142.00,0.40,0.03,59.00,0.16,0.04,7.00,0.02,0.05,160.00,0.45,0.03,158.00,0.44,0.03,39.00,0.11,0.04,2.00,0.01,0.03,180.00,0.50,0.03,133.00,0.37,0.03,40.00,0.11,0.04,6.00,0.02,0.07,165.00,0.46,0.03,146.00,0.41,0.03,46.00,0.13,0.04,2.00,0.01,0.02
NAYARIT,232.00,0.52,0.04,139.00,0.31,0.04,74.00,0.17,0.05,1.00,0.00,0.02,257.00,0.58,0.04,139.00,0.31,0.04,48.00,0.11,0.06,2.00,0.00,0.06,58.00,0.13,0.04,62.00,0.14,0.04,184.00,0.41,0.04,142.00,0.32,0.04,192.00,0.43,0.04,164.00,0.37,0.04,85.00,0.19,0.05,5.00,0.01,0.05,191.00,0.43,0.04,181.00,0.41,0.04,70.00,0.16,0.05,4.00,0.01,0.04,49.00,0.11,0.04,59.00,0.13,0.03,179.00,0.40,0.04,159.00,0.36,0.04,188.00,0.42,0.04,162.00,0.36,0.04,84.00,0.19,0.05,12.00,0.03,0.06,179.00,0.40,0.04,183.00,0.41,0.04,77.00,0.17,0.05,7.00,0.02,0.05,216.00,0.48,0.04,177.00,0.40,0.04,52.00,0.12,0.05,1.00,0.00,0.01,228.00,0.51,0.04,163.00,0.37,0.04,54.00,0.12,0.05,1.00,0.00,0.01,219.00,0.49,0.04,166.00,0.37,0.04,58.00,0.13,0.04,3.00,0.01,0.02
NUEVO LEÓN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUEBLA,216.00,0.55,0.03,132.00,0.34,0.04,43.00,0.11,0.03,2.00,0.01,0.03,238.00,0.61,0.04,134.00,0.34,0.04,19.00,0.05,0.02,2.00,0.01,0.06,24.00,0.06,0.02,53.00,0.14,0.03,165.00,0.42,0.03,151.00,0.38,0.04,178.00,0.45,0.03,155.00,0.39,0.04,58.00,0.15,0.03,2.00,0.01,0.02,175.00,0.45,0.03,164.00,0.42,0.04,50.00,0.13,0.04,4.00,0.01,0.04,31.00,0.08,0.03,51.00,0.13,0.03,134.00,0.34,0.03,177.00,0.45,0.04,188.00,0.48,0.04,148.00,0.38,0.03,50.00,0.13,0.03,7.00,0.02,0.03,194.00,0.49,0.04,150.00,0.38,0.03,46.00,0.12,0.03,3.00,0.01,0.02,218.00,0.56,0.04,138.00,0.35,0.03,34.00,0.09,0.03,3.00,0.01,0.04,207.00,0.53,0.04,153.00,0.39,0.04,31.00,0.08,0.03,2.00,0.01,0.02,218.00,0.56,0.04,132.00,0.34,0.03,41.00,0.10,0.03,2.00,0.01,0.02
QUERÉTARO,297.00,0.58,0.05,153.00,0.30,0.04,60.00,0.12,0.04,3.00,0.01,0.05,335.00,0.65,0.05,147.00,0.29,0.04,29.00,0.06,0.04,2.00,0.00,0.06,42.00,0.08,0.03,71.00,0.14,0.04,211.00,0.41,0.04,189.00,0.37,0.06,243.00,0.47,0.05,192.00,0.37,0.05,75.00,0.15,0.04,3.00,0.01,0.03,229.00,0.45,0.04,218.00,0.43,0.05,61.00,0.12,0.04,5.00,0.01,0.05,42.00,0.08,0.03,72.00,0.14,0.04,199.00,0.39,0.05,200.00,0.39,0.05,228.00,0.44,0.04,206.00,0.40,0.05,73.00,0.14,0.04,6.00,0.01,0.03,213.00,0.42,0.04,230.00,0.45,0.05,66.00,0.13,0.04,4.00,0.01,0.03,251.00,0.49,0.05,218.00,0.43,0.05,42.00,0.08,0.04,2.00,0.00,0.03,263.00,0.51,0.05,199.00,0.39,0.05,47.00,0.09,0.04,4.00,0.01,0.05,255.00,0.50,0.05,198.00,0.39,0.05,55.00,0.11,0.04,5.00,0.01,0.04
QUINTANA ROO,255.00,0.55,0.04,142.00,0.31,0.04,58.00,0.13,0.04,7.00,0.02,0.10,277.00,0.60,0.04,149.00,0.32,0.04,34.00,0.07,0.04,2.00,0.00,0.06,71.00,0.15,0.05,72.00,0.16,0.04,181.00,0.39,0.04,138.00,0.30,0.04,213.00,0.46,0.04,184.00,0.40,0.04,60.00,0.13,0.04,5.00,0.01,0.05,227.00,0.49,0.04,163.00,0.35,0.04,65.00,0.14,0.05,7.00,0.02,0.07,54.00,0.12,0.04,80.00,0.17,0.04,178.00,0.39,0.04,150.00,0.33,0.04,223.00,0.48,0.04,164.00,0.36,0.04,67.00,0.15,0.04,8.00,0.02,0.04,204.00,0.44,0.04,176.00,0.38,0.04,73.00,0.16,0.04,9.00,0.02,0.06,235.00,0.51,0.04,184.00,0.40,0.04,40.00,0.09,0.04,3.00,0.01,0.04,244.00,0.53,0.04,171.00,0.37,0.04,43.00,0.09,0.04,4.00,0.01,0.05,224.00,0.49,0.04,179.00,0.39,0.04,54.00,0.12,0.04,5.00,0.01,0.04
SAN LUIS POTOSÍ,201.00,0.53,0.03,114.00,0.30,0.03,64.00,0.17,0.05,2.00,0.01,0.03,234.00,0.61,0.03,107.00,0.28,0.03,39.00,0.10,0.05,1.00,0.00,0.03,48.00,0.13,0.03,55.00,0.14,0.03,146.00,0.38,0.03,132.00,0.35,0.04,164.00,0.43,0.03,145.00,0.38,0.04,68.00,0.18,0.04,4.00,0.01,0.04,184.00,0.48,0.03,142.00,0.37,0.03,51.00,0.13,0.04,4.00,0.01,0.04,33.00,0.09,0.03,59.00,0.16,0.03,123.00,0.32,0.03,166.00,0.44,0.04,175.00,0.46,0.03,129.00,0.34,0.03,70.00,0.18,0.04,7.00,0.02,0.03,172.00,0.45,0.04,150.00,0.39,0.03,49.00,0.13,0.03,10.00,0.03,0.07,216.00,0.57,0.04,130.00,0.34,0.03,33.00,0.09,0.03,2.00,0.01,0.03,188.00,0.49,0.03,142.00,0.37,0.03,47.00,0.12,0.04,4.00,0.01,0.05,180.00,0.47,0.03,150.00,0.39,0.03,46.00,0.12,0.04,5.00,0.01,0.04
SINALOA,367.00,0.65,0.06,160.00,0.29,0.04,34.00,0.06,0.02,0.00,0.00,0.00,386.00,0.69,0.06,154.00,0.28,0.04,21.00,0.04,0.03,0.00,0.00,0.00,61.00,0.11,0.04,59.00,0.11,0.04,222.00,0.40,0.05,219.00,0.39,0.06,344.00,0.61,0.06,178.00,0.32,0.04,38.00,0.07,0.02,1.00,0.00,0.01,320.00,0.57,0.06,206.00,0.37,0.05,34.00,0.06,0.02,1.00,0.00,0.01,65.00,0.12,0.05,68.00,0.12,0.04,199.00,0.36,0.05,229.00,0.41,0.06,312.00,0.56,0.06,181.00,0.32,0.04,59.00,0.11,0.04,9.00,0.02,0.04,281.00,0.50,0.06,223.00,0.40,0.05,53.00,0.09,0.03,4.00,0.01,0.03,311.00,0.55,0.06,211.00,0.38,0.05,37.00,0.07,0.03,2.00,0.00,0.03,361.00,0.64,0.06,169.00,0.30,0.04,29.00,0.05,0.03,2.00,0.00,0.02,340.00,0.61,0.06,182.00,0.32,0.04,37.00,0.07,0.03,2.00,0.00,0.02
SONORA,216.00,0.66,0.03,96.00,0.29,0.03,16.00,0.05,0.01,0.00,0.00,0.00,226.00,0.69,0.03,91.00,0.28,0.02,11.00,0.03,0.01,0.00,0.00,0.00,34.00,0.10,0.02,36.00,0.11,0.02,129.00,0.39,0.03,129.00,0.39,0.04,192.00,0.59,0.04,116.00,0.35,0.03,19.00,0.06,0.01,1.00,0.00,0.01,186.00,0.57,0.03,117.00,0.36,0.03,24.00,0.07,0.02,1.00,0.00,0.01,35.00,0.11,0.03,42.00,0.13,0.02,130.00,0.40,0.03,121.00,0.37,0.03,173.00,0.53,0.03,125.00,0.38,0.03,26.00,0.08,0.02,4.00,0.01,0.02,161.00,0.49,0.03,139.00,0.42,0.03,24.00,0.07,0.02,4.00,0.01,0.03,179.00,0.55,0.03,130.00,0.40,0.03,18.00,0.06,0.02,1.00,0.00,0.01,202.00,0.62,0.04,111.00,0.34,0.03,15.00,0.05,0.01,0.00,0.00,0.00,191.00,0.58,0.03,119.00,0.36,0.03,17.00,0.05,0.01,1.00,0.00,0.01
TABASCO,211.00,0.54,0.03,127.00,0.32,0.04,48.00,0.12,0.03,7.00,0.02,0.10,239.00,0.61,0.04,121.00,0.31,0.03,31.00,0.08,0.04,2.00,0.01,0.06,60.00,0.15,0.04,53.00,0.14,0.03,152.00,0.39,0.03,128.00,0.33,0.04,219.00,0.56,0.04,128.00,0.33,0.03,43.00,0.11,0.03,3.00,0.01,0.03,211.00,0.54,0.04,127.00,0.32,0.03,48.00,0.12,0.03,7.00,0.02,0.07,48.00,0.12,0.04,54.00,0.14,0.03,156.00,0.40,0.04,135.00,0.34,0.03,189.00,0.48,0.04,137.00,0.35,0.03,56.00,0.14,0.03,11.00,0.03,0.05,194.00,0.49,0.04,143.00,0.36,0.03,54.00,0.14,0.03,2.00,0.01,0.01,214.00,0.55,0.04,137.00,0.35,0.03,39.00,0.10,0.04,3.00,0.01,0.04,219.00,0.56,0.04,125.00,0.32,0.03,45.00,0.12,0.04,4.00,0.01,0.05,201.00,0.51,0.04,142.00,0.36,0.03,44.00,0.11,0.03,6.00,0.02,0.05
TAMAULIPAS,258.00,0.60,0.04,125.00,0.29,0.04,50.00,0.12,0.04,0.00,0.00,0.00,285.00,0.66,0.04,126.00,0.29,0.03,21.00,0.05,0.03,1.00,0.00,0.03,59.00,0.14,0.04,49.00,0.11,0.03,185.00,0.43,0.04,140.00,0.32,0.04,232.00,0.54,0.04,153.00,0.35,0.04,47.00,0.11,0.03,1.00,0.00,0.01,217.00,0.50,0.04,173.00,0.40,0.04,39.00,0.09,0.03,4.00,0.01,0.04,50.00,0.12,0.04,53.00,0.12,0.03,167.00,0.39,0.04,163.00,0.38,0.04,214.00,0.49,0.04,161.00,0.37,0.04,50.00,0.12,0.03,8.00,0.02,0.04,192.00,0.44,0.04,181.00,0.42,0.04,57.00,0.13,0.04,3.00,0.01,0.02,218.00,0.50,0.04,184.00,0.43,0.04,29.00,0.07,0.03,2.00,0.01,0.03,245.00,0.57,0.04,157.00,0.36,0.04,29.00,0.07,0.03,2.00,0.01,0.02,237.00,0.55,0.04,159.00,0.37,0.04,31.00,0.07,0.02,6.00,0.01,0.05
TLAXCALA,163.00,0.49,0.03,120.00,0.36,0.03,46.00,0.14,0.03,3.00,0.01,0.05,174.00,0.52,0.03,133.00,0.40,0.04,23.00,0.07,0.03,2.00,0.01,0.06,45.00,0.14,0.03,67.00,0.20,0.04,160.00,0.48,0.03,60.00,0.18,0.02,124.00,0.37,0.02,133.00,0.40,0.03,68.00,0.21,0.04,7.00,0.02,0.06,129.00,0.39,0.02,157.00,0.47,0.04,43.00,0.13,0.03,3.00,0.01,0.03,25.00,0.08,0.02,63.00,0.19,0.04,149.00,0.45,0.03,95.00,0.29,0.02,111.00,0.33,0.02,159.00,0.48,0.04,49.00,0.15,0.03,13.00,0.04,0.06,116.00,0.35,0.02,162.00,0.49,0.03,49.00,0.15,0.03,5.00,0.02,0.04,144.00,0.43,0.03,149.00,0.45,0.03,34.00,0.10,0.03,5.00,0.02,0.07,139.00,0.42,0.02,147.00,0.44,0.03,43.00,0.13,0.04,3.00,0.01,0.04,129.00,0.39,0.02,150.00,0.45,0.03,47.00,0.14,0.04,6.00,0.02,0.05
VERACRUZ,66.00,0.52,0.01,39.00,0.31,0.01,20.00,0.16,0.01,1.00,0.01,0.02,82.00,0.65,0.01,35.00,0.28,0.01,9.00,0.07,0.01,0.00,0.00,0.00,16.00,0.13,0.01,17.00,0.14,0.01,51.00,0.41,0.01,42.00,0.33,0.01,61.00,0.48,0.01,46.00,0.37,0.01,18.00,0.14,0.01,1.00,0.01,0.01,62.00,0.49,0.01,45.00,0.36,0.01,18.00,0.14,0.01,1.00,0.01,0.01,18.00,0.14,0.01,9.00,0.07,0.01,43.00,0.34,0.01,56.00,0.44,0.01,64.00,0.51,0.01,41.00,0.33,0.01,18.00,0.14,0.01,3.00,0.02,0.01,63.00,0.50,0.01,44.00,0.35,0.01,19.00,0.15,0.01,0.00,0.00,0.00,69.00,0.55,0.01,44.00,0.35,0.01,13.00,0.10,0.01,0.00,0.00,0.00,68.00,0.54,0.01,45.00,0.36,0.01,13.00,0.10,0.01,0.00,0.00,0.00,64.00,0.51,0.01,48.00,0.38,0.01,13.00,0.10,0.01,1.00,0.01,0.01
YUCATÁN,150.00,0.57,0.02,72.00,0.27,0.02,36.00,0.14,0.03,5.00,0.02,0.08,159.00,0.61,0.02,82.00,0.31,0.02,20.00,0.08,0.03,2.00,0.01,0.06,43.00,0.16,0.03,37.00,0.14,0.02,106.00,0.40,0.02,77.00,0.29,0.02,144.00,0.55,0.03,82.00,0.31,0.02,32.00,0.12,0.02,5.00,0.02,0.05,142.00,0.54,0.03,88.00,0.34,0.02,28.00,0.11,0.02,5.00,0.02,0.05,38.00,0.14,0.03,41.00,0.16,0.02,91.00,0.35,0.02,93.00,0.35,0.02,115.00,0.44,0.02,114.00,0.43,0.03,30.00,0.11,0.02,4.00,0.02,0.02,123.00,0.47,0.03,96.00,0.37,0.02,37.00,0.14,0.02,7.00,0.03,0.05,131.00,0.50,0.02,102.00,0.39,0.02,29.00,0.11,0.03,1.00,0.00,0.01,149.00,0.57,0.03,95.00,0.36,0.02,18.00,0.07,0.02,1.00,0.00,0.01,142.00,0.54,0.03,97.00,0.37,0.02,21.00,0.08,0.02,3.00,0.01,0.02
ZACATECAS,368.00,0.50,0.06,263.00,0.36,0.07,105.00,0.14,0.08,4.00,0.01,0.06,410.00,0.55,0.06,269.00,0.36,0.07,59.00,0.08,0.08,2.00,0.00,0.06,107.00,0.15,0.07,121.00,0.16,0.07,336.00,0.45,0.07,176.00,0.24,0.05,321.00,0.43,0.06,287.00,0.39,0.07,122.00,0.17,0.07,10.00,0.01,0.09,329.00,0.45,0.06,294.00,0.40,0.07,112.00,0.15,0.08,5.00,0.01,0.05,88.00,0.12,0.07,137.00,0.19,0.08,303.00,0.41,0.07,212.00,0.29,0.05,294.00,0.40,0.06,295.00,0.40,0.07,135.00,0.18,0.08,16.00,0.02,0.07,258.00,0.35,0.05,335.00,0.45,0.07,133.00,0.18,0.08,14.00,0.02,0.10,308.00,0.42,0.06,344.00,0.47,0.07,77.00,0.10,0.07,11.00,0.02,0.16,316.00,0.43,0.05,317.00,0.43,0.07,99.00,0.13,0.09,8.00,0.01,0.10,309.00,0.42,0.06,315.00,0.43,0.07,103.00,0.14,0.08,13.00,0.02,0.11
Hombre,1985.00,0.58,0.31,1110.00,0.32,0.31,338.00,0.10,0.24,16.00,0.01,0.24,2101.00,0.61,0.31,1129.00,0.33,0.30,210.00,0.06,0.27,9.00,0.00,0.25,516.00,0.15,0.34,497.00,0.14,0.30,1381.00,0.40,0.29,1055.00,0.31,0.31,1579.00,0.46,0.29,1367.00,0.40,0.33,472.00,0.14,0.27,31.00,0.01,0.28,1646.00,0.48,0.30,1422.00,0.41,0.31,360.00,0.10,0.26,21.00,0.01,0.20,423.00,0.12,0.34,550.00,0.16,0.31,1271.00,0.37,0.29,1205.00,0.35,0.30,1595.00,0.46,0.31,1350.00,0.39,0.31,450.00,0.13,0.26,54.00,0.02,0.25,1558.00,0.45,0.32,1444.00,0.42,0.30,412.00,0.12,0.25,35.00,0.01,0.24,1649.00,0.48,0.30,1486.00,0.43,0.31,294.00,0.09,0.27,20.00,0.01,0.28,1805.00,0.52,0.31,1337.00,0.39,0.31,287.00,0.08,0.25,20.00,0.01,0.24,1718.00,0.50,0.31,1389.00,0.40,0.31,319.00,0.09,0.24,23.00,0.01,0.19
