Entidad,B6-A-Totalmente de acuerdo-Recuento,B6-A-Totalmente de acuerdo-% del N de fila,B6-A-Totalmente de acuerdo-% de N columnas,B6-A-De acuerdo-Recuento,B6-A-De acuerdo-% del N de fila,B6-A-De acuerdo-% de N columnas,B6-A-En desacuerdo-Recuento,B6-A-En desacuerdo-% del N de fila,B6-A-En desacuerdo-% de N columnas,B6-A-Totalmente en desacuerdo-Recuento,B6-A-Totalmente en desacuerdo-% del N de fila,B6-A-Totalmente en desacuerdo-% de N columnas,B6-A-No sé o no estoy seguro-Recuento,B6-A-No sé o no estoy seguro-% del N de fila,B6-A-No sé o no estoy seguro-% de N columnas,B6-B-Totalmente de acuerdo-Recuento,B6-B-Totalmente de acuerdo-% del N de fila,B6-B-Totalmente de acuerdo-% de N columnas,B6-B-De acuerdo-Recuento,B6-B-De acuerdo-% del N de fila,B6-B-De acuerdo-% de N columnas,B6-B-En desacuerdo-Recuento,B6-B-En desacuerdo-% del N de fila,B6-B-En desacuerdo-% de N columnas,B6-B-Totalmente en desacuerdo-Recuento,B6-B-Totalmente en desacuerdo-% del N de fila,B6-B-Totalmente en desacuerdo-% de N columnas,B6-B-No sé o no estoy seguro-Recuento,B6-B-No sé o no estoy seguro-% del N de fila,B6-B-No sé o no estoy seguro-% de N columnas,B6-C-Totalmente de acuerdo-Recuento,B6-C-Totalmente de acuerdo-% del N de fila,B6-C-Totalmente de acuerdo-% de N columnas,B6-C-De acuerdo-Recuento,B6-C-De acuerdo-% del N de fila,B6-C-De acuerdo-% de N columnas,B6-C-En desacuerdo-Recuento,B6-C-En desacuerdo-% del N de fila,B6-C-En desacuerdo-% de N columnas,B6-C-Totalmente en desacuerdo-Recuento,B6-C-Totalmente en desacuerdo-% del N de fila,B6-C-Totalmente en desacuerdo-% de N columnas,B6-C-No sé o no estoy seguro-Recuento,B6-C-No sé o no estoy seguro-% del N de fila,B6-C-No sé o no estoy seguro-% de N columnas,B6-D-Totalmente de acuerdo-Recuento,B6-D-Totalmente de acuerdo-% del N de fila,B6-D-Totalmente de acuerdo-% de N columnas,B6-D-De acuerdo-Recuento,B6-D-De acuerdo-% del N de fila,B6-D-De acuerdo-% de N columnas,B6-D-En desacuerdo-Recuento,B6-D-En desacuerdo-% del N de fila,B6-D-En desacuerdo-% de N columnas,B6-D-Totalmente en desacuerdo-Recuento,B6-D-Totalmente en desacuerdo-% del N de fila,B6-D-Totalmente en desacuerdo-% de N columnas,B6-D-No sé o no estoy seguro-Recuento,B6-D-No sé o no estoy seguro-% del N de fila,B6-D-No sé o no estoy seguro-% de N columnas,B6-E-Totalmente de acuerdo-Recuento,B6-E-Totalmente de acuerdo-% del N de fila,B6-E-Totalmente de acuerdo-% de N columnas,B6-E-De acuerdo-Recuento,B6-E-De acuerdo-% del N de fila,B6-E-De acuerdo-% de N columnas,B6-E-En desacuerdo-Recuento,B6-E-En desacuerdo-% del N de fila,B6-E-En desacuerdo-% de N columnas,B6-E-Totalmente en desacuerdo-Recuento,B6-E-Totalmente en desacuerdo-% del N de fila,B6-E-Totalmente en desacuerdo-% de N columnas,B6-E-No sé o no estoy seguro-Recuento,B6-E-No sé o no estoy seguro-% del N de fila,B6-E-No sé o no estoy seguro-% de N columnas,B6-F-Totalmente de acuerdo-Recuento,B6-F-Totalmente de acuerdo-% del N de fila,B6-F-Totalmente de acuerdo-% de N columnas,B6-F-De acuerdo-Recuento,B6-F-De acuerdo-% del N de fila,B6-F-De acuerdo-% de N columnas,B6-F-En desacuerdo-Recuento,B6-F-En desacuerdo-% del N de fila,B6-F-En desacuerdo-% de N columnas,B6-F-Totalmente en desacuerdo-Recuento,B6-F-Totalmente en desacuerdo-% del N de fila,B6-F-Totalmente en desacuerdo-% de N columnas,B6-F-No sé o no estoy seguro-Recuento,B6-F-No sé o no estoy seguro-% del N de fila,B6-F-No sé o no estoy seguro-% de N columnas,B6-G-Totalmente de acuerdo-Recuento,B6-G-Totalmente de acuerdo-% del N de fila,B6-G-Totalmente de acuerdo-% de N columnas,B6-G-De acuerdo-Recuento,B6-G-De acuerdo-% del N de fila,B6-G-De acuerdo-% de N columnas,B6-G-En desacuerdo-Recuento,B6-G-En desacuerdo-% del N de fila,B6-G-En desacuerdo-% de N columnas,B6-G-Totalmente en desacuerdo-Recuento,B6-G-Totalmente en desacuerdo-% del N de fila,B6-G-Totalmente en desacuerdo-% de N columnas,B6-G-No sé o no estoy seguro-Recuento,B6-G-No sé o no estoy seguro-% del N de fila,B6-G-No sé o no estoy seguro-% de N columnas,B6-H-Totalmente de acuerdo-Recuento,B6-H-Totalmente de acuerdo-% del N de fila,B6-H-Totalmente de acuerdo-% de N columnas,B6-H-De acuerdo-Recuento,B6-H-De acuerdo-% del N de fila,B6-H-De acuerdo-% de N columnas,B6-H-En desacuerdo-Recuento,B6-H-En desacuerdo-% del N de fila,B6-H-En desacuerdo-% de N columnas,B6-H-Totalmente en desacuerdo-Recuento,B6-H-Totalmente en desacuerdo-% del N de fila,B6-H-Totalmente en desacuerdo-% de N columnas,B6-H-No sé o no estoy seguro-Recuento,B6-H-No sé o no estoy seguro-% del N de fila,B6-H-No sé o no estoy seguro-% de N columnas,B6-I-Totalmente de acuerdo-Recuento,B6-I-Totalmente de acuerdo-% del N de fila,B6-I-Totalmente de acuerdo-% de N columnas,B6-I-De acuerdo-Recuento,B6-I-De acuerdo-% del N de fila,B6-I-De acuerdo-% de N columnas,B6-I-En desacuerdo-Recuento,B6-I-En desacuerdo-% del N de fila,B6-I-En desacuerdo-% de N columnas,B6-I-Totalmente en desacuerdo-Recuento,B6-I-Totalmente en desacuerdo-% del N de fila,B6-I-Totalmente en desacuerdo-% de N columnas,B6-I-No sé o no estoy seguro-Recuento,B6-I-No sé o no estoy seguro-% del N de fila,B6-I-No sé o no estoy seguro-% de N columnas
21 a 30 años,264.000,0.227,0.254,695.000,0.599,0.211,120.000,0.103,0.225,18.000,0.016,0.257,64.000,0.055,0.164,334.000,0.288,0.245,682.000,0.587,0.204,85.000,0.073,0.237,11.000,0.009,0.239,49.000,0.042,0.216,427.000,0.368,0.238,656.000,0.565,0.208,56.000,0.048,0.220,4.000,0.003,0.125,18.000,0.016,0.186,494.000,0.425,0.227,616.000,0.531,0.211,36.000,0.031,0.242,4.000,0.003,0.211,11.000,0.009,0.138,315.000,0.271,0.240,722.000,0.622,0.212,63.000,0.054,0.238,4.000,0.003,0.222,57.000,0.049,0.170,468.000,0.403,0.225,619.000,0.533,0.211,52.000,0.045,0.240,5.000,0.004,0.179,18.000,0.015,0.222,606.000,0.522,0.231,533.000,0.459,0.203,15.000,0.013,0.319,4.000,0.003,0.250,4.000,0.003,0.133,424.000,0.365,0.246,632.000,0.544,0.205,63.000,0.054,0.231,6.000,0.005,0.207,37.000,0.032,0.161,331.000,0.285,0.242,684.000,0.589,0.211,75.000,0.065,0.231,8.000,0.007,0.205,64.000,0.055,0.180
31 a 40 años,312.000,0.167,0.300,1206.000,0.645,0.365,198.000,0.106,0.371,23.000,0.012,0.329,132.000,0.071,0.338,438.000,0.234,0.322,1205.000,0.644,0.360,132.000,0.071,0.369,20.000,0.011,0.435,76.000,0.041,0.335,587.000,0.314,0.327,1136.000,0.607,0.360,103.000,0.055,0.404,15.000,0.008,0.469,30.000,0.016,0.309,742.000,0.397,0.342,1041.000,0.556,0.357,52.000,0.028,0.349,7.000,0.004,0.368,29.000,0.015,0.363,434.000,0.232,0.331,1217.000,0.650,0.357,97.000,0.052,0.366,8.000,0.004,0.444,115.000,0.061,0.342,718.000,0.384,0.345,1035.000,0.553,0.353,77.000,0.041,0.355,9.000,0.005,0.321,32.000,0.017,0.395,902.000,0.482,0.344,942.000,0.503,0.359,16.000,0.009,0.340,4.000,0.002,0.250,7.000,0.004,0.233,595.000,0.318,0.346,1092.000,0.584,0.354,98.000,0.052,0.359,11.000,0.006,0.379,75.000,0.040,0.326,445.000,0.238,0.325,1161.000,0.621,0.357,123.000,0.066,0.378,15.000,0.008,0.385,127.000,0.068,0.357
41 a 50 años,305.000,0.194,0.293,956.000,0.607,0.290,162.000,0.103,0.303,21.000,0.013,0.300,132.000,0.084,0.338,396.000,0.251,0.291,994.000,0.631,0.297,105.000,0.067,0.293,9.000,0.006,0.196,72.000,0.046,0.317,505.000,0.320,0.281,959.000,0.609,0.304,69.000,0.044,0.271,7.000,0.004,0.219,36.000,0.023,0.371,624.000,0.396,0.287,876.000,0.556,0.300,47.000,0.030,0.315,3.000,0.002,0.158,26.000,0.016,0.325,371.000,0.235,0.283,1019.000,0.647,0.299,77.000,0.049,0.291,3.000,0.002,0.167,106.000,0.067,0.315,611.000,0.388,0.293,877.000,0.556,0.300,58.000,0.037,0.267,8.000,0.005,0.286,22.000,0.014,0.272,759.000,0.482,0.289,787.000,0.499,0.300,12.000,0.008,0.255,5.000,0.003,0.313,13.000,0.008,0.433,469.000,0.298,0.273,934.000,0.593,0.303,79.000,0.050,0.289,9.000,0.006,0.310,85.000,0.054,0.370,411.000,0.261,0.300,958.000,0.608,0.295,86.000,0.055,0.265,8.000,0.005,0.205,113.000,0.072,0.317
51 a 60 años,154.000,0.230,0.148,399.000,0.596,0.121,52.000,0.078,0.097,7.000,0.010,0.100,58.000,0.087,0.148,182.000,0.272,0.134,425.000,0.634,0.127,31.000,0.046,0.087,6.000,0.009,0.130,26.000,0.039,0.115,259.000,0.387,0.144,367.000,0.548,0.116,26.000,0.039,0.102,6.000,0.009,0.188,12.000,0.018,0.124,293.000,0.437,0.135,346.000,0.516,0.119,13.000,0.019,0.087,5.000,0.007,0.263,13.000,0.019,0.163,179.000,0.267,0.137,411.000,0.613,0.121,26.000,0.039,0.098,3.000,0.004,0.167,51.000,0.076,0.152,268.000,0.400,0.129,357.000,0.533,0.122,30.000,0.045,0.138,6.000,0.009,0.214,9.000,0.013,0.111,329.000,0.491,0.125,328.000,0.490,0.125,4.000,0.006,0.085,3.000,0.004,0.188,6.000,0.009,0.200,216.000,0.322,0.126,391.000,0.584,0.127,31.000,0.046,0.114,3.000,0.004,0.103,29.000,0.043,0.126,170.000,0.254,0.124,408.000,0.609,0.126,35.000,0.052,0.108,8.000,0.012,0.205,49.000,0.073,0.138
61 a 70 años,5.000,0.192,0.005,19.000,0.731,0.006,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.077,0.005,6.000,0.231,0.004,17.000,0.654,0.005,1.000,0.038,0.003,0.000,0.000,0.000,2.000,0.077,0.009,11.000,0.423,0.006,14.000,0.538,0.004,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.038,0.010,8.000,0.308,0.004,18.000,0.692,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.308,0.006,14.000,0.538,0.004,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.154,0.012,10.000,0.385,0.005,16.000,0.615,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.615,0.006,10.000,0.385,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,0.346,0.005,14.000,0.538,0.005,1.000,0.038,0.004,0.000,0.000,0.000,2.000,0.077,0.009,7.000,0.269,0.005,15.000,0.577,0.005,2.000,0.077,0.006,0.000,0.000,0.000,2.000,0.077,0.006
71 a 80 años,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
81 a 90 años,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
91 a 99 años,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Preparatoria, bachillerato o carrera técnica",9.000,0.200,0.009,30.000,0.667,0.009,4.000,0.089,0.007,0.000,0.000,0.000,2.000,0.044,0.005,12.000,0.267,0.009,28.000,0.622,0.008,1.000,0.022,0.003,0.000,0.000,0.000,4.000,0.089,0.018,13.000,0.289,0.007,29.000,0.644,0.009,2.000,0.044,0.008,0.000,0.000,0.000,1.000,0.022,0.010,12.000,0.267,0.006,29.000,0.644,0.010,2.000,0.044,0.013,0.000,0.000,0.000,2.000,0.044,0.025,10.000,0.222,0.008,30.000,0.667,0.009,1.000,0.022,0.004,0.000,0.000,0.000,4.000,0.089,0.012,12.000,0.267,0.006,28.000,0.622,0.010,4.000,0.089,0.018,0.000,0.000,0.000,1.000,0.022,0.012,15.000,0.333,0.006,29.000,0.644,0.011,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.022,0.033,14.000,0.311,0.008,27.000,0.600,0.009,2.000,0.044,0.007,0.000,0.000,0.000,2.000,0.044,0.009,11.000,0.244,0.008,29.000,0.644,0.009,1.000,0.022,0.003,0.000,0.000,0.000,4.000,0.089,0.011
Normal básica sin licenciatura,27.000,0.194,0.026,86.000,0.619,0.026,12.000,0.086,0.022,3.000,0.022,0.043,11.000,0.079,0.028,32.000,0.230,0.023,90.000,0.647,0.027,7.000,0.050,0.020,2.000,0.014,0.043,8.000,0.058,0.035,42.000,0.302,0.023,84.000,0.604,0.027,6.000,0.043,0.024,2.000,0.014,0.063,5.000,0.036,0.052,48.000,0.345,0.022,81.000,0.583,0.028,5.000,0.036,0.034,1.000,0.007,0.053,4.000,0.029,0.050,36.000,0.259,0.027,86.000,0.619,0.025,6.000,0.043,0.023,2.000,0.014,0.111,9.000,0.065,0.027,43.000,0.309,0.021,83.000,0.597,0.028,8.000,0.058,0.037,2.000,0.014,0.071,3.000,0.022,0.037,64.000,0.460,0.024,71.000,0.511,0.027,2.000,0.014,0.043,1.000,0.007,0.063,1.000,0.007,0.033,34.000,0.245,0.020,89.000,0.640,0.029,7.000,0.050,0.026,2.000,0.014,0.069,7.000,0.050,0.030,33.000,0.237,0.024,85.000,0.612,0.026,7.000,0.050,0.022,3.000,0.022,0.077,11.000,0.079,0.031
Normal superior,16.000,0.216,0.015,46.000,0.622,0.014,7.000,0.095,0.013,0.000,0.000,0.000,5.000,0.068,0.013,23.000,0.311,0.017,44.000,0.595,0.013,4.000,0.054,0.011,1.000,0.014,0.022,2.000,0.027,0.009,26.000,0.351,0.014,43.000,0.581,0.014,4.000,0.054,0.016,1.000,0.014,0.031,0.000,0.000,0.000,35.000,0.473,0.016,38.000,0.514,0.013,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.014,0.013,24.000,0.324,0.018,44.000,0.595,0.013,3.000,0.041,0.011,0.000,0.000,0.000,3.000,0.041,0.009,24.000,0.324,0.012,45.000,0.608,0.015,3.000,0.041,0.014,1.000,0.014,0.036,1.000,0.014,0.012,31.000,0.419,0.012,38.000,0.514,0.014,0.000,0.000,0.000,2.000,0.027,0.125,3.000,0.041,0.100,23.000,0.311,0.013,43.000,0.581,0.014,5.000,0.068,0.018,0.000,0.000,0.000,3.000,0.041,0.013,21.000,0.284,0.015,47.000,0.635,0.014,2.000,0.027,0.006,1.000,0.014,0.026,3.000,0.041,0.008
Normal Intercultural Bilingüe,1.000,0.200,0.001,4.000,0.800,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.400,0.001,3.000,0.600,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.600,0.002,2.000,0.400,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.400,0.001,3.000,0.600,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.400,0.002,3.000,0.600,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.400,0.001,3.000,0.600,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.400,0.001,3.000,0.600,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.400,0.001,3.000,0.600,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.400,0.001,3.000,0.600,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Licenciatura,829.000,0.198,0.797,2603.000,0.621,0.789,409.000,0.098,0.766,53.000,0.013,0.757,296.000,0.071,0.757,1062.000,0.253,0.780,2646.000,0.632,0.792,271.000,0.065,0.757,34.000,0.008,0.739,177.000,0.042,0.780,1433.000,0.342,0.797,2459.000,0.587,0.779,197.000,0.047,0.773,24.000,0.006,0.750,77.000,0.018,0.794,1713.000,0.409,0.789,2278.000,0.544,0.781,121.000,0.029,0.812,14.000,0.003,0.737,64.000,0.015,0.800,1021.000,0.244,0.779,2675.000,0.638,0.785,212.000,0.051,0.800,11.000,0.003,0.611,271.000,0.065,0.807,1638.000,0.391,0.786,2302.000,0.549,0.786,165.000,0.039,0.760,22.000,0.005,0.786,64.000,0.015,0.790,2045.000,0.488,0.780,2081.000,0.497,0.794,35.000,0.008,0.745,8.000,0.002,0.500,22.000,0.005,0.733,1353.000,0.323,0.786,2424.000,0.578,0.786,208.000,0.050,0.762,24.000,0.006,0.828,182.000,0.043,0.791,1078.000,0.257,0.788,2556.000,0.610,0.787,258.000,0.062,0.794,29.000,0.007,0.744,270.000,0.064,0.758
Especialidad,5.000,0.227,0.005,14.000,0.636,0.004,1.000,0.045,0.002,1.000,0.045,0.014,1.000,0.045,0.003,3.000,0.136,0.002,13.000,0.591,0.004,2.000,0.091,0.006,1.000,0.045,0.022,3.000,0.136,0.013,5.000,0.227,0.003,14.000,0.636,0.004,1.000,0.045,0.004,1.000,0.045,0.031,1.000,0.045,0.010,9.000,0.409,0.004,11.000,0.500,0.004,0.000,0.000,0.000,1.000,0.045,0.053,1.000,0.045,0.013,3.000,0.136,0.002,18.000,0.818,0.005,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.045,0.003,7.000,0.318,0.003,13.000,0.591,0.004,0.000,0.000,0.000,1.000,0.045,0.036,1.000,0.045,0.012,10.000,0.455,0.004,11.000,0.500,0.004,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.045,0.033,4.000,0.182,0.002,16.000,0.727,0.005,1.000,0.045,0.004,0.000,0.000,0.000,1.000,0.045,0.004,3.000,0.136,0.002,16.000,0.727,0.005,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.136,0.008
Maestría,143.000,0.178,0.138,480.000,0.598,0.145,98.000,0.122,0.184,13.000,0.016,0.186,69.000,0.086,0.176,212.000,0.264,0.156,483.000,0.601,0.144,70.000,0.087,0.196,8.000,0.010,0.174,30.000,0.037,0.132,257.000,0.320,0.143,488.000,0.608,0.155,43.000,0.054,0.169,4.000,0.005,0.125,11.000,0.014,0.113,331.000,0.412,0.152,446.000,0.555,0.153,17.000,0.021,0.114,3.000,0.004,0.158,6.000,0.007,0.075,200.000,0.249,0.153,509.000,0.634,0.149,42.000,0.052,0.158,5.000,0.006,0.278,47.000,0.059,0.140,331.000,0.412,0.159,424.000,0.528,0.145,37.000,0.046,0.171,2.000,0.002,0.071,9.000,0.011,0.111,421.000,0.524,0.161,365.000,0.455,0.139,10.000,0.012,0.213,5.000,0.006,0.313,2.000,0.002,0.067,268.000,0.334,0.156,453.000,0.564,0.147,46.000,0.057,0.168,3.000,0.004,0.103,33.000,0.041,0.143,203.000,0.253,0.148,479.000,0.597,0.147,54.000,0.067,0.166,6.000,0.007,0.154,61.000,0.076,0.171
Doctorado,10.000,0.175,0.010,38.000,0.667,0.012,3.000,0.053,0.006,0.000,0.000,0.000,6.000,0.105,0.015,16.000,0.281,0.012,35.000,0.614,0.010,3.000,0.053,0.008,0.000,0.000,0.000,3.000,0.053,0.013,18.000,0.316,0.010,35.000,0.614,0.011,2.000,0.035,0.008,0.000,0.000,0.000,2.000,0.035,0.021,22.000,0.386,0.010,29.000,0.509,0.010,4.000,0.070,0.027,0.000,0.000,0.000,2.000,0.035,0.025,15.000,0.263,0.011,40.000,0.702,0.012,1.000,0.018,0.004,0.000,0.000,0.000,1.000,0.018,0.003,26.000,0.456,0.012,29.000,0.509,0.010,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.035,0.025,34.000,0.596,0.013,23.000,0.404,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.000,0.404,0.013,28.000,0.491,0.009,4.000,0.070,0.015,0.000,0.000,0.000,2.000,0.035,0.009,17.000,0.298,0.012,33.000,0.579,0.010,3.000,0.053,0.009,0.000,0.000,0.000,4.000,0.070,0.011
Posdoctorado,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.003,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Menor o igual a 10,386.000,0.208,0.371,1139.000,0.612,0.345,197.000,0.106,0.369,25.000,0.013,0.357,113.000,0.061,0.289,514.000,0.276,0.377,1120.000,0.602,0.335,126.000,0.068,0.352,18.000,0.010,0.391,82.000,0.044,0.361,669.000,0.360,0.372,1053.000,0.566,0.334,96.000,0.052,0.376,9.000,0.005,0.281,33.000,0.018,0.340,794.000,0.427,0.366,982.000,0.528,0.337,55.000,0.030,0.369,5.000,0.003,0.263,24.000,0.013,0.300,484.000,0.260,0.369,1177.000,0.633,0.346,94.000,0.051,0.355,7.000,0.004,0.389,98.000,0.053,0.292,750.000,0.403,0.360,981.000,0.527,0.335,85.000,0.046,0.392,12.000,0.006,0.429,32.000,0.017,0.395,959.000,0.516,0.366,866.000,0.466,0.330,24.000,0.013,0.511,5.000,0.003,0.313,6.000,0.003,0.200,670.000,0.360,0.389,1022.000,0.549,0.331,97.000,0.052,0.355,8.000,0.004,0.276,63.000,0.034,0.274,517.000,0.278,0.378,1095.000,0.589,0.337,121.000,0.065,0.372,17.000,0.009,0.436,110.000,0.059,0.309
11 a 20,340.000,0.174,0.327,1247.000,0.639,0.378,200.000,0.102,0.375,26.000,0.013,0.371,139.000,0.071,0.355,454.000,0.233,0.333,1261.000,0.646,0.377,146.000,0.075,0.408,17.000,0.009,0.370,74.000,0.038,0.326,593.000,0.304,0.330,1210.000,0.620,0.384,101.000,0.052,0.396,14.000,0.007,0.438,34.000,0.017,0.351,759.000,0.389,0.349,1099.000,0.563,0.377,59.000,0.030,0.396,8.000,0.004,0.421,27.000,0.014,0.338,443.000,0.227,0.338,1268.000,0.650,0.372,106.000,0.054,0.400,7.000,0.004,0.389,128.000,0.066,0.381,747.000,0.383,0.359,1101.000,0.564,0.376,69.000,0.035,0.318,6.000,0.003,0.214,29.000,0.015,0.358,945.000,0.484,0.360,979.000,0.502,0.373,11.000,0.006,0.234,4.000,0.002,0.250,13.000,0.007,0.433,592.000,0.303,0.344,1159.000,0.594,0.376,96.000,0.049,0.352,15.000,0.008,0.517,90.000,0.046,0.391,474.000,0.243,0.346,1217.000,0.623,0.375,116.000,0.059,0.357,13.000,0.007,0.333,132.000,0.068,0.371
21 a 30,314.000,0.206,0.302,915.000,0.600,0.277,137.000,0.090,0.257,19.000,0.012,0.271,139.000,0.091,0.355,394.000,0.259,0.289,962.000,0.631,0.288,86.000,0.056,0.240,11.000,0.007,0.239,71.000,0.047,0.313,535.000,0.351,0.298,892.000,0.585,0.283,58.000,0.038,0.227,9.000,0.006,0.281,30.000,0.020,0.309,619.000,0.406,0.285,835.000,0.548,0.286,35.000,0.023,0.235,6.000,0.004,0.316,29.000,0.019,0.363,384.000,0.252,0.293,961.000,0.631,0.282,65.000,0.043,0.245,4.000,0.003,0.222,110.000,0.072,0.327,586.000,0.384,0.281,846.000,0.555,0.289,63.000,0.041,0.290,10.000,0.007,0.357,20.000,0.013,0.247,718.000,0.471,0.274,777.000,0.510,0.296,12.000,0.008,0.255,7.000,0.005,0.438,11.000,0.007,0.367,459.000,0.301,0.267,903.000,0.592,0.293,80.000,0.052,0.293,6.000,0.004,0.207,77.000,0.050,0.335,377.000,0.247,0.276,937.000,0.614,0.288,88.000,0.058,0.271,9.000,0.006,0.231,114.000,0.075,0.320
