Entidad,B1-A-Mucho-Recuento,B1-A-Mucho-% del N de fila,B1-A-Mucho-% de N columnas,B1-A-Regular-Recuento,B1-A-Regular-% del N de fila,B1-A-Regular-% de N columnas,B1-A-Poco-Recuento,B1-A-Poco-% del N de fila,B1-A-Poco-% de N columnas,B1-A-Nada-Recuento,B1-A-Nada-% del N de fila,B1-A-Nada-% de N columnas,B1-B-Mucho-Recuento,B1-B-Mucho-% del N de fila,B1-B-Mucho-% de N columnas,B1-B-Regular-Recuento,B1-B-Regular-% del N de fila,B1-B-Regular-% de N columnas,B1-B-Poco-Recuento,B1-B-Poco-% del N de fila,B1-B-Poco-% de N columnas,B1-B-Nada-Recuento,B1-B-Nada-% del N de fila,B1-B-Nada-% de N columnas,B1-C-Mucho-Recuento,B1-C-Mucho-% del N de fila,B1-C-Mucho-% de N columnas,B1-C-Regular-Recuento,B1-C-Regular-% del N de fila,B1-C-Regular-% de N columnas,B1-C-Poco-Recuento,B1-C-Poco-% del N de fila,B1-C-Poco-% de N columnas,B1-C-Nada-Recuento,B1-C-Nada-% del N de fila,B1-C-Nada-% de N columnas,B1-D-Mucho-Recuento,B1-D-Mucho-% del N de fila,B1-D-Mucho-% de N columnas,B1-D-Regular-Recuento,B1-D-Regular-% del N de fila,B1-D-Regular-% de N columnas,B1-D-Poco-Recuento,B1-D-Poco-% del N de fila,B1-D-Poco-% de N columnas,B1-D-Nada-Recuento,B1-D-Nada-% del N de fila,B1-D-Nada-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Regular-Recuento,B1-E-Regular del N de fila,B1-E-Regular-% de N columnas,B1-E-Poco-Recuento,B1-E-Poco-% del N de fila,B1-E-Poco-% de N columnas,B1-E-Nada-Recuento,B1-E-Nada-% del N de fila,B1-E-Nada-% de N columnas,B1-F-Mucho-Recuento,B1-F-Mucho-% del N de fila,B1-F-Mucho-% de N columnas,B1-F-Regular-Recuento,B1-F-Regular-% del N de fila,B1-F-Regular-% de N columnas,B1-F-Poco-Recuento,B1-F-Poco-% del N de fila,B1-F-Poco-% de N columnas,B1-F-Nada-Recuento,B1-F-Nada-% del N de fila,B1-F-Nada-% de N columnas,B1-G-Mucho-Recuento,B1-G-Mucho-% del N de fila,B1-G-Mucho-% de N columnas,B1-G-Regular-Recuento,B1-G-Regular-% del N de fila,B1-G-Regular-% de N columnas,B1-G-Poco-Recuento,B1-G-Poco-% del N de fila,B1-G-Poco-% de N columnas,B1-G-Nada-Recuento,B1-G-Nada-% del N de fila,B1-G-Nada-% de N columnas,B1-H-Mucho-Recuento,B1-H-Mucho-% del N de fila,B1-H-Mucho-% de N columnas,B1-H-Regular-Recuento,B1-H-Regular-% del N de fila,B1-H-Regular-% de N columnas,B1-H-Poco-Recuento,B1-H-Poco-% del N de fila,B1-H-Poco-% de N columnas,B1-H-Nada-Recuento,B1-H-Nada-% del N de fila,B1-H-Nada-% de N columnas,B1-I-Mucho-Recuento,B1-I-Mucho--% del N de fila,B1-I-Mucho-% de N columnas,B1-I-Regular-Recuento,B1-I-Regular-% del N de fila,B1-I-Regular-% de N columnas,B1-I-Poco-Recuento,B1-I-Poco-% del N de fila,B1-I-Poco-% de N columnas,B1-I-Nada-Recuento,B1-I-Nada-% del N de fila,B1-I-Nada-% de N columnas
ESTADO DE MÉXICO,61.00,0.38,0.04,77.00,0.48,0.03,22.00,0.14,0.05,1.00,0.01,0.03,103.00,0.64,0.03,57.00,0.35,0.05,1.00,0.01,0.02,0.00,0.00,0.00,80.00,0.50,0.04,71.00,0.44,0.04,10.00,0.06,0.03,0.00,0.00,0.00,113.00,0.70,0.04,45.00,0.28,0.04,3.00,0.02,0.03,0.00,0.00,0.00,110.00,0.68,0.04,48.00,0.30,0.04,3.00,0.02,0.02,0.00,0.00,0.00,112.00,0.70,0.04,44.00,0.27,0.04,4.00,0.03,0.04,1.00,0.01,0.14,125.00,0.78,0.04,36.00,0.22,0.04,0.00,0.00,0.00,0.00,0.00,0.00,108.00,0.67,0.04,52.00,0.32,0.04,1.00,0.01,0.01,0.00,0.00,0.00,109.00,0.68,0.04,50.00,0.31,0.05,2.00,0.01,0.02,0.00,0.00,0.00
GUANAJUATO,64.00,0.38,0.04,81.00,0.48,0.04,21.00,0.13,0.05,2.00,0.01,0.06,124.00,0.74,0.04,41.00,0.24,0.04,2.00,0.01,0.03,1.00,0.01,0.33,101.00,0.60,0.05,53.00,0.32,0.03,14.00,0.08,0.05,0.00,0.00,0.00,134.00,0.80,0.05,33.00,0.20,0.03,1.00,0.01,0.01,0.00,0.00,0.00,122.00,0.73,0.04,41.00,0.24,0.03,5.00,0.03,0.04,0.00,0.00,0.00,126.00,0.75,0.04,38.00,0.23,0.03,4.00,0.02,0.04,0.00,0.00,0.00,137.00,0.82,0.04,30.00,0.18,0.04,1.00,0.01,0.02,0.00,0.00,0.00,123.00,0.73,0.04,42.00,0.25,0.03,3.00,0.02,0.03,0.00,0.00,0.00,133.00,0.79,0.04,30.00,0.18,0.03,5.00,0.03,0.06,0.00,0.00,0.00
GUERRERO,14.00,0.33,0.01,24.00,0.57,0.01,4.00,0.10,0.01,0.00,0.00,0.00,25.00,0.60,0.01,17.00,0.41,0.01,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.38,0.01,23.00,0.55,0.01,3.00,0.07,0.01,0.00,0.00,0.00,27.00,0.64,0.01,15.00,0.36,0.01,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.67,0.01,13.00,0.31,0.01,1.00,0.02,0.01,0.00,0.00,0.00,32.00,0.76,0.01,10.00,0.24,0.01,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.76,0.01,9.00,0.21,0.01,1.00,0.02,0.02,0.00,0.00,0.00,32.00,0.76,0.01,10.00,0.24,0.01,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.67,0.01,12.00,0.29,0.01,2.00,0.05,0.02,0.00,0.00,0.00
HIDALGO,68.00,0.44,0.05,81.00,0.52,0.04,6.00,0.04,0.01,0.00,0.00,0.00,118.00,0.76,0.04,35.00,0.23,0.03,2.00,0.01,0.03,0.00,0.00,0.00,85.00,0.55,0.04,58.00,0.37,0.03,12.00,0.08,0.04,0.00,0.00,0.00,107.00,0.69,0.04,44.00,0.28,0.04,4.00,0.03,0.04,0.00,0.00,0.00,117.00,0.76,0.04,36.00,0.23,0.03,2.00,0.01,0.02,0.00,0.00,0.00,116.00,0.75,0.04,37.00,0.24,0.03,2.00,0.01,0.02,0.00,0.00,0.00,132.00,0.85,0.04,22.00,0.14,0.03,1.00,0.01,0.02,0.00,0.00,0.00,115.00,0.74,0.04,37.00,0.24,0.03,3.00,0.02,0.03,0.00,0.00,0.00,126.00,0.81,0.04,27.00,0.17,0.03,2.00,0.01,0.02,0.00,0.00,0.00
JALISCO,45.00,0.33,0.03,73.00,0.54,0.03,14.00,0.10,0.03,3.00,0.02,0.09,99.00,0.73,0.03,33.00,0.24,0.03,3.00,0.02,0.05,0.00,0.00,0.00,72.00,0.53,0.03,56.00,0.42,0.03,7.00,0.05,0.02,0.00,0.00,0.00,93.00,0.69,0.03,41.00,0.30,0.03,1.00,0.01,0.01,0.00,0.00,0.00,95.00,0.70,0.03,37.00,0.27,0.03,3.00,0.02,0.02,0.00,0.00,0.00,93.00,0.69,0.03,38.00,0.28,0.03,4.00,0.03,0.04,0.00,0.00,0.00,105.00,0.78,0.03,29.00,0.22,0.04,1.00,0.01,0.02,0.00,0.00,0.00,96.00,0.71,0.03,37.00,0.27,0.03,2.00,0.02,0.02,0.00,0.00,0.00,101.00,0.75,0.03,32.00,0.24,0.03,2.00,0.02,0.02,0.00,0.00,0.00
MICHOACÁN,11.00,0.33,0.01,20.00,0.61,0.01,2.00,0.06,0.01,0.00,0.00,0.00,18.00,0.55,0.01,12.00,0.36,0.01,3.00,0.09,0.05,0.00,0.00,0.00,13.00,0.39,0.01,16.00,0.49,0.01,4.00,0.12,0.01,0.00,0.00,0.00,18.00,0.55,0.01,14.00,0.42,0.01,1.00,0.03,0.01,0.00,0.00,0.00,21.00,0.64,0.01,10.00,0.30,0.01,2.00,0.06,0.02,0.00,0.00,0.00,23.00,0.70,0.01,7.00,0.21,0.01,2.00,0.06,0.02,1.00,0.03,0.14,24.00,0.73,0.01,7.00,0.21,0.01,2.00,0.06,0.04,0.00,0.00,0.00,21.00,0.64,0.01,11.00,0.33,0.01,0.00,0.00,0.00,1.00,0.03,0.14,21.00,0.64,0.01,11.00,0.33,0.01,1.00,0.03,0.01,0.00,0.00,0.00
MORELOS,67.00,0.38,0.05,92.00,0.52,0.04,16.00,0.09,0.04,2.00,0.01,0.06,130.00,0.73,0.04,44.00,0.25,0.04,2.00,0.01,0.03,1.00,0.01,0.33,90.00,0.51,0.04,76.00,0.43,0.04,11.00,0.06,0.04,0.00,0.00,0.00,126.00,0.71,0.04,48.00,0.27,0.04,2.00,0.01,0.02,1.00,0.01,0.33,125.00,0.71,0.04,45.00,0.25,0.04,4.00,0.02,0.03,3.00,0.02,0.25,130.00,0.73,0.05,44.00,0.25,0.04,3.00,0.02,0.03,0.00,0.00,0.00,150.00,0.85,0.05,25.00,0.14,0.03,1.00,0.01,0.02,1.00,0.01,0.33,132.00,0.75,0.05,43.00,0.24,0.04,1.00,0.01,0.01,1.00,0.01,0.14,139.00,0.79,0.05,34.00,0.19,0.03,3.00,0.02,0.03,1.00,0.01,0.20
NAYARIT,39.00,0.26,0.03,94.00,0.62,0.04,17.00,0.11,0.04,1.00,0.01,0.03,96.00,0.64,0.03,52.00,0.34,0.04,3.00,0.02,0.05,0.00,0.00,0.00,60.00,0.40,0.03,77.00,0.51,0.04,13.00,0.09,0.04,1.00,0.01,0.14,86.00,0.57,0.03,59.00,0.39,0.05,6.00,0.04,0.07,0.00,0.00,0.00,101.00,0.67,0.04,46.00,0.31,0.04,4.00,0.03,0.03,0.00,0.00,0.00,88.00,0.58,0.03,55.00,0.36,0.04,7.00,0.05,0.06,1.00,0.01,0.14,111.00,0.74,0.03,37.00,0.25,0.04,3.00,0.02,0.06,0.00,0.00,0.00,94.00,0.62,0.03,49.00,0.33,0.04,7.00,0.05,0.07,1.00,0.01,0.14,106.00,0.70,0.03,42.00,0.28,0.04,2.00,0.01,0.02,1.00,0.01,0.20
NUEVO LEÓN,12.00,0.39,0.01,14.00,0.45,0.01,5.00,0.16,0.01,0.00,0.00,0.00,21.00,0.68,0.01,9.00,0.29,0.01,1.00,0.03,0.02,0.00,0.00,0.00,18.00,0.58,0.01,12.00,0.39,0.01,1.00,0.03,0.00,0.00,0.00,0.00,23.00,0.74,0.01,7.00,0.23,0.01,1.00,0.03,0.01,0.00,0.00,0.00,19.00,0.61,0.01,11.00,0.36,0.01,1.00,0.03,0.01,0.00,0.00,0.00,18.00,0.58,0.01,12.00,0.39,0.01,1.00,0.03,0.01,0.00,0.00,0.00,28.00,0.90,0.01,2.00,0.07,0.00,1.00,0.03,0.02,0.00,0.00,0.00,22.00,0.71,0.01,8.00,0.26,0.01,1.00,0.03,0.01,0.00,0.00,0.00,24.00,0.77,0.01,5.00,0.16,0.01,2.00,0.07,0.02,0.00,0.00,0.00
PUEBLA,59.00,0.44,0.04,69.00,0.52,0.03,4.00,0.03,0.01,1.00,0.01,0.03,98.00,0.74,0.03,34.00,0.26,0.03,1.00,0.01,0.02,0.00,0.00,0.00,64.00,0.48,0.03,58.00,0.44,0.03,11.00,0.08,0.04,0.00,0.00,0.00,89.00,0.67,0.03,41.00,0.31,0.03,3.00,0.02,0.03,0.00,0.00,0.00,91.00,0.68,0.03,37.00,0.28,0.03,4.00,0.03,0.03,1.00,0.01,0.08,86.00,0.65,0.03,41.00,0.31,0.03,6.00,0.05,0.06,0.00,0.00,0.00,101.00,0.76,0.03,30.00,0.23,0.04,2.00,0.02,0.04,0.00,0.00,0.00,91.00,0.68,0.03,41.00,0.31,0.03,1.00,0.01,0.01,0.00,0.00,0.00,103.00,0.77,0.03,28.00,0.21,0.03,2.00,0.02,0.02,0.00,0.00,0.00
QUERÉTARO,60.00,0.31,0.04,104.00,0.55,0.05,24.00,0.13,0.06,3.00,0.02,0.09,130.00,0.68,0.04,54.00,0.28,0.05,6.00,0.03,0.10,1.00,0.01,0.33,86.00,0.45,0.04,86.00,0.45,0.05,18.00,0.09,0.06,1.00,0.01,0.14,124.00,0.65,0.04,59.00,0.31,0.05,7.00,0.04,0.08,1.00,0.01,0.33,128.00,0.67,0.04,54.00,0.28,0.05,8.00,0.04,0.07,1.00,0.01,0.08,118.00,0.62,0.04,63.00,0.33,0.05,8.00,0.04,0.07,2.00,0.01,0.29,145.00,0.76,0.04,41.00,0.22,0.05,4.00,0.02,0.07,1.00,0.01,0.33,122.00,0.64,0.04,62.00,0.33,0.05,6.00,0.03,0.06,1.00,0.01,0.14,132.00,0.69,0.04,55.00,0.29,0.05,3.00,0.02,0.03,1.00,0.01,0.20
QUINTANA ROO,57.00,0.34,0.04,94.00,0.55,0.04,18.00,0.11,0.04,1.00,0.01,0.03,121.00,0.71,0.04,47.00,0.28,0.04,2.00,0.01,0.03,0.00,0.00,0.00,82.00,0.48,0.04,73.00,0.43,0.04,14.00,0.08,0.05,1.00,0.01,0.14,113.00,0.67,0.04,53.00,0.31,0.04,4.00,0.02,0.04,0.00,0.00,0.00,119.00,0.70,0.04,47.00,0.28,0.04,3.00,0.02,0.02,1.00,0.01,0.08,115.00,0.68,0.04,49.00,0.29,0.04,6.00,0.04,0.06,0.00,0.00,0.00,140.00,0.82,0.04,29.00,0.17,0.04,1.00,0.01,0.02,0.00,0.00,0.00,122.00,0.72,0.04,43.00,0.25,0.04,5.00,0.03,0.05,0.00,0.00,0.00,126.00,0.74,0.04,40.00,0.24,0.04,4.00,0.02,0.05,0.00,0.00,0.00
SAN LUIS POTOSÍ,58.00,0.34,0.04,96.00,0.57,0.04,15.00,0.09,0.04,0.00,0.00,0.00,118.00,0.70,0.04,49.00,0.29,0.04,2.00,0.01,0.03,0.00,0.00,0.00,83.00,0.49,0.04,76.00,0.45,0.04,10.00,0.06,0.03,0.00,0.00,0.00,112.00,0.66,0.04,54.00,0.32,0.04,3.00,0.02,0.03,0.00,0.00,0.00,120.00,0.71,0.04,46.00,0.27,0.04,2.00,0.01,0.02,1.00,0.01,0.08,103.00,0.61,0.04,62.00,0.37,0.05,4.00,0.02,0.04,0.00,0.00,0.00,142.00,0.84,0.04,26.00,0.15,0.03,1.00,0.01,0.02,0.00,0.00,0.00,118.00,0.70,0.04,47.00,0.28,0.04,4.00,0.02,0.04,0.00,0.00,0.00,127.00,0.75,0.04,40.00,0.24,0.04,2.00,0.01,0.02,0.00,0.00,0.00
SINALOA,67.00,0.35,0.05,102.00,0.53,0.04,19.00,0.10,0.04,3.00,0.02,0.09,156.00,0.82,0.05,35.00,0.18,0.03,0.00,0.00,0.00,0.00,0.00,0.00,119.00,0.62,0.06,64.00,0.34,0.04,7.00,0.04,0.02,1.00,0.01,0.14,153.00,0.80,0.05,34.00,0.18,0.03,3.00,0.02,0.03,1.00,0.01,0.33,142.00,0.74,0.05,44.00,0.23,0.04,5.00,0.03,0.04,0.00,0.00,0.00,140.00,0.73,0.05,46.00,0.24,0.04,5.00,0.03,0.05,0.00,0.00,0.00,163.00,0.85,0.05,25.00,0.13,0.03,2.00,0.01,0.04,1.00,0.01,0.33,150.00,0.79,0.05,37.00,0.19,0.03,2.00,0.01,0.02,2.00,0.01,0.29,152.00,0.80,0.05,36.00,0.19,0.03,3.00,0.02,0.03,0.00,0.00,0.00
