Entidad,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
ESTADO DE MÉXICO,86.00,0.53,0.03,62.00,0.39,0.04,13.00,0.08,0.05,0.00,0.00,0.00,101.00,0.63,0.04,55.00,0.34,0.04,5.00,0.03,0.06,0.00,0.00,0.00,11.00,0.07,0.04,12.00,0.08,0.03,86.00,0.53,0.05,52.00,0.32,0.03,72.00,0.45,0.03,68.00,0.42,0.04,20.00,0.12,0.05,1.00,0.01,0.07,85.00,0.53,0.04,61.00,0.38,0.04,14.00,0.09,0.05,1.00,0.01,0.11,5.00,0.03,0.02,13.00,0.08,0.04,72.00,0.45,0.04,71.00,0.44,0.04,87.00,0.54,0.04,62.00,0.39,0.04,9.00,0.06,0.04,3.00,0.02,0.12,70.00,0.44,0.04,75.00,0.47,0.04,15.00,0.09,0.04,1.00,0.01,0.06,78.00,0.48,0.04,67.00,0.42,0.04,15.00,0.09,0.04,1.00,0.01,0.05,92.00,0.57,0.04,56.00,0.35,0.04,12.00,0.08,0.06,1.00,0.01,0.14,92.00,0.57,0.04,58.00,0.36,0.04,10.00,0.06,0.05,1.00,0.01,0.25
GUANAJUATO,105.00,0.63,0.04,58.00,0.35,0.04,5.00,0.03,0.02,0.00,0.00,0.00,128.00,0.76,0.04,37.00,0.22,0.03,3.00,0.02,0.03,0.00,0.00,0.00,14.00,0.08,0.05,11.00,0.07,0.03,69.00,0.41,0.04,74.00,0.44,0.04,94.00,0.56,0.04,60.00,0.36,0.04,13.00,0.08,0.03,1.00,0.01,0.07,105.00,0.63,0.05,56.00,0.33,0.03,6.00,0.04,0.02,1.00,0.01,0.11,8.00,0.05,0.04,11.00,0.07,0.03,60.00,0.36,0.04,89.00,0.53,0.05,110.00,0.66,0.04,56.00,0.33,0.04,2.00,0.01,0.01,0.00,0.00,0.00,91.00,0.54,0.05,65.00,0.39,0.03,12.00,0.07,0.03,0.00,0.00,0.00,91.00,0.54,0.04,64.00,0.38,0.04,13.00,0.08,0.04,0.00,0.00,0.00,99.00,0.59,0.04,63.00,0.38,0.04,6.00,0.04,0.03,0.00,0.00,0.00,112.00,0.67,0.05,49.00,0.29,0.03,7.00,0.04,0.04,0.00,0.00,0.00
GUERRERO,24.00,0.57,0.01,14.00,0.33,0.01,4.00,0.10,0.01,0.00,0.00,0.00,30.00,0.71,0.01,11.00,0.26,0.01,1.00,0.02,0.01,0.00,0.00,0.00,1.00,0.02,0.00,2.00,0.05,0.01,15.00,0.36,0.01,24.00,0.57,0.01,22.00,0.52,0.01,17.00,0.41,0.01,3.00,0.07,0.01,0.00,0.00,0.00,15.00,0.36,0.01,24.00,0.57,0.01,2.00,0.05,0.01,1.00,0.02,0.11,3.00,0.07,0.01,2.00,0.05,0.01,14.00,0.33,0.01,23.00,0.55,0.01,26.00,0.62,0.01,14.00,0.33,0.01,2.00,0.05,0.01,0.00,0.00,0.00,23.00,0.55,0.01,18.00,0.43,0.01,1.00,0.02,0.00,0.00,0.00,0.00,22.00,0.52,0.01,18.00,0.43,0.01,2.00,0.05,0.01,0.00,0.00,0.00,23.00,0.55,0.01,17.00,0.41,0.01,2.00,0.05,0.01,0.00,0.00,0.00,23.00,0.55,0.01,19.00,0.45,0.01,0.00,0.00,0.00,0.00,0.00,0.00
HIDALGO,98.00,0.63,0.04,44.00,0.28,0.03,13.00,0.08,0.05,0.00,0.00,0.00,106.00,0.68,0.04,46.00,0.30,0.04,3.00,0.02,0.03,0.00,0.00,0.00,9.00,0.06,0.03,16.00,0.10,0.05,61.00,0.39,0.03,69.00,0.45,0.04,83.00,0.54,0.04,62.00,0.40,0.04,10.00,0.07,0.03,0.00,0.00,0.00,79.00,0.51,0.04,66.00,0.43,0.04,10.00,0.07,0.04,0.00,0.00,0.00,10.00,0.07,0.05,13.00,0.08,0.04,60.00,0.39,0.04,72.00,0.47,0.04,92.00,0.59,0.04,54.00,0.35,0.04,9.00,0.06,0.04,0.00,0.00,0.00,81.00,0.52,0.04,62.00,0.40,0.03,12.00,0.08,0.03,0.00,0.00,0.00,77.00,0.50,0.04,69.00,0.45,0.04,9.00,0.06,0.02,0.00,0.00,0.00,88.00,0.57,0.04,61.00,0.39,0.04,6.00,0.04,0.03,0.00,0.00,0.00,91.00,0.59,0.04,58.00,0.37,0.04,6.00,0.04,0.03,0.00,0.00,0.00
JALISCO,82.00,0.61,0.03,47.00,0.35,0.03,6.00,0.04,0.02,0.00,0.00,0.00,101.00,0.75,0.04,31.00,0.23,0.02,3.00,0.02,0.03,0.00,0.00,0.00,8.00,0.06,0.03,19.00,0.14,0.05,59.00,0.44,0.03,49.00,0.36,0.03,78.00,0.58,0.04,48.00,0.36,0.03,9.00,0.07,0.02,0.00,0.00,0.00,86.00,0.64,0.04,41.00,0.30,0.02,8.00,0.06,0.03,0.00,0.00,0.00,4.00,0.03,0.02,15.00,0.11,0.05,47.00,0.35,0.03,69.00,0.51,0.04,88.00,0.65,0.04,42.00,0.31,0.03,5.00,0.04,0.02,0.00,0.00,0.00,69.00,0.51,0.04,54.00,0.40,0.03,12.00,0.09,0.03,0.00,0.00,0.00,73.00,0.54,0.03,53.00,0.39,0.03,9.00,0.07,0.02,0.00,0.00,0.00,86.00,0.64,0.04,42.00,0.31,0.03,7.00,0.05,0.03,0.00,0.00,0.00,82.00,0.61,0.03,47.00,0.35,0.03,6.00,0.04,0.03,0.00,0.00,0.00
MICHOACÁN,17.00,0.52,0.01,11.00,0.33,0.01,5.00,0.15,0.02,0.00,0.00,0.00,19.00,0.58,0.01,13.00,0.39,0.01,1.00,0.03,0.01,0.00,0.00,0.00,3.00,0.09,0.01,1.00,0.03,0.00,17.00,0.52,0.01,12.00,0.36,0.01,18.00,0.55,0.01,12.00,0.36,0.01,3.00,0.09,0.01,0.00,0.00,0.00,15.00,0.46,0.01,16.00,0.49,0.01,2.00,0.06,0.01,0.00,0.00,0.00,3.00,0.09,0.01,2.00,0.06,0.01,12.00,0.36,0.01,16.00,0.49,0.01,19.00,0.58,0.01,12.00,0.36,0.01,2.00,0.06,0.01,0.00,0.00,0.00,15.00,0.46,0.01,14.00,0.42,0.01,4.00,0.12,0.01,0.00,0.00,0.00,16.00,0.49,0.01,15.00,0.46,0.01,2.00,0.06,0.01,0.00,0.00,0.00,20.00,0.61,0.01,12.00,0.36,0.01,1.00,0.03,0.01,0.00,0.00,0.00,17.00,0.52,0.01,15.00,0.46,0.01,1.00,0.03,0.01,0.00,0.00,0.00
MORELOS,99.00,0.56,0.04,62.00,0.35,0.04,16.00,0.09,0.06,0.00,0.00,0.00,121.00,0.68,0.04,51.00,0.29,0.04,5.00,0.03,0.06,0.00,0.00,0.00,13.00,0.07,0.05,17.00,0.10,0.05,83.00,0.47,0.04,64.00,0.36,0.04,89.00,0.50,0.04,73.00,0.41,0.05,15.00,0.09,0.04,0.00,0.00,0.00,82.00,0.46,0.04,83.00,0.47,0.05,12.00,0.07,0.04,0.00,0.00,0.00,14.00,0.08,0.06,17.00,0.10,0.05,69.00,0.39,0.04,77.00,0.44,0.04,102.00,0.58,0.04,63.00,0.36,0.04,10.00,0.06,0.05,2.00,0.01,0.08,76.00,0.43,0.04,85.00,0.48,0.04,12.00,0.07,0.03,4.00,0.02,0.24,89.00,0.50,0.04,70.00,0.40,0.04,16.00,0.09,0.04,2.00,0.01,0.11,95.00,0.54,0.04,73.00,0.41,0.05,9.00,0.05,0.04,0.00,0.00,0.00,97.00,0.55,0.04,70.00,0.40,0.04,10.00,0.06,0.05,0.00,0.00,0.00
NAYARIT,83.00,0.55,0.03,50.00,0.33,0.03,18.00,0.12,0.06,0.00,0.00,0.00,90.00,0.60,0.03,54.00,0.36,0.04,7.00,0.05,0.08,0.00,0.00,0.00,11.00,0.07,0.04,11.00,0.07,0.03,74.00,0.49,0.04,55.00,0.36,0.03,62.00,0.41,0.03,73.00,0.48,0.05,15.00,0.10,0.04,1.00,0.01,0.07,60.00,0.40,0.03,77.00,0.51,0.05,12.00,0.08,0.04,2.00,0.01,0.22,7.00,0.05,0.03,9.00,0.06,0.03,66.00,0.44,0.04,69.00,0.46,0.04,78.00,0.52,0.03,60.00,0.40,0.04,13.00,0.09,0.06,0.00,0.00,0.00,58.00,0.38,0.03,71.00,0.47,0.04,19.00,0.13,0.05,3.00,0.02,0.18,59.00,0.39,0.03,74.00,0.49,0.04,18.00,0.12,0.05,0.00,0.00,0.00,75.00,0.50,0.03,61.00,0.40,0.04,15.00,0.10,0.07,0.00,0.00,0.00,77.00,0.51,0.03,62.00,0.41,0.04,12.00,0.08,0.06,0.00,0.00,0.00
NUEVO LEÓN,21.00,0.68,0.01,9.00,0.29,0.01,1.00,0.03,0.00,0.00,0.00,0.00,20.00,0.65,0.01,11.00,0.36,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.03,0.00,5.00,0.16,0.01,10.00,0.32,0.01,15.00,0.48,0.01,20.00,0.65,0.01,8.00,0.26,0.01,3.00,0.10,0.01,0.00,0.00,0.00,21.00,0.68,0.01,8.00,0.26,0.01,2.00,0.07,0.01,0.00,0.00,0.00,4.00,0.13,0.02,1.00,0.03,0.00,8.00,0.26,0.01,18.00,0.58,0.01,25.00,0.81,0.01,6.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.55,0.01,12.00,0.39,0.01,2.00,0.07,0.01,0.00,0.00,0.00,16.00,0.52,0.01,13.00,0.42,0.01,2.00,0.07,0.01,0.00,0.00,0.00,19.00,0.61,0.01,11.00,0.36,0.01,1.00,0.03,0.01,0.00,0.00,0.00,22.00,0.71,0.01,8.00,0.26,0.01,1.00,0.03,0.01,0.00,0.00,0.00
PUEBLA,79.00,0.59,0.03,40.00,0.30,0.03,13.00,0.10,0.05,1.00,0.01,0.20,94.00,0.71,0.03,34.00,0.26,0.03,4.00,0.03,0.05,1.00,0.01,0.17,7.00,0.05,0.03,7.00,0.05,0.02,57.00,0.43,0.03,62.00,0.47,0.04,70.00,0.53,0.03,49.00,0.37,0.03,14.00,0.11,0.04,0.00,0.00,0.00,74.00,0.56,0.03,50.00,0.38,0.03,9.00,0.07,0.03,0.00,0.00,0.00,5.00,0.04,0.02,1.00,0.01,0.00,48.00,0.36,0.03,79.00,0.59,0.04,81.00,0.61,0.03,44.00,0.33,0.03,8.00,0.06,0.04,0.00,0.00,0.00,69.00,0.52,0.04,59.00,0.44,0.03,5.00,0.04,0.01,0.00,0.00,0.00,70.00,0.53,0.03,54.00,0.41,0.03,8.00,0.06,0.02,1.00,0.01,0.05,83.00,0.62,0.03,44.00,0.33,0.03,6.00,0.05,0.03,0.00,0.00,0.00,76.00,0.57,0.03,50.00,0.38,0.03,7.00,0.05,0.04,0.00,0.00,0.00
QUERÉTARO,118.00,0.62,0.05,60.00,0.31,0.04,13.00,0.07,0.05,0.00,0.00,0.00,134.00,0.70,0.05,52.00,0.27,0.04,4.00,0.02,0.05,1.00,0.01,0.17,11.00,0.06,0.04,15.00,0.08,0.04,78.00,0.41,0.04,87.00,0.46,0.05,87.00,0.46,0.04,79.00,0.41,0.05,24.00,0.13,0.06,1.00,0.01,0.07,96.00,0.50,0.04,82.00,0.43,0.05,11.00,0.06,0.04,2.00,0.01,0.22,10.00,0.05,0.05,20.00,0.11,0.06,81.00,0.42,0.05,80.00,0.42,0.04,104.00,0.55,0.04,72.00,0.38,0.05,13.00,0.07,0.06,2.00,0.01,0.08,72.00,0.38,0.04,95.00,0.50,0.05,24.00,0.13,0.06,0.00,0.00,0.00,82.00,0.43,0.04,87.00,0.46,0.05,22.00,0.12,0.06,0.00,0.00,0.00,98.00,0.51,0.04,80.00,0.42,0.05,12.00,0.06,0.06,1.00,0.01,0.14,99.00,0.52,0.04,83.00,0.44,0.05,9.00,0.05,0.05,0.00,0.00,0.00
QUINTANA ROO,100.00,0.59,0.04,57.00,0.34,0.04,13.00,0.08,0.05,0.00,0.00,0.00,116.00,0.68,0.04,54.00,0.32,0.04,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.09,0.05,15.00,0.09,0.04,81.00,0.48,0.04,59.00,0.35,0.03,91.00,0.54,0.04,64.00,0.38,0.04,14.00,0.08,0.04,1.00,0.01,0.07,97.00,0.57,0.04,62.00,0.37,0.04,10.00,0.06,0.04,1.00,0.01,0.11,13.00,0.08,0.06,11.00,0.07,0.03,74.00,0.44,0.04,72.00,0.42,0.04,95.00,0.56,0.04,68.00,0.40,0.05,6.00,0.04,0.03,1.00,0.01,0.04,77.00,0.45,0.04,81.00,0.48,0.04,12.00,0.07,0.03,0.00,0.00,0.00,99.00,0.58,0.05,57.00,0.34,0.03,13.00,0.08,0.04,1.00,0.01,0.05,103.00,0.61,0.04,61.00,0.36,0.04,5.00,0.03,0.02,1.00,0.01,0.14,101.00,0.59,0.04,65.00,0.38,0.04,4.00,0.02,0.02,0.00,0.00,0.00
SAN LUIS POTOSÍ,102.00,0.60,0.04,57.00,0.34,0.04,10.00,0.06,0.03,0.00,0.00,0.00,124.00,0.73,0.04,43.00,0.25,0.03,1.00,0.01,0.01,1.00,0.01,0.17,9.00,0.05,0.03,11.00,0.07,0.03,60.00,0.36,0.03,89.00,0.53,0.05,94.00,0.56,0.04,63.00,0.37,0.04,12.00,0.07,0.03,0.00,0.00,0.00,92.00,0.54,0.04,68.00,0.40,0.04,9.00,0.05,0.03,0.00,0.00,0.00,10.00,0.06,0.05,8.00,0.05,0.02,49.00,0.29,0.03,102.00,0.60,0.05,108.00,0.64,0.04,53.00,0.31,0.04,6.00,0.04,0.03,2.00,0.01,0.08,87.00,0.52,0.05,73.00,0.43,0.04,9.00,0.05,0.02,0.00,0.00,0.00,96.00,0.57,0.05,63.00,0.37,0.04,10.00,0.06,0.03,0.00,0.00,0.00,104.00,0.62,0.04,57.00,0.34,0.04,8.00,0.05,0.04,0.00,0.00,0.00,102.00,0.60,0.04,59.00,0.35,0.04,8.00,0.05,0.04,0.00,0.00,0.00
SINALOA,115.00,0.60,0.05,71.00,0.37,0.05,5.00,0.03,0.02,0.00,0.00,0.00,125.00,0.65,0.04,62.00,0.33,0.05,3.00,0.02,0.03,1.00,0.01,0.17,16.00,0.08,0.06,11.00,0.06,0.03,76.00,0.40,0.04,88.00,0.46,0.05,110.00,0.58,0.05,69.00,0.36,0.04,12.00,0.06,0.03,0.00,0.00,0.00,107.00,0.56,0.05,78.00,0.41,0.05,6.00,0.03,0.02,0.00,0.00,0.00,9.00,0.05,0.04,11.00,0.06,0.03,85.00,0.45,0.05,86.00,0.45,0.04,112.00,0.59,0.05,70.00,0.37,0.05,8.00,0.04,0.04,1.00,0.01,0.04,77.00,0.40,0.04,97.00,0.51,0.05,15.00,0.08,0.04,2.00,0.01,0.12,96.00,0.50,0.05,82.00,0.43,0.05,12.00,0.06,0.03,1.00,0.01,0.05,116.00,0.61,0.05,67.00,0.35,0.04,8.00,0.04,0.04,0.00,0.00,0.00,114.00,0.60,0.05,67.00,0.35,0.04,10.00,0.05,0.05,0.00,0.00,0.00
SONORA,91.00,0.62,0.04,51.00,0.35,0.04,4.00,0.03,0.01,1.00,0.01,0.20,105.00,0.71,0.04,38.00,0.26,0.03,4.00,0.03,0.05,0.00,0.00,0.00,14.00,0.10,0.05,4.00,0.03,0.01,56.00,0.38,0.03,73.00,0.50,0.04,94.00,0.64,0.04,40.00,0.27,0.03,12.00,0.08,0.03,1.00,0.01,0.07,87.00,0.59,0.04,51.00,0.35,0.03,9.00,0.06,0.03,0.00,0.00,0.00,7.00,0.05,0.03,10.00,0.07,0.03,51.00,0.35,0.03,79.00,0.54,0.04,96.00,0.65,0.04,44.00,0.30,0.03,7.00,0.05,0.03,0.00,0.00,0.00,66.00,0.45,0.03,66.00,0.45,0.03,14.00,0.10,0.04,1.00,0.01,0.06,84.00,0.57,0.04,50.00,0.34,0.03,12.00,0.08,0.03,1.00,0.01,0.05,104.00,0.71,0.04,37.00,0.25,0.02,6.00,0.04,0.03,0.00,0.00,0.00,93.00,0.63,0.04,49.00,0.33,0.03,5.00,0.03,0.03,0.00,0.00,0.00
TABASCO,74.00,0.57,0.03,46.00,0.35,0.03,10.00,0.08,0.03,0.00,0.00,0.00,84.00,0.65,0.03,39.00,0.30,0.03,7.00,0.05,0.08,0.00,0.00,0.00,13.00,0.10,0.05,10.00,0.08,0.03,54.00,0.42,0.03,53.00,0.41,0.03,74.00,0.57,0.03,44.00,0.34,0.03,12.00,0.09,0.03,0.00,0.00,0.00,67.00,0.52,0.03,47.00,0.36,0.03,15.00,0.12,0.05,1.00,0.01,0.11,5.00,0.04,0.02,15.00,0.12,0.05,44.00,0.34,0.03,66.00,0.51,0.03,84.00,0.65,0.03,35.00,0.27,0.02,11.00,0.09,0.05,0.00,0.00,0.00,63.00,0.49,0.03,57.00,0.44,0.03,10.00,0.08,0.03,0.00,0.00,0.00,67.00,0.52,0.03,53.00,0.41,0.03,9.00,0.07,0.02,1.00,0.01,0.05,73.00,0.56,0.03,48.00,0.37,0.03,9.00,0.07,0.04,0.00,0.00,0.00,77.00,0.59,0.03,39.00,0.30,0.03,14.00,0.11,0.07,0.00,0.00,0.00
TAMAULIPAS,94.00,0.63,0.04,51.00,0.34,0.04,5.00,0.03,0.02,0.00,0.00,0.00,101.00,0.67,0.04,48.00,0.32,0.04,1.00,0.01,0.01,0.00,0.00,0.00,6.00,0.04,0.02,12.00,0.08,0.03,64.00,0.43,0.03,68.00,0.45,0.04,83.00,0.55,0.04,59.00,0.39,0.04,7.00,0.05,0.02,1.00,0.01,0.07,89.00,0.59,0.04,56.00,0.37,0.03,5.00,0.03,0.02,0.00,0.00,0.00,5.00,0.03,0.02,8.00,0.05,0.02,55.00,0.37,0.03,82.00,0.55,0.04,89.00,0.59,0.04,54.00,0.36,0.04,6.00,0.04,0.03,1.00,0.01,0.04,77.00,0.51,0.04,68.00,0.45,0.04,5.00,0.03,0.01,0.00,0.00,0.00,90.00,0.60,0.04,53.00,0.35,0.03,6.00,0.04,0.02,1.00,0.01,0.05,97.00,0.65,0.04,51.00,0.34,0.03,2.00,0.01,0.01,0.00,0.00,0.00,100.00,0.67,0.04,48.00,0.32,0.03,2.00,0.01,0.01,0.00,0.00,0.00
TLAXCALA,77.00,0.49,0.03,62.00,0.40,0.04,18.00,0.12,0.06,0.00,0.00,0.00,91.00,0.58,0.03,65.00,0.41,0.05,1.00,0.01,0.01,0.00,0.00,0.00,10.00,0.06,0.04,13.00,0.08,0.04,89.00,0.57,0.05,45.00,0.29,0.03,60.00,0.38,0.03,76.00,0.48,0.05,21.00,0.13,0.05,0.00,0.00,0.00,63.00,0.40,0.03,80.00,0.51,0.05,14.00,0.09,0.05,0.00,0.00,0.00,4.00,0.03,0.02,13.00,0.08,0.04,83.00,0.53,0.05,57.00,0.36,0.03,71.00,0.45,0.03,74.00,0.47,0.05,10.00,0.06,0.05,2.00,0.01,0.08,61.00,0.39,0.03,71.00,0.45,0.04,24.00,0.15,0.06,1.00,0.01,0.06,67.00,0.43,0.03,73.00,0.47,0.04,17.00,0.11,0.05,0.00,0.00,0.00,73.00,0.47,0.03,65.00,0.41,0.04,19.00,0.12,0.09,0.00,0.00,0.00,76.00,0.48,0.03,73.00,0.47,0.05,8.00,0.05,0.04,0.00,0.00,0.00
VERACRUZ,68.00,0.61,0.03,30.00,0.27,0.02,13.00,0.12,0.05,1.00,0.01,0.20,74.00,0.66,0.03,34.00,0.30,0.03,4.00,0.04,0.05,0.00,0.00,0.00,6.00,0.05,0.02,16.00,0.14,0.05,44.00,0.39,0.02,46.00,0.41,0.03,58.00,0.52,0.03,41.00,0.37,0.03,12.00,0.11,0.03,1.00,0.01,0.07,55.00,0.49,0.02,50.00,0.45,0.03,7.00,0.06,0.03,0.00,0.00,0.00,4.00,0.04,0.02,14.00,0.13,0.04,43.00,0.38,0.03,51.00,0.46,0.03,63.00,0.56,0.03,39.00,0.35,0.03,10.00,0.09,0.05,0.00,0.00,0.00,53.00,0.47,0.03,44.00,0.39,0.02,14.00,0.13,0.04,1.00,0.01,0.06,52.00,0.46,0.02,43.00,0.38,0.03,15.00,0.13,0.04,2.00,0.02,0.11,61.00,0.55,0.03,39.00,0.35,0.03,11.00,0.10,0.05,1.00,0.01,0.14,68.00,0.61,0.03,35.00,0.31,0.02,9.00,0.08,0.05,0.00,0.00,0.00
YUCATÁN,56.00,0.55,0.02,39.00,0.39,0.03,6.00,0.06,0.02,0.00,0.00,0.00,68.00,0.67,0.02,29.00,0.29,0.02,4.00,0.04,0.05,0.00,0.00,0.00,5.00,0.05,0.02,7.00,0.07,0.02,52.00,0.52,0.03,37.00,0.37,0.02,55.00,0.55,0.02,36.00,0.36,0.02,10.00,0.10,0.03,0.00,0.00,0.00,44.00,0.44,0.02,50.00,0.50,0.03,7.00,0.07,0.03,0.00,0.00,0.00,5.00,0.05,0.02,9.00,0.09,0.03,44.00,0.44,0.03,43.00,0.43,0.02,54.00,0.54,0.02,42.00,0.42,0.03,4.00,0.04,0.02,1.00,0.01,0.04,38.00,0.38,0.02,50.00,0.50,0.03,13.00,0.13,0.03,0.00,0.00,0.00,48.00,0.48,0.02,45.00,0.45,0.03,7.00,0.07,0.02,1.00,0.01,0.05,50.00,0.50,0.02,48.00,0.48,0.03,3.00,0.03,0.01,0.00,0.00,0.00,52.00,0.52,0.02,44.00,0.44,0.03,5.00,0.05,0.03,0.00,0.00,0.00
ZACATECAS,96.00,0.51,0.04,74.00,0.40,0.05,16.00,0.09,0.06,1.00,0.01,0.20,116.00,0.62,0.04,68.00,0.36,0.05,3.00,0.02,0.03,0.00,0.00,0.00,11.00,0.06,0.04,16.00,0.09,0.05,88.00,0.47,0.05,72.00,0.39,0.04,83.00,0.44,0.04,76.00,0.41,0.05,26.00,0.14,0.07,2.00,0.01,0.14,82.00,0.44,0.04,80.00,0.43,0.05,25.00,0.13,0.09,0.00,0.00,0.00,6.00,0.03,0.03,20.00,0.11,0.06,91.00,0.49,0.05,70.00,0.37,0.04,91.00,0.49,0.04,84.00,0.45,0.06,11.00,0.06,0.05,1.00,0.01,0.04,72.00,0.39,0.04,85.00,0.46,0.04,29.00,0.16,0.08,1.00,0.01,0.06,77.00,0.41,0.04,86.00,0.46,0.05,23.00,0.12,0.06,1.00,0.01,0.05,85.00,0.46,0.04,89.00,0.48,0.06,13.00,0.07,0.06,0.00,0.00,0.00,80.00,0.43,0.03,96.00,0.51,0.06,11.00,0.06,0.05,0.00,0.00,0.00
