Entidad,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
GUERRERO,3.00,0.15,0.00,16.00,0.80,0.00,1.00,0.05,0.00,0.00,0.00,0.00,7.00,0.35,0.00,13.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.10,0.00,14.00,0.70,0.00,3.00,0.15,0.00,1.00,0.05,0.00,7.00,0.35,0.00,12.00,0.60,0.00,1.00,0.05,0.00,0.00,0.00,0.00,6.00,0.30,0.00,11.00,0.55,0.00,2.00,0.10,0.00,1.00,0.05,0.01,9.00,0.45,0.00,10.00,0.50,0.00,0.00,0.00,0.00,1.00,0.05,0.01,5.00,0.25,0.00,12.00,0.60,0.00,3.00,0.15,0.00,0.00,0.00,0.00,4.00,0.20,0.00,14.00,0.70,0.00,2.00,0.10,0.00,0.00,0.00,0.00
HIDALGO,126.00,0.38,0.03,177.00,0.54,0.03,26.00,0.08,0.03,1.00,0.00,0.02,119.00,0.36,0.03,192.00,0.58,0.03,18.00,0.06,0.03,1.00,0.00,0.03,125.00,0.38,0.03,158.00,0.48,0.03,36.00,0.11,0.03,11.00,0.03,0.05,143.00,0.43,0.03,161.00,0.49,0.03,26.00,0.08,0.04,0.00,0.00,0.00,131.00,0.40,0.03,166.00,0.50,0.03,30.00,0.09,0.04,3.00,0.01,0.03,131.00,0.40,0.03,175.00,0.53,0.03,20.00,0.06,0.03,4.00,0.01,0.05,128.00,0.39,0.03,178.00,0.54,0.03,20.00,0.06,0.03,4.00,0.01,0.06,102.00,0.31,0.03,194.00,0.59,0.03,29.00,0.09,0.03,5.00,0.02,0.05
JALISCO,92.00,0.39,0.02,119.00,0.51,0.02,24.00,0.10,0.03,0.00,0.00,0.00,90.00,0.38,0.02,125.00,0.53,0.02,19.00,0.08,0.03,1.00,0.00,0.03,95.00,0.40,0.02,108.00,0.46,0.02,29.00,0.12,0.02,3.00,0.01,0.01,113.00,0.48,0.03,100.00,0.43,0.02,21.00,0.09,0.03,1.00,0.00,0.02,101.00,0.43,0.02,113.00,0.48,0.02,19.00,0.08,0.02,2.00,0.01,0.02,110.00,0.47,0.02,110.00,0.47,0.02,12.00,0.05,0.02,3.00,0.01,0.04,97.00,0.41,0.02,119.00,0.51,0.02,18.00,0.08,0.03,1.00,0.00,0.02,81.00,0.35,0.02,128.00,0.55,0.02,24.00,0.10,0.02,2.00,0.01,0.02
MICHOACÁN,6.00,0.17,0.00,29.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.37,0.00,21.00,0.60,0.00,1.00,0.03,0.00,0.00,0.00,0.00,13.00,0.37,0.00,14.00,0.40,0.00,8.00,0.23,0.01,0.00,0.00,0.00,15.00,0.43,0.00,19.00,0.54,0.00,1.00,0.03,0.00,0.00,0.00,0.00,14.00,0.40,0.00,21.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.31,0.00,24.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.31,0.00,24.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.29,0.00,22.00,0.63,0.00,2.00,0.06,0.00,1.00,0.03,0.01
MORELOS,110.00,0.31,0.03,218.00,0.61,0.03,29.00,0.08,0.04,2.00,0.01,0.05,103.00,0.29,0.03,220.00,0.61,0.03,34.00,0.10,0.05,2.00,0.01,0.05,131.00,0.37,0.03,172.00,0.48,0.03,46.00,0.13,0.04,10.00,0.03,0.04,128.00,0.36,0.03,194.00,0.54,0.03,33.00,0.09,0.05,4.00,0.01,0.06,143.00,0.40,0.03,186.00,0.52,0.03,24.00,0.07,0.03,6.00,0.02,0.06,141.00,0.39,0.03,195.00,0.54,0.03,23.00,0.06,0.04,0.00,0.00,0.00,137.00,0.38,0.03,193.00,0.54,0.03,27.00,0.08,0.04,2.00,0.01,0.03,117.00,0.33,0.03,210.00,0.59,0.03,28.00,0.08,0.03,4.00,0.01,0.04
NAYARIT,135.00,0.30,0.04,269.00,0.60,0.04,40.00,0.09,0.05,2.00,0.00,0.05,135.00,0.30,0.04,280.00,0.63,0.04,27.00,0.06,0.04,4.00,0.01,0.10,143.00,0.32,0.04,247.00,0.55,0.04,45.00,0.10,0.04,11.00,0.03,0.05,178.00,0.40,0.04,234.00,0.53,0.04,29.00,0.07,0.04,5.00,0.01,0.08,159.00,0.36,0.04,247.00,0.55,0.04,34.00,0.08,0.04,6.00,0.01,0.06,172.00,0.39,0.04,250.00,0.56,0.04,18.00,0.04,0.03,6.00,0.01,0.07,149.00,0.33,0.04,268.00,0.60,0.04,26.00,0.06,0.04,3.00,0.01,0.05,124.00,0.28,0.04,273.00,0.61,0.04,43.00,0.10,0.04,6.00,0.01,0.06
PUEBLA,136.00,0.35,0.04,237.00,0.60,0.04,20.00,0.05,0.02,0.00,0.00,0.00,128.00,0.33,0.03,245.00,0.62,0.04,20.00,0.05,0.03,0.00,0.00,0.00,145.00,0.37,0.04,204.00,0.52,0.04,42.00,0.11,0.03,2.00,0.01,0.01,170.00,0.43,0.04,208.00,0.53,0.03,15.00,0.04,0.02,0.00,0.00,0.00,150.00,0.38,0.04,219.00,0.56,0.04,24.00,0.06,0.03,0.00,0.00,0.00,179.00,0.46,0.04,197.00,0.50,0.03,17.00,0.04,0.03,0.00,0.00,0.00,161.00,0.41,0.04,217.00,0.55,0.03,15.00,0.04,0.02,0.00,0.00,0.00,124.00,0.32,0.04,235.00,0.60,0.04,33.00,0.08,0.03,1.00,0.00,0.01
QUERÉTARO,144.00,0.28,0.04,322.00,0.63,0.05,48.00,0.09,0.06,1.00,0.00,0.02,146.00,0.28,0.04,334.00,0.65,0.05,34.00,0.07,0.05,1.00,0.00,0.03,176.00,0.34,0.04,260.00,0.51,0.04,67.00,0.13,0.05,12.00,0.02,0.05,192.00,0.37,0.04,285.00,0.55,0.05,37.00,0.07,0.05,1.00,0.00,0.02,189.00,0.37,0.04,274.00,0.53,0.05,46.00,0.09,0.06,6.00,0.01,0.06,196.00,0.38,0.04,283.00,0.55,0.05,32.00,0.06,0.06,4.00,0.01,0.05,169.00,0.33,0.04,304.00,0.59,0.05,36.00,0.07,0.05,6.00,0.01,0.10,137.00,0.27,0.04,320.00,0.62,0.05,53.00,0.10,0.05,5.00,0.01,0.05
QUINTANA ROO,150.00,0.32,0.04,282.00,0.61,0.04,28.00,0.06,0.03,3.00,0.01,0.07,147.00,0.32,0.04,291.00,0.63,0.04,21.00,0.05,0.03,4.00,0.01,0.10,169.00,0.37,0.04,244.00,0.53,0.04,45.00,0.10,0.04,5.00,0.01,0.02,198.00,0.43,0.04,235.00,0.51,0.04,28.00,0.06,0.04,2.00,0.00,0.03,188.00,0.41,0.04,244.00,0.53,0.04,29.00,0.06,0.03,2.00,0.00,0.02,217.00,0.47,0.05,226.00,0.49,0.04,18.00,0.04,0.03,2.00,0.00,0.02,181.00,0.39,0.04,259.00,0.56,0.04,19.00,0.04,0.03,4.00,0.01,0.06,159.00,0.34,0.05,268.00,0.58,0.04,33.00,0.07,0.03,3.00,0.01,0.03
SAN LUIS POTOSÍ,103.00,0.27,0.03,244.00,0.64,0.04,35.00,0.09,0.04,0.00,0.00,0.00,105.00,0.28,0.03,249.00,0.65,0.04,28.00,0.07,0.04,0.00,0.00,0.00,106.00,0.28,0.03,220.00,0.58,0.04,48.00,0.13,0.04,8.00,0.02,0.03,132.00,0.35,0.03,220.00,0.58,0.04,29.00,0.08,0.04,1.00,0.00,0.02,116.00,0.30,0.03,234.00,0.61,0.04,30.00,0.08,0.04,2.00,0.01,0.02,148.00,0.39,0.03,206.00,0.54,0.03,28.00,0.07,0.05,0.00,0.00,0.00,137.00,0.36,0.03,218.00,0.57,0.03,26.00,0.07,0.04,1.00,0.00,0.02,109.00,0.29,0.03,238.00,0.62,0.04,30.00,0.08,0.03,5.00,0.01,0.05
SINALOA,259.00,0.46,0.07,269.00,0.48,0.04,32.00,0.06,0.04,1.00,0.00,0.02,242.00,0.43,0.07,293.00,0.52,0.04,26.00,0.05,0.04,0.00,0.00,0.00,261.00,0.47,0.06,255.00,0.46,0.04,42.00,0.08,0.03,3.00,0.01,0.01,292.00,0.52,0.06,246.00,0.44,0.04,21.00,0.04,0.03,2.00,0.00,0.03,282.00,0.50,0.07,250.00,0.45,0.04,29.00,0.05,0.03,0.00,0.00,0.00,282.00,0.50,0.06,252.00,0.45,0.04,26.00,0.05,0.05,1.00,0.00,0.01,262.00,0.47,0.06,272.00,0.49,0.04,27.00,0.05,0.04,0.00,0.00,0.00,222.00,0.40,0.06,297.00,0.53,0.04,41.00,0.07,0.04,1.00,0.00,0.01
SONORA,134.00,0.41,0.04,169.00,0.52,0.03,22.00,0.07,0.03,1.00,0.00,0.02,136.00,0.42,0.04,168.00,0.52,0.02,20.00,0.06,0.03,2.00,0.01,0.05,130.00,0.40,0.03,159.00,0.49,0.03,29.00,0.09,0.02,8.00,0.03,0.03,149.00,0.46,0.03,156.00,0.48,0.03,19.00,0.06,0.03,2.00,0.01,0.03,141.00,0.43,0.03,164.00,0.50,0.03,17.00,0.05,0.02,4.00,0.01,0.04,157.00,0.48,0.03,153.00,0.47,0.03,14.00,0.04,0.02,2.00,0.01,0.02,145.00,0.45,0.04,159.00,0.49,0.03,20.00,0.06,0.03,2.00,0.01,0.03,125.00,0.38,0.04,172.00,0.53,0.03,24.00,0.07,0.02,5.00,0.02,0.05
TABASCO,121.00,0.31,0.03,227.00,0.58,0.03,42.00,0.11,0.05,2.00,0.01,0.05,126.00,0.32,0.03,242.00,0.62,0.04,23.00,0.06,0.03,1.00,0.00,0.03,118.00,0.30,0.03,205.00,0.52,0.04,56.00,0.14,0.05,13.00,0.03,0.06,140.00,0.36,0.03,212.00,0.54,0.04,35.00,0.09,0.05,5.00,0.01,0.08,138.00,0.35,0.03,214.00,0.55,0.04,38.00,0.10,0.05,2.00,0.01,0.02,171.00,0.44,0.04,199.00,0.51,0.03,16.00,0.04,0.03,6.00,0.02,0.07,137.00,0.35,0.03,230.00,0.59,0.04,23.00,0.06,0.03,2.00,0.01,0.03,112.00,0.29,0.03,229.00,0.58,0.03,46.00,0.12,0.05,5.00,0.01,0.05
TAMAULIPAS,134.00,0.31,0.04,277.00,0.64,0.04,19.00,0.04,0.02,0.00,0.00,0.00,132.00,0.31,0.04,275.00,0.64,0.04,22.00,0.05,0.03,1.00,0.00,0.03,151.00,0.35,0.04,232.00,0.54,0.04,40.00,0.09,0.03,7.00,0.02,0.03,152.00,0.35,0.03,252.00,0.59,0.04,24.00,0.06,0.03,1.00,0.00,0.02,171.00,0.40,0.04,225.00,0.52,0.04,34.00,0.08,0.04,0.00,0.00,0.00,173.00,0.40,0.04,236.00,0.55,0.04,18.00,0.04,0.03,3.00,0.01,0.04,146.00,0.34,0.04,253.00,0.59,0.04,29.00,0.07,0.04,2.00,0.01,0.03,135.00,0.31,0.04,257.00,0.60,0.04,38.00,0.09,0.04,0.00,0.00,0.00
