Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas
SONORA,774.00,0.80,0.03,198.00,0.20,0.04,821.00,0.85,0.03,151.00,0.16,0.04,798.00,0.82,0.03,174.00,0.18,0.04,569.00,0.59,0.03,403.00,0.42,0.04,876.00,0.90,0.03,96.00,0.10,0.04,889.00,0.92,0.03,83.00,0.09,0.03,670.00,0.69,0.03,302.00,0.31,0.04,658.00,0.68,0.03,314.00,0.32,0.03,833.00,0.86,0.03,139.00,0.14,0.03
TABASCO,763.00,0.82,0.03,166.00,0.18,0.03,800.00,0.86,0.03,129.00,0.14,0.03,791.00,0.85,0.03,138.00,0.15,0.03,635.00,0.68,0.04,294.00,0.32,0.03,873.00,0.94,0.03,56.00,0.06,0.02,869.00,0.94,0.03,60.00,0.07,0.02,711.00,0.77,0.03,218.00,0.24,0.03,627.00,0.68,0.03,302.00,0.33,0.03,772.00,0.83,0.03,157.00,0.17,0.04
TAMAULIPAS,964.00,0.82,0.04,209.00,0.18,0.04,986.00,0.84,0.04,188.00,0.16,0.04,959.00,0.82,0.04,215.00,0.18,0.04,755.00,0.64,0.04,419.00,0.36,0.04,1007.00,0.86,0.04,166.00,0.14,0.06,1051.00,0.90,0.04,122.00,0.10,0.05,821.00,0.70,0.04,351.00,0.30,0.05,819.00,0.70,0.04,354.00,0.30,0.04,1007.00,0.86,0.04,165.00,0.14,0.04
TLAXCALA,882.00,0.82,0.04,190.00,0.18,0.04,951.00,0.89,0.04,121.00,0.11,0.03,922.00,0.86,0.04,150.00,0.14,0.03,622.00,0.58,0.03,450.00,0.42,0.04,971.00,0.91,0.04,101.00,0.09,0.04,965.00,0.90,0.04,107.00,0.10,0.04,810.00,0.76,0.04,262.00,0.24,0.04,717.00,0.67,0.04,355.00,0.33,0.04,913.00,0.85,0.04,159.00,0.15,0.04
VERACRUZ,515.00,0.81,0.02,118.00,0.19,0.02,566.00,0.89,0.02,67.00,0.11,0.02,551.00,0.87,0.02,82.00,0.13,0.02,399.00,0.63,0.02,234.00,0.37,0.02,571.00,0.90,0.02,62.00,0.10,0.02,589.00,0.93,0.02,44.00,0.07,0.02,478.00,0.76,0.02,155.00,0.25,0.02,414.00,0.65,0.02,219.00,0.35,0.02,540.00,0.85,0.02,93.00,0.15,0.02
YUCATÁN,539.00,0.76,0.02,168.00,0.24,0.03,569.00,0.81,0.02,138.00,0.20,0.03,555.00,0.79,0.02,152.00,0.22,0.03,442.00,0.63,0.02,265.00,0.38,0.02,634.00,0.90,0.02,73.00,0.10,0.03,630.00,0.89,0.02,77.00,0.11,0.03,505.00,0.71,0.02,202.00,0.29,0.03,444.00,0.63,0.02,262.00,0.37,0.03,583.00,0.83,0.02,124.00,0.18,0.03
ZACATECAS,825.00,0.74,0.03,286.00,0.26,0.05,870.00,0.78,0.03,241.00,0.22,0.06,846.00,0.76,0.03,265.00,0.24,0.05,667.00,0.60,0.04,444.00,0.40,0.04,978.00,0.88,0.04,133.00,0.12,0.05,1003.00,0.90,0.04,108.00,0.10,0.04,813.00,0.73,0.04,298.00,0.27,0.04,705.00,0.64,0.04,406.00,0.37,0.04,878.00,0.79,0.04,233.00,0.21,0.05
Hombre,9852.00,0.79,0.41,2580.00,0.21,0.47,10603.00,0.85,0.42,1831.00,0.15,0.43,10371.00,0.83,0.42,2063.00,0.17,0.42,7616.00,0.61,0.42,4817.00,0.39,0.42,11184.00,0.90,0.42,1249.00,0.10,0.48,11186.00,0.90,0.42,1245.00,0.10,0.48,9185.00,0.74,0.42,3248.00,0.26,0.44,8514.00,0.69,0.43,3918.00,0.32,0.41,10337.00,0.83,0.41,2095.00,0.17,0.47
Mujer,14141.00,0.83,0.59,2899.00,0.17,0.53,14618.00,0.86,0.58,2423.00,0.14,0.57,14175.00,0.83,0.58,2866.00,0.17,0.58,10495.00,0.62,0.58,6546.00,0.38,0.58,15691.00,0.92,0.58,1349.00,0.08,0.52,15698.00,0.92,0.58,1342.00,0.08,0.52,12843.00,0.75,0.58,4195.00,0.25,0.56,11445.00,0.67,0.57,5594.00,0.33,0.59,14703.00,0.86,0.59,2336.00,0.14,0.53
18 a 20 años,182.00,0.80,0.01,47.00,0.21,0.01,197.00,0.86,0.01,32.00,0.14,0.01,192.00,0.84,0.01,37.00,0.16,0.01,161.00,0.70,0.01,68.00,0.30,0.01,206.00,0.90,0.01,23.00,0.10,0.01,210.00,0.92,0.01,19.00,0.08,0.01,176.00,0.77,0.01,53.00,0.23,0.01,175.00,0.76,0.01,54.00,0.24,0.01,197.00,0.86,0.01,32.00,0.14,0.01
21 a 30 años,2903.00,0.81,0.12,685.00,0.19,0.13,2985.00,0.83,0.12,602.00,0.17,0.14,2892.00,0.81,0.12,695.00,0.19,0.14,2377.00,0.66,0.13,1210.00,0.34,0.11,3321.00,0.93,0.12,266.00,0.07,0.10,3263.00,0.91,0.12,323.00,0.09,0.13,2793.00,0.78,0.13,794.00,0.22,0.11,2666.00,0.74,0.13,921.00,0.26,0.10,3068.00,0.86,0.12,519.00,0.15,0.12
31 a 40 años,7650.00,0.80,0.32,1934.00,0.20,0.35,8059.00,0.84,0.32,1525.00,0.16,0.36,7828.00,0.82,0.32,1756.00,0.18,0.36,5926.00,0.62,0.33,3659.00,0.38,0.32,8759.00,0.91,0.33,825.00,0.09,0.32,8731.00,0.91,0.33,852.00,0.09,0.33,7129.00,0.74,0.32,2454.00,0.26,0.33,6452.00,0.67,0.32,3132.00,0.33,0.33,8149.00,0.85,0.33,1435.00,0.15,0.32
41 a 50 años,7604.00,0.82,0.32,1722.00,0.19,0.31,8006.00,0.86,0.32,1324.00,0.14,0.31,7795.00,0.84,0.32,1535.00,0.17,0.31,5628.00,0.60,0.31,3701.00,0.40,0.33,8467.00,0.91,0.32,861.00,0.09,0.33,8509.00,0.91,0.32,820.00,0.09,0.32,6862.00,0.74,0.31,2466.00,0.26,0.33,6175.00,0.66,0.31,3152.00,0.34,0.33,7918.00,0.85,0.32,1410.00,0.15,0.32
51 a 60 años,4804.00,0.84,0.20,950.00,0.17,0.17,5071.00,0.88,0.20,683.00,0.12,0.16,4958.00,0.86,0.20,796.00,0.14,0.16,3424.00,0.60,0.19,2329.00,0.41,0.21,5225.00,0.91,0.19,529.00,0.09,0.20,5266.00,0.92,0.20,487.00,0.09,0.19,4326.00,0.75,0.20,1427.00,0.25,0.19,3825.00,0.67,0.19,1928.00,0.34,0.20,4865.00,0.85,0.19,887.00,0.15,0.20
61 a 70 años,809.00,0.86,0.03,132.00,0.14,0.02,862.00,0.92,0.03,79.00,0.08,0.02,837.00,0.89,0.03,104.00,0.11,0.02,560.00,0.60,0.03,381.00,0.41,0.03,853.00,0.91,0.03,88.00,0.09,0.03,860.00,0.91,0.03,81.00,0.09,0.03,703.00,0.75,0.03,238.00,0.25,0.03,631.00,0.67,0.03,310.00,0.33,0.03,799.00,0.85,0.03,142.00,0.15,0.03
71 a 80 años,41.00,0.82,0.00,9.00,0.18,0.00,41.00,0.82,0.00,9.00,0.18,0.00,44.00,0.88,0.00,6.00,0.12,0.00,35.00,0.70,0.00,15.00,0.30,0.00,44.00,0.88,0.00,6.00,0.12,0.00,45.00,0.90,0.00,5.00,0.10,0.00,39.00,0.78,0.00,11.00,0.22,0.00,35.00,0.70,0.00,15.00,0.30,0.00,44.00,0.88,0.00,6.00,0.12,0.00
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",550.00,0.80,0.02,140.00,0.20,0.03,595.00,0.86,0.02,96.00,0.14,0.02,592.00,0.86,0.02,99.00,0.14,0.02,420.00,0.61,0.02,269.00,0.39,0.02,624.00,0.90,0.02,66.00,0.10,0.03,626.00,0.91,0.02,65.00,0.09,0.03,527.00,0.76,0.02,163.00,0.24,0.02,505.00,0.73,0.03,185.00,0.27,0.02,584.00,0.85,0.02,106.00,0.15,0.02
Normal básica sin licenciatura,130.00,0.85,0.01,23.00,0.15,0.00,136.00,0.89,0.01,17.00,0.11,0.00,138.00,0.90,0.01,15.00,0.10,0.00,102.00,0.67,0.01,51.00,0.33,0.00,133.00,0.87,0.01,20.00,0.13,0.01,136.00,0.89,0.01,17.00,0.11,0.01,121.00,0.79,0.01,32.00,0.21,0.00,113.00,0.74,0.01,40.00,0.26,0.00,132.00,0.86,0.01,21.00,0.14,0.01
Normal superior,3552.00,0.82,0.15,776.00,0.18,0.14,3698.00,0.85,0.15,631.00,0.15,0.15,3595.00,0.83,0.15,734.00,0.17,0.15,2653.00,0.61,0.15,1676.00,0.39,0.15,3936.00,0.91,0.15,393.00,0.09,0.15,3912.00,0.90,0.15,416.00,0.10,0.16,3205.00,0.74,0.15,1123.00,0.26,0.15,2888.00,0.67,0.15,1439.00,0.33,0.15,3671.00,0.85,0.15,657.00,0.15,0.15
Normal Intercultural Bilingüe,14.00,0.93,0.00,1.00,0.07,0.00,14.00,0.93,0.00,1.00,0.07,0.00,15.00,1.00,0.00,0.00,0.00,0.00,7.00,0.47,0.00,8.00,0.53,0.00,15.00,1.00,0.00,0.00,0.00,0.00,14.00,0.93,0.00,1.00,0.07,0.00,12.00,0.80,0.00,3.00,0.20,0.00,9.00,0.60,0.00,6.00,0.40,0.00,12.00,0.80,0.00,3.00,0.20,0.00
Licenciatura,13010.00,0.81,0.54,2993.00,0.19,0.55,13702.00,0.86,0.54,2302.00,0.14,0.54,13328.00,0.83,0.54,2676.00,0.17,0.54,9855.00,0.62,0.54,6150.00,0.38,0.54,14615.00,0.91,0.54,1388.00,0.09,0.53,14647.00,0.92,0.55,1355.00,0.09,0.52,11972.00,0.75,0.54,4031.00,0.25,0.54,10921.00,0.68,0.55,5083.00,0.32,0.53,13619.00,0.85,0.54,2384.00,0.15,0.54
Especialidad,618.00,0.83,0.03,126.00,0.17,0.02,630.00,0.85,0.03,114.00,0.15,0.03,605.00,0.81,0.03,139.00,0.19,0.03,470.00,0.63,0.03,274.00,0.37,0.02,669.00,0.90,0.03,75.00,0.10,0.03,675.00,0.91,0.03,69.00,0.09,0.03,544.00,0.73,0.03,200.00,0.27,0.03,512.00,0.69,0.03,232.00,0.31,0.02,626.00,0.84,0.03,118.00,0.16,0.03
Maestría,5496.00,0.81,0.23,1272.00,0.19,0.23,5790.00,0.86,0.23,978.00,0.15,0.23,5631.00,0.83,0.23,1137.00,0.17,0.23,4104.00,0.61,0.23,2664.00,0.39,0.23,6181.00,0.91,0.23,587.00,0.09,0.23,6171.00,0.91,0.23,597.00,0.09,0.23,5080.00,0.75,0.23,1688.00,0.25,0.23,4493.00,0.66,0.23,2275.00,0.34,0.24,5738.00,0.85,0.23,1030.00,0.15,0.23
Doctorado,601.00,0.81,0.03,144.00,0.19,0.03,632.00,0.85,0.03,113.00,0.15,0.03,620.00,0.83,0.03,125.00,0.17,0.03,482.00,0.65,0.03,263.00,0.35,0.02,678.00,0.91,0.03,67.00,0.09,0.03,677.00,0.91,0.03,67.00,0.09,0.03,547.00,0.74,0.03,197.00,0.27,0.03,499.00,0.67,0.03,245.00,0.33,0.03,632.00,0.85,0.03,112.00,0.15,0.03
Posdoctorado,22.00,0.85,0.00,4.00,0.15,0.00,24.00,0.92,0.00,2.00,0.08,0.00,22.00,0.85,0.00,4.00,0.15,0.00,18.00,0.69,0.00,8.00,0.31,0.00,24.00,0.92,0.00,2.00,0.08,0.00,26.00,1.00,0.00,0.00,0.00,0.00,20.00,0.77,0.00,6.00,0.23,0.00,19.00,0.73,0.00,7.00,0.27,0.00,26.00,1.00,0.00,0.00,0.00,0.00
Menor o igual a 10,7583.00,0.81,0.32,1794.00,0.19,0.33,7861.00,0.84,0.31,1515.00,0.16,0.36,7664.00,0.82,0.31,1712.00,0.18,0.35,5924.00,0.63,0.33,3453.00,0.37,0.30,8679.00,0.93,0.32,697.00,0.07,0.27,8546.00,0.91,0.32,830.00,0.09,0.32,7124.00,0.76,0.32,2251.00,0.24,0.30,6562.00,0.70,0.33,2814.00,0.30,0.30,8003.00,0.85,0.32,1373.00,0.15,0.31
11 a 20,9102.00,0.81,0.38,2199.00,0.20,0.40,9589.00,0.85,0.38,1714.00,0.15,0.40,9312.00,0.82,0.38,1991.00,0.18,0.40,6816.00,0.60,0.38,4487.00,0.40,0.40,10221.00,0.90,0.38,1082.00,0.10,0.42,10270.00,0.91,0.38,1031.00,0.09,0.40,8293.00,0.73,0.38,3009.00,0.27,0.40,7491.00,0.66,0.38,3811.00,0.34,0.40,9560.00,0.85,0.38,1741.00,0.15,0.39
21 a 30,7308.00,0.83,0.31,1486.00,0.17,0.27,7771.00,0.88,0.31,1025.00,0.12,0.24,7570.00,0.86,0.31,1226.00,0.14,0.25,5371.00,0.61,0.30,3423.00,0.39,0.30,7975.00,0.91,0.30,819.00,0.09,0.32,8068.00,0.92,0.30,726.00,0.08,0.28,6611.00,0.75,0.30,2183.00,0.25,0.29,5906.00,0.67,0.30,2887.00,0.33,0.30,7477.00,0.85,0.30,1317.00,0.15,0.30
