Entidad,B2-A-Totalmente de acuerdo-Recuento,B2-A-Totalmente de acuerdo-% del N de fila,B2-A-Totalmente de acuerdo-% de N columnas,B2-A-De acuerdo-Recuento,B2-A-De acuerdo-% del N de fila,B2-A-De acuerdo-% de N columnas,B2-A-En desacuerdo-Recuento,B2-A-En desacuerdo-% del N de fila,B2-A-En desacuerdo-% de N columnas,B2-A-Totalmente en desacuerdo-Recuento,B2-A-Totalmente en desacuerdo-% del N de fila,B2-A-Totalmente en desacuerdo-% de N columnas,B2-B-Totalmente de acuerdo-Recuento,B2-B-Totalmente de acuerdo-% del N de fila,B2-B-Totalmente de acuerdo-% de N columnas,B2-B-De acuerdo-Recuento,B2-B-De acuerdo-% del N de fila,B2-B-De acuerdo-% de N columnas,B2-B-En desacuerdo-Recuento,B2-B-En desacuerdo-% del N de fila,B2-B-En desacuerdo-% de N columnas,B2-B-Totalmente en desacuerdo-Recuento,B2-B-Totalmente en desacuerdo-% del N de fila,B2-B-Totalmente en desacuerdo-% de N columnas,B2-C-Totalmente de acuerdo-Recuento,B2-C-Totalmente de acuerdo-% del N de fila,B2-C-Totalmente de acuerdo-% de N columnas,B2-C-De acuerdo-Recuento,B2-C-De acuerdo-% del N de fila,B2-C-De acuerdo-% de N columnas,B2-C-En desacuerdo-Recuento,B2-C-En desacuerdo-% del N de fila,B2-C-En desacuerdo-% de N columnas,B2-C-Totalmente en desacuerdo-Recuento,B2-C-Totalmente en desacuerdo-% del N de fila,B2-C-Totalmente en desacuerdo-% de N columnas,B2-D-Totalmente de acuerdo-Recuento,B2-D-Totalmente de acuerdo-% del N de fila,B2-D-Totalmente de acuerdo-% de N columnas,B2-D-De acuerdo-Recuento,B2-D-De acuerdo-% del N de fila,B2-D-De acuerdo-% de N columnas,B2-D-En desacuerdo-Recuento,B2-D-En desacuerdo-% del N de fila,B2-D-En desacuerdo-% de N columnas,B2-D-Totalmente en desacuerdo-Recuento,B2-D-Totalmente en desacuerdo-% del N de fila,B2-D-Totalmente en desacuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-En desacuerdo-Recuento,B2-E-En desacuerdo-% del N de fila,B2-E-En desacuerdo-% de N columnas,B2-E-Totalmente en desacuerdo-Recuento,B2-E-Totalmente en desacuerdo-% del N de fila,B2-E-Totalmente en desacuerdo-% de N columnas,B2-F-Totalmente de acuerdo-Recuento,B2-F-Totalmente de acuerdo-% del N de fila,B2-F-Totalmente de acuerdo-% de N columnas,B2-F-De acuerdo-Recuento,B2-F-De acuerdo-% del N de fila,B2-F-De acuerdo-% de N columnas,B2-F-En desacuerdo-Recuento,B2-F-En desacuerdo-% del N de fila,B2-F-En desacuerdo-% de N columnas,B2-F-Totalmente en desacuerdo-Recuento,B2-F-Totalmente en desacuerdo-% del N de fila,B2-F-Totalmente en desacuerdo-% de N columnas,B2-G-Totalmente de acuerdo-Recuento,B2-G-Totalmente de acuerdo-% del N de fila,B2-G-Totalmente de acuerdo-% de N columnas,B2-G-De acuerdo-Recuento,B2-G-De acuerdo-% del N de fila,B2-G-De acuerdo-% de N columnas,B2-G-En desacuerdo-Recuento,B2-G-En desacuerdo-% del N de fila,B2-G-En desacuerdo-% de N columnas,B2-G-Totalmente en desacuerdo-Recuento,B2-G-Totalmente en desacuerdo-% del N de fila,B2-G-Totalmente en desacuerdo-% de N columnas,B2-H-Totalmente de acuerdo-Recuento,B2-H-Totalmente de acuerdo-% del N de fila,B2-H-Totalmente de acuerdo-% de N columnas,B2-H-De acuerdo-Recuento,B2-H-De acuerdo-% del N de fila,B2-H-De acuerdo-% de N columnas,B2-H-En desacuerdo-Recuento,B2-H-En desacuerdo-% del N de fila,B2-H-En desacuerdo-% de N columnas,B2-H-Totalmente en desacuerdo-Recuento,B2-H-Totalmente en desacuerdo-% del N de fila,B2-H-Totalmente en desacuerdo-% de N columnas,B2-I-Totalmente de acuerdo-Recuento,B2-I-Totalmente de acuerdo-% del N de fila,B2-I-Totalmente de acuerdo-% de N columnas,B2-I-De acuerdo-Recuento,B2-I-De acuerdo-% del N de fila,B2-I-De acuerdo-% de N columnas,B2-I-En desacuerdo-Recuento,B2-I-En desacuerdo-% del N de fila,B2-I-En desacuerdo-% de N columnas,B2-I-Totalmente en desacuerdo-Recuento,B2-I-Totalmente en desacuerdo-% del N de fila,B2-I-Totalmente en desacuerdo-% de N columnas
ESTADO DE MÉXICO,97.00,0.60,0.04,61.00,0.38,0.04,3.00,0.02,0.03,0.00,0.00,0.00,103.00,0.64,0.04,53.00,0.33,0.03,4.00,0.03,0.02,1.00,0.01,0.04,102.00,0.63,0.04,58.00,0.36,0.04,1.00,0.01,0.01,0.00,0.00,0.00,99.00,0.62,0.04,56.00,0.35,0.03,6.00,0.04,0.05,0.00,0.00,0.00,88.00,0.55,0.04,64.00,0.40,0.04,8.00,0.05,0.03,1.00,0.01,0.03,84.00,0.52,0.04,76.00,0.47,0.04,1.00,0.01,0.01,0.00,0.00,0.00,83.00,0.52,0.03,75.00,0.47,0.05,2.00,0.01,0.02,1.00,0.01,0.09,95.00,0.59,0.04,64.00,0.40,0.04,1.00,0.01,0.01,1.00,0.01,0.06,98.00,0.61,0.04,61.00,0.38,0.04,2.00,0.01,0.02,0.00,0.00,0.00
GUANAJUATO,108.00,0.64,0.04,54.00,0.32,0.04,6.00,0.04,0.05,0.00,0.00,0.00,108.00,0.64,0.04,55.00,0.33,0.04,4.00,0.02,0.02,1.00,0.01,0.04,110.00,0.66,0.04,53.00,0.32,0.03,4.00,0.02,0.06,1.00,0.01,0.08,94.00,0.56,0.04,67.00,0.40,0.04,7.00,0.04,0.05,0.00,0.00,0.00,105.00,0.63,0.04,50.00,0.30,0.03,13.00,0.08,0.05,0.00,0.00,0.00,103.00,0.61,0.05,58.00,0.35,0.03,7.00,0.04,0.07,0.00,0.00,0.00,108.00,0.64,0.04,55.00,0.33,0.03,5.00,0.03,0.05,0.00,0.00,0.00,101.00,0.60,0.04,61.00,0.36,0.04,6.00,0.04,0.04,0.00,0.00,0.00,106.00,0.63,0.04,54.00,0.32,0.03,8.00,0.05,0.07,0.00,0.00,0.00
GUERRERO,30.00,0.71,0.01,10.00,0.24,0.01,1.00,0.02,0.01,1.00,0.02,0.06,27.00,0.64,0.01,11.00,0.26,0.01,4.00,0.10,0.02,0.00,0.00,0.00,30.00,0.71,0.01,10.00,0.24,0.01,2.00,0.05,0.03,0.00,0.00,0.00,26.00,0.62,0.01,13.00,0.31,0.01,3.00,0.07,0.02,0.00,0.00,0.00,30.00,0.71,0.01,9.00,0.21,0.01,3.00,0.07,0.01,0.00,0.00,0.00,25.00,0.60,0.01,15.00,0.36,0.01,2.00,0.05,0.02,0.00,0.00,0.00,27.00,0.64,0.01,14.00,0.33,0.01,1.00,0.02,0.01,0.00,0.00,0.00,26.00,0.62,0.01,13.00,0.31,0.01,3.00,0.07,0.02,0.00,0.00,0.00,27.00,0.64,0.01,12.00,0.29,0.01,3.00,0.07,0.03,0.00,0.00,0.00
HIDALGO,93.00,0.60,0.04,58.00,0.37,0.04,3.00,0.02,0.03,1.00,0.01,0.06,92.00,0.59,0.04,51.00,0.33,0.03,11.00,0.07,0.06,1.00,0.01,0.04,102.00,0.66,0.04,48.00,0.31,0.03,4.00,0.03,0.06,1.00,0.01,0.08,85.00,0.55,0.04,64.00,0.41,0.04,5.00,0.03,0.04,1.00,0.01,0.14,90.00,0.58,0.04,56.00,0.36,0.04,8.00,0.05,0.03,1.00,0.01,0.03,90.00,0.58,0.04,61.00,0.39,0.03,4.00,0.03,0.04,0.00,0.00,0.00,93.00,0.60,0.04,55.00,0.36,0.03,7.00,0.05,0.07,0.00,0.00,0.00,89.00,0.57,0.04,59.00,0.38,0.04,7.00,0.05,0.05,0.00,0.00,0.00,98.00,0.63,0.04,51.00,0.33,0.03,6.00,0.04,0.05,0.00,0.00,0.00
JALISCO,86.00,0.64,0.03,46.00,0.34,0.03,3.00,0.02,0.03,0.00,0.00,0.00,79.00,0.59,0.03,49.00,0.36,0.03,5.00,0.04,0.03,2.00,0.02,0.08,83.00,0.62,0.03,50.00,0.37,0.03,2.00,0.02,0.03,0.00,0.00,0.00,79.00,0.59,0.03,53.00,0.39,0.03,3.00,0.02,0.02,0.00,0.00,0.00,78.00,0.58,0.03,53.00,0.39,0.03,4.00,0.03,0.02,0.00,0.00,0.00,74.00,0.55,0.03,56.00,0.42,0.03,4.00,0.03,0.04,1.00,0.01,0.11,67.00,0.50,0.03,56.00,0.42,0.03,9.00,0.07,0.09,3.00,0.02,0.27,70.00,0.52,0.03,58.00,0.43,0.04,5.00,0.04,0.04,2.00,0.02,0.11,76.00,0.56,0.03,54.00,0.40,0.03,3.00,0.02,0.03,2.00,0.02,0.13
MICHOACÁN,22.00,0.67,0.01,11.00,0.33,0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.46,0.01,18.00,0.55,0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.46,0.01,18.00,0.55,0.01,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.42,0.01,17.00,0.52,0.01,2.00,0.06,0.02,0.00,0.00,0.00,16.00,0.49,0.01,16.00,0.49,0.01,1.00,0.03,0.00,0.00,0.00,0.00,11.00,0.33,0.01,22.00,0.67,0.01,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.39,0.01,19.00,0.58,0.01,1.00,0.03,0.01,0.00,0.00,0.00,17.00,0.52,0.01,16.00,0.49,0.01,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.55,0.01,15.00,0.46,0.01,0.00,0.00,0.00,0.00,0.00,0.00
MORELOS,114.00,0.64,0.04,58.00,0.33,0.04,5.00,0.03,0.04,0.00,0.00,0.00,111.00,0.63,0.04,57.00,0.32,0.04,8.00,0.05,0.05,1.00,0.01,0.04,117.00,0.66,0.04,57.00,0.32,0.04,3.00,0.02,0.04,0.00,0.00,0.00,98.00,0.55,0.04,73.00,0.41,0.04,6.00,0.03,0.05,0.00,0.00,0.00,103.00,0.58,0.04,62.00,0.35,0.04,9.00,0.05,0.04,3.00,0.02,0.09,101.00,0.57,0.05,71.00,0.40,0.04,5.00,0.03,0.05,0.00,0.00,0.00,109.00,0.62,0.04,66.00,0.37,0.04,2.00,0.01,0.02,0.00,0.00,0.00,109.00,0.62,0.05,60.00,0.34,0.04,7.00,0.04,0.05,1.00,0.01,0.06,113.00,0.64,0.04,53.00,0.30,0.03,9.00,0.05,0.08,2.00,0.01,0.13
NAYARIT,99.00,0.66,0.04,49.00,0.33,0.03,2.00,0.01,0.02,1.00,0.01,0.06,95.00,0.63,0.04,52.00,0.34,0.03,3.00,0.02,0.02,1.00,0.01,0.04,94.00,0.62,0.04,55.00,0.36,0.04,1.00,0.01,0.01,1.00,0.01,0.08,84.00,0.56,0.04,64.00,0.42,0.04,3.00,0.02,0.02,0.00,0.00,0.00,81.00,0.54,0.03,65.00,0.43,0.04,3.00,0.02,0.01,2.00,0.01,0.06,74.00,0.49,0.03,72.00,0.48,0.04,4.00,0.03,0.04,1.00,0.01,0.11,89.00,0.59,0.04,58.00,0.38,0.04,3.00,0.02,0.03,1.00,0.01,0.09,85.00,0.56,0.04,60.00,0.40,0.04,3.00,0.02,0.02,3.00,0.02,0.17,94.00,0.62,0.04,52.00,0.34,0.03,3.00,0.02,0.03,2.00,0.01,0.13
NUEVO LEÓN,24.00,0.77,0.01,4.00,0.13,0.00,2.00,0.07,0.02,1.00,0.03,0.06,21.00,0.68,0.01,7.00,0.23,0.00,2.00,0.07,0.01,1.00,0.03,0.04,22.00,0.71,0.01,8.00,0.26,0.01,1.00,0.03,0.01,0.00,0.00,0.00,19.00,0.61,0.01,12.00,0.39,0.01,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.68,0.01,7.00,0.23,0.00,3.00,0.10,0.01,0.00,0.00,0.00,20.00,0.65,0.01,11.00,0.36,0.01,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.74,0.01,8.00,0.26,0.01,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.65,0.01,10.00,0.32,0.01,1.00,0.03,0.01,0.00,0.00,0.00,20.00,0.65,0.01,10.00,0.32,0.01,1.00,0.03,0.01,0.00,0.00,0.00
PUEBLA,62.00,0.47,0.02,66.00,0.50,0.04,4.00,0.03,0.04,1.00,0.01,0.06,72.00,0.54,0.03,52.00,0.39,0.03,8.00,0.06,0.05,1.00,0.01,0.04,71.00,0.53,0.03,58.00,0.44,0.04,4.00,0.03,0.06,0.00,0.00,0.00,60.00,0.45,0.03,66.00,0.50,0.04,6.00,0.05,0.05,1.00,0.01,0.14,68.00,0.51,0.03,57.00,0.43,0.04,6.00,0.05,0.02,2.00,0.02,0.06,62.00,0.47,0.03,69.00,0.52,0.04,2.00,0.02,0.02,0.00,0.00,0.00,71.00,0.53,0.03,57.00,0.43,0.03,5.00,0.04,0.05,0.00,0.00,0.00,79.00,0.59,0.03,49.00,0.37,0.03,4.00,0.03,0.03,1.00,0.01,0.06,81.00,0.61,0.03,50.00,0.38,0.03,1.00,0.01,0.01,1.00,0.01,0.06
QUERÉTARO,102.00,0.53,0.04,81.00,0.42,0.05,7.00,0.04,0.06,1.00,0.01,0.06,107.00,0.56,0.04,67.00,0.35,0.04,16.00,0.08,0.09,1.00,0.01,0.04,124.00,0.65,0.05,64.00,0.34,0.04,2.00,0.01,0.03,1.00,0.01,0.08,102.00,0.53,0.04,83.00,0.44,0.05,5.00,0.03,0.04,1.00,0.01,0.14,98.00,0.51,0.04,75.00,0.39,0.05,17.00,0.09,0.07,1.00,0.01,0.03,98.00,0.51,0.04,87.00,0.46,0.05,5.00,0.03,0.05,1.00,0.01,0.11,112.00,0.59,0.05,74.00,0.39,0.05,4.00,0.02,0.04,1.00,0.01,0.09,105.00,0.55,0.04,78.00,0.41,0.05,7.00,0.04,0.05,1.00,0.01,0.06,107.00,0.56,0.04,78.00,0.41,0.05,4.00,0.02,0.04,2.00,0.01,0.13
