Entidad,B4-A-Muy pertinente-Recuento,B4-A-Muy pertinente-% del N de fila,B4-A-Muy pertinente-% de N columnas,B4-A-Pertinente-Recuento,B4-A-Pertinente-% del N de fila,B4-A-Pertinente-% de N columnas,B4-A-Poco pertinente-Recuento,B4-A-Poco pertinente-% del N de fila,B4-A-Poco pertinente-% de N columnas,B4-A-Nada pertinente-Recuento,B4-A-Nada pertinente-% del N de fila,B4-A-Nada pertinente-% de N columnas,B4-B-Muy pertinente-Recuento,B4-B-Muy pertinente-% del N de fila,B4-B-Muy pertinente-% de N columnas,B4-B-Pertinente-Recuento,B4-B-Pertinente-% del N de fila,B4-B-Pertinente-% de N columnas,B4-B-Poco pertinente-Recuento,B4-B-Poco pertinente-% del N de fila,B4-B-Poco pertinente-% de N columnas,B4-B-Nada pertinente-Recuento,B4-B-Nada pertinente-% del N de fila,B4-B-Nada pertinente-% de N columnas,B4-C-Muy pertinente-Recuento,B4-C-Muy pertinente-% del N de fila,B4-C-Muy pertinente-% de N columnas,B4-C-Pertinente-Recuento,B4-C-Pertinente-% del N de fila,B4-C-Pertinente-% de N columnas,B4-C-Poco pertinente-Recuento,B4-C-Poco pertinente-% del N de fila,B4-C-Poco pertinente-% de N columnas,B4-C-Nada pertinente-Recuento,B4-C-Nada pertinente-% del N de fila,B4-C-Nada pertinente-% de N columnas,B4-D-Muy pertinente-Recuento,B4-D-Muy pertinente-% del N de fila,B4-D-Muy pertinente-% de N columnas,B4-D-Pertinente-Recuento,B4-D-Pertinente-% del N de fila,B4-D-Pertinente-% de N columnas,B4-D-Poco pertinente-Recuento,B4-D-Poco pertinente-% del N de fila,B4-D-Poco pertinente-% de N columnas,B4-D-Nada pertinente-Recuento,B4-D-Nada pertinente-% del N de fila,B4-D-Nada pertinente-% de N columnas,B4-E-Muy pertinente-Recuento,B4-E-Muy pertinente-% del N de fila,B4-E-Muy pertinente-% de N columnas,B4-E-Pertinente-Recuento,B4-E-Pertinente-% del N de fila,B4-E-Pertinente-% de N columnas,B4-E-Poco pertinente-Recuento,B4-E-Poco pertinente-% del N de fila,B4-E-Poco pertinente-% de N columnas,B4-E-Nada pertinente-Recuento,B4-E-Nada pertinente-% del N de fila,B4-E-Nada pertinente-% de N columnas,B4-F-Muy pertinente-Recuento,B4-F-Muy pertinente-% del N de fila,B4-F-Muy pertinente-% de N columnas,B4-F-Pertinente-Recuento,B4-F-Pertinente-% del N de fila,B4-F-Pertinente-% de N columnas,B4-F-Poco pertinente-Recuento,B4-F-Poco pertinente-% del N de fila,B4-F-Poco pertinente-% de N columnas,B4-F-Nada pertinente-Recuento,B4-F-Nada pertinente-% del N de fila,B4-F-Nada pertinente-% de N columnas,B4-G-Muy pertinente-Recuento,B4-G-Muy pertinente-% del N de fila,B4-G-Muy pertinente-% de N columnas,B4-G-Pertinente-Recuento,B4-G-Pertinente-% del N de fila,B4-G-Pertinente-% de N columnas,B4-G-Poco pertinente-Recuento,B4-G-Poco pertinente-% del N de fila,B4-G-Poco pertinente-% de N columnas,B4-G-Nada pertinente-Recuento,B4-G-Nada pertinente-% del N de fila,B4-G-Nada pertinente-% de N columnas
ESTADO DE MÉXICO,75.00,0.41,0.04,101.00,0.55,0.04,7.00,0.04,0.02,1.00,0.01,0.04,75.00,0.41,0.04,98.00,0.53,0.03,11.00,0.06,0.03,0.00,0.00,0.00,68.00,0.37,0.04,103.00,0.56,0.03,12.00,0.07,0.03,1.00,0.01,0.04,45.00,0.25,0.04,127.00,0.69,0.04,12.00,0.07,0.03,0.00,0.00,0.00,42.00,0.23,0.04,126.00,0.69,0.04,11.00,0.06,0.02,5.00,0.03,0.11,43.00,0.23,0.04,124.00,0.67,0.04,16.00,0.09,0.03,1.00,0.01,0.03,45.00,0.25,0.04,116.00,0.63,0.03,22.00,0.12,0.03,1.00,0.01,0.02
GUANAJUATO,118.00,0.47,0.06,123.00,0.48,0.04,12.00,0.05,0.04,1.00,0.00,0.04,111.00,0.44,0.06,134.00,0.53,0.04,9.00,0.04,0.03,0.00,0.00,0.00,105.00,0.41,0.06,135.00,0.53,0.04,14.00,0.06,0.03,0.00,0.00,0.00,93.00,0.37,0.07,147.00,0.58,0.04,14.00,0.06,0.03,0.00,0.00,0.00,74.00,0.29,0.07,154.00,0.61,0.05,26.00,0.10,0.04,0.00,0.00,0.00,75.00,0.30,0.06,156.00,0.61,0.05,22.00,0.09,0.04,1.00,0.00,0.03,65.00,0.26,0.06,159.00,0.63,0.05,29.00,0.11,0.04,1.00,0.00,0.02
GUERRERO,6.00,0.33,0.00,12.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.28,0.00,13.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.33,0.00,11.00,0.61,0.00,1.00,0.06,0.00,0.00,0.00,0.00,5.00,0.28,0.00,12.00,0.67,0.00,1.00,0.06,0.00,0.00,0.00,0.00,4.00,0.22,0.00,14.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.22,0.00,12.00,0.67,0.00,1.00,0.06,0.00,1.00,0.06,0.03,4.00,0.22,0.00,13.00,0.72,0.00,1.00,0.06,0.00,0.00,0.00,0.00
HIDALGO,71.00,0.41,0.03,90.00,0.52,0.03,12.00,0.07,0.04,1.00,0.01,0.04,59.00,0.34,0.03,100.00,0.58,0.03,15.00,0.09,0.04,0.00,0.00,0.00,58.00,0.33,0.03,97.00,0.56,0.03,17.00,0.10,0.04,2.00,0.01,0.07,44.00,0.25,0.03,111.00,0.64,0.03,17.00,0.10,0.04,2.00,0.01,0.06,35.00,0.20,0.03,118.00,0.68,0.03,20.00,0.12,0.03,1.00,0.01,0.02,43.00,0.25,0.04,111.00,0.64,0.03,16.00,0.09,0.03,4.00,0.02,0.10,38.00,0.22,0.03,115.00,0.66,0.03,19.00,0.11,0.03,2.00,0.01,0.03
JALISCO,57.00,0.31,0.03,118.00,0.64,0.04,7.00,0.04,0.02,2.00,0.01,0.08,56.00,0.30,0.03,115.00,0.63,0.04,11.00,0.06,0.03,2.00,0.01,0.13,46.00,0.25,0.03,114.00,0.62,0.04,22.00,0.12,0.05,2.00,0.01,0.07,40.00,0.22,0.03,130.00,0.71,0.04,14.00,0.08,0.03,0.00,0.00,0.00,29.00,0.16,0.03,127.00,0.69,0.04,28.00,0.15,0.04,0.00,0.00,0.00,38.00,0.21,0.03,128.00,0.70,0.04,17.00,0.09,0.03,1.00,0.01,0.03,40.00,0.22,0.04,113.00,0.61,0.03,29.00,0.16,0.04,2.00,0.01,0.03
MICHOACÁN,19.00,0.40,0.01,27.00,0.57,0.01,1.00,0.02,0.00,0.00,0.00,0.00,14.00,0.30,0.01,31.00,0.66,0.01,2.00,0.04,0.01,0.00,0.00,0.00,14.00,0.30,0.01,30.00,0.64,0.01,3.00,0.06,0.01,0.00,0.00,0.00,9.00,0.19,0.01,37.00,0.79,0.01,1.00,0.02,0.00,0.00,0.00,0.00,8.00,0.17,0.01,29.00,0.62,0.01,10.00,0.21,0.01,0.00,0.00,0.00,8.00,0.17,0.01,33.00,0.70,0.01,6.00,0.13,0.01,0.00,0.00,0.00,6.00,0.13,0.01,34.00,0.72,0.01,7.00,0.15,0.01,0.00,0.00,0.00
MORELOS,78.00,0.47,0.04,81.00,0.49,0.03,7.00,0.04,0.02,1.00,0.01,0.04,74.00,0.44,0.04,87.00,0.52,0.03,6.00,0.04,0.02,0.00,0.00,0.00,73.00,0.44,0.04,86.00,0.52,0.03,8.00,0.05,0.02,0.00,0.00,0.00,55.00,0.33,0.04,98.00,0.59,0.03,12.00,0.07,0.03,2.00,0.01,0.06,40.00,0.24,0.04,111.00,0.67,0.03,15.00,0.09,0.02,1.00,0.01,0.02,40.00,0.24,0.03,109.00,0.65,0.03,17.00,0.10,0.03,1.00,0.01,0.03,38.00,0.23,0.03,112.00,0.67,0.03,15.00,0.09,0.02,2.00,0.01,0.03
NAYARIT,78.00,0.41,0.04,100.00,0.53,0.04,10.00,0.05,0.03,1.00,0.01,0.04,66.00,0.35,0.03,107.00,0.57,0.04,15.00,0.08,0.04,1.00,0.01,0.06,65.00,0.34,0.04,109.00,0.58,0.04,15.00,0.08,0.04,0.00,0.00,0.00,45.00,0.24,0.04,123.00,0.65,0.04,21.00,0.11,0.05,0.00,0.00,0.00,42.00,0.22,0.04,124.00,0.66,0.04,21.00,0.11,0.03,2.00,0.01,0.04,47.00,0.25,0.04,122.00,0.65,0.04,17.00,0.09,0.03,3.00,0.02,0.08,45.00,0.24,0.04,115.00,0.61,0.03,27.00,0.14,0.04,2.00,0.01,0.03
NUEVO LEÓN,15.00,0.46,0.01,14.00,0.42,0.01,4.00,0.12,0.01,0.00,0.00,0.00,13.00,0.39,0.01,14.00,0.42,0.01,6.00,0.18,0.02,0.00,0.00,0.00,12.00,0.36,0.01,15.00,0.46,0.01,6.00,0.18,0.01,0.00,0.00,0.00,9.00,0.27,0.01,19.00,0.58,0.01,5.00,0.15,0.01,0.00,0.00,0.00,10.00,0.30,0.01,15.00,0.46,0.00,8.00,0.24,0.01,0.00,0.00,0.00,9.00,0.27,0.01,18.00,0.55,0.01,6.00,0.18,0.01,0.00,0.00,0.00,8.00,0.24,0.01,17.00,0.52,0.01,8.00,0.24,0.01,0.00,0.00,0.00
PUEBLA,86.00,0.45,0.04,99.00,0.52,0.03,6.00,0.03,0.02,0.00,0.00,0.00,87.00,0.46,0.05,98.00,0.51,0.03,5.00,0.03,0.01,1.00,0.01,0.06,78.00,0.41,0.04,100.00,0.52,0.03,11.00,0.06,0.03,2.00,0.01,0.07,50.00,0.26,0.04,127.00,0.67,0.04,12.00,0.06,0.03,2.00,0.01,0.06,41.00,0.22,0.04,133.00,0.70,0.04,15.00,0.08,0.02,2.00,0.01,0.04,51.00,0.27,0.04,123.00,0.64,0.04,17.00,0.09,0.03,0.00,0.00,0.00,53.00,0.28,0.05,126.00,0.66,0.04,9.00,0.05,0.01,3.00,0.02,0.05
QUERÉTARO,81.00,0.34,0.04,133.00,0.55,0.05,27.00,0.11,0.09,0.00,0.00,0.00,72.00,0.30,0.04,136.00,0.56,0.04,30.00,0.12,0.09,3.00,0.01,0.19,66.00,0.27,0.04,151.00,0.63,0.05,23.00,0.10,0.05,1.00,0.00,0.04,43.00,0.18,0.03,157.00,0.65,0.04,34.00,0.14,0.07,7.00,0.03,0.19,37.00,0.15,0.03,152.00,0.63,0.04,48.00,0.20,0.07,4.00,0.02,0.09,40.00,0.17,0.03,147.00,0.61,0.04,50.00,0.21,0.08,4.00,0.02,0.10,32.00,0.13,0.03,141.00,0.59,0.04,63.00,0.26,0.09,5.00,0.02,0.08
QUINTANA ROO,73.00,0.36,0.04,118.00,0.58,0.04,11.00,0.05,0.04,1.00,0.01,0.04,59.00,0.29,0.03,128.00,0.63,0.04,16.00,0.08,0.05,0.00,0.00,0.00,61.00,0.30,0.03,125.00,0.62,0.04,17.00,0.08,0.04,0.00,0.00,0.00,46.00,0.23,0.04,141.00,0.70,0.04,16.00,0.08,0.03,0.00,0.00,0.00,40.00,0.20,0.04,137.00,0.68,0.04,26.00,0.13,0.04,0.00,0.00,0.00,44.00,0.22,0.04,124.00,0.61,0.04,34.00,0.17,0.05,1.00,0.01,0.03,35.00,0.17,0.03,132.00,0.65,0.04,29.00,0.14,0.04,7.00,0.03,0.12
SAN LUIS POTOSÍ,86.00,0.35,0.04,145.00,0.60,0.05,11.00,0.05,0.04,1.00,0.00,0.04,76.00,0.31,0.04,154.00,0.63,0.05,13.00,0.05,0.04,0.00,0.00,0.00,85.00,0.35,0.05,138.00,0.57,0.05,20.00,0.08,0.05,0.00,0.00,0.00,65.00,0.27,0.05,158.00,0.65,0.05,19.00,0.08,0.04,1.00,0.00,0.03,49.00,0.20,0.04,164.00,0.68,0.05,27.00,0.11,0.04,3.00,0.01,0.07,56.00,0.23,0.05,164.00,0.68,0.05,22.00,0.09,0.04,1.00,0.00,0.03,59.00,0.24,0.05,156.00,0.64,0.05,25.00,0.10,0.04,3.00,0.01,0.05
SINALOA,152.00,0.40,0.07,207.00,0.55,0.07,20.00,0.05,0.07,1.00,0.00,0.04,142.00,0.37,0.07,209.00,0.55,0.07,27.00,0.07,0.08,2.00,0.01,0.13,139.00,0.37,0.08,214.00,0.56,0.07,21.00,0.06,0.05,6.00,0.02,0.21,98.00,0.26,0.08,239.00,0.63,0.07,34.00,0.09,0.07,9.00,0.02,0.25,100.00,0.26,0.09,227.00,0.60,0.07,51.00,0.13,0.07,2.00,0.01,0.04,100.00,0.26,0.08,233.00,0.61,0.07,45.00,0.12,0.07,2.00,0.01,0.05,89.00,0.23,0.08,241.00,0.63,0.07,47.00,0.12,0.07,3.00,0.01,0.05
SONORA,81.00,0.48,0.04,81.00,0.48,0.03,6.00,0.04,0.02,0.00,0.00,0.00,71.00,0.42,0.04,88.00,0.52,0.03,9.00,0.05,0.03,0.00,0.00,0.00,75.00,0.45,0.04,83.00,0.49,0.03,8.00,0.05,0.02,2.00,0.01,0.07,49.00,0.29,0.04,111.00,0.66,0.03,8.00,0.05,0.02,0.00,0.00,0.00,53.00,0.32,0.05,98.00,0.58,0.03,15.00,0.09,0.02,2.00,0.01,0.04,57.00,0.34,0.05,94.00,0.56,0.03,15.00,0.09,0.02,2.00,0.01,0.05,56.00,0.33,0.05,92.00,0.55,0.03,19.00,0.11,0.03,1.00,0.01,0.02
TABASCO,19.00,0.30,0.01,35.00,0.56,0.01,8.00,0.13,0.03,1.00,0.02,0.04,21.00,0.33,0.01,37.00,0.59,0.01,5.00,0.08,0.01,0.00,0.00,0.00,18.00,0.29,0.01,38.00,0.60,0.01,7.00,0.11,0.02,0.00,0.00,0.00,16.00,0.25,0.01,41.00,0.65,0.01,6.00,0.10,0.01,0.00,0.00,0.00,16.00,0.25,0.01,40.00,0.64,0.01,6.00,0.10,0.01,1.00,0.02,0.02,15.00,0.24,0.01,43.00,0.68,0.01,5.00,0.08,0.01,0.00,0.00,0.00,13.00,0.21,0.01,44.00,0.70,0.01,5.00,0.08,0.01,1.00,0.02,0.02
TAMAULIPAS,78.00,0.38,0.04,124.00,0.60,0.04,5.00,0.02,0.02,0.00,0.00,0.00,70.00,0.34,0.04,130.00,0.63,0.04,7.00,0.03,0.02,0.00,0.00,0.00,63.00,0.30,0.04,131.00,0.63,0.04,13.00,0.06,0.03,0.00,0.00,0.00,42.00,0.20,0.03,158.00,0.76,0.05,7.00,0.03,0.02,0.00,0.00,0.00,39.00,0.19,0.03,149.00,0.72,0.04,19.00,0.09,0.03,0.00,0.00,0.00,40.00,0.19,0.03,153.00,0.74,0.04,14.00,0.07,0.02,0.00,0.00,0.00,39.00,0.19,0.03,149.00,0.72,0.04,18.00,0.09,0.03,1.00,0.01,0.02
TLAXCALA,42.00,0.47,0.02,45.00,0.50,0.02,3.00,0.03,0.01,0.00,0.00,0.00,36.00,0.40,0.02,52.00,0.58,0.02,2.00,0.02,0.01,0.00,0.00,0.00,36.00,0.40,0.02,49.00,0.54,0.02,5.00,0.06,0.01,0.00,0.00,0.00,28.00,0.31,0.02,53.00,0.59,0.02,9.00,0.10,0.02,0.00,0.00,0.00,23.00,0.26,0.02,56.00,0.62,0.02,10.00,0.11,0.01,1.00,0.01,0.02,20.00,0.22,0.02,60.00,0.67,0.02,10.00,0.11,0.02,0.00,0.00,0.00,23.00,0.26,0.02,56.00,0.62,0.02,11.00,0.12,0.02,0.00,0.00,0.00
VERACRUZ,39.00,0.33,0.02,72.00,0.61,0.03,8.00,0.07,0.03,0.00,0.00,0.00,37.00,0.31,0.02,73.00,0.61,0.02,8.00,0.07,0.02,1.00,0.01,0.06,29.00,0.24,0.02,69.00,0.58,0.02,20.00,0.17,0.05,1.00,0.01,0.04,24.00,0.20,0.02,81.00,0.68,0.02,14.00,0.12,0.03,0.00,0.00,0.00,22.00,0.19,0.02,77.00,0.65,0.02,20.00,0.17,0.03,0.00,0.00,0.00,16.00,0.13,0.01,82.00,0.69,0.02,20.00,0.17,0.03,1.00,0.01,0.03,19.00,0.16,0.02,76.00,0.64,0.02,22.00,0.19,0.03,2.00,0.02,0.03
YUCATÁN,43.00,0.34,0.02,66.00,0.53,0.02,14.00,0.11,0.05,2.00,0.02,0.08,43.00,0.34,0.02,64.00,0.51,0.02,17.00,0.14,0.05,1.00,0.01,0.06,39.00,0.31,0.02,70.00,0.56,0.02,15.00,0.12,0.04,1.00,0.01,0.04,25.00,0.20,0.02,77.00,0.62,0.02,21.00,0.17,0.05,2.00,0.02,0.06,22.00,0.18,0.02,66.00,0.53,0.02,35.00,0.28,0.05,2.00,0.02,0.04,24.00,0.19,0.02,69.00,0.55,0.02,29.00,0.23,0.05,3.00,0.02,0.08,22.00,0.18,0.02,67.00,0.54,0.02,33.00,0.26,0.05,3.00,0.02,0.05
ZACATECAS,80.00,0.37,0.04,120.00,0.55,0.04,16.00,0.07,0.05,2.00,0.01,0.08,67.00,0.31,0.04,135.00,0.62,0.04,15.00,0.07,0.04,1.00,0.01,0.06,65.00,0.30,0.04,126.00,0.58,0.04,24.00,0.11,0.06,3.00,0.01,0.11,58.00,0.27,0.05,131.00,0.60,0.04,27.00,0.12,0.06,2.00,0.01,0.06,54.00,0.25,0.05,129.00,0.59,0.04,32.00,0.15,0.05,3.00,0.01,0.07,46.00,0.21,0.04,141.00,0.65,0.04,29.00,0.13,0.05,2.00,0.01,0.05,41.00,0.19,0.04,140.00,0.64,0.04,36.00,0.17,0.05,1.00,0.01,0.02
