Entidad,B2-A-Mucho-Recuento,B2-A-Mucho-% del N de fila,B2-A-Mucho-% de N columnas,B2-A-Regular-Recuento,B2-A-Regular-% del N de fila,B2-A-Regular-% de N columnas,B2-A-Poco-Recuento,B2-A-Poco-% del N de fila,B2-A-Poco-% de N columnas,B2-A-Nada-Recuento,B2-A-Nada-% del N de fila,B2-A-Nada-% de N columnas,B2-B-Mucho-Recuento,B2-B-Mucho-% del N de fila,B2-B-Mucho-% de N columnas,B2-B-Regular-Recuento,B2-B-Regular-% del N de fila,B2-B-Regular-% de N columnas,B2-B-Poco-Recuento,B2-B-Poco-% del N de fila,B2-B-Poco-% de N columnas,B2-B-Nada-Recuento,B2-B-Nada-% del N de fila,B2-B-Nada-% de N columnas,B2-C-Mucho-Recuento,B2-C-Mucho-% del N de fila,B2-C-Mucho-% de N columnas,B2-C-Regular-Recuento,B2-C-Regular-% del N de fila,B2-C-Regular-% de N columnas,B2-C-Poco-Recuento,B2-C-Poco-% del N de fila,B2-C-Poco-% de N columnas,B2-C-Nada-Recuento,B2-C-Nada-% del N de fila,B2-C-Nada-% de N columnas,B2-D-Mucho-Recuento,B2-D-Mucho-% del N de fila,B2-D-Mucho-% de N columnas,B2-D-Regular-Recuento,B2-D-Regular-% del N de fila,B2-D-Regular-% de N columnas,B2-D-Poco-Recuento,B2-D-Poco-% del N de fila,B2-D-Poco-% de N columnas,B2-D-Nada-Recuento,B2-D-Nada-% del N de fila,B2-D-Nada-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Poco-Recuento,B2-E-Poco-% del N de fila,B2-E-Poco-% de N columnas,B2-E-Nada-Recuento,B2-E-Nada-% del N de fila,B2-E-Nada-% de N columnas,B2-F-Mucho-Recuento,B2-F-Mucho-% del N de fila,B2-F-Mucho-% de N columnas,B2-F-Regular-Recuento,B2-F-Regular-% del N de fila,B2-F-Regular-% de N columnas,B2-F-Poco-Recuento,B2-F-Poco-% del N de fila,B2-F-Poco-% de N columnas,B2-F-Nada-Recuento,B2-F-Nada-% del N de fila,B2-F-Nada-% de N columnas
ESTADO DE MÉXICO,128.00,0.80,0.04,32.00,0.20,0.04,0.00,0.00,0.00,1.00,0.01,0.17,128.00,0.80,0.04,32.00,0.20,0.04,1.00,0.01,0.02,0.00,0.00,0.00,117.00,0.73,0.04,44.00,0.27,0.04,0.00,0.00,0.00,0.00,0.00,0.00,111.00,0.69,0.04,47.00,0.29,0.03,3.00,0.02,0.04,0.00,0.00,0.00,110.00,0.68,0.04,48.00,0.30,0.03,3.00,0.02,0.03,0.00,0.00,0.00,100.00,0.62,0.04,56.00,0.35,0.04,5.00,0.03,0.04,0.00,0.00,0.00
GUANAJUATO,141.00,0.84,0.04,25.00,0.15,0.03,2.00,0.01,0.07,0.00,0.00,0.00,136.00,0.81,0.04,31.00,0.19,0.04,1.00,0.01,0.02,0.00,0.00,0.00,129.00,0.77,0.04,35.00,0.21,0.03,4.00,0.02,0.08,0.00,0.00,0.00,112.00,0.67,0.04,53.00,0.32,0.04,3.00,0.02,0.04,0.00,0.00,0.00,108.00,0.64,0.04,56.00,0.33,0.04,4.00,0.02,0.04,0.00,0.00,0.00,115.00,0.69,0.04,48.00,0.29,0.03,5.00,0.03,0.04,0.00,0.00,0.00
GUERRERO,34.00,0.81,0.01,8.00,0.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.83,0.01,7.00,0.17,0.01,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.74,0.01,11.00,0.26,0.01,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.64,0.01,15.00,0.36,0.01,0.00,0.00,0.00,0.00,0.00,0.00,29.00,0.69,0.01,13.00,0.31,0.01,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.62,0.01,15.00,0.36,0.01,1.00,0.02,0.01,0.00,0.00,0.00
HIDALGO,125.00,0.81,0.04,30.00,0.19,0.04,0.00,0.00,0.00,0.00,0.00,0.00,122.00,0.79,0.04,32.00,0.21,0.04,1.00,0.01,0.02,0.00,0.00,0.00,118.00,0.76,0.04,36.00,0.23,0.03,1.00,0.01,0.02,0.00,0.00,0.00,106.00,0.68,0.04,47.00,0.30,0.03,2.00,0.01,0.02,0.00,0.00,0.00,110.00,0.71,0.04,44.00,0.28,0.03,1.00,0.01,0.01,0.00,0.00,0.00,98.00,0.63,0.04,52.00,0.34,0.04,5.00,0.03,0.04,0.00,0.00,0.00
JALISCO,109.00,0.81,0.03,25.00,0.19,0.03,1.00,0.01,0.03,0.00,0.00,0.00,114.00,0.84,0.03,20.00,0.15,0.02,1.00,0.01,0.02,0.00,0.00,0.00,108.00,0.80,0.03,22.00,0.16,0.02,4.00,0.03,0.08,1.00,0.01,0.25,104.00,0.77,0.04,28.00,0.21,0.02,3.00,0.02,0.04,0.00,0.00,0.00,96.00,0.71,0.04,37.00,0.27,0.03,2.00,0.02,0.02,0.00,0.00,0.00,96.00,0.71,0.04,37.00,0.27,0.03,2.00,0.02,0.02,0.00,0.00,0.00
MICHOACÁN,23.00,0.70,0.01,8.00,0.24,0.01,2.00,0.06,0.07,0.00,0.00,0.00,23.00,0.70,0.01,8.00,0.24,0.01,2.00,0.06,0.05,0.00,0.00,0.00,22.00,0.67,0.01,9.00,0.27,0.01,2.00,0.06,0.04,0.00,0.00,0.00,16.00,0.49,0.01,15.00,0.46,0.01,1.00,0.03,0.01,1.00,0.03,0.20,20.00,0.61,0.01,11.00,0.33,0.01,1.00,0.03,0.01,1.00,0.03,0.25,18.00,0.55,0.01,13.00,0.39,0.01,1.00,0.03,0.01,1.00,0.03,0.14
MORELOS,152.00,0.86,0.05,24.00,0.14,0.03,1.00,0.01,0.03,0.00,0.00,0.00,151.00,0.85,0.05,26.00,0.15,0.03,0.00,0.00,0.00,0.00,0.00,0.00,138.00,0.78,0.04,38.00,0.22,0.04,1.00,0.01,0.02,0.00,0.00,0.00,129.00,0.73,0.05,45.00,0.25,0.03,2.00,0.01,0.02,1.00,0.01,0.20,116.00,0.66,0.04,58.00,0.33,0.04,3.00,0.02,0.03,0.00,0.00,0.00,129.00,0.73,0.05,44.00,0.25,0.03,4.00,0.02,0.03,0.00,0.00,0.00
NAYARIT,110.00,0.73,0.03,41.00,0.27,0.05,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.66,0.03,48.00,0.32,0.06,3.00,0.02,0.07,0.00,0.00,0.00,97.00,0.64,0.03,51.00,0.34,0.05,3.00,0.02,0.06,0.00,0.00,0.00,87.00,0.58,0.03,54.00,0.36,0.04,10.00,0.07,0.12,0.00,0.00,0.00,83.00,0.55,0.03,61.00,0.40,0.04,7.00,0.05,0.07,0.00,0.00,0.00,80.00,0.53,0.03,61.00,0.40,0.04,10.00,0.07,0.08,0.00,0.00,0.00
NUEVO LEÓN,26.00,0.84,0.01,5.00,0.16,0.01,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.81,0.01,6.00,0.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.77,0.01,7.00,0.23,0.01,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.68,0.01,10.00,0.32,0.01,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.65,0.01,11.00,0.36,0.01,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.65,0.01,10.00,0.32,0.01,1.00,0.03,0.01,0.00,0.00,0.00
PUEBLA,107.00,0.81,0.03,25.00,0.19,0.03,0.00,0.00,0.00,1.00,0.01,0.17,103.00,0.77,0.03,29.00,0.22,0.03,1.00,0.01,0.02,0.00,0.00,0.00,106.00,0.80,0.03,26.00,0.20,0.03,1.00,0.01,0.02,0.00,0.00,0.00,87.00,0.65,0.03,46.00,0.35,0.03,0.00,0.00,0.00,0.00,0.00,0.00,87.00,0.65,0.03,46.00,0.35,0.03,0.00,0.00,0.00,0.00,0.00,0.00,83.00,0.62,0.03,50.00,0.38,0.04,0.00,0.00,0.00,0.00,0.00,0.00
QUERÉTARO,152.00,0.80,0.05,37.00,0.19,0.04,1.00,0.01,0.03,1.00,0.01,0.17,149.00,0.78,0.05,37.00,0.19,0.04,4.00,0.02,0.10,1.00,0.01,0.11,133.00,0.70,0.04,55.00,0.29,0.05,2.00,0.01,0.04,1.00,0.01,0.25,121.00,0.63,0.04,64.00,0.34,0.05,4.00,0.02,0.05,2.00,0.01,0.40,119.00,0.62,0.04,70.00,0.37,0.05,1.00,0.01,0.01,1.00,0.01,0.25,112.00,0.59,0.04,72.00,0.38,0.05,6.00,0.03,0.05,1.00,0.01,0.14
QUINTANA ROO,126.00,0.74,0.04,44.00,0.26,0.05,0.00,0.00,0.00,0.00,0.00,0.00,125.00,0.74,0.04,44.00,0.26,0.05,1.00,0.01,0.02,0.00,0.00,0.00,119.00,0.70,0.04,49.00,0.29,0.05,2.00,0.01,0.04,0.00,0.00,0.00,107.00,0.63,0.04,59.00,0.35,0.04,4.00,0.02,0.05,0.00,0.00,0.00,97.00,0.57,0.04,71.00,0.42,0.05,2.00,0.01,0.02,0.00,0.00,0.00,101.00,0.59,0.04,64.00,0.38,0.05,5.00,0.03,0.04,0.00,0.00,0.00
SAN LUIS POTOSÍ,126.00,0.75,0.04,42.00,0.25,0.05,1.00,0.01,0.03,0.00,0.00,0.00,128.00,0.76,0.04,41.00,0.24,0.05,0.00,0.00,0.00,0.00,0.00,0.00,117.00,0.69,0.04,50.00,0.30,0.05,2.00,0.01,0.04,0.00,0.00,0.00,110.00,0.65,0.04,55.00,0.33,0.04,4.00,0.02,0.05,0.00,0.00,0.00,112.00,0.66,0.04,51.00,0.30,0.04,6.00,0.04,0.06,0.00,0.00,0.00,108.00,0.64,0.04,59.00,0.35,0.04,2.00,0.01,0.02,0.00,0.00,0.00
SINALOA,161.00,0.84,0.05,28.00,0.15,0.03,2.00,0.01,0.07,0.00,0.00,0.00,159.00,0.83,0.05,31.00,0.16,0.04,0.00,0.00,0.00,1.00,0.01,0.11,154.00,0.81,0.05,36.00,0.19,0.03,1.00,0.01,0.02,0.00,0.00,0.00,133.00,0.70,0.05,55.00,0.29,0.04,3.00,0.02,0.04,0.00,0.00,0.00,133.00,0.70,0.05,55.00,0.29,0.04,3.00,0.02,0.03,0.00,0.00,0.00,135.00,0.71,0.05,51.00,0.27,0.04,5.00,0.03,0.04,0.00,0.00,0.00
SONORA,118.00,0.80,0.04,27.00,0.18,0.03,1.00,0.01,0.03,1.00,0.01,0.17,115.00,0.78,0.03,30.00,0.20,0.04,2.00,0.01,0.05,0.00,0.00,0.00,104.00,0.71,0.03,41.00,0.28,0.04,1.00,0.01,0.02,1.00,0.01,0.25,90.00,0.61,0.03,55.00,0.37,0.04,2.00,0.01,0.02,0.00,0.00,0.00,104.00,0.71,0.04,35.00,0.24,0.03,7.00,0.05,0.07,1.00,0.01,0.25,97.00,0.66,0.04,45.00,0.31,0.03,4.00,0.03,0.03,1.00,0.01,0.14
TABASCO,104.00,0.80,0.03,25.00,0.19,0.03,0.00,0.00,0.00,1.00,0.01,0.17,97.00,0.75,0.03,30.00,0.23,0.04,1.00,0.01,0.02,2.00,0.02,0.22,104.00,0.80,0.03,26.00,0.20,0.03,0.00,0.00,0.00,0.00,0.00,0.00,88.00,0.68,0.03,42.00,0.32,0.03,0.00,0.00,0.00,0.00,0.00,0.00,87.00,0.67,0.03,39.00,0.30,0.03,4.00,0.03,0.04,0.00,0.00,0.00,86.00,0.66,0.03,40.00,0.31,0.03,4.00,0.03,0.03,0.00,0.00,0.00
TAMAULIPAS,117.00,0.78,0.04,33.00,0.22,0.04,1.00,0.01,0.03,0.00,0.00,0.00,121.00,0.80,0.04,28.00,0.19,0.03,1.00,0.01,0.02,1.00,0.01,0.11,117.00,0.78,0.04,32.00,0.21,0.03,2.00,0.01,0.04,0.00,0.00,0.00,105.00,0.70,0.04,45.00,0.30,0.03,1.00,0.01,0.01,0.00,0.00,0.00,97.00,0.64,0.04,51.00,0.34,0.04,3.00,0.02,0.03,0.00,0.00,0.00,101.00,0.67,0.04,45.00,0.30,0.03,5.00,0.03,0.04,0.00,0.00,0.00
TLAXCALA,135.00,0.86,0.04,19.00,0.12,0.02,3.00,0.02,0.10,0.00,0.00,0.00,131.00,0.83,0.04,21.00,0.13,0.02,5.00,0.03,0.12,0.00,0.00,0.00,126.00,0.80,0.04,27.00,0.17,0.03,4.00,0.03,0.08,0.00,0.00,0.00,107.00,0.68,0.04,44.00,0.28,0.03,6.00,0.04,0.07,0.00,0.00,0.00,106.00,0.68,0.04,47.00,0.30,0.03,4.00,0.03,0.04,0.00,0.00,0.00,113.00,0.72,0.04,37.00,0.24,0.03,7.00,0.05,0.05,0.00,0.00,0.00
VERACRUZ,84.00,0.75,0.03,28.00,0.25,0.03,0.00,0.00,0.00,0.00,0.00,0.00,84.00,0.75,0.03,28.00,0.25,0.03,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.71,0.03,32.00,0.29,0.03,0.00,0.00,0.00,0.00,0.00,0.00,68.00,0.61,0.02,44.00,0.39,0.03,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.58,0.02,44.00,0.39,0.03,3.00,0.03,0.03,0.00,0.00,0.00,65.00,0.58,0.02,45.00,0.40,0.03,2.00,0.02,0.02,0.00,0.00,0.00
YUCATÁN,84.00,0.83,0.03,16.00,0.16,0.02,1.00,0.01,0.03,0.00,0.00,0.00,78.00,0.77,0.02,22.00,0.22,0.03,1.00,0.01,0.02,0.00,0.00,0.00,76.00,0.75,0.02,24.00,0.24,0.02,1.00,0.01,0.02,0.00,0.00,0.00,63.00,0.62,0.02,35.00,0.35,0.03,3.00,0.03,0.04,0.00,0.00,0.00,65.00,0.64,0.02,33.00,0.33,0.02,3.00,0.03,0.03,0.00,0.00,0.00,64.00,0.63,0.02,33.00,0.33,0.02,3.00,0.03,0.02,1.00,0.01,0.14
ZACATECAS,138.00,0.74,0.04,46.00,0.25,0.05,3.00,0.02,0.10,0.00,0.00,0.00,141.00,0.75,0.04,43.00,0.23,0.05,3.00,0.02,0.07,0.00,0.00,0.00,121.00,0.65,0.04,61.00,0.33,0.06,5.00,0.03,0.10,0.00,0.00,0.00,107.00,0.57,0.04,72.00,0.39,0.05,8.00,0.04,0.09,0.00,0.00,0.00,96.00,0.51,0.04,82.00,0.44,0.06,9.00,0.05,0.10,0.00,0.00,0.00,97.00,0.52,0.04,79.00,0.42,0.06,10.00,0.05,0.08,1.00,0.01,0.14
Hombre,1465.00,0.79,0.44,375.00,0.20,0.44,13.00,0.01,0.43,0.00,0.00,0.00,1444.00,0.78,0.43,391.00,0.21,0.45,15.00,0.01,0.37,3.00,0.00,0.33,1382.00,0.75,0.44,450.00,0.24,0.43,21.00,0.01,0.41,0.00,0.00,0.00,1199.00,0.65,0.43,618.00,0.33,0.45,35.00,0.02,0.41,1.00,0.00,0.20,1153.00,0.62,0.42,662.00,0.36,0.47,37.00,0.02,0.39,1.00,0.00,0.25,1180.00,0.64,0.44,625.00,0.34,0.44,45.00,0.02,0.34,3.00,0.00,0.43
Mujer,1901.00,0.79,0.57,476.00,0.20,0.56,17.00,0.01,0.57,6.00,0.00,1.00,1896.00,0.79,0.57,472.00,0.20,0.55,26.00,0.01,0.63,6.00,0.00,0.67,1772.00,0.74,0.56,594.00,0.25,0.57,30.00,0.01,0.59,4.00,0.00,1.00,1581.00,0.66,0.57,764.00,0.32,0.55,51.00,0.02,0.59,4.00,0.00,0.80,1582.00,0.66,0.58,758.00,0.32,0.53,57.00,0.02,0.61,3.00,0.00,0.75,1504.00,0.63,0.56,804.00,0.34,0.56,88.00,0.04,0.66,4.00,0.00,0.57
18 a 20 años,8.00,0.80,0.00,2.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.80,0.00,2.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.80,0.00,2.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.60,0.00,4.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.60,0.00,4.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.60,0.00,4.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21 a 30 años,151.00,0.74,0.05,51.00,0.25,0.06,3.00,0.02,0.10,0.00,0.00,0.00,149.00,0.73,0.05,52.00,0.25,0.06,4.00,0.02,0.10,0.00,0.00,0.00,139.00,0.68,0.04,62.00,0.30,0.06,4.00,0.02,0.08,0.00,0.00,0.00,123.00,0.60,0.04,73.00,0.36,0.05,9.00,0.04,0.11,0.00,0.00,0.00,126.00,0.62,0.05,77.00,0.38,0.05,2.00,0.01,0.02,0.00,0.00,0.00,108.00,0.53,0.04,86.00,0.42,0.06,11.00,0.05,0.08,0.00,0.00,0.00
31 a 40 años,768.00,0.77,0.23,216.00,0.22,0.25,7.00,0.01,0.23,2.00,0.00,0.33,759.00,0.76,0.23,220.00,0.22,0.26,10.00,0.01,0.24,4.00,0.00,0.44,693.00,0.70,0.22,281.00,0.28,0.27,17.00,0.02,0.33,2.00,0.00,0.50,611.00,0.62,0.22,359.00,0.36,0.26,20.00,0.02,0.23,3.00,0.00,0.60,624.00,0.63,0.23,342.00,0.34,0.24,25.00,0.03,0.27,2.00,0.00,0.50,584.00,0.59,0.22,373.00,0.38,0.26,33.00,0.03,0.25,3.00,0.00,0.43
41 a 50 años,997.00,0.79,0.30,245.00,0.20,0.29,13.00,0.01,0.43,3.00,0.00,0.50,978.00,0.78,0.29,263.00,0.21,0.31,15.00,0.01,0.37,2.00,0.00,0.22,933.00,0.74,0.30,305.00,0.24,0.29,18.00,0.01,0.35,2.00,0.00,0.50,814.00,0.65,0.29,408.00,0.32,0.30,34.00,0.03,0.40,2.00,0.00,0.40,787.00,0.63,0.29,434.00,0.35,0.31,35.00,0.03,0.37,2.00,0.00,0.50,762.00,0.61,0.28,444.00,0.35,0.31,48.00,0.04,0.36,4.00,0.00,0.57
51 a 60 años,1001.00,0.79,0.30,253.00,0.20,0.30,6.00,0.01,0.20,1.00,0.00,0.17,1008.00,0.80,0.30,240.00,0.19,0.28,10.00,0.01,0.24,3.00,0.00,0.33,953.00,0.76,0.30,299.00,0.24,0.29,9.00,0.01,0.18,0.00,0.00,0.00,849.00,0.67,0.31,396.00,0.31,0.29,16.00,0.01,0.19,0.00,0.00,0.00,814.00,0.65,0.30,423.00,0.34,0.30,24.00,0.02,0.26,0.00,0.00,0.00,834.00,0.66,0.31,390.00,0.31,0.27,37.00,0.03,0.28,0.00,0.00,0.00
61 a 70 años,386.00,0.83,0.12,77.00,0.17,0.09,1.00,0.00,0.03,0.00,0.00,0.00,383.00,0.83,0.12,79.00,0.17,0.09,2.00,0.00,0.05,0.00,0.00,0.00,376.00,0.81,0.12,86.00,0.19,0.08,2.00,0.00,0.04,0.00,0.00,0.00,331.00,0.71,0.12,129.00,0.28,0.09,4.00,0.01,0.05,0.00,0.00,0.00,335.00,0.72,0.12,122.00,0.26,0.09,7.00,0.02,0.07,0.00,0.00,0.00,341.00,0.74,0.13,120.00,0.26,0.08,3.00,0.01,0.02,0.00,0.00,0.00
