Entidad,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
ESTADO DE MÉXICO,163.00,0.33,0.04,317.00,0.64,0.05,17.00,0.03,0.06,0.00,0.00,0.00,181.00,0.36,0.04,301.00,0.61,0.04,15.00,0.03,0.06,0.00,0.00,0.00,198.00,0.40,0.04,278.00,0.56,0.04,19.00,0.04,0.07,2.00,0.00,0.11,163.00,0.33,0.04,318.00,0.64,0.05,16.00,0.03,0.05,0.00,0.00,0.00,155.00,0.31,0.04,292.00,0.59,0.04,45.00,0.09,0.06,5.00,0.01,0.07
GUANAJUATO,145.00,0.39,0.04,218.00,0.59,0.03,7.00,0.02,0.03,0.00,0.00,0.00,153.00,0.41,0.04,212.00,0.57,0.03,5.00,0.01,0.02,0.00,0.00,0.00,167.00,0.45,0.04,192.00,0.52,0.03,10.00,0.03,0.04,1.00,0.00,0.06,147.00,0.40,0.04,213.00,0.58,0.03,10.00,0.03,0.03,0.00,0.00,0.00,125.00,0.34,0.04,215.00,0.58,0.03,30.00,0.08,0.04,0.00,0.00,0.00
GUERRERO,6.00,0.30,0.00,14.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.35,0.00,11.00,0.55,0.00,2.00,0.10,0.01,0.00,0.00,0.00,8.00,0.40,0.00,12.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.35,0.00,13.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.20,0.00,15.00,0.75,0.00,1.00,0.05,0.00,0.00,0.00,0.00
HIDALGO,128.00,0.39,0.03,195.00,0.59,0.03,6.00,0.02,0.02,1.00,0.00,0.05,133.00,0.40,0.03,190.00,0.58,0.03,6.00,0.02,0.02,1.00,0.00,0.06,134.00,0.41,0.03,190.00,0.58,0.03,6.00,0.02,0.02,0.00,0.00,0.00,126.00,0.38,0.03,193.00,0.59,0.03,10.00,0.03,0.03,1.00,0.00,0.07,107.00,0.32,0.03,202.00,0.61,0.03,21.00,0.06,0.03,0.00,0.00,0.00
JALISCO,83.00,0.35,0.02,145.00,0.61,0.02,8.00,0.03,0.03,1.00,0.00,0.05,92.00,0.39,0.02,133.00,0.56,0.02,10.00,0.04,0.04,2.00,0.01,0.13,101.00,0.43,0.02,128.00,0.54,0.02,6.00,0.03,0.02,2.00,0.01,0.11,88.00,0.37,0.02,141.00,0.60,0.02,6.00,0.03,0.02,2.00,0.01,0.14,74.00,0.31,0.02,137.00,0.58,0.02,22.00,0.09,0.03,4.00,0.02,0.06
MICHOACÁN,12.00,0.33,0.00,23.00,0.64,0.00,1.00,0.03,0.00,0.00,0.00,0.00,12.00,0.33,0.00,24.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.39,0.00,22.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.39,0.00,22.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.25,0.00,23.00,0.64,0.00,4.00,0.11,0.01,0.00,0.00,0.00
MORELOS,111.00,0.31,0.03,234.00,0.65,0.03,13.00,0.04,0.05,1.00,0.00,0.05,130.00,0.36,0.03,216.00,0.60,0.03,11.00,0.03,0.04,2.00,0.01,0.13,136.00,0.38,0.03,217.00,0.60,0.03,5.00,0.01,0.02,1.00,0.00,0.06,121.00,0.34,0.03,227.00,0.63,0.03,10.00,0.03,0.03,1.00,0.00,0.07,109.00,0.30,0.03,229.00,0.64,0.03,18.00,0.05,0.02,3.00,0.01,0.04
NAYARIT,170.00,0.38,0.04,263.00,0.59,0.04,12.00,0.03,0.04,1.00,0.00,0.05,158.00,0.35,0.04,274.00,0.61,0.04,13.00,0.03,0.05,1.00,0.00,0.06,182.00,0.41,0.04,256.00,0.57,0.04,7.00,0.02,0.02,1.00,0.00,0.06,154.00,0.35,0.04,277.00,0.62,0.04,14.00,0.03,0.05,1.00,0.00,0.07,127.00,0.29,0.04,279.00,0.63,0.04,36.00,0.08,0.05,4.00,0.01,0.06
NUEVO LEÓN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PUEBLA,162.00,0.41,0.04,223.00,0.57,0.03,9.00,0.02,0.03,0.00,0.00,0.00,169.00,0.43,0.04,217.00,0.55,0.03,8.00,0.02,0.03,0.00,0.00,0.00,187.00,0.48,0.04,201.00,0.51,0.03,6.00,0.02,0.02,0.00,0.00,0.00,150.00,0.38,0.04,237.00,0.60,0.03,7.00,0.02,0.02,0.00,0.00,0.00,152.00,0.39,0.04,215.00,0.55,0.03,24.00,0.06,0.03,3.00,0.01,0.04
QUERÉTARO,191.00,0.37,0.05,311.00,0.60,0.04,14.00,0.03,0.05,0.00,0.00,0.00,203.00,0.39,0.05,304.00,0.59,0.04,8.00,0.02,0.03,1.00,0.00,0.06,218.00,0.42,0.05,284.00,0.55,0.04,14.00,0.03,0.05,0.00,0.00,0.00,189.00,0.37,0.05,318.00,0.62,0.05,9.00,0.02,0.03,0.00,0.00,0.00,147.00,0.29,0.04,336.00,0.65,0.05,30.00,0.06,0.04,3.00,0.01,0.04
QUINTANA ROO,177.00,0.38,0.04,275.00,0.60,0.04,7.00,0.02,0.03,2.00,0.00,0.11,179.00,0.39,0.04,267.00,0.58,0.04,14.00,0.03,0.05,1.00,0.00,0.06,188.00,0.41,0.04,262.00,0.57,0.04,10.00,0.02,0.04,1.00,0.00,0.06,168.00,0.36,0.04,280.00,0.61,0.04,11.00,0.02,0.04,2.00,0.00,0.14,150.00,0.33,0.04,286.00,0.62,0.04,21.00,0.05,0.03,4.00,0.01,0.06
SAN LUIS POTOSÍ,117.00,0.31,0.03,255.00,0.67,0.04,8.00,0.02,0.03,1.00,0.00,0.05,147.00,0.39,0.03,226.00,0.59,0.03,8.00,0.02,0.03,0.00,0.00,0.00,150.00,0.39,0.03,227.00,0.60,0.04,3.00,0.01,0.01,1.00,0.00,0.06,126.00,0.33,0.03,250.00,0.66,0.04,5.00,0.01,0.02,0.00,0.00,0.00,105.00,0.28,0.03,250.00,0.66,0.04,24.00,0.06,0.03,2.00,0.01,0.03
SINALOA,245.00,0.44,0.06,299.00,0.53,0.04,16.00,0.03,0.06,2.00,0.00,0.11,267.00,0.48,0.06,284.00,0.51,0.04,9.00,0.02,0.03,2.00,0.00,0.13,292.00,0.52,0.06,260.00,0.46,0.04,10.00,0.02,0.04,0.00,0.00,0.00,261.00,0.46,0.06,285.00,0.51,0.04,15.00,0.03,0.05,1.00,0.00,0.07,236.00,0.42,0.07,283.00,0.50,0.04,41.00,0.07,0.05,2.00,0.00,0.03
SONORA,128.00,0.39,0.03,195.00,0.60,0.03,3.00,0.01,0.01,0.00,0.00,0.00,145.00,0.45,0.03,178.00,0.55,0.03,3.00,0.01,0.01,0.00,0.00,0.00,151.00,0.46,0.03,170.00,0.52,0.03,5.00,0.02,0.02,0.00,0.00,0.00,145.00,0.45,0.04,173.00,0.53,0.03,8.00,0.03,0.03,0.00,0.00,0.00,119.00,0.37,0.03,187.00,0.57,0.03,18.00,0.06,0.02,2.00,0.01,0.03
TABASCO,135.00,0.34,0.03,245.00,0.63,0.04,11.00,0.03,0.04,1.00,0.00,0.05,151.00,0.39,0.04,232.00,0.59,0.03,9.00,0.02,0.03,0.00,0.00,0.00,157.00,0.40,0.03,223.00,0.57,0.03,12.00,0.03,0.04,0.00,0.00,0.00,145.00,0.37,0.04,236.00,0.60,0.03,11.00,0.03,0.04,0.00,0.00,0.00,132.00,0.34,0.04,229.00,0.58,0.03,25.00,0.06,0.03,6.00,0.02,0.08
TAMAULIPAS,154.00,0.36,0.04,267.00,0.62,0.04,8.00,0.02,0.03,0.00,0.00,0.00,151.00,0.35,0.04,272.00,0.63,0.04,6.00,0.01,0.02,0.00,0.00,0.00,152.00,0.35,0.03,265.00,0.62,0.04,12.00,0.03,0.04,0.00,0.00,0.00,140.00,0.33,0.03,284.00,0.66,0.04,5.00,0.01,0.02,0.00,0.00,0.00,131.00,0.31,0.04,278.00,0.65,0.04,20.00,0.05,0.03,0.00,0.00,0.00
TLAXCALA,114.00,0.34,0.03,212.00,0.64,0.03,6.00,0.02,0.02,1.00,0.00,0.05,124.00,0.37,0.03,205.00,0.62,0.03,4.00,0.01,0.02,0.00,0.00,0.00,139.00,0.42,0.03,185.00,0.56,0.03,9.00,0.03,0.03,0.00,0.00,0.00,114.00,0.34,0.03,211.00,0.63,0.03,8.00,0.02,0.03,0.00,0.00,0.00,101.00,0.30,0.03,205.00,0.62,0.03,27.00,0.08,0.04,0.00,0.00,0.00
VERACRUZ,41.00,0.33,0.01,81.00,0.64,0.01,4.00,0.03,0.01,0.00,0.00,0.00,41.00,0.33,0.01,84.00,0.67,0.01,1.00,0.01,0.00,0.00,0.00,0.00,49.00,0.39,0.01,76.00,0.60,0.01,1.00,0.01,0.00,0.00,0.00,0.00,43.00,0.34,0.01,82.00,0.65,0.01,1.00,0.01,0.00,0.00,0.00,0.00,42.00,0.33,0.01,77.00,0.61,0.01,6.00,0.05,0.01,1.00,0.01,0.01
YUCATÁN,103.00,0.39,0.03,150.00,0.57,0.02,8.00,0.03,0.03,1.00,0.00,0.05,97.00,0.37,0.02,159.00,0.61,0.02,6.00,0.02,0.02,0.00,0.00,0.00,120.00,0.46,0.03,134.00,0.51,0.02,8.00,0.03,0.03,0.00,0.00,0.00,110.00,0.42,0.03,144.00,0.55,0.02,8.00,0.03,0.03,0.00,0.00,0.00,98.00,0.37,0.03,153.00,0.58,0.02,11.00,0.04,0.01,0.00,0.00,0.00
ZACATECAS,213.00,0.29,0.05,494.00,0.67,0.07,30.00,0.04,0.11,2.00,0.00,0.11,227.00,0.31,0.05,479.00,0.65,0.07,31.00,0.04,0.12,2.00,0.00,0.13,252.00,0.34,0.06,464.00,0.63,0.07,20.00,0.03,0.07,3.00,0.00,0.17,229.00,0.31,0.06,475.00,0.64,0.07,34.00,0.05,0.11,1.00,0.00,0.07,200.00,0.27,0.06,471.00,0.64,0.07,61.00,0.08,0.08,7.00,0.01,0.10
Hombre,1219.00,0.35,0.30,2134.00,0.62,0.30,82.00,0.02,0.29,6.00,0.00,0.32,1246.00,0.36,0.29,2113.00,0.61,0.31,78.00,0.02,0.29,4.00,0.00,0.25,1353.00,0.39,0.29,1994.00,0.58,0.31,89.00,0.03,0.31,5.00,0.00,0.28,1212.00,0.35,0.29,2127.00,0.62,0.31,97.00,0.03,0.32,5.00,0.00,0.36,1076.00,0.31,0.30,2126.00,0.62,0.30,219.00,0.06,0.28,20.00,0.01,0.27
Mujer,2822.00,0.35,0.70,4960.00,0.62,0.70,199.00,0.03,0.71,13.00,0.00,0.68,3067.00,0.38,0.71,4724.00,0.59,0.69,190.00,0.02,0.71,12.00,0.00,0.75,3270.00,0.41,0.71,4513.00,0.57,0.69,197.00,0.03,0.69,13.00,0.00,0.72,2920.00,0.37,0.71,4857.00,0.61,0.70,207.00,0.03,0.68,9.00,0.00,0.64,2526.00,0.32,0.70,4858.00,0.61,0.70,556.00,0.07,0.72,53.00,0.01,0.73
18 a 20 años,27.00,0.33,0.01,51.00,0.61,0.01,5.00,0.06,0.02,0.00,0.00,0.00,34.00,0.41,0.01,48.00,0.58,0.01,1.00,0.01,0.00,0.00,0.00,0.00,34.00,0.41,0.01,46.00,0.55,0.01,3.00,0.04,0.01,0.00,0.00,0.00,31.00,0.37,0.01,47.00,0.57,0.01,5.00,0.06,0.02,0.00,0.00,0.00,30.00,0.36,0.01,49.00,0.59,0.01,4.00,0.05,0.01,0.00,0.00,0.00
21 a 30 años,933.00,0.39,0.23,1391.00,0.58,0.20,59.00,0.03,0.21,7.00,0.00,0.37,976.00,0.41,0.23,1347.00,0.56,0.20,60.00,0.03,0.22,6.00,0.00,0.38,1032.00,0.43,0.22,1283.00,0.54,0.20,68.00,0.03,0.24,6.00,0.00,0.33,903.00,0.38,0.22,1411.00,0.59,0.20,70.00,0.03,0.23,5.00,0.00,0.36,826.00,0.35,0.23,1405.00,0.59,0.20,142.00,0.06,0.18,16.00,0.01,0.22
31 a 40 años,1393.00,0.35,0.35,2547.00,0.63,0.36,96.00,0.02,0.34,6.00,0.00,0.32,1459.00,0.36,0.34,2470.00,0.61,0.36,109.00,0.03,0.41,4.00,0.00,0.25,1561.00,0.39,0.34,2363.00,0.59,0.36,113.00,0.03,0.40,5.00,0.00,0.28,1370.00,0.34,0.33,2554.00,0.63,0.37,114.00,0.03,0.38,4.00,0.00,0.29,1221.00,0.30,0.34,2508.00,0.62,0.36,287.00,0.07,0.37,26.00,0.01,0.36
41 a 50 años,1081.00,0.34,0.27,2027.00,0.64,0.29,82.00,0.03,0.29,4.00,0.00,0.21,1144.00,0.36,0.27,1982.00,0.62,0.29,65.00,0.02,0.24,3.00,0.00,0.19,1237.00,0.39,0.27,1878.00,0.59,0.29,73.00,0.02,0.26,6.00,0.00,0.33,1136.00,0.36,0.28,1978.00,0.62,0.28,77.00,0.02,0.25,3.00,0.00,0.21,936.00,0.29,0.26,2010.00,0.63,0.29,227.00,0.07,0.29,21.00,0.01,0.29
51 a 60 años,521.00,0.34,0.13,965.00,0.63,0.14,38.00,0.03,0.14,2.00,0.00,0.11,604.00,0.40,0.14,887.00,0.58,0.13,32.00,0.02,0.12,3.00,0.00,0.19,657.00,0.43,0.14,841.00,0.55,0.13,27.00,0.02,0.09,1.00,0.00,0.06,593.00,0.39,0.14,895.00,0.59,0.13,37.00,0.02,0.12,1.00,0.00,0.07,509.00,0.33,0.14,902.00,0.59,0.13,106.00,0.07,0.14,9.00,0.01,0.12
61 a 70 años,80.00,0.43,0.02,106.00,0.57,0.02,1.00,0.01,0.00,0.00,0.00,0.00,90.00,0.48,0.02,96.00,0.51,0.01,1.00,0.01,0.00,0.00,0.00,0.00,95.00,0.51,0.02,90.00,0.48,0.01,2.00,0.01,0.01,0.00,0.00,0.00,92.00,0.49,0.02,93.00,0.50,0.01,1.00,0.01,0.00,1.00,0.01,0.07,75.00,0.40,0.02,103.00,0.55,0.02,8.00,0.04,0.01,1.00,0.01,0.01
71 a 80 años,6.00,0.46,0.00,7.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.46,0.00,7.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.54,0.00,6.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.54,0.00,6.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.39,0.00,7.00,0.54,0.00,1.00,0.08,0.00,0.00,0.00,0.00
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",13.00,0.36,0.00,22.00,0.61,0.00,1.00,0.03,0.00,0.00,0.00,0.00,12.00,0.33,0.00,23.00,0.64,0.00,1.00,0.03,0.00,0.00,0.00,0.00,13.00,0.36,0.00,22.00,0.61,0.00,1.00,0.03,0.00,0.00,0.00,0.00,10.00,0.28,0.00,25.00,0.69,0.00,1.00,0.03,0.00,0.00,0.00,0.00,12.00,0.33,0.00,23.00,0.64,0.00,1.00,0.03,0.00,0.00,0.00,0.00
Normal básica sin licenciatura,150.00,0.33,0.04,289.00,0.63,0.04,15.00,0.03,0.05,2.00,0.00,0.11,172.00,0.38,0.04,275.00,0.60,0.04,7.00,0.02,0.03,2.00,0.00,0.13,178.00,0.39,0.04,270.00,0.59,0.04,6.00,0.01,0.02,2.00,0.00,0.11,171.00,0.38,0.04,277.00,0.61,0.04,7.00,0.02,0.02,1.00,0.00,0.07,156.00,0.34,0.04,259.00,0.57,0.04,37.00,0.08,0.05,4.00,0.01,0.06
Normal superior,88.00,0.37,0.02,146.00,0.62,0.02,3.00,0.01,0.01,0.00,0.00,0.00,90.00,0.38,0.02,137.00,0.58,0.02,9.00,0.04,0.03,1.00,0.00,0.06,100.00,0.42,0.02,129.00,0.54,0.02,8.00,0.03,0.03,0.00,0.00,0.00,94.00,0.40,0.02,132.00,0.56,0.02,10.00,0.04,0.03,1.00,0.00,0.07,81.00,0.34,0.02,137.00,0.58,0.02,18.00,0.08,0.02,1.00,0.00,0.01
