Entidad,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
ESTADO DE MÉXICO,81.00,0.44,0.04,95.00,0.52,0.03,8.00,0.04,0.05,0.00,0.00,0.00,75.00,0.41,0.03,103.00,0.56,0.04,6.00,0.03,0.04,0.00,0.00,0.00,87.00,0.47,0.03,91.00,0.50,0.03,6.00,0.03,0.05,0.00,0.00,0.00,77.00,0.42,0.04,100.00,0.54,0.03,7.00,0.04,0.05,0.00,0.00,0.00,68.00,0.37,0.04,99.00,0.54,0.03,16.00,0.09,0.04,1.00,0.01,0.02
GUANAJUATO,122.00,0.48,0.06,122.00,0.48,0.04,9.00,0.04,0.06,1.00,0.00,0.08,122.00,0.48,0.05,127.00,0.50,0.04,5.00,0.02,0.03,0.00,0.00,0.00,137.00,0.54,0.05,114.00,0.45,0.04,3.00,0.01,0.03,0.00,0.00,0.00,119.00,0.47,0.06,127.00,0.50,0.04,8.00,0.03,0.06,0.00,0.00,0.00,96.00,0.38,0.05,144.00,0.57,0.05,11.00,0.04,0.03,3.00,0.01,0.06
GUERRERO,6.00,0.33,0.00,12.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.39,0.00,11.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.44,0.00,9.00,0.50,0.00,1.00,0.06,0.01,0.00,0.00,0.00,9.00,0.50,0.00,9.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.33,0.00,8.00,0.44,0.00,4.00,0.22,0.01,0.00,0.00,0.00
HIDALGO,64.00,0.37,0.03,104.00,0.60,0.04,6.00,0.03,0.04,0.00,0.00,0.00,64.00,0.37,0.03,102.00,0.59,0.04,8.00,0.05,0.05,0.00,0.00,0.00,79.00,0.45,0.03,93.00,0.53,0.04,2.00,0.01,0.02,0.00,0.00,0.00,73.00,0.42,0.03,99.00,0.57,0.03,2.00,0.01,0.01,0.00,0.00,0.00,55.00,0.32,0.03,101.00,0.58,0.03,17.00,0.10,0.04,1.00,0.01,0.02
JALISCO,63.00,0.34,0.03,117.00,0.64,0.04,4.00,0.02,0.02,0.00,0.00,0.00,66.00,0.36,0.03,113.00,0.61,0.04,5.00,0.03,0.03,0.00,0.00,0.00,66.00,0.36,0.03,110.00,0.60,0.04,8.00,0.04,0.07,0.00,0.00,0.00,60.00,0.33,0.03,115.00,0.63,0.04,9.00,0.05,0.06,0.00,0.00,0.00,46.00,0.25,0.03,111.00,0.60,0.04,25.00,0.14,0.07,2.00,0.01,0.04
MICHOACÁN,12.00,0.26,0.01,32.00,0.68,0.01,3.00,0.06,0.02,0.00,0.00,0.00,17.00,0.36,0.01,28.00,0.60,0.01,2.00,0.04,0.01,0.00,0.00,0.00,13.00,0.28,0.01,34.00,0.72,0.01,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.28,0.01,32.00,0.68,0.01,2.00,0.04,0.01,0.00,0.00,0.00,8.00,0.17,0.00,37.00,0.79,0.01,2.00,0.04,0.01,0.00,0.00,0.00
MORELOS,84.00,0.50,0.04,76.00,0.46,0.03,7.00,0.04,0.04,0.00,0.00,0.00,84.00,0.50,0.04,75.00,0.45,0.03,6.00,0.04,0.04,2.00,0.01,0.18,101.00,0.61,0.04,61.00,0.37,0.02,4.00,0.02,0.04,1.00,0.01,0.17,89.00,0.53,0.04,76.00,0.46,0.03,1.00,0.01,0.01,1.00,0.01,0.11,85.00,0.51,0.05,68.00,0.41,0.02,12.00,0.07,0.03,2.00,0.01,0.04
NAYARIT,85.00,0.45,0.04,98.00,0.52,0.03,6.00,0.03,0.04,0.00,0.00,0.00,79.00,0.42,0.04,105.00,0.56,0.04,5.00,0.03,0.03,0.00,0.00,0.00,112.00,0.59,0.04,73.00,0.39,0.03,4.00,0.02,0.04,0.00,0.00,0.00,91.00,0.48,0.04,95.00,0.50,0.03,2.00,0.01,0.01,1.00,0.01,0.11,73.00,0.39,0.04,104.00,0.55,0.03,12.00,0.06,0.03,0.00,0.00,0.00
NUEVO LEÓN,12.00,0.36,0.01,17.00,0.52,0.01,4.00,0.12,0.02,0.00,0.00,0.00,10.00,0.30,0.00,20.00,0.61,0.01,3.00,0.09,0.02,0.00,0.00,0.00,15.00,0.46,0.01,18.00,0.55,0.01,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.39,0.01,20.00,0.61,0.01,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.39,0.01,16.00,0.49,0.01,4.00,0.12,0.01,0.00,0.00,0.00
PUEBLA,86.00,0.45,0.04,100.00,0.52,0.03,5.00,0.03,0.03,0.00,0.00,0.00,90.00,0.47,0.04,95.00,0.50,0.03,6.00,0.03,0.04,0.00,0.00,0.00,93.00,0.49,0.04,95.00,0.50,0.04,3.00,0.02,0.03,0.00,0.00,0.00,84.00,0.44,0.04,102.00,0.53,0.03,4.00,0.02,0.03,1.00,0.01,0.11,82.00,0.43,0.04,99.00,0.52,0.03,9.00,0.05,0.02,1.00,0.01,0.02
QUERÉTARO,87.00,0.36,0.04,145.00,0.60,0.05,8.00,0.03,0.05,1.00,0.00,0.08,98.00,0.41,0.04,129.00,0.54,0.04,13.00,0.05,0.08,1.00,0.00,0.09,106.00,0.44,0.04,127.00,0.53,0.05,8.00,0.03,0.07,0.00,0.00,0.00,88.00,0.37,0.04,140.00,0.58,0.05,13.00,0.05,0.09,0.00,0.00,0.00,74.00,0.31,0.04,143.00,0.59,0.05,23.00,0.10,0.06,1.00,0.00,0.02
QUINTANA ROO,68.00,0.34,0.03,130.00,0.64,0.04,5.00,0.03,0.03,0.00,0.00,0.00,81.00,0.40,0.04,118.00,0.58,0.04,4.00,0.02,0.03,0.00,0.00,0.00,89.00,0.44,0.04,111.00,0.55,0.04,3.00,0.02,0.03,0.00,0.00,0.00,73.00,0.36,0.03,125.00,0.62,0.04,5.00,0.03,0.04,0.00,0.00,0.00,64.00,0.32,0.03,122.00,0.60,0.04,13.00,0.06,0.03,4.00,0.02,0.08
SAN LUIS POTOSÍ,92.00,0.38,0.04,141.00,0.58,0.05,10.00,0.04,0.06,0.00,0.00,0.00,101.00,0.42,0.05,139.00,0.57,0.05,3.00,0.01,0.02,0.00,0.00,0.00,113.00,0.47,0.05,126.00,0.52,0.05,4.00,0.02,0.04,0.00,0.00,0.00,86.00,0.35,0.04,153.00,0.63,0.05,3.00,0.01,0.02,1.00,0.00,0.11,76.00,0.31,0.04,147.00,0.61,0.05,16.00,0.07,0.04,4.00,0.02,0.08
SINALOA,178.00,0.47,0.08,187.00,0.49,0.06,13.00,0.03,0.08,2.00,0.01,0.15,171.00,0.45,0.08,200.00,0.53,0.07,8.00,0.02,0.05,1.00,0.00,0.09,199.00,0.52,0.08,171.00,0.45,0.06,10.00,0.03,0.09,0.00,0.00,0.00,184.00,0.48,0.09,187.00,0.49,0.06,8.00,0.02,0.06,1.00,0.00,0.11,141.00,0.37,0.08,221.00,0.58,0.07,15.00,0.04,0.04,3.00,0.01,0.06
SONORA,74.00,0.44,0.03,90.00,0.54,0.03,4.00,0.02,0.02,0.00,0.00,0.00,73.00,0.44,0.03,93.00,0.55,0.03,2.00,0.01,0.01,0.00,0.00,0.00,92.00,0.55,0.04,73.00,0.44,0.03,3.00,0.02,0.03,0.00,0.00,0.00,79.00,0.47,0.04,84.00,0.50,0.03,5.00,0.03,0.04,0.00,0.00,0.00,69.00,0.41,0.04,86.00,0.51,0.03,12.00,0.07,0.03,1.00,0.01,0.02
TABASCO,24.00,0.38,0.01,35.00,0.56,0.01,3.00,0.05,0.02,1.00,0.02,0.08,27.00,0.43,0.01,34.00,0.54,0.01,2.00,0.03,0.01,0.00,0.00,0.00,28.00,0.44,0.01,33.00,0.52,0.01,2.00,0.03,0.02,0.00,0.00,0.00,28.00,0.44,0.01,32.00,0.51,0.01,3.00,0.05,0.02,0.00,0.00,0.00,27.00,0.43,0.01,27.00,0.43,0.01,9.00,0.14,0.02,0.00,0.00,0.00
TAMAULIPAS,67.00,0.32,0.03,135.00,0.65,0.05,5.00,0.02,0.03,0.00,0.00,0.00,76.00,0.37,0.03,124.00,0.60,0.04,7.00,0.03,0.04,0.00,0.00,0.00,81.00,0.39,0.03,125.00,0.60,0.05,1.00,0.01,0.01,0.00,0.00,0.00,73.00,0.35,0.03,131.00,0.63,0.04,3.00,0.01,0.02,0.00,0.00,0.00,69.00,0.33,0.04,126.00,0.61,0.04,8.00,0.04,0.02,4.00,0.02,0.08
TLAXCALA,45.00,0.50,0.02,41.00,0.46,0.01,4.00,0.04,0.02,0.00,0.00,0.00,53.00,0.59,0.02,34.00,0.38,0.01,3.00,0.03,0.02,0.00,0.00,0.00,48.00,0.53,0.02,42.00,0.47,0.02,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.50,0.02,40.00,0.44,0.01,5.00,0.06,0.04,0.00,0.00,0.00,39.00,0.43,0.02,46.00,0.51,0.02,4.00,0.04,0.01,1.00,0.01,0.02
VERACRUZ,38.00,0.32,0.02,74.00,0.62,0.03,6.00,0.05,0.04,1.00,0.01,0.08,42.00,0.35,0.02,71.00,0.60,0.02,5.00,0.04,0.03,1.00,0.01,0.09,43.00,0.36,0.02,69.00,0.58,0.03,6.00,0.05,0.05,1.00,0.01,0.17,39.00,0.33,0.02,74.00,0.62,0.02,5.00,0.04,0.04,1.00,0.01,0.11,31.00,0.26,0.02,77.00,0.65,0.03,9.00,0.08,0.02,2.00,0.02,0.04
YUCATÁN,40.00,0.32,0.02,81.00,0.65,0.03,3.00,0.02,0.02,1.00,0.01,0.08,44.00,0.35,0.02,73.00,0.58,0.03,8.00,0.06,0.05,0.00,0.00,0.00,46.00,0.37,0.02,72.00,0.58,0.03,7.00,0.06,0.06,0.00,0.00,0.00,39.00,0.31,0.02,77.00,0.62,0.03,9.00,0.07,0.06,0.00,0.00,0.00,38.00,0.30,0.02,79.00,0.63,0.03,6.00,0.05,0.02,2.00,0.02,0.04
ZACATECAS,72.00,0.33,0.03,135.00,0.62,0.05,9.00,0.04,0.06,2.00,0.01,0.15,94.00,0.43,0.04,119.00,0.55,0.04,4.00,0.02,0.03,1.00,0.01,0.09,100.00,0.46,0.04,114.00,0.52,0.04,2.00,0.01,0.02,2.00,0.01,0.33,80.00,0.37,0.04,132.00,0.61,0.04,5.00,0.02,0.04,1.00,0.01,0.11,71.00,0.33,0.04,127.00,0.58,0.04,18.00,0.08,0.05,2.00,0.01,0.04
Hombre,84.00,0.36,0.04,139.00,0.60,0.05,7.00,0.03,0.04,1.00,0.00,0.08,93.00,0.40,0.04,133.00,0.58,0.05,5.00,0.02,0.03,0.00,0.00,0.00,102.00,0.44,0.04,124.00,0.54,0.05,5.00,0.02,0.04,0.00,0.00,0.00,86.00,0.37,0.04,140.00,0.61,0.05,5.00,0.02,0.04,0.00,0.00,0.00,89.00,0.39,0.05,130.00,0.56,0.04,10.00,0.04,0.03,2.00,0.01,0.04
Mujer,2075.00,0.41,0.96,2861.00,0.56,0.95,158.00,0.03,0.96,12.00,0.00,0.92,2164.00,0.42,0.96,2777.00,0.54,0.95,154.00,0.03,0.97,11.00,0.00,1.00,2421.00,0.47,0.96,2570.00,0.50,0.95,109.00,0.02,0.96,6.00,0.00,1.00,2078.00,0.41,0.96,2882.00,0.56,0.95,137.00,0.03,0.97,9.00,0.00,1.00,1779.00,0.35,0.95,2907.00,0.57,0.96,373.00,0.07,0.97,47.00,0.01,0.96
18 a 20 años,11.00,0.34,0.01,20.00,0.63,0.01,1.00,0.03,0.01,0.00,0.00,0.00,8.00,0.25,0.00,24.00,0.75,0.01,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.41,0.01,19.00,0.59,0.01,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.34,0.01,19.00,0.59,0.01,2.00,0.06,0.01,0.00,0.00,0.00,12.00,0.38,0.01,16.00,0.50,0.01,4.00,0.13,0.01,0.00,0.00,0.00
21 a 30 años,525.00,0.45,0.24,601.00,0.52,0.20,35.00,0.03,0.21,1.00,0.00,0.08,543.00,0.47,0.24,585.00,0.50,0.20,33.00,0.03,0.21,1.00,0.00,0.09,582.00,0.50,0.23,552.00,0.48,0.21,28.00,0.02,0.25,0.00,0.00,0.00,503.00,0.43,0.23,626.00,0.54,0.21,32.00,0.03,0.23,1.00,0.00,0.11,436.00,0.38,0.23,632.00,0.54,0.21,79.00,0.07,0.21,15.00,0.01,0.31
31 a 40 años,752.00,0.40,0.35,1057.00,0.57,0.35,55.00,0.03,0.33,7.00,0.00,0.54,796.00,0.43,0.35,1013.00,0.54,0.35,58.00,0.03,0.37,4.00,0.00,0.36,870.00,0.47,0.35,954.00,0.51,0.35,45.00,0.02,0.40,2.00,0.00,0.33,736.00,0.39,0.34,1078.00,0.58,0.36,53.00,0.03,0.37,4.00,0.00,0.44,633.00,0.34,0.34,1072.00,0.57,0.35,152.00,0.08,0.40,14.00,0.01,0.29
41 a 50 años,597.00,0.38,0.28,919.00,0.58,0.31,57.00,0.04,0.35,3.00,0.00,0.23,619.00,0.39,0.27,901.00,0.57,0.31,55.00,0.04,0.35,1.00,0.00,0.09,725.00,0.46,0.29,819.00,0.52,0.30,30.00,0.02,0.26,2.00,0.00,0.33,609.00,0.39,0.28,925.00,0.59,0.31,42.00,0.03,0.30,0.00,0.00,0.00,521.00,0.33,0.28,935.00,0.59,0.31,107.00,0.07,0.28,13.00,0.01,0.27
51 a 60 años,262.00,0.39,0.12,390.00,0.58,0.13,16.00,0.02,0.10,2.00,0.00,0.15,278.00,0.42,0.12,374.00,0.56,0.13,13.00,0.02,0.08,5.00,0.01,0.46,320.00,0.48,0.13,337.00,0.50,0.13,11.00,0.02,0.10,2.00,0.00,0.33,291.00,0.43,0.13,362.00,0.54,0.12,13.00,0.02,0.09,4.00,0.01,0.44,254.00,0.38,0.14,370.00,0.55,0.12,39.00,0.06,0.10,7.00,0.01,0.14
61 a 70 años,12.00,0.46,0.01,13.00,0.50,0.00,1.00,0.04,0.01,0.00,0.00,0.00,13.00,0.50,0.01,13.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.50,0.01,13.00,0.50,0.01,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.54,0.01,12.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.46,0.01,12.00,0.46,0.00,2.00,0.08,0.01,0.00,0.00,0.00
71 a 80 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",13.00,0.29,0.01,30.00,0.67,0.01,2.00,0.04,0.01,0.00,0.00,0.00,15.00,0.33,0.01,30.00,0.67,0.01,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.36,0.01,29.00,0.64,0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.33,0.01,29.00,0.64,0.01,0.00,0.00,0.00,1.00,0.02,0.11,12.00,0.27,0.01,27.00,0.60,0.01,5.00,0.11,0.01,1.00,0.02,0.02
Normal básica sin licenciatura,44.00,0.32,0.02,89.00,0.64,0.03,5.00,0.04,0.03,1.00,0.01,0.08,54.00,0.39,0.02,81.00,0.58,0.03,2.00,0.01,0.01,2.00,0.01,0.18,53.00,0.38,0.02,83.00,0.60,0.03,2.00,0.01,0.02,1.00,0.01,0.17,52.00,0.37,0.02,83.00,0.60,0.03,3.00,0.02,0.02,1.00,0.01,0.11,47.00,0.34,0.03,75.00,0.54,0.03,13.00,0.09,0.03,4.00,0.03,0.08
Normal superior,26.00,0.35,0.01,45.00,0.61,0.02,3.00,0.04,0.02,0.00,0.00,0.00,27.00,0.37,0.01,45.00,0.61,0.02,2.00,0.03,0.01,0.00,0.00,0.00,34.00,0.46,0.01,38.00,0.51,0.01,2.00,0.03,0.02,0.00,0.00,0.00,26.00,0.35,0.01,47.00,0.64,0.02,1.00,0.01,0.01,0.00,0.00,0.00,24.00,0.32,0.01,42.00,0.57,0.01,8.00,0.11,0.02,0.00,0.00,0.00
