Entidad,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
ESTADO DE MÉXICO,87.00,0.54,0.04,71.00,0.44,0.04,3.00,0.02,0.04,0.00,0.00,0.00,102.00,0.63,0.04,57.00,0.35,0.04,2.00,0.01,0.06,0.00,0.00,0.00,106.00,0.66,0.04,52.00,0.32,0.03,2.00,0.01,0.05,1.00,0.01,0.20,91.00,0.57,0.04,68.00,0.42,0.04,2.00,0.01,0.03,0.00,0.00,0.00,77.00,0.48,0.04,75.00,0.47,0.04,7.00,0.04,0.04,2.00,0.01,0.07
GUANAJUATO,108.00,0.64,0.05,58.00,0.35,0.03,2.00,0.01,0.03,0.00,0.00,0.00,113.00,0.67,0.04,54.00,0.32,0.03,1.00,0.01,0.03,0.00,0.00,0.00,107.00,0.64,0.04,60.00,0.36,0.04,1.00,0.01,0.03,0.00,0.00,0.00,95.00,0.57,0.04,69.00,0.41,0.04,4.00,0.02,0.05,0.00,0.00,0.00,79.00,0.47,0.04,77.00,0.46,0.04,12.00,0.07,0.06,0.00,0.00,0.00
GUERRERO,22.00,0.52,0.01,20.00,0.48,0.01,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.57,0.01,18.00,0.43,0.01,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.62,0.01,16.00,0.38,0.01,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.45,0.01,22.00,0.52,0.01,1.00,0.02,0.01,0.00,0.00,0.00,23.00,0.55,0.01,17.00,0.41,0.01,2.00,0.05,0.01,0.00,0.00,0.00
HIDALGO,95.00,0.61,0.04,59.00,0.38,0.03,1.00,0.01,0.01,0.00,0.00,0.00,102.00,0.66,0.04,53.00,0.34,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.64,0.04,56.00,0.36,0.04,0.00,0.00,0.00,0.00,0.00,0.00,93.00,0.60,0.04,61.00,0.39,0.03,1.00,0.01,0.01,0.00,0.00,0.00,87.00,0.56,0.04,61.00,0.39,0.03,7.00,0.05,0.04,0.00,0.00,0.00
JALISCO,77.00,0.57,0.03,56.00,0.42,0.03,2.00,0.02,0.03,0.00,0.00,0.00,80.00,0.59,0.03,54.00,0.40,0.03,1.00,0.01,0.03,0.00,0.00,0.00,86.00,0.64,0.03,47.00,0.35,0.03,2.00,0.02,0.05,0.00,0.00,0.00,79.00,0.59,0.03,51.00,0.38,0.03,5.00,0.04,0.06,0.00,0.00,0.00,81.00,0.60,0.04,45.00,0.33,0.02,9.00,0.07,0.05,0.00,0.00,0.00
MICHOACÁN,11.00,0.33,0.01,21.00,0.64,0.01,1.00,0.03,0.01,0.00,0.00,0.00,20.00,0.61,0.01,12.00,0.36,0.01,1.00,0.03,0.03,0.00,0.00,0.00,18.00,0.55,0.01,15.00,0.46,0.01,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.49,0.01,17.00,0.52,0.01,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.33,0.01,20.00,0.61,0.01,2.00,0.06,0.01,0.00,0.00,0.00
MORELOS,108.00,0.61,0.05,64.00,0.36,0.04,5.00,0.03,0.06,0.00,0.00,0.00,114.00,0.64,0.04,60.00,0.34,0.04,2.00,0.01,0.06,1.00,0.01,0.17,115.00,0.65,0.04,58.00,0.33,0.04,3.00,0.02,0.08,1.00,0.01,0.20,98.00,0.55,0.04,74.00,0.42,0.04,5.00,0.03,0.06,0.00,0.00,0.00,92.00,0.52,0.04,64.00,0.36,0.03,13.00,0.07,0.07,8.00,0.05,0.29
NAYARIT,80.00,0.53,0.03,68.00,0.45,0.04,3.00,0.02,0.04,0.00,0.00,0.00,83.00,0.55,0.03,66.00,0.44,0.04,2.00,0.01,0.06,0.00,0.00,0.00,86.00,0.57,0.03,63.00,0.42,0.04,2.00,0.01,0.05,0.00,0.00,0.00,83.00,0.55,0.04,64.00,0.42,0.04,4.00,0.03,0.05,0.00,0.00,0.00,69.00,0.46,0.03,75.00,0.50,0.04,7.00,0.05,0.04,0.00,0.00,0.00
NUEVO LEÓN,24.00,0.77,0.01,7.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.84,0.01,5.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.87,0.01,4.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.81,0.01,6.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.65,0.01,10.00,0.32,0.01,1.00,0.03,0.01,0.00,0.00,0.00
PUEBLA,63.00,0.47,0.03,65.00,0.49,0.04,4.00,0.03,0.05,1.00,0.01,0.11,69.00,0.52,0.03,60.00,0.45,0.04,4.00,0.03,0.11,0.00,0.00,0.00,78.00,0.59,0.03,54.00,0.41,0.03,1.00,0.01,0.03,0.00,0.00,0.00,67.00,0.50,0.03,63.00,0.47,0.04,3.00,0.02,0.04,0.00,0.00,0.00,58.00,0.44,0.03,73.00,0.55,0.04,2.00,0.02,0.01,0.00,0.00,0.00
QUERÉTARO,102.00,0.53,0.04,85.00,0.45,0.05,3.00,0.02,0.04,1.00,0.01,0.11,115.00,0.60,0.04,73.00,0.38,0.05,2.00,0.01,0.06,1.00,0.01,0.17,118.00,0.62,0.05,72.00,0.38,0.05,0.00,0.00,0.00,1.00,0.01,0.20,100.00,0.52,0.04,83.00,0.44,0.05,7.00,0.04,0.09,1.00,0.01,0.20,96.00,0.50,0.05,87.00,0.46,0.05,5.00,0.03,0.03,3.00,0.02,0.11
QUINTANA ROO,93.00,0.55,0.04,71.00,0.42,0.04,4.00,0.02,0.05,2.00,0.01,0.22,106.00,0.62,0.04,63.00,0.37,0.04,0.00,0.00,0.00,1.00,0.01,0.17,112.00,0.66,0.04,56.00,0.33,0.04,1.00,0.01,0.03,1.00,0.01,0.20,104.00,0.61,0.04,62.00,0.37,0.03,2.00,0.01,0.03,2.00,0.01,0.40,81.00,0.48,0.04,82.00,0.48,0.04,6.00,0.04,0.03,1.00,0.01,0.04
SAN LUIS POTOSÍ,94.00,0.56,0.04,74.00,0.44,0.04,0.00,0.00,0.00,1.00,0.01,0.11,98.00,0.58,0.04,71.00,0.42,0.05,0.00,0.00,0.00,0.00,0.00,0.00,104.00,0.62,0.04,64.00,0.38,0.04,1.00,0.01,0.03,0.00,0.00,0.00,93.00,0.55,0.04,74.00,0.44,0.04,2.00,0.01,0.03,0.00,0.00,0.00,80.00,0.47,0.04,82.00,0.49,0.04,7.00,0.04,0.04,0.00,0.00,0.00
SINALOA,113.00,0.59,0.05,75.00,0.39,0.04,3.00,0.02,0.04,0.00,0.00,0.00,129.00,0.68,0.05,62.00,0.33,0.04,0.00,0.00,0.00,0.00,0.00,0.00,123.00,0.64,0.05,67.00,0.35,0.04,1.00,0.01,0.03,0.00,0.00,0.00,116.00,0.61,0.05,75.00,0.39,0.04,0.00,0.00,0.00,0.00,0.00,0.00,91.00,0.48,0.04,91.00,0.48,0.05,6.00,0.03,0.03,3.00,0.02,0.11
SONORA,85.00,0.58,0.04,59.00,0.40,0.03,2.00,0.01,0.03,1.00,0.01,0.11,93.00,0.63,0.04,53.00,0.36,0.03,1.00,0.01,0.03,0.00,0.00,0.00,95.00,0.65,0.04,51.00,0.35,0.03,1.00,0.01,0.03,0.00,0.00,0.00,85.00,0.58,0.04,58.00,0.40,0.03,4.00,0.03,0.05,0.00,0.00,0.00,78.00,0.53,0.04,60.00,0.41,0.03,9.00,0.06,0.05,0.00,0.00,0.00
TABASCO,65.00,0.50,0.03,63.00,0.49,0.04,2.00,0.02,0.03,0.00,0.00,0.00,81.00,0.62,0.03,47.00,0.36,0.03,2.00,0.02,0.06,0.00,0.00,0.00,82.00,0.63,0.03,48.00,0.37,0.03,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.62,0.03,49.00,0.38,0.03,1.00,0.01,0.01,0.00,0.00,0.00,65.00,0.50,0.03,56.00,0.43,0.03,9.00,0.07,0.05,0.00,0.00,0.00
TAMAULIPAS,79.00,0.52,0.03,70.00,0.46,0.04,2.00,0.01,0.03,0.00,0.00,0.00,92.00,0.61,0.04,58.00,0.38,0.04,1.00,0.01,0.03,0.00,0.00,0.00,93.00,0.62,0.04,57.00,0.38,0.04,1.00,0.01,0.03,0.00,0.00,0.00,85.00,0.56,0.04,64.00,0.42,0.04,1.00,0.01,0.01,1.00,0.01,0.20,72.00,0.48,0.03,67.00,0.44,0.04,10.00,0.07,0.05,2.00,0.01,0.07
TLAXCALA,84.00,0.54,0.04,72.00,0.46,0.04,1.00,0.01,0.01,0.00,0.00,0.00,93.00,0.59,0.04,64.00,0.41,0.04,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.54,0.03,71.00,0.45,0.05,1.00,0.01,0.03,0.00,0.00,0.00,80.00,0.51,0.03,75.00,0.48,0.04,2.00,0.01,0.03,0.00,0.00,0.00,81.00,0.52,0.04,68.00,0.43,0.04,8.00,0.05,0.04,0.00,0.00,0.00
VERACRUZ,50.00,0.45,0.02,56.00,0.50,0.03,6.00,0.05,0.08,0.00,0.00,0.00,59.00,0.53,0.02,51.00,0.46,0.03,2.00,0.02,0.06,0.00,0.00,0.00,51.00,0.46,0.02,59.00,0.53,0.04,2.00,0.02,0.05,0.00,0.00,0.00,46.00,0.41,0.02,63.00,0.56,0.04,3.00,0.03,0.04,0.00,0.00,0.00,39.00,0.35,0.02,65.00,0.58,0.03,8.00,0.07,0.04,0.00,0.00,0.00
YUCATÁN,44.00,0.44,0.02,57.00,0.56,0.03,0.00,0.00,0.00,0.00,0.00,0.00,52.00,0.52,0.02,46.00,0.46,0.03,3.00,0.03,0.08,0.00,0.00,0.00,46.00,0.46,0.02,53.00,0.53,0.03,2.00,0.02,0.05,0.00,0.00,0.00,40.00,0.40,0.02,56.00,0.55,0.03,5.00,0.05,0.06,0.00,0.00,0.00,47.00,0.47,0.02,51.00,0.51,0.03,2.00,0.02,0.01,1.00,0.01,0.04
ZACATECAS,95.00,0.51,0.04,89.00,0.48,0.05,3.00,0.02,0.04,0.00,0.00,0.00,105.00,0.56,0.04,82.00,0.44,0.05,0.00,0.00,0.00,0.00,0.00,0.00,108.00,0.58,0.04,78.00,0.42,0.05,1.00,0.01,0.03,0.00,0.00,0.00,94.00,0.50,0.04,91.00,0.49,0.05,2.00,0.01,0.03,0.00,0.00,0.00,77.00,0.41,0.04,104.00,0.56,0.06,6.00,0.03,0.03,0.00,0.00,0.00
Hombre,1012.00,0.55,0.43,804.00,0.43,0.44,33.00,0.02,0.42,4.00,0.00,0.44,1133.00,0.61,0.43,706.00,0.38,0.44,14.00,0.01,0.39,0.00,0.00,0.00,1109.00,0.60,0.42,723.00,0.39,0.45,20.00,0.01,0.54,1.00,0.00,0.20,997.00,0.54,0.42,823.00,0.44,0.45,32.00,0.02,0.40,1.00,0.00,0.20,892.00,0.48,0.42,861.00,0.47,0.45,89.00,0.05,0.45,11.00,0.01,0.39
Mujer,1341.00,0.56,0.57,1008.00,0.42,0.56,46.00,0.02,0.58,5.00,0.00,0.56,1485.00,0.62,0.57,887.00,0.37,0.56,22.00,0.01,0.61,6.00,0.00,1.00,1510.00,0.63,0.58,869.00,0.36,0.55,17.00,0.01,0.46,4.00,0.00,0.80,1355.00,0.57,0.58,992.00,0.41,0.55,49.00,0.02,0.61,4.00,0.00,0.80,1233.00,0.51,0.58,1043.00,0.44,0.55,107.00,0.05,0.55,17.00,0.01,0.61
18 a 20 años,4.00,0.40,0.00,6.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.40,0.00,6.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.40,0.00,6.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.40,0.00,6.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.40,0.00,5.00,0.50,0.00,1.00,0.10,0.01,0.00,0.00,0.00
21 a 30 años,103.00,0.50,0.04,100.00,0.49,0.06,2.00,0.01,0.03,0.00,0.00,0.00,111.00,0.54,0.04,91.00,0.44,0.06,3.00,0.02,0.08,0.00,0.00,0.00,132.00,0.64,0.05,70.00,0.34,0.04,3.00,0.02,0.08,0.00,0.00,0.00,110.00,0.54,0.05,91.00,0.44,0.05,4.00,0.02,0.05,0.00,0.00,0.00,107.00,0.52,0.05,87.00,0.42,0.05,10.00,0.05,0.05,1.00,0.01,0.04
31 a 40 años,533.00,0.54,0.23,436.00,0.44,0.24,22.00,0.02,0.28,2.00,0.00,0.22,593.00,0.60,0.23,391.00,0.39,0.25,7.00,0.01,0.19,2.00,0.00,0.33,595.00,0.60,0.23,392.00,0.40,0.25,5.00,0.01,0.14,1.00,0.00,0.20,518.00,0.52,0.22,453.00,0.46,0.25,21.00,0.02,0.26,1.00,0.00,0.20,477.00,0.48,0.22,464.00,0.47,0.24,46.00,0.05,0.24,6.00,0.01,0.21
41 a 50 años,689.00,0.55,0.29,538.00,0.43,0.30,26.00,0.02,0.33,5.00,0.00,0.56,763.00,0.61,0.29,479.00,0.38,0.30,14.00,0.01,0.39,2.00,0.00,0.33,771.00,0.61,0.29,470.00,0.37,0.30,15.00,0.01,0.41,2.00,0.00,0.40,684.00,0.54,0.29,546.00,0.43,0.30,27.00,0.02,0.33,1.00,0.00,0.20,630.00,0.50,0.30,552.00,0.44,0.29,69.00,0.06,0.35,7.00,0.01,0.25
51 a 60 años,703.00,0.56,0.30,535.00,0.42,0.30,21.00,0.02,0.27,2.00,0.00,0.22,799.00,0.63,0.31,451.00,0.36,0.28,9.00,0.01,0.25,2.00,0.00,0.33,784.00,0.62,0.30,468.00,0.37,0.29,7.00,0.01,0.19,2.00,0.00,0.40,724.00,0.57,0.31,511.00,0.41,0.28,23.00,0.02,0.28,3.00,0.00,0.60,624.00,0.50,0.29,575.00,0.46,0.30,50.00,0.04,0.26,12.00,0.01,0.43
61 a 70 años,283.00,0.61,0.12,175.00,0.38,0.10,6.00,0.01,0.08,0.00,0.00,0.00,310.00,0.67,0.12,152.00,0.33,0.10,2.00,0.00,0.06,0.00,0.00,0.00,298.00,0.64,0.11,160.00,0.35,0.10,6.00,0.01,0.16,0.00,0.00,0.00,275.00,0.59,0.12,184.00,0.40,0.10,5.00,0.01,0.06,0.00,0.00,0.00,253.00,0.55,0.12,195.00,0.42,0.10,14.00,0.03,0.07,2.00,0.00,0.07
71 a 80 años,38.00,0.61,0.02,22.00,0.36,0.01,2.00,0.03,0.03,0.00,0.00,0.00,38.00,0.61,0.02,23.00,0.37,0.01,1.00,0.02,0.03,0.00,0.00,0.00,35.00,0.57,0.01,26.00,0.42,0.02,1.00,0.02,0.03,0.00,0.00,0.00,37.00,0.60,0.02,24.00,0.39,0.01,1.00,0.02,0.01,0.00,0.00,0.00,30.00,0.48,0.01,26.00,0.42,0.01,6.00,0.10,0.03,0.00,0.00,0.00
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",6.00,0.33,0.00,12.00,0.67,0.01,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.33,0.00,12.00,0.67,0.01,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.33,0.00,11.00,0.61,0.01,1.00,0.06,0.03,0.00,0.00,0.00,6.00,0.33,0.00,11.00,0.61,0.01,1.00,0.06,0.01,0.00,0.00,0.00,5.00,0.28,0.00,12.00,0.67,0.01,0.00,0.00,0.00,1.00,0.06,0.04
Normal básica sin licenciatura,37.00,0.43,0.02,47.00,0.55,0.03,2.00,0.02,0.03,0.00,0.00,0.00,41.00,0.48,0.02,44.00,0.51,0.03,1.00,0.01,0.03,0.00,0.00,0.00,43.00,0.50,0.02,43.00,0.50,0.03,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.44,0.02,45.00,0.52,0.03,2.00,0.02,0.03,1.00,0.01,0.20,29.00,0.34,0.01,50.00,0.58,0.03,7.00,0.08,0.04,0.00,0.00,0.00
Normal superior,126.00,0.52,0.05,111.00,0.46,0.06,5.00,0.02,0.06,0.00,0.00,0.00,148.00,0.61,0.06,91.00,0.38,0.06,3.00,0.01,0.08,0.00,0.00,0.00,141.00,0.58,0.05,99.00,0.41,0.06,2.00,0.01,0.05,0.00,0.00,0.00,130.00,0.54,0.06,108.00,0.45,0.06,4.00,0.02,0.05,0.00,0.00,0.00,116.00,0.48,0.06,114.00,0.47,0.06,11.00,0.05,0.06,1.00,0.00,0.04
