Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas
ESTADO DE MÉXICO,433.00,0.87,0.04,64.00,0.13,0.05,315.00,0.63,0.04,182.00,0.37,0.05,270.00,0.54,0.04,227.00,0.46,0.05,419.00,0.84,0.04,78.00,0.16,0.06,215.00,0.43,0.03,282.00,0.57,0.06,195.00,0.39,0.04,302.00,0.61,0.05
GUANAJUATO,332.00,0.90,0.03,39.00,0.11,0.03,232.00,0.63,0.03,139.00,0.38,0.04,210.00,0.57,0.03,161.00,0.43,0.03,337.00,0.91,0.03,34.00,0.09,0.03,223.00,0.60,0.03,148.00,0.40,0.03,168.00,0.45,0.03,203.00,0.55,0.03
GUERRERO,19.00,0.95,0.00,1.00,0.05,0.00,5.00,0.25,0.00,15.00,0.75,0.00,16.00,0.80,0.00,4.00,0.20,0.00,18.00,0.90,0.00,2.00,0.10,0.00,5.00,0.25,0.00,15.00,0.75,0.00,3.00,0.15,0.00,17.00,0.85,0.00
HIDALGO,285.00,0.87,0.03,43.00,0.13,0.03,191.00,0.58,0.03,137.00,0.42,0.03,231.00,0.70,0.04,97.00,0.30,0.02,306.00,0.93,0.03,22.00,0.07,0.02,155.00,0.47,0.02,173.00,0.53,0.04,117.00,0.36,0.02,211.00,0.64,0.03
JALISCO,213.00,0.90,0.02,25.00,0.11,0.02,168.00,0.71,0.02,70.00,0.29,0.02,131.00,0.55,0.02,107.00,0.45,0.02,201.00,0.85,0.02,37.00,0.16,0.03,184.00,0.77,0.03,54.00,0.23,0.01,98.00,0.41,0.02,140.00,0.59,0.02
MICHOACÁN,37.00,1.00,0.00,0.00,0.00,0.00,13.00,0.35,0.00,24.00,0.65,0.01,32.00,0.87,0.01,5.00,0.14,0.00,35.00,0.95,0.00,2.00,0.05,0.00,13.00,0.35,0.00,24.00,0.65,0.01,7.00,0.19,0.00,30.00,0.81,0.01
MORELOS,309.00,0.86,0.03,50.00,0.14,0.04,193.00,0.54,0.03,166.00,0.46,0.04,210.00,0.59,0.03,149.00,0.42,0.03,312.00,0.87,0.03,47.00,0.13,0.03,226.00,0.63,0.03,133.00,0.37,0.03,161.00,0.45,0.03,198.00,0.55,0.03
NAYARIT,378.00,0.85,0.04,68.00,0.15,0.05,273.00,0.61,0.04,173.00,0.39,0.04,273.00,0.61,0.04,173.00,0.39,0.04,386.00,0.87,0.04,60.00,0.14,0.04,269.00,0.60,0.04,177.00,0.40,0.04,168.00,0.38,0.03,278.00,0.62,0.04
NUEVO LEÓN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PUEBLA,354.00,0.90,0.04,39.00,0.10,0.03,244.00,0.62,0.03,149.00,0.38,0.04,294.00,0.75,0.04,99.00,0.25,0.02,367.00,0.93,0.04,26.00,0.07,0.02,193.00,0.49,0.03,200.00,0.51,0.05,150.00,0.38,0.03,243.00,0.62,0.04
QUERÉTARO,440.00,0.86,0.04,73.00,0.14,0.06,302.00,0.59,0.04,211.00,0.41,0.05,212.00,0.41,0.03,301.00,0.59,0.06,422.00,0.82,0.04,91.00,0.18,0.07,346.00,0.67,0.05,167.00,0.33,0.04,168.00,0.33,0.03,345.00,0.67,0.05
QUINTANA ROO,406.00,0.88,0.04,56.00,0.12,0.04,312.00,0.68,0.04,150.00,0.33,0.04,270.00,0.58,0.04,192.00,0.42,0.04,409.00,0.89,0.04,53.00,0.12,0.04,330.00,0.71,0.05,132.00,0.29,0.03,209.00,0.45,0.04,253.00,0.55,0.04
SAN LUIS POTOSÍ,317.00,0.83,0.03,64.00,0.17,0.05,219.00,0.58,0.03,162.00,0.43,0.04,219.00,0.58,0.03,162.00,0.43,0.03,331.00,0.87,0.03,50.00,0.13,0.04,168.00,0.44,0.02,213.00,0.56,0.05,136.00,0.36,0.03,245.00,0.64,0.04
SINALOA,534.00,0.95,0.05,27.00,0.05,0.02,487.00,0.87,0.07,74.00,0.13,0.02,386.00,0.69,0.06,175.00,0.31,0.04,524.00,0.93,0.05,37.00,0.07,0.03,388.00,0.69,0.06,173.00,0.31,0.04,272.00,0.49,0.06,289.00,0.52,0.04
SONORA,310.00,0.95,0.03,18.00,0.06,0.01,273.00,0.83,0.04,55.00,0.17,0.01,206.00,0.63,0.03,122.00,0.37,0.03,302.00,0.92,0.03,26.00,0.08,0.02,258.00,0.79,0.04,70.00,0.21,0.02,171.00,0.52,0.04,157.00,0.48,0.02
TABASCO,318.00,0.81,0.03,75.00,0.19,0.06,215.00,0.55,0.03,178.00,0.45,0.04,246.00,0.63,0.04,147.00,0.37,0.03,310.00,0.79,0.03,83.00,0.21,0.06,157.00,0.40,0.02,236.00,0.60,0.05,81.00,0.21,0.02,312.00,0.79,0.05
TAMAULIPAS,389.00,0.90,0.04,44.00,0.10,0.03,309.00,0.71,0.04,124.00,0.29,0.03,274.00,0.63,0.04,159.00,0.37,0.03,390.00,0.90,0.04,43.00,0.10,0.03,306.00,0.71,0.04,127.00,0.29,0.03,238.00,0.55,0.05,195.00,0.45,0.03
TLAXCALA,303.00,0.91,0.03,29.00,0.09,0.02,182.00,0.55,0.02,150.00,0.45,0.04,184.00,0.55,0.03,148.00,0.45,0.03,292.00,0.88,0.03,40.00,0.12,0.03,186.00,0.56,0.03,146.00,0.44,0.03,153.00,0.46,0.03,179.00,0.54,0.03
VERACRUZ,118.00,0.94,0.01,8.00,0.06,0.01,80.00,0.64,0.01,46.00,0.37,0.01,78.00,0.62,0.01,48.00,0.38,0.01,114.00,0.91,0.01,12.00,0.10,0.01,62.00,0.49,0.01,64.00,0.51,0.01,30.00,0.24,0.01,96.00,0.76,0.02
YUCATÁN,235.00,0.89,0.02,28.00,0.11,0.02,173.00,0.66,0.02,90.00,0.34,0.02,149.00,0.57,0.02,114.00,0.43,0.02,225.00,0.86,0.02,38.00,0.14,0.03,177.00,0.67,0.03,86.00,0.33,0.02,95.00,0.36,0.02,168.00,0.64,0.03
ZACATECAS,636.00,0.86,0.06,104.00,0.14,0.08,386.00,0.52,0.05,354.00,0.48,0.09,422.00,0.57,0.06,318.00,0.43,0.07,659.00,0.89,0.07,81.00,0.11,0.06,541.00,0.73,0.08,199.00,0.27,0.05,359.00,0.49,0.07,381.00,0.52,0.06
Hombre,3085.00,0.89,0.30,364.00,0.11,0.28,2211.00,0.64,0.30,1238.00,0.36,0.31,2173.00,0.63,0.33,1276.00,0.37,0.27,3068.00,0.89,0.30,381.00,0.11,0.28,2071.00,0.60,0.30,1378.00,0.40,0.31,1482.00,0.43,0.30,1967.00,0.57,0.30
Mujer,7058.00,0.88,0.70,942.00,0.12,0.72,5235.00,0.65,0.70,2765.00,0.35,0.69,4483.00,0.56,0.67,3517.00,0.44,0.73,7016.00,0.88,0.70,984.00,0.12,0.72,4930.00,0.62,0.70,3070.00,0.38,0.69,3422.00,0.43,0.70,4578.00,0.57,0.70
18 a 20 años,73.00,0.88,0.01,10.00,0.12,0.01,53.00,0.64,0.01,30.00,0.36,0.01,54.00,0.65,0.01,29.00,0.35,0.01,72.00,0.87,0.01,11.00,0.13,0.01,46.00,0.55,0.01,37.00,0.45,0.01,36.00,0.43,0.01,47.00,0.57,0.01
21 a 30 años,2160.00,0.90,0.21,234.00,0.10,0.18,1686.00,0.70,0.23,708.00,0.30,0.18,1475.00,0.62,0.22,919.00,0.38,0.19,2092.00,0.87,0.21,302.00,0.13,0.22,1524.00,0.64,0.22,870.00,0.36,0.20,1072.00,0.45,0.22,1322.00,0.55,0.20
31 a 40 años,3522.00,0.87,0.35,521.00,0.13,0.40,2574.00,0.64,0.35,1469.00,0.36,0.37,2166.00,0.54,0.33,1877.00,0.46,0.39,3488.00,0.86,0.35,555.00,0.14,0.41,2470.00,0.61,0.35,1573.00,0.39,0.35,1674.00,0.41,0.34,2369.00,0.59,0.36
41 a 50 años,2810.00,0.88,0.28,388.00,0.12,0.30,1986.00,0.62,0.27,1212.00,0.38,0.30,1860.00,0.58,0.28,1338.00,0.42,0.28,2849.00,0.89,0.28,349.00,0.11,0.26,1887.00,0.59,0.27,1311.00,0.41,0.30,1339.00,0.42,0.27,1859.00,0.58,0.28
51 a 60 años,1394.00,0.91,0.14,136.00,0.09,0.10,1000.00,0.65,0.13,530.00,0.35,0.13,948.00,0.62,0.14,582.00,0.38,0.12,1397.00,0.91,0.14,133.00,0.09,0.10,940.00,0.61,0.13,590.00,0.39,0.13,680.00,0.44,0.14,850.00,0.56,0.13
61 a 70 años,172.00,0.92,0.02,16.00,0.09,0.01,135.00,0.72,0.02,53.00,0.28,0.01,142.00,0.76,0.02,46.00,0.25,0.01,175.00,0.93,0.02,13.00,0.07,0.01,125.00,0.67,0.02,63.00,0.34,0.01,96.00,0.51,0.02,92.00,0.49,0.01
71 a 80 años,12.00,0.92,0.00,1.00,0.08,0.00,12.00,0.92,0.00,1.00,0.08,0.00,11.00,0.85,0.00,2.00,0.15,0.00,11.00,0.85,0.00,2.00,0.15,0.00,9.00,0.69,0.00,4.00,0.31,0.00,7.00,0.54,0.00,6.00,0.46,0.00
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",29.00,0.81,0.00,7.00,0.19,0.01,22.00,0.61,0.00,14.00,0.39,0.00,26.00,0.72,0.00,10.00,0.28,0.00,34.00,0.94,0.00,2.00,0.06,0.00,19.00,0.53,0.00,17.00,0.47,0.00,12.00,0.33,0.00,24.00,0.67,0.00
Normal básica sin licenciatura,424.00,0.93,0.04,34.00,0.07,0.03,317.00,0.69,0.04,141.00,0.31,0.04,297.00,0.65,0.05,161.00,0.35,0.03,413.00,0.90,0.04,45.00,0.10,0.03,289.00,0.63,0.04,169.00,0.37,0.04,219.00,0.48,0.05,239.00,0.52,0.04
Normal superior,208.00,0.88,0.02,28.00,0.12,0.02,156.00,0.66,0.02,80.00,0.34,0.02,155.00,0.66,0.02,81.00,0.34,0.02,215.00,0.91,0.02,21.00,0.09,0.02,148.00,0.63,0.02,88.00,0.37,0.02,99.00,0.42,0.02,137.00,0.58,0.02
Normal Intercultural Bilingüe,95.00,0.90,0.01,11.00,0.10,0.01,64.00,0.60,0.01,42.00,0.40,0.01,75.00,0.71,0.01,31.00,0.29,0.01,96.00,0.91,0.01,10.00,0.09,0.01,49.00,0.46,0.01,57.00,0.54,0.01,40.00,0.38,0.01,66.00,0.62,0.01
Licenciatura,7636.00,0.89,0.75,959.00,0.11,0.73,5608.00,0.65,0.75,2987.00,0.35,0.75,5032.00,0.59,0.76,3563.00,0.42,0.74,7593.00,0.88,0.75,1002.00,0.12,0.73,5253.00,0.61,0.75,3342.00,0.39,0.75,3649.00,0.43,0.74,4946.00,0.58,0.76
Especialidad,64.00,0.85,0.01,11.00,0.15,0.01,53.00,0.71,0.01,22.00,0.29,0.01,45.00,0.60,0.01,30.00,0.40,0.01,67.00,0.89,0.01,8.00,0.11,0.01,51.00,0.68,0.01,24.00,0.32,0.01,39.00,0.52,0.01,36.00,0.48,0.01
Maestría,1562.00,0.88,0.15,219.00,0.12,0.17,1124.00,0.63,0.15,657.00,0.37,0.16,941.00,0.53,0.14,840.00,0.47,0.18,1534.00,0.86,0.15,247.00,0.14,0.18,1105.00,0.62,0.16,676.00,0.38,0.15,784.00,0.44,0.16,997.00,0.56,0.15
Doctorado,118.00,0.76,0.01,37.00,0.24,0.03,95.00,0.61,0.01,60.00,0.39,0.02,80.00,0.52,0.01,75.00,0.48,0.02,125.00,0.81,0.01,30.00,0.19,0.02,83.00,0.54,0.01,72.00,0.47,0.02,59.00,0.38,0.01,96.00,0.62,0.02
Posdoctorado,7.00,1.00,0.00,0.00,0.00,0.00,7.00,1.00,0.00,0.00,0.00,0.00,5.00,0.71,0.00,2.00,0.29,0.00,7.00,1.00,0.00,0.00,0.00,0.00,4.00,0.57,0.00,3.00,0.43,0.00,3.00,0.43,0.00,4.00,0.57,0.00
Menor o igual a 10,3786.00,0.89,0.37,450.00,0.11,0.35,2906.00,0.69,0.39,1330.00,0.31,0.33,2516.00,0.59,0.38,1720.00,0.41,0.36,3661.00,0.86,0.36,575.00,0.14,0.42,2630.00,0.62,0.38,1606.00,0.38,0.36,1841.00,0.44,0.38,2395.00,0.57,0.37
11 a 20,3375.00,0.87,0.33,489.00,0.13,0.37,2417.00,0.63,0.33,1447.00,0.37,0.36,2107.00,0.55,0.32,1757.00,0.46,0.37,3410.00,0.88,0.34,454.00,0.12,0.33,2344.00,0.61,0.34,1520.00,0.39,0.34,1602.00,0.42,0.33,2262.00,0.59,0.35
21 a 30,2982.00,0.89,0.29,367.00,0.11,0.28,2123.00,0.63,0.29,1226.00,0.37,0.31,2033.00,0.61,0.31,1316.00,0.39,0.28,3013.00,0.90,0.30,336.00,0.10,0.25,2027.00,0.61,0.29,1322.00,0.40,0.30,1461.00,0.44,0.30,1888.00,0.56,0.29
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mayor o igual a 51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Definitivo o base,9449.00,0.88,0.93,1244.00,0.12,0.95,6857.00,0.64,0.92,3836.00,0.36,0.96,6097.00,0.57,0.92,4596.00,0.43,0.96,9395.00,0.88,0.93,1298.00,0.12,0.95,6461.00,0.60,0.92,4232.00,0.40,0.95,4472.00,0.42,0.91,6221.00,0.58,0.95
Interino,339.00,0.91,0.03,35.00,0.09,0.03,291.00,0.78,0.04,83.00,0.22,0.02,282.00,0.75,0.04,92.00,0.25,0.02,339.00,0.91,0.03,35.00,0.09,0.03,269.00,0.72,0.04,105.00,0.28,0.02,226.00,0.60,0.05,148.00,0.40,0.02
Tiempo fijo,243.00,0.93,0.02,18.00,0.07,0.01,209.00,0.80,0.03,52.00,0.20,0.01,195.00,0.75,0.03,66.00,0.25,0.01,243.00,0.93,0.02,18.00,0.07,0.01,197.00,0.76,0.03,64.00,0.25,0.01,155.00,0.59,0.03,106.00,0.41,0.02
No tengo nombramiento,9.00,0.75,0.00,3.00,0.25,0.00,5.00,0.42,0.00,7.00,0.58,0.00,7.00,0.58,0.00,5.00,0.42,0.00,9.00,0.75,0.00,3.00,0.25,0.00,9.00,0.75,0.00,3.00,0.25,0.00,3.00,0.25,0.00,9.00,0.75,0.00
Otro,103.00,0.95,0.01,6.00,0.06,0.01,84.00,0.77,0.01,25.00,0.23,0.01,75.00,0.69,0.01,34.00,0.31,0.01,98.00,0.90,0.01,11.00,0.10,0.01,65.00,0.60,0.01,44.00,0.40,0.01,48.00,0.44,0.01,61.00,0.56,0.01
GENERAL PÚBLICA,9025.00,0.89,0.89,1117.00,0.11,0.86,6703.00,0.66,0.90,3439.00,0.34,0.86,5684.00,0.56,0.85,4458.00,0.44,0.93,8924.00,0.88,0.89,1218.00,0.12,0.89,6465.00,0.64,0.92,3677.00,0.36,0.83,4494.00,0.44,0.92,5648.00,0.56,0.86
INDÍGENAS,1118.00,0.86,0.11,189.00,0.15,0.15,743.00,0.57,0.10,564.00,0.43,0.14,972.00,0.74,0.15,335.00,0.26,0.07,1160.00,0.89,0.12,147.00,0.11,0.11,536.00,0.41,0.08,771.00,0.59,0.17,410.00,0.31,0.08,897.00,0.69,0.14
Total,10143.00,0.89,1.00,1306.00,0.11,1.00,7446.00,0.65,1.00,4003.00,0.35,1.00,6656.00,0.58,1.00,4793.00,0.42,1.00,10084.00,0.88,1.00,1365.00,0.12,1.00,7001.00,0.61,1.00,4448.00,0.39,1.00,4904.00,0.43,1.00,6545.00,0.57,1.00
