Entidad,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
ESTADO DE MÉXICO,447.00,0.38,0.05,649.00,0.55,0.04,74.00,0.06,0.03,8.00,0.01,0.05,416.00,0.35,0.04,670.00,0.57,0.04,81.00,0.07,0.04,11.00,0.01,0.07,432.00,0.37,0.04,595.00,0.51,0.04,116.00,0.10,0.04,35.00,0.03,0.05,529.00,0.45,0.04,571.00,0.49,0.04,71.00,0.06,0.04,7.00,0.01,0.04,487.00,0.41,0.04,580.00,0.49,0.04,93.00,0.08,0.04,18.00,0.02,0.05,500.00,0.42,0.04,580.00,0.49,0.04,82.00,0.07,0.04,16.00,0.01,0.05,472.00,0.40,0.04,615.00,0.52,0.04,77.00,0.07,0.04,14.00,0.01,0.06,398.00,0.34,0.04,643.00,0.55,0.04,116.00,0.10,0.04,21.00,0.02,0.06
GUANAJUATO,631.00,0.37,0.06,949.00,0.56,0.06,117.00,0.07,0.05,8.00,0.01,0.05,610.00,0.36,0.06,972.00,0.57,0.06,110.00,0.07,0.05,13.00,0.01,0.08,686.00,0.40,0.06,817.00,0.48,0.06,177.00,0.10,0.06,25.00,0.02,0.04,745.00,0.44,0.06,844.00,0.50,0.06,104.00,0.06,0.06,12.00,0.01,0.06,740.00,0.43,0.06,820.00,0.48,0.05,126.00,0.07,0.05,19.00,0.01,0.05,753.00,0.44,0.06,822.00,0.48,0.05,115.00,0.07,0.06,15.00,0.01,0.04,709.00,0.42,0.06,879.00,0.52,0.06,107.00,0.06,0.05,10.00,0.01,0.05,621.00,0.36,0.06,900.00,0.53,0.05,171.00,0.10,0.06,13.00,0.01,0.03
GUERRERO,92.00,0.37,0.01,146.00,0.59,0.01,9.00,0.04,0.00,0.00,0.00,0.00,86.00,0.35,0.01,148.00,0.60,0.01,12.00,0.05,0.01,1.00,0.00,0.01,90.00,0.36,0.01,129.00,0.52,0.01,26.00,0.11,0.01,2.00,0.01,0.00,102.00,0.41,0.01,135.00,0.55,0.01,10.00,0.04,0.01,0.00,0.00,0.00,101.00,0.41,0.01,131.00,0.53,0.01,14.00,0.06,0.01,1.00,0.00,0.00,106.00,0.43,0.01,134.00,0.54,0.01,7.00,0.03,0.00,0.00,0.00,0.00,100.00,0.41,0.01,137.00,0.56,0.01,10.00,0.04,0.01,0.00,0.00,0.00,85.00,0.34,0.01,135.00,0.55,0.01,24.00,0.10,0.01,3.00,0.01,0.01
HIDALGO,386.00,0.37,0.04,599.00,0.57,0.04,57.00,0.05,0.03,5.00,0.01,0.03,383.00,0.37,0.04,613.00,0.59,0.04,45.00,0.04,0.02,6.00,0.01,0.04,417.00,0.40,0.04,506.00,0.48,0.03,99.00,0.10,0.03,25.00,0.02,0.04,468.00,0.45,0.04,539.00,0.52,0.04,36.00,0.03,0.02,4.00,0.00,0.02,444.00,0.42,0.04,522.00,0.50,0.04,63.00,0.06,0.03,18.00,0.02,0.05,440.00,0.42,0.04,533.00,0.51,0.04,69.00,0.07,0.03,5.00,0.01,0.01,439.00,0.42,0.04,541.00,0.52,0.03,61.00,0.06,0.03,6.00,0.01,0.03,379.00,0.36,0.04,567.00,0.54,0.03,90.00,0.09,0.03,11.00,0.01,0.03
JALISCO,413.00,0.33,0.04,759.00,0.60,0.04,82.00,0.07,0.04,4.00,0.00,0.03,427.00,0.34,0.04,742.00,0.59,0.04,83.00,0.07,0.04,6.00,0.01,0.04,480.00,0.38,0.05,635.00,0.51,0.04,116.00,0.09,0.04,27.00,0.02,0.04,506.00,0.40,0.04,674.00,0.54,0.04,75.00,0.06,0.04,3.00,0.00,0.02,500.00,0.40,0.04,642.00,0.51,0.04,100.00,0.08,0.04,16.00,0.01,0.04,496.00,0.39,0.04,668.00,0.53,0.04,89.00,0.07,0.04,5.00,0.00,0.01,474.00,0.38,0.04,688.00,0.55,0.04,93.00,0.07,0.05,3.00,0.00,0.01,405.00,0.32,0.04,712.00,0.57,0.04,130.00,0.10,0.05,11.00,0.01,0.03
MICHOACÁN,3.00,0.25,0.00,9.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.42,0.00,7.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.67,0.00,4.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.50,0.00,6.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.50,0.00,6.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.50,0.00,6.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.33,0.00,8.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.42,0.00,7.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MORELOS,531.00,0.35,0.05,889.00,0.59,0.05,87.00,0.06,0.04,4.00,0.00,0.03,493.00,0.33,0.05,924.00,0.61,0.05,92.00,0.06,0.05,2.00,0.00,0.01,562.00,0.37,0.05,760.00,0.50,0.05,165.00,0.11,0.05,24.00,0.02,0.04,649.00,0.43,0.05,771.00,0.51,0.05,86.00,0.06,0.05,4.00,0.00,0.02,626.00,0.42,0.05,761.00,0.50,0.05,111.00,0.07,0.05,12.00,0.01,0.03,594.00,0.39,0.05,790.00,0.52,0.05,106.00,0.07,0.05,21.00,0.01,0.06,575.00,0.38,0.05,830.00,0.55,0.05,99.00,0.07,0.05,6.00,0.00,0.03,483.00,0.32,0.05,852.00,0.56,0.05,156.00,0.10,0.05,19.00,0.01,0.05
NAYARIT,201.00,0.31,0.02,396.00,0.61,0.02,47.00,0.07,0.02,3.00,0.01,0.02,198.00,0.31,0.02,409.00,0.63,0.02,37.00,0.06,0.02,3.00,0.01,0.02,257.00,0.40,0.02,313.00,0.48,0.02,65.00,0.10,0.02,12.00,0.02,0.02,272.00,0.42,0.02,333.00,0.52,0.02,39.00,0.06,0.02,3.00,0.01,0.02,260.00,0.40,0.02,329.00,0.51,0.02,53.00,0.08,0.02,5.00,0.01,0.01,246.00,0.38,0.02,355.00,0.55,0.02,40.00,0.06,0.02,6.00,0.01,0.02,237.00,0.37,0.02,356.00,0.55,0.02,51.00,0.08,0.03,3.00,0.01,0.01,201.00,0.31,0.02,379.00,0.59,0.02,58.00,0.09,0.02,9.00,0.01,0.02
NUEVO LEÓN,38.00,0.37,0.00,56.00,0.54,0.00,8.00,0.08,0.00,1.00,0.01,0.01,40.00,0.39,0.00,54.00,0.52,0.00,7.00,0.07,0.00,2.00,0.02,0.01,39.00,0.38,0.00,55.00,0.53,0.00,4.00,0.04,0.00,5.00,0.05,0.01,43.00,0.42,0.00,50.00,0.49,0.00,8.00,0.08,0.00,2.00,0.02,0.01,43.00,0.42,0.00,50.00,0.49,0.00,7.00,0.07,0.00,3.00,0.03,0.01,40.00,0.39,0.00,55.00,0.53,0.00,6.00,0.06,0.00,2.00,0.02,0.01,36.00,0.35,0.00,57.00,0.55,0.00,8.00,0.08,0.00,2.00,0.02,0.01,32.00,0.31,0.00,58.00,0.56,0.00,10.00,0.10,0.00,3.00,0.03,0.01
PUEBLA,308.00,0.35,0.03,507.00,0.57,0.03,76.00,0.09,0.03,0.00,0.00,0.00,282.00,0.32,0.03,544.00,0.61,0.03,63.00,0.07,0.03,2.00,0.00,0.01,319.00,0.36,0.03,431.00,0.48,0.03,111.00,0.13,0.04,30.00,0.03,0.05,368.00,0.41,0.03,473.00,0.53,0.03,48.00,0.05,0.03,2.00,0.00,0.01,358.00,0.40,0.03,436.00,0.49,0.03,81.00,0.09,0.03,16.00,0.02,0.04,353.00,0.40,0.03,458.00,0.51,0.03,69.00,0.08,0.03,11.00,0.01,0.03,313.00,0.35,0.03,508.00,0.57,0.03,63.00,0.07,0.03,7.00,0.01,0.03,272.00,0.31,0.03,512.00,0.58,0.03,93.00,0.10,0.03,14.00,0.02,0.04
QUERÉTARO,506.00,0.34,0.05,856.00,0.57,0.05,114.00,0.08,0.05,14.00,0.01,0.09,510.00,0.34,0.05,851.00,0.57,0.05,119.00,0.08,0.06,10.00,0.01,0.06,530.00,0.36,0.05,725.00,0.49,0.05,193.00,0.13,0.06,42.00,0.03,0.07,591.00,0.40,0.05,786.00,0.53,0.05,95.00,0.06,0.05,18.00,0.01,0.09,596.00,0.40,0.05,721.00,0.48,0.05,143.00,0.10,0.06,30.00,0.02,0.08,585.00,0.39,0.05,787.00,0.53,0.05,99.00,0.07,0.05,19.00,0.01,0.05,548.00,0.37,0.05,812.00,0.55,0.05,111.00,0.07,0.05,19.00,0.01,0.09,481.00,0.32,0.05,824.00,0.55,0.05,163.00,0.11,0.06,22.00,0.02,0.06
QUINTANA ROO,488.00,0.36,0.05,760.00,0.56,0.04,104.00,0.08,0.05,7.00,0.01,0.05,472.00,0.35,0.05,782.00,0.58,0.05,98.00,0.07,0.05,7.00,0.01,0.05,508.00,0.37,0.05,668.00,0.49,0.05,151.00,0.11,0.05,32.00,0.02,0.05,564.00,0.42,0.05,692.00,0.51,0.05,92.00,0.07,0.05,11.00,0.01,0.06,536.00,0.39,0.05,666.00,0.49,0.04,128.00,0.09,0.05,29.00,0.02,0.07,556.00,0.41,0.05,677.00,0.50,0.04,103.00,0.08,0.05,23.00,0.02,0.06,524.00,0.39,0.05,726.00,0.53,0.05,98.00,0.07,0.05,11.00,0.01,0.05,469.00,0.35,0.05,735.00,0.54,0.04,136.00,0.10,0.05,19.00,0.01,0.05
SAN LUIS POTOSÍ,231.00,0.29,0.02,483.00,0.61,0.03,73.00,0.09,0.03,3.00,0.00,0.02,233.00,0.30,0.02,484.00,0.61,0.03,69.00,0.09,0.03,4.00,0.01,0.03,265.00,0.34,0.03,413.00,0.52,0.03,85.00,0.11,0.03,27.00,0.03,0.04,295.00,0.37,0.02,433.00,0.55,0.03,55.00,0.07,0.03,7.00,0.01,0.04,280.00,0.35,0.02,424.00,0.54,0.03,70.00,0.09,0.03,16.00,0.02,0.04,286.00,0.36,0.02,433.00,0.55,0.03,62.00,0.08,0.03,9.00,0.01,0.03,290.00,0.37,0.03,434.00,0.55,0.03,55.00,0.07,0.03,11.00,0.01,0.05,247.00,0.31,0.03,446.00,0.57,0.03,85.00,0.11,0.03,12.00,0.02,0.03
SINALOA,517.00,0.35,0.05,891.00,0.60,0.05,81.00,0.05,0.04,9.00,0.01,0.06,520.00,0.35,0.05,887.00,0.59,0.05,82.00,0.06,0.04,9.00,0.01,0.06,575.00,0.38,0.05,759.00,0.51,0.05,148.00,0.10,0.05,16.00,0.01,0.03,640.00,0.43,0.05,776.00,0.52,0.05,77.00,0.05,0.04,5.00,0.00,0.03,609.00,0.41,0.05,775.00,0.52,0.05,104.00,0.07,0.04,10.00,0.01,0.03,610.00,0.41,0.05,784.00,0.52,0.05,90.00,0.06,0.04,14.00,0.01,0.04,562.00,0.38,0.05,837.00,0.56,0.05,87.00,0.06,0.04,12.00,0.01,0.05,528.00,0.35,0.05,828.00,0.55,0.05,129.00,0.09,0.05,13.00,0.01,0.03
SONORA,317.00,0.33,0.03,586.00,0.60,0.03,66.00,0.07,0.03,3.00,0.00,0.02,352.00,0.36,0.04,572.00,0.59,0.03,47.00,0.05,0.02,1.00,0.00,0.01,388.00,0.40,0.04,500.00,0.51,0.03,75.00,0.08,0.02,9.00,0.01,0.01,412.00,0.42,0.03,506.00,0.52,0.03,52.00,0.05,0.03,2.00,0.00,0.01,406.00,0.42,0.04,514.00,0.53,0.03,45.00,0.05,0.02,7.00,0.01,0.02,418.00,0.43,0.04,509.00,0.52,0.03,41.00,0.04,0.02,4.00,0.00,0.01,398.00,0.41,0.04,527.00,0.54,0.03,44.00,0.05,0.02,3.00,0.00,0.01,367.00,0.38,0.04,535.00,0.55,0.03,69.00,0.07,0.02,1.00,0.00,0.00
TABASCO,325.00,0.35,0.03,529.00,0.57,0.03,78.00,0.08,0.04,2.00,0.00,0.01,320.00,0.34,0.03,555.00,0.59,0.03,54.00,0.06,0.03,5.00,0.01,0.03,349.00,0.37,0.03,471.00,0.50,0.03,93.00,0.10,0.03,21.00,0.02,0.03,382.00,0.41,0.03,488.00,0.52,0.03,60.00,0.06,0.03,4.00,0.00,0.02,409.00,0.44,0.04,446.00,0.48,0.03,68.00,0.07,0.03,11.00,0.01,0.03,417.00,0.45,0.04,455.00,0.49,0.03,53.00,0.06,0.03,9.00,0.01,0.03,383.00,0.41,0.03,493.00,0.53,0.03,53.00,0.06,0.03,5.00,0.01,0.02,332.00,0.36,0.03,512.00,0.55,0.03,81.00,0.09,0.03,9.00,0.01,0.02
