Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-J-Sí-Recuento,B4-J-Sí-% del N de fila,B4-J-Sí-% de N columnas,B4-J-No-Recuento,B4-J-No-% del N de fila,B4-J-No-% de N columnas
QUERÉTARO,203.00,0.84,0.04,38.00,0.16,0.06,186.00,0.77,0.04,55.00,0.23,0.06,175.00,0.73,0.04,66.00,0.27,0.06,132.00,0.55,0.04,109.00,0.45,0.07,225.00,0.93,0.05,16.00,0.07,0.05,223.00,0.93,0.04,18.00,0.08,0.06,182.00,0.76,0.04,59.00,0.25,0.05,149.00,0.62,0.04,92.00,0.38,0.05,210.00,0.87,0.05,31.00,0.13,0.05,,,,,,
QUINTANA ROO,188.00,0.92,0.04,17.00,0.08,0.03,163.00,0.80,0.04,42.00,0.21,0.05,160.00,0.78,0.04,45.00,0.22,0.04,146.00,0.71,0.04,59.00,0.29,0.04,192.00,0.94,0.04,13.00,0.06,0.04,189.00,0.92,0.04,16.00,0.08,0.06,181.00,0.88,0.04,24.00,0.12,0.02,146.00,0.71,0.04,59.00,0.29,0.03,181.00,0.88,0.04,24.00,0.12,0.04,,,,,,
SAN LUIS POTOSÍ,218.00,0.89,0.05,26.00,0.11,0.04,204.00,0.84,0.05,40.00,0.16,0.04,198.00,0.81,0.05,46.00,0.19,0.04,170.00,0.70,0.05,74.00,0.30,0.05,235.00,0.96,0.05,9.00,0.04,0.03,230.00,0.94,0.05,14.00,0.06,0.05,203.00,0.83,0.05,41.00,0.17,0.04,163.00,0.67,0.05,81.00,0.33,0.05,211.00,0.87,0.05,33.00,0.14,0.05,,,,,,
SINALOA,340.00,0.89,0.07,41.00,0.11,0.07,303.00,0.80,0.07,78.00,0.21,0.09,301.00,0.79,0.07,80.00,0.21,0.08,262.00,0.69,0.07,119.00,0.31,0.07,361.00,0.95,0.07,20.00,0.05,0.07,359.00,0.94,0.07,22.00,0.06,0.08,298.00,0.78,0.07,83.00,0.22,0.07,269.00,0.71,0.08,112.00,0.29,0.07,330.00,0.87,0.07,51.00,0.13,0.08,,,,,,
SONORA,147.00,0.88,0.03,21.00,0.13,0.04,143.00,0.85,0.03,25.00,0.15,0.03,143.00,0.85,0.03,25.00,0.15,0.02,129.00,0.77,0.03,39.00,0.23,0.02,156.00,0.93,0.03,12.00,0.07,0.04,158.00,0.94,0.03,10.00,0.06,0.04,128.00,0.76,0.03,40.00,0.24,0.04,116.00,0.69,0.03,52.00,0.31,0.03,155.00,0.92,0.03,13.00,0.08,0.02,,,,,,
TABASCO,59.00,0.95,0.01,3.00,0.05,0.01,51.00,0.82,0.01,11.00,0.18,0.01,50.00,0.81,0.01,12.00,0.19,0.01,52.00,0.84,0.01,10.00,0.16,0.01,62.00,1.00,0.01,0.00,0.00,0.00,58.00,0.94,0.01,4.00,0.07,0.01,50.00,0.81,0.01,12.00,0.19,0.01,42.00,0.68,0.01,20.00,0.32,0.01,54.00,0.87,0.01,8.00,0.13,0.01,,,,,,
TAMAULIPAS,196.00,0.94,0.04,12.00,0.06,0.02,185.00,0.89,0.04,23.00,0.11,0.03,179.00,0.86,0.04,29.00,0.14,0.03,157.00,0.76,0.04,51.00,0.25,0.03,198.00,0.95,0.04,10.00,0.05,0.03,203.00,0.98,0.04,5.00,0.02,0.02,173.00,0.83,0.04,35.00,0.17,0.03,155.00,0.75,0.04,53.00,0.26,0.03,192.00,0.92,0.04,16.00,0.08,0.03,,,,,,
TLAXCALA,83.00,0.92,0.02,7.00,0.08,0.01,73.00,0.81,0.02,17.00,0.19,0.02,74.00,0.82,0.02,16.00,0.18,0.02,65.00,0.72,0.02,25.00,0.28,0.02,83.00,0.92,0.02,7.00,0.08,0.02,85.00,0.94,0.02,5.00,0.06,0.02,73.00,0.81,0.02,17.00,0.19,0.02,67.00,0.74,0.02,23.00,0.26,0.01,83.00,0.92,0.02,7.00,0.08,0.01,,,,,,
VERACRUZ,101.00,0.85,0.02,18.00,0.15,0.03,88.00,0.74,0.02,31.00,0.26,0.03,83.00,0.70,0.02,36.00,0.30,0.04,70.00,0.59,0.02,49.00,0.41,0.03,108.00,0.91,0.02,11.00,0.09,0.04,110.00,0.92,0.02,9.00,0.08,0.03,88.00,0.74,0.02,31.00,0.26,0.03,67.00,0.56,0.02,52.00,0.44,0.03,98.00,0.82,0.02,21.00,0.18,0.03,,,,,,
YUCATÁN,108.00,0.86,0.02,17.00,0.14,0.03,98.00,0.78,0.02,27.00,0.22,0.03,102.00,0.82,0.02,23.00,0.18,0.02,81.00,0.65,0.02,44.00,0.35,0.03,108.00,0.86,0.02,17.00,0.14,0.06,115.00,0.92,0.02,10.00,0.08,0.04,90.00,0.72,0.02,35.00,0.28,0.03,78.00,0.62,0.02,47.00,0.38,0.03,104.00,0.83,0.02,21.00,0.17,0.03,,,,,,
ZACATECAS,184.00,0.84,0.04,35.00,0.16,0.06,176.00,0.80,0.04,43.00,0.20,0.05,165.00,0.75,0.04,54.00,0.25,0.05,154.00,0.70,0.04,65.00,0.30,0.04,203.00,0.93,0.04,16.00,0.07,0.05,204.00,0.93,0.04,15.00,0.07,0.05,169.00,0.77,0.04,50.00,0.23,0.04,143.00,0.65,0.04,76.00,0.35,0.04,184.00,0.84,0.04,35.00,0.16,0.06,,,,,,
Hombre,182.00,0.79,0.04,49.00,0.21,0.08,191.00,0.83,0.04,40.00,0.17,0.04,192.00,0.83,0.05,39.00,0.17,0.04,153.00,0.66,0.04,78.00,0.34,0.05,213.00,0.92,0.04,18.00,0.08,0.06,215.00,0.93,0.04,16.00,0.07,0.06,175.00,0.76,0.04,56.00,0.24,0.05,161.00,0.70,0.05,70.00,0.30,0.04,190.00,0.82,0.04,41.00,0.18,0.06,,,,,,
Mujer,4556.00,0.89,0.96,554.00,0.11,0.92,4230.00,0.83,0.96,880.00,0.17,0.96,4106.00,0.80,0.96,1004.00,0.20,0.96,3590.00,0.70,0.96,1520.00,0.30,0.95,4822.00,0.94,0.96,288.00,0.06,0.94,4840.00,0.95,0.96,270.00,0.05,0.94,4039.00,0.79,0.96,1071.00,0.21,0.95,3446.00,0.67,0.96,1664.00,0.33,0.96,4514.00,0.88,0.96,596.00,0.12,0.94,,,,,,
18 a 20 años,30.00,0.91,0.01,3.00,0.09,0.01,29.00,0.88,0.01,4.00,0.12,0.00,27.00,0.82,0.01,6.00,0.18,0.01,20.00,0.61,0.01,13.00,0.39,0.01,32.00,0.97,0.01,1.00,0.03,0.00,32.00,0.97,0.01,1.00,0.03,0.00,24.00,0.73,0.01,9.00,0.27,0.01,24.00,0.73,0.01,9.00,0.27,0.01,28.00,0.85,0.01,5.00,0.15,0.01,,,,,,
21 a 30 años,995.00,0.86,0.21,167.00,0.14,0.28,929.00,0.80,0.21,233.00,0.20,0.25,901.00,0.78,0.21,261.00,0.23,0.25,834.00,0.72,0.22,328.00,0.28,0.21,1091.00,0.94,0.22,71.00,0.06,0.23,1084.00,0.93,0.21,78.00,0.07,0.27,936.00,0.81,0.22,226.00,0.19,0.20,824.00,0.71,0.23,338.00,0.29,0.20,1013.00,0.87,0.22,149.00,0.13,0.23,,,,,,
31 a 40 años,1660.00,0.89,0.35,210.00,0.11,0.35,1532.00,0.82,0.35,338.00,0.18,0.37,1495.00,0.80,0.35,375.00,0.20,0.36,1324.00,0.71,0.35,546.00,0.29,0.34,1766.00,0.94,0.35,104.00,0.06,0.34,1773.00,0.95,0.35,97.00,0.05,0.34,1466.00,0.78,0.35,404.00,0.22,0.36,1280.00,0.68,0.36,590.00,0.32,0.34,1658.00,0.89,0.35,212.00,0.11,0.33,,,,,,
41 a 50 años,1406.00,0.89,0.30,172.00,0.11,0.29,1324.00,0.84,0.30,254.00,0.16,0.28,1291.00,0.82,0.30,287.00,0.18,0.28,1084.00,0.69,0.29,494.00,0.31,0.31,1486.00,0.94,0.30,92.00,0.06,0.30,1502.00,0.95,0.30,76.00,0.05,0.27,1230.00,0.78,0.29,348.00,0.22,0.31,1009.00,0.64,0.28,569.00,0.36,0.33,1386.00,0.88,0.30,192.00,0.12,0.30,,,,,,
51 a 60 años,622.00,0.93,0.13,50.00,0.07,0.08,583.00,0.87,0.13,89.00,0.13,0.10,562.00,0.84,0.13,110.00,0.16,0.11,465.00,0.69,0.12,207.00,0.31,0.13,635.00,0.95,0.13,37.00,0.06,0.12,638.00,0.95,0.13,34.00,0.05,0.12,538.00,0.80,0.13,134.00,0.20,0.12,455.00,0.68,0.13,217.00,0.32,0.13,595.00,0.89,0.13,77.00,0.12,0.12,,,,,,
61 a 70 años,25.00,0.96,0.01,1.00,0.04,0.00,24.00,0.92,0.01,2.00,0.08,0.00,22.00,0.85,0.01,4.00,0.15,0.00,16.00,0.62,0.00,10.00,0.39,0.01,25.00,0.96,0.01,1.00,0.04,0.00,26.00,1.00,0.01,0.00,0.00,0.00,20.00,0.77,0.01,6.00,0.23,0.01,15.00,0.58,0.00,11.00,0.42,0.01,24.00,0.92,0.01,2.00,0.08,0.00,,,,,,
71 a 80 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
"Preparatoria, bachillerato o carrera técnica",38.00,0.84,0.01,7.00,0.16,0.01,33.00,0.73,0.01,12.00,0.27,0.01,32.00,0.71,0.01,13.00,0.29,0.01,29.00,0.64,0.01,16.00,0.36,0.01,39.00,0.87,0.01,6.00,0.13,0.02,41.00,0.91,0.01,4.00,0.09,0.01,34.00,0.76,0.01,11.00,0.24,0.01,29.00,0.64,0.01,16.00,0.36,0.01,37.00,0.82,0.01,8.00,0.18,0.01,,,,,,
Normal básica sin licenciatura,126.00,0.91,0.03,13.00,0.09,0.02,119.00,0.86,0.03,20.00,0.14,0.02,116.00,0.84,0.03,23.00,0.17,0.02,100.00,0.72,0.03,39.00,0.28,0.02,130.00,0.94,0.03,9.00,0.07,0.03,129.00,0.93,0.03,10.00,0.07,0.04,109.00,0.78,0.03,30.00,0.22,0.03,97.00,0.70,0.03,42.00,0.30,0.02,121.00,0.87,0.03,18.00,0.13,0.03,,,,,,
Normal superior,65.00,0.89,0.01,8.00,0.11,0.01,61.00,0.84,0.01,12.00,0.16,0.01,64.00,0.88,0.02,9.00,0.12,0.01,58.00,0.80,0.02,15.00,0.21,0.01,71.00,0.97,0.01,2.00,0.03,0.01,69.00,0.95,0.01,4.00,0.06,0.01,56.00,0.77,0.01,17.00,0.23,0.02,57.00,0.78,0.02,16.00,0.22,0.01,62.00,0.85,0.01,11.00,0.15,0.02,,,,,,
Normal Intercultural Bilingüe,4.00,0.80,0.00,1.00,0.20,0.00,5.00,1.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,4.00,0.80,0.00,1.00,0.20,0.00,5.00,1.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,,,,,,
Licenciatura,3721.00,0.89,0.79,476.00,0.11,0.79,3489.00,0.83,0.79,708.00,0.17,0.77,3382.00,0.81,0.79,815.00,0.19,0.78,2928.00,0.70,0.78,1269.00,0.30,0.79,3966.00,0.95,0.79,231.00,0.06,0.76,3980.00,0.95,0.79,217.00,0.05,0.76,3332.00,0.79,0.79,865.00,0.21,0.77,2843.00,0.68,0.79,1354.00,0.32,0.78,3690.00,0.88,0.78,507.00,0.12,0.80,,,,,,
Especialidad,17.00,0.77,0.00,5.00,0.23,0.01,19.00,0.86,0.00,3.00,0.14,0.00,18.00,0.82,0.00,4.00,0.18,0.00,14.00,0.64,0.00,8.00,0.36,0.01,22.00,1.00,0.00,0.00,0.00,0.00,22.00,1.00,0.00,0.00,0.00,0.00,15.00,0.68,0.00,7.00,0.32,0.01,15.00,0.68,0.00,7.00,0.32,0.00,19.00,0.86,0.00,3.00,0.14,0.01,,,,,,
Maestría,717.00,0.89,0.15,85.00,0.11,0.14,649.00,0.81,0.15,153.00,0.19,0.17,637.00,0.79,0.15,165.00,0.21,0.16,570.00,0.71,0.15,232.00,0.29,0.15,750.00,0.94,0.15,52.00,0.07,0.17,755.00,0.94,0.15,47.00,0.06,0.16,618.00,0.77,0.15,184.00,0.23,0.16,525.00,0.66,0.15,277.00,0.35,0.16,724.00,0.90,0.15,78.00,0.10,0.12,,,,,,
Doctorado,49.00,0.86,0.01,8.00,0.14,0.01,45.00,0.79,0.01,12.00,0.21,0.01,43.00,0.75,0.01,14.00,0.25,0.01,40.00,0.70,0.01,17.00,0.30,0.01,51.00,0.90,0.01,6.00,0.11,0.02,53.00,0.93,0.01,4.00,0.07,0.01,45.00,0.79,0.01,12.00,0.21,0.01,36.00,0.63,0.01,21.00,0.37,0.01,45.00,0.79,0.01,12.00,0.21,0.02,,,,,,
Posdoctorado,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,,,,,,
Menor o igual a 10,1608.00,0.86,0.34,256.00,0.14,0.43,1494.00,0.80,0.34,370.00,0.20,0.40,1441.00,0.77,0.34,423.00,0.23,0.41,1333.00,0.72,0.36,531.00,0.29,0.33,1756.00,0.94,0.35,108.00,0.06,0.35,1744.00,0.94,0.35,120.00,0.06,0.42,1469.00,0.79,0.35,395.00,0.21,0.35,1309.00,0.70,0.36,555.00,0.30,0.32,1639.00,0.88,0.35,225.00,0.12,0.35,,,,,,
