Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas
ESTADO DE MÉXICO,158.00,0.98,0.04,3.00,0.02,0.02,130.00,0.81,0.04,31.00,0.19,0.05,82.00,0.51,0.04,79.00,0.49,0.04,142.00,0.88,0.04,19.00,0.12,0.05,90.00,0.56,0.04,71.00,0.44,0.04,87.00,0.54,0.05,74.00,0.46,0.03
GUANAJUATO,164.00,0.98,0.04,4.00,0.02,0.03,142.00,0.85,0.04,26.00,0.16,0.04,76.00,0.45,0.03,92.00,0.55,0.05,152.00,0.91,0.04,16.00,0.10,0.04,108.00,0.64,0.04,60.00,0.36,0.04,73.00,0.44,0.04,95.00,0.57,0.04
GUERRERO,42.00,1.00,0.01,0.00,0.00,0.00,33.00,0.79,0.01,9.00,0.21,0.01,31.00,0.74,0.01,11.00,0.26,0.01,35.00,0.83,0.01,7.00,0.17,0.02,11.00,0.26,0.00,31.00,0.74,0.02,8.00,0.19,0.00,34.00,0.81,0.01
HIDALGO,153.00,0.99,0.04,2.00,0.01,0.02,133.00,0.86,0.04,22.00,0.14,0.03,110.00,0.71,0.05,45.00,0.29,0.02,144.00,0.93,0.04,11.00,0.07,0.03,78.00,0.50,0.03,77.00,0.50,0.05,80.00,0.52,0.04,75.00,0.48,0.03
JALISCO,129.00,0.96,0.03,6.00,0.04,0.05,105.00,0.78,0.03,30.00,0.22,0.04,73.00,0.54,0.03,62.00,0.46,0.03,118.00,0.87,0.03,17.00,0.13,0.04,114.00,0.84,0.04,21.00,0.16,0.01,75.00,0.56,0.04,60.00,0.44,0.03
MICHOACÁN,33.00,1.00,0.01,0.00,0.00,0.00,25.00,0.76,0.01,8.00,0.24,0.01,23.00,0.70,0.01,10.00,0.30,0.01,29.00,0.88,0.01,4.00,0.12,0.01,17.00,0.52,0.01,16.00,0.49,0.01,10.00,0.30,0.01,23.00,0.70,0.01
MORELOS,174.00,0.98,0.04,3.00,0.02,0.02,144.00,0.81,0.04,33.00,0.19,0.05,87.00,0.49,0.04,90.00,0.51,0.05,157.00,0.89,0.04,20.00,0.11,0.05,118.00,0.67,0.05,59.00,0.33,0.04,84.00,0.48,0.04,93.00,0.53,0.04
NAYARIT,142.00,0.94,0.03,9.00,0.06,0.07,127.00,0.84,0.04,24.00,0.16,0.04,93.00,0.62,0.04,58.00,0.38,0.03,134.00,0.89,0.04,17.00,0.11,0.04,100.00,0.66,0.04,51.00,0.34,0.03,58.00,0.38,0.03,93.00,0.62,0.04
NUEVO LEÓN,30.00,0.97,0.01,1.00,0.03,0.01,28.00,0.90,0.01,3.00,0.10,0.00,20.00,0.65,0.01,11.00,0.36,0.01,29.00,0.94,0.01,2.00,0.07,0.01,18.00,0.58,0.01,13.00,0.42,0.01,9.00,0.29,0.01,22.00,0.71,0.01
PUEBLA,127.00,0.96,0.03,6.00,0.05,0.05,109.00,0.82,0.03,24.00,0.18,0.04,82.00,0.62,0.04,51.00,0.38,0.03,121.00,0.91,0.03,12.00,0.09,0.03,60.00,0.45,0.02,73.00,0.55,0.04,52.00,0.39,0.03,81.00,0.61,0.03
QUERÉTARO,177.00,0.93,0.04,14.00,0.07,0.11,150.00,0.79,0.04,41.00,0.22,0.06,71.00,0.37,0.03,120.00,0.63,0.06,167.00,0.87,0.04,24.00,0.13,0.06,154.00,0.81,0.06,37.00,0.19,0.02,70.00,0.37,0.04,121.00,0.63,0.05
QUINTANA ROO,164.00,0.97,0.04,6.00,0.04,0.05,150.00,0.88,0.04,20.00,0.12,0.03,93.00,0.55,0.04,77.00,0.45,0.04,158.00,0.93,0.04,12.00,0.07,0.03,90.00,0.53,0.04,80.00,0.47,0.05,64.00,0.38,0.03,106.00,0.62,0.05
SAN LUIS POTOSÍ,161.00,0.95,0.04,8.00,0.05,0.06,141.00,0.83,0.04,28.00,0.17,0.04,105.00,0.62,0.05,64.00,0.38,0.03,154.00,0.91,0.04,15.00,0.09,0.04,78.00,0.46,0.03,91.00,0.54,0.06,79.00,0.47,0.04,90.00,0.53,0.04
SINALOA,187.00,0.98,0.05,4.00,0.02,0.03,171.00,0.90,0.05,20.00,0.11,0.03,124.00,0.65,0.05,67.00,0.35,0.04,172.00,0.90,0.05,19.00,0.10,0.05,121.00,0.63,0.05,70.00,0.37,0.04,88.00,0.46,0.05,103.00,0.54,0.04
SONORA,139.00,0.95,0.03,8.00,0.05,0.06,132.00,0.90,0.04,15.00,0.10,0.02,78.00,0.53,0.03,69.00,0.47,0.04,136.00,0.93,0.04,11.00,0.08,0.03,98.00,0.67,0.04,49.00,0.33,0.03,62.00,0.42,0.03,85.00,0.58,0.04
TABASCO,125.00,0.96,0.03,5.00,0.04,0.04,106.00,0.82,0.03,24.00,0.19,0.04,88.00,0.68,0.04,42.00,0.32,0.02,114.00,0.88,0.03,16.00,0.12,0.04,43.00,0.33,0.02,87.00,0.67,0.05,32.00,0.25,0.02,98.00,0.75,0.04
TAMAULIPAS,146.00,0.97,0.04,4.00,0.03,0.03,128.00,0.85,0.04,22.00,0.15,0.03,92.00,0.61,0.04,58.00,0.39,0.03,140.00,0.93,0.04,10.00,0.07,0.02,103.00,0.69,0.04,47.00,0.31,0.03,76.00,0.51,0.04,74.00,0.49,0.03
TLAXCALA,157.00,1.00,0.04,0.00,0.00,0.00,133.00,0.85,0.04,24.00,0.15,0.04,82.00,0.52,0.04,75.00,0.48,0.04,141.00,0.90,0.04,16.00,0.10,0.04,94.00,0.60,0.04,63.00,0.40,0.04,90.00,0.57,0.05,67.00,0.43,0.03
VERACRUZ,110.00,0.98,0.03,2.00,0.02,0.02,93.00,0.83,0.03,19.00,0.17,0.03,69.00,0.62,0.03,43.00,0.38,0.02,94.00,0.84,0.02,18.00,0.16,0.04,52.00,0.46,0.02,60.00,0.54,0.04,34.00,0.30,0.02,78.00,0.70,0.03
YUCATÁN,100.00,0.99,0.02,1.00,0.01,0.01,85.00,0.84,0.02,16.00,0.16,0.02,55.00,0.55,0.02,46.00,0.46,0.02,88.00,0.87,0.02,13.00,0.13,0.03,63.00,0.62,0.02,38.00,0.38,0.02,42.00,0.42,0.02,59.00,0.58,0.03
ZACATECAS,180.00,0.96,0.04,7.00,0.04,0.05,145.00,0.78,0.04,42.00,0.23,0.06,95.00,0.51,0.04,92.00,0.49,0.05,165.00,0.88,0.04,22.00,0.12,0.05,120.00,0.64,0.05,67.00,0.36,0.04,72.00,0.39,0.04,115.00,0.62,0.05
Hombre,1812.00,0.98,0.44,40.00,0.02,0.30,1550.00,0.84,0.43,302.00,0.16,0.44,1099.00,0.59,0.47,753.00,0.41,0.40,1702.00,0.92,0.44,150.00,0.08,0.36,1143.00,0.62,0.44,709.00,0.38,0.43,876.00,0.47,0.46,976.00,0.53,0.41
Mujer,2308.00,0.96,0.56,92.00,0.04,0.70,2022.00,0.84,0.57,378.00,0.16,0.56,1253.00,0.52,0.53,1147.00,0.48,0.60,2138.00,0.89,0.56,262.00,0.11,0.64,1448.00,0.60,0.56,952.00,0.40,0.57,1014.00,0.42,0.54,1386.00,0.58,0.59
18 a 20 años,9.00,0.90,0.00,1.00,0.10,0.01,9.00,0.90,0.00,1.00,0.10,0.00,7.00,0.70,0.00,3.00,0.30,0.00,9.00,0.90,0.00,1.00,0.10,0.00,7.00,0.70,0.00,3.00,0.30,0.00,4.00,0.40,0.00,6.00,0.60,0.00
21 a 30 años,178.00,0.87,0.04,27.00,0.13,0.21,181.00,0.88,0.05,24.00,0.12,0.04,134.00,0.65,0.06,71.00,0.35,0.04,173.00,0.84,0.05,32.00,0.16,0.08,80.00,0.39,0.03,125.00,0.61,0.08,74.00,0.36,0.04,131.00,0.64,0.06
31 a 40 años,954.00,0.96,0.23,39.00,0.04,0.30,842.00,0.85,0.24,151.00,0.15,0.22,480.00,0.48,0.20,513.00,0.52,0.27,859.00,0.87,0.22,134.00,0.14,0.33,553.00,0.56,0.21,440.00,0.44,0.27,357.00,0.36,0.19,636.00,0.64,0.27
41 a 50 años,1222.00,0.97,0.30,35.00,0.03,0.27,1046.00,0.83,0.29,211.00,0.17,0.31,671.00,0.53,0.29,586.00,0.47,0.31,1130.00,0.90,0.29,127.00,0.10,0.31,746.00,0.59,0.29,511.00,0.41,0.31,521.00,0.41,0.28,736.00,0.59,0.31
51 a 60 años,1235.00,0.98,0.30,26.00,0.02,0.20,1058.00,0.84,0.30,203.00,0.16,0.30,733.00,0.58,0.31,528.00,0.42,0.28,1162.00,0.92,0.30,99.00,0.08,0.24,804.00,0.64,0.31,457.00,0.36,0.28,614.00,0.49,0.33,647.00,0.51,0.27
61 a 70 años,461.00,0.99,0.11,3.00,0.01,0.02,387.00,0.83,0.11,77.00,0.17,0.11,287.00,0.62,0.12,177.00,0.38,0.09,448.00,0.97,0.12,16.00,0.03,0.04,346.00,0.75,0.13,118.00,0.25,0.07,280.00,0.60,0.15,184.00,0.40,0.08
71 a 80 años,61.00,0.98,0.02,1.00,0.02,0.01,49.00,0.79,0.01,13.00,0.21,0.02,40.00,0.65,0.02,22.00,0.36,0.01,59.00,0.95,0.02,3.00,0.05,0.01,55.00,0.89,0.02,7.00,0.11,0.00,40.00,0.65,0.02,22.00,0.36,0.01
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",16.00,0.89,0.00,2.00,0.11,0.02,14.00,0.78,0.00,4.00,0.22,0.01,17.00,0.94,0.01,1.00,0.06,0.00,14.00,0.78,0.00,4.00,0.22,0.01,6.00,0.33,0.00,12.00,0.67,0.01,8.00,0.44,0.00,10.00,0.56,0.00
Normal básica sin licenciatura,84.00,0.98,0.02,2.00,0.02,0.02,70.00,0.81,0.02,16.00,0.19,0.02,61.00,0.71,0.03,25.00,0.29,0.01,80.00,0.93,0.02,6.00,0.07,0.02,51.00,0.59,0.02,35.00,0.41,0.02,44.00,0.51,0.02,42.00,0.49,0.02
Normal superior,235.00,0.97,0.06,7.00,0.03,0.05,212.00,0.88,0.06,30.00,0.12,0.04,151.00,0.62,0.06,91.00,0.38,0.05,227.00,0.94,0.06,15.00,0.06,0.04,162.00,0.67,0.06,80.00,0.33,0.05,128.00,0.53,0.07,114.00,0.47,0.05
Normal Intercultural Bilingüe,5.00,1.00,0.00,0.00,0.00,0.00,4.00,0.80,0.00,1.00,0.20,0.00,5.00,1.00,0.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,3.00,0.60,0.00,2.00,0.40,0.00,2.00,0.40,0.00,3.00,0.60,0.00
Licenciatura,1749.00,0.95,0.43,84.00,0.05,0.64,1568.00,0.86,0.44,265.00,0.15,0.39,1034.00,0.56,0.44,799.00,0.44,0.42,1617.00,0.88,0.42,216.00,0.12,0.52,1006.00,0.55,0.39,827.00,0.45,0.50,755.00,0.41,0.40,1078.00,0.59,0.46
Especialidad,49.00,1.00,0.01,0.00,0.00,0.00,44.00,0.90,0.01,5.00,0.10,0.01,23.00,0.47,0.01,26.00,0.53,0.01,45.00,0.92,0.01,4.00,0.08,0.01,26.00,0.53,0.01,23.00,0.47,0.01,21.00,0.43,0.01,28.00,0.57,0.01
Maestría,1542.00,0.98,0.37,27.00,0.02,0.21,1294.00,0.83,0.36,275.00,0.18,0.40,809.00,0.52,0.34,760.00,0.48,0.40,1438.00,0.92,0.37,131.00,0.08,0.32,1023.00,0.65,0.40,546.00,0.35,0.33,721.00,0.46,0.38,848.00,0.54,0.36
Doctorado,427.00,0.98,0.10,9.00,0.02,0.07,354.00,0.81,0.10,82.00,0.19,0.12,242.00,0.56,0.10,194.00,0.45,0.10,401.00,0.92,0.10,35.00,0.08,0.09,305.00,0.70,0.12,131.00,0.30,0.08,207.00,0.48,0.11,229.00,0.53,0.10
Posdoctorado,13.00,0.93,0.00,1.00,0.07,0.01,12.00,0.86,0.00,2.00,0.14,0.00,10.00,0.71,0.00,4.00,0.29,0.00,13.00,0.93,0.00,1.00,0.07,0.00,9.00,0.64,0.00,5.00,0.36,0.00,4.00,0.29,0.00,10.00,0.71,0.00
Menor o igual a 10,2783.00,0.96,0.68,104.00,0.04,0.79,2438.00,0.84,0.68,449.00,0.16,0.66,1544.00,0.54,0.66,1343.00,0.47,0.71,2582.00,0.89,0.67,305.00,0.11,0.74,1688.00,0.59,0.65,1199.00,0.42,0.72,1196.00,0.41,0.63,1691.00,0.59,0.72
11 a 20,876.00,0.98,0.21,17.00,0.02,0.13,749.00,0.84,0.21,144.00,0.16,0.21,519.00,0.58,0.22,374.00,0.42,0.20,816.00,0.91,0.21,77.00,0.09,0.19,584.00,0.65,0.23,309.00,0.35,0.19,458.00,0.51,0.24,435.00,0.49,0.18
21 a 30,461.00,0.98,0.11,11.00,0.02,0.08,385.00,0.82,0.11,87.00,0.18,0.13,289.00,0.61,0.12,183.00,0.39,0.10,442.00,0.94,0.12,30.00,0.06,0.07,319.00,0.68,0.12,153.00,0.32,0.09,236.00,0.50,0.13,236.00,0.50,0.10
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mayor o igual a 51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Definitivo o base,3295.00,0.99,0.80,51.00,0.02,0.39,2778.00,0.83,0.78,568.00,0.17,0.84,1787.00,0.53,0.76,1559.00,0.47,0.82,3051.00,0.91,0.80,295.00,0.09,0.72,2192.00,0.66,0.85,1154.00,0.35,0.70,1524.00,0.46,0.81,1822.00,0.55,0.77
Interino,130.00,0.97,0.03,4.00,0.03,0.03,115.00,0.86,0.03,19.00,0.14,0.03,80.00,0.60,0.03,54.00,0.40,0.03,120.00,0.90,0.03,14.00,0.10,0.03,71.00,0.53,0.03,63.00,0.47,0.04,57.00,0.43,0.03,77.00,0.58,0.03
No tengo nombramiento,409.00,0.89,0.10,52.00,0.11,0.39,409.00,0.89,0.12,52.00,0.11,0.08,296.00,0.64,0.13,165.00,0.36,0.09,399.00,0.87,0.10,62.00,0.13,0.15,193.00,0.42,0.07,268.00,0.58,0.16,184.00,0.40,0.10,277.00,0.60,0.12
Otro,286.00,0.92,0.07,25.00,0.08,0.19,270.00,0.87,0.08,41.00,0.13,0.06,189.00,0.61,0.08,122.00,0.39,0.06,270.00,0.87,0.07,41.00,0.13,0.10,135.00,0.43,0.05,176.00,0.57,0.11,125.00,0.40,0.07,186.00,0.60,0.08
GENERAL PÚBLICA,2699.00,0.97,0.66,80.00,0.03,0.61,2381.00,0.86,0.67,398.00,0.14,0.59,1402.00,0.50,0.60,1377.00,0.50,0.73,2515.00,0.91,0.66,264.00,0.10,0.64,1819.00,0.66,0.70,960.00,0.35,0.58,1222.00,0.44,0.65,1557.00,0.56,0.66
INDÍGENAS,343.00,0.93,0.08,26.00,0.07,0.20,282.00,0.76,0.08,87.00,0.24,0.13,269.00,0.73,0.11,100.00,0.27,0.05,308.00,0.84,0.08,61.00,0.17,0.15,104.00,0.28,0.04,265.00,0.72,0.16,98.00,0.27,0.05,271.00,0.73,0.12
TÉCNICA,556.00,0.99,0.14,5.00,0.01,0.04,456.00,0.81,0.13,105.00,0.19,0.15,323.00,0.58,0.14,238.00,0.42,0.13,532.00,0.95,0.14,29.00,0.05,0.07,396.00,0.71,0.15,165.00,0.29,0.10,310.00,0.55,0.16,251.00,0.45,0.11
TELESECUNDARIA,522.00,0.96,0.13,21.00,0.04,0.16,453.00,0.83,0.13,90.00,0.17,0.13,358.00,0.66,0.15,185.00,0.34,0.10,485.00,0.89,0.13,58.00,0.11,0.14,272.00,0.50,0.11,271.00,0.50,0.16,260.00,0.48,0.14,283.00,0.52,0.12
Total,4120.00,0.97,1.00,132.00,0.03,1.00,3572.00,0.84,1.00,680.00,0.16,1.00,2352.00,0.55,1.00,1900.00,0.45,1.00,3840.00,0.90,1.00,412.00,0.10,1.00,2591.00,0.61,1.00,1661.00,0.39,1.00,1890.00,0.44,1.00,2362.00,0.56,1.00
