Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas
ESTADO DE MÉXICO,99.00,0.62,0.04,62.00,0.39,0.04,106.00,0.66,0.04,55.00,0.34,0.04,115.00,0.71,0.04,46.00,0.29,0.04,125.00,0.78,0.04,36.00,0.22,0.04,124.00,0.77,0.04,37.00,0.23,0.04,119.00,0.74,0.04,42.00,0.26,0.04,131.00,0.81,0.04,30.00,0.19,0.03
GUANAJUATO,108.00,0.64,0.04,60.00,0.36,0.03,116.00,0.69,0.04,52.00,0.31,0.03,123.00,0.73,0.04,45.00,0.27,0.04,138.00,0.82,0.04,30.00,0.18,0.04,134.00,0.80,0.04,34.00,0.20,0.04,126.00,0.75,0.04,42.00,0.25,0.04,134.00,0.80,0.04,34.00,0.20,0.04
GUERRERO,25.00,0.60,0.01,17.00,0.41,0.01,27.00,0.64,0.01,15.00,0.36,0.01,32.00,0.76,0.01,10.00,0.24,0.01,34.00,0.81,0.01,8.00,0.19,0.01,36.00,0.86,0.01,6.00,0.14,0.01,28.00,0.67,0.01,14.00,0.33,0.01,34.00,0.81,0.01,8.00,0.19,0.01
HIDALGO,113.00,0.73,0.05,42.00,0.27,0.02,114.00,0.74,0.04,41.00,0.27,0.03,123.00,0.79,0.04,32.00,0.21,0.03,136.00,0.88,0.04,19.00,0.12,0.02,130.00,0.84,0.04,25.00,0.16,0.03,124.00,0.80,0.04,31.00,0.20,0.03,125.00,0.81,0.04,30.00,0.19,0.03
JALISCO,88.00,0.65,0.04,47.00,0.35,0.03,90.00,0.67,0.03,45.00,0.33,0.03,94.00,0.70,0.03,41.00,0.30,0.03,112.00,0.83,0.03,23.00,0.17,0.03,104.00,0.77,0.03,31.00,0.23,0.03,103.00,0.76,0.03,32.00,0.24,0.03,103.00,0.76,0.03,32.00,0.24,0.03
MICHOACÁN,21.00,0.64,0.01,12.00,0.36,0.01,22.00,0.67,0.01,11.00,0.33,0.01,23.00,0.70,0.01,10.00,0.30,0.01,28.00,0.85,0.01,5.00,0.15,0.01,24.00,0.73,0.01,9.00,0.27,0.01,27.00,0.82,0.01,6.00,0.18,0.01,26.00,0.79,0.01,7.00,0.21,0.01
MORELOS,92.00,0.52,0.04,85.00,0.48,0.05,99.00,0.56,0.04,78.00,0.44,0.05,134.00,0.76,0.04,43.00,0.24,0.04,142.00,0.80,0.04,35.00,0.20,0.04,134.00,0.76,0.04,43.00,0.24,0.05,125.00,0.71,0.04,52.00,0.29,0.05,130.00,0.73,0.04,47.00,0.27,0.05
NAYARIT,85.00,0.56,0.03,66.00,0.44,0.04,95.00,0.63,0.04,56.00,0.37,0.04,108.00,0.72,0.04,43.00,0.29,0.04,121.00,0.80,0.04,30.00,0.20,0.04,116.00,0.77,0.04,35.00,0.23,0.04,114.00,0.76,0.04,37.00,0.25,0.03,125.00,0.83,0.04,26.00,0.17,0.03
NUEVO LEÓN,17.00,0.55,0.01,14.00,0.45,0.01,17.00,0.55,0.01,14.00,0.45,0.01,17.00,0.55,0.01,14.00,0.45,0.01,28.00,0.90,0.01,3.00,0.10,0.00,28.00,0.90,0.01,3.00,0.10,0.00,23.00,0.74,0.01,8.00,0.26,0.01,23.00,0.74,0.01,8.00,0.26,0.01
PUEBLA,79.00,0.59,0.03,54.00,0.41,0.03,77.00,0.58,0.03,56.00,0.42,0.04,94.00,0.71,0.03,39.00,0.29,0.03,101.00,0.76,0.03,32.00,0.24,0.04,101.00,0.76,0.03,32.00,0.24,0.03,94.00,0.71,0.03,39.00,0.29,0.03,102.00,0.77,0.03,31.00,0.23,0.03
QUERÉTARO,108.00,0.57,0.04,83.00,0.44,0.05,118.00,0.62,0.04,73.00,0.38,0.05,139.00,0.73,0.05,52.00,0.27,0.04,161.00,0.84,0.05,30.00,0.16,0.04,149.00,0.78,0.05,42.00,0.22,0.04,146.00,0.76,0.05,45.00,0.24,0.04,148.00,0.78,0.05,43.00,0.23,0.04
QUINTANA ROO,100.00,0.59,0.04,70.00,0.41,0.04,107.00,0.63,0.04,63.00,0.37,0.04,126.00,0.74,0.04,44.00,0.26,0.04,145.00,0.85,0.04,25.00,0.15,0.03,139.00,0.82,0.04,31.00,0.18,0.03,131.00,0.77,0.04,39.00,0.23,0.03,133.00,0.78,0.04,37.00,0.22,0.04
SAN LUIS POTOSÍ,100.00,0.59,0.04,69.00,0.41,0.04,110.00,0.65,0.04,59.00,0.35,0.04,122.00,0.72,0.04,47.00,0.28,0.04,139.00,0.82,0.04,30.00,0.18,0.04,132.00,0.78,0.04,37.00,0.22,0.04,122.00,0.72,0.04,47.00,0.28,0.04,128.00,0.76,0.04,41.00,0.24,0.04
SINALOA,109.00,0.57,0.04,82.00,0.43,0.05,118.00,0.62,0.04,73.00,0.38,0.05,133.00,0.70,0.04,58.00,0.30,0.05,154.00,0.81,0.05,37.00,0.19,0.05,143.00,0.75,0.04,48.00,0.25,0.05,135.00,0.71,0.04,56.00,0.29,0.05,145.00,0.76,0.04,46.00,0.24,0.05
SONORA,84.00,0.57,0.03,63.00,0.43,0.04,86.00,0.59,0.03,61.00,0.42,0.04,95.00,0.65,0.03,52.00,0.35,0.04,120.00,0.82,0.04,27.00,0.18,0.03,105.00,0.71,0.03,42.00,0.29,0.04,107.00,0.73,0.03,40.00,0.27,0.04,117.00,0.80,0.04,30.00,0.20,0.03
TABASCO,78.00,0.60,0.03,52.00,0.40,0.03,85.00,0.65,0.03,45.00,0.35,0.03,96.00,0.74,0.03,34.00,0.26,0.03,108.00,0.83,0.03,22.00,0.17,0.03,105.00,0.81,0.03,25.00,0.19,0.03,103.00,0.79,0.03,27.00,0.21,0.02,107.00,0.82,0.03,23.00,0.18,0.02
TAMAULIPAS,88.00,0.59,0.04,62.00,0.41,0.04,93.00,0.62,0.04,57.00,0.38,0.04,109.00,0.73,0.04,41.00,0.27,0.03,125.00,0.83,0.04,25.00,0.17,0.03,116.00,0.77,0.04,34.00,0.23,0.04,118.00,0.79,0.04,32.00,0.21,0.03,114.00,0.76,0.04,36.00,0.24,0.04
TLAXCALA,103.00,0.66,0.04,54.00,0.34,0.03,103.00,0.66,0.04,54.00,0.34,0.03,121.00,0.77,0.04,36.00,0.23,0.03,120.00,0.76,0.04,37.00,0.24,0.05,119.00,0.76,0.04,38.00,0.24,0.04,119.00,0.76,0.04,38.00,0.24,0.03,127.00,0.81,0.04,30.00,0.19,0.03
VERACRUZ,68.00,0.61,0.03,44.00,0.39,0.03,75.00,0.67,0.03,37.00,0.33,0.02,81.00,0.72,0.03,31.00,0.28,0.03,88.00,0.79,0.03,24.00,0.21,0.03,90.00,0.80,0.03,22.00,0.20,0.02,83.00,0.74,0.03,29.00,0.26,0.03,83.00,0.74,0.03,29.00,0.26,0.03
YUCATÁN,48.00,0.48,0.02,53.00,0.53,0.03,62.00,0.61,0.02,39.00,0.39,0.02,67.00,0.66,0.02,34.00,0.34,0.03,74.00,0.73,0.02,27.00,0.27,0.03,70.00,0.69,0.02,31.00,0.31,0.03,76.00,0.75,0.02,25.00,0.25,0.02,71.00,0.70,0.02,30.00,0.30,0.03
ZACATECAS,111.00,0.59,0.05,76.00,0.41,0.04,128.00,0.68,0.05,59.00,0.32,0.04,131.00,0.70,0.04,56.00,0.30,0.05,144.00,0.77,0.04,43.00,0.23,0.05,139.00,0.74,0.04,48.00,0.26,0.05,138.00,0.74,0.04,49.00,0.26,0.04,141.00,0.75,0.04,46.00,0.25,0.05
Hombre,1129.00,0.61,0.45,723.00,0.39,0.41,1220.00,0.66,0.46,632.00,0.34,0.40,1355.00,0.73,0.44,497.00,0.27,0.42,1496.00,0.81,0.44,356.00,0.19,0.44,1434.00,0.77,0.44,418.00,0.23,0.44,1387.00,0.75,0.45,465.00,0.25,0.41,1469.00,0.79,0.45,383.00,0.21,0.39
Mujer,1359.00,0.57,0.55,1041.00,0.43,0.59,1440.00,0.60,0.54,960.00,0.40,0.60,1708.00,0.71,0.56,692.00,0.29,0.58,1945.00,0.81,0.57,455.00,0.19,0.56,1863.00,0.78,0.57,537.00,0.22,0.56,1732.00,0.72,0.56,668.00,0.28,0.59,1804.00,0.75,0.55,596.00,0.25,0.61
18 a 20 años,5.00,0.50,0.00,5.00,0.50,0.00,7.00,0.70,0.00,3.00,0.30,0.00,8.00,0.80,0.00,2.00,0.20,0.00,9.00,0.90,0.00,1.00,0.10,0.00,9.00,0.90,0.00,1.00,0.10,0.00,7.00,0.70,0.00,3.00,0.30,0.00,8.00,0.80,0.00,2.00,0.20,0.00
21 a 30 años,128.00,0.62,0.05,77.00,0.38,0.04,119.00,0.58,0.05,86.00,0.42,0.05,146.00,0.71,0.05,59.00,0.29,0.05,173.00,0.84,0.05,32.00,0.16,0.04,153.00,0.75,0.05,52.00,0.25,0.05,149.00,0.73,0.05,56.00,0.27,0.05,152.00,0.74,0.05,53.00,0.26,0.05
31 a 40 años,527.00,0.53,0.21,466.00,0.47,0.26,562.00,0.57,0.21,431.00,0.43,0.27,686.00,0.69,0.22,307.00,0.31,0.26,808.00,0.81,0.24,185.00,0.19,0.23,757.00,0.76,0.23,236.00,0.24,0.25,678.00,0.68,0.22,315.00,0.32,0.28,735.00,0.74,0.23,258.00,0.26,0.26
41 a 50 años,716.00,0.57,0.29,541.00,0.43,0.31,763.00,0.61,0.29,494.00,0.39,0.31,907.00,0.72,0.30,350.00,0.28,0.29,1017.00,0.81,0.30,240.00,0.19,0.30,978.00,0.78,0.30,279.00,0.22,0.29,944.00,0.75,0.30,313.00,0.25,0.28,997.00,0.79,0.31,260.00,0.21,0.27
51 a 60 años,787.00,0.62,0.32,474.00,0.38,0.27,850.00,0.67,0.32,411.00,0.33,0.26,934.00,0.74,0.31,327.00,0.26,0.28,1017.00,0.81,0.30,244.00,0.19,0.30,982.00,0.78,0.30,279.00,0.22,0.29,954.00,0.76,0.31,307.00,0.24,0.27,985.00,0.78,0.30,276.00,0.22,0.28
61 a 70 años,284.00,0.61,0.11,180.00,0.39,0.10,317.00,0.68,0.12,147.00,0.32,0.09,336.00,0.72,0.11,128.00,0.28,0.11,368.00,0.79,0.11,96.00,0.21,0.12,370.00,0.80,0.11,94.00,0.20,0.10,341.00,0.74,0.11,123.00,0.27,0.11,351.00,0.76,0.11,113.00,0.24,0.12
71 a 80 años,41.00,0.66,0.02,21.00,0.34,0.01,42.00,0.68,0.02,20.00,0.32,0.01,46.00,0.74,0.02,16.00,0.26,0.01,49.00,0.79,0.01,13.00,0.21,0.02,48.00,0.77,0.02,14.00,0.23,0.02,46.00,0.74,0.02,16.00,0.26,0.01,45.00,0.73,0.01,17.00,0.27,0.02
81 a 90 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91 a 99 años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Preparatoria, bachillerato o carrera técnica",14.00,0.78,0.01,4.00,0.22,0.00,17.00,0.94,0.01,1.00,0.06,0.00,15.00,0.83,0.01,3.00,0.17,0.00,16.00,0.89,0.01,2.00,0.11,0.00,17.00,0.94,0.01,1.00,0.06,0.00,16.00,0.89,0.01,2.00,0.11,0.00,17.00,0.94,0.01,1.00,0.06,0.00
Normal básica sin licenciatura,54.00,0.63,0.02,32.00,0.37,0.02,59.00,0.69,0.02,27.00,0.31,0.02,68.00,0.79,0.02,18.00,0.21,0.02,76.00,0.88,0.02,10.00,0.12,0.01,72.00,0.84,0.02,14.00,0.16,0.02,62.00,0.72,0.02,24.00,0.28,0.02,71.00,0.83,0.02,15.00,0.17,0.02
Normal superior,150.00,0.62,0.06,92.00,0.38,0.05,157.00,0.65,0.06,85.00,0.35,0.05,179.00,0.74,0.06,63.00,0.26,0.05,206.00,0.85,0.06,36.00,0.15,0.04,197.00,0.81,0.06,45.00,0.19,0.05,183.00,0.76,0.06,59.00,0.24,0.05,192.00,0.79,0.06,50.00,0.21,0.05
Normal Intercultural Bilingüe,4.00,0.80,0.00,1.00,0.20,0.00,4.00,0.80,0.00,1.00,0.20,0.00,4.00,0.80,0.00,1.00,0.20,0.00,4.00,0.80,0.00,1.00,0.20,0.00,4.00,0.80,0.00,1.00,0.20,0.00,4.00,0.80,0.00,1.00,0.20,0.00,4.00,0.80,0.00,1.00,0.20,0.00
Licenciatura,1077.00,0.59,0.43,756.00,0.41,0.43,1130.00,0.62,0.43,703.00,0.38,0.44,1341.00,0.73,0.44,492.00,0.27,0.41,1479.00,0.81,0.43,354.00,0.19,0.44,1426.00,0.78,0.43,407.00,0.22,0.43,1337.00,0.73,0.43,496.00,0.27,0.44,1394.00,0.76,0.43,439.00,0.24,0.45
Especialidad,29.00,0.59,0.01,20.00,0.41,0.01,28.00,0.57,0.01,21.00,0.43,0.01,31.00,0.63,0.01,18.00,0.37,0.02,33.00,0.67,0.01,16.00,0.33,0.02,36.00,0.74,0.01,13.00,0.27,0.01,37.00,0.76,0.01,12.00,0.25,0.01,30.00,0.61,0.01,19.00,0.39,0.02
Maestría,877.00,0.56,0.35,692.00,0.44,0.39,961.00,0.61,0.36,608.00,0.39,0.38,1112.00,0.71,0.36,457.00,0.29,0.38,1273.00,0.81,0.37,296.00,0.19,0.37,1212.00,0.77,0.37,357.00,0.23,0.37,1155.00,0.74,0.37,414.00,0.26,0.37,1209.00,0.77,0.37,360.00,0.23,0.37
Doctorado,273.00,0.63,0.11,163.00,0.37,0.09,294.00,0.67,0.11,142.00,0.33,0.09,301.00,0.69,0.10,135.00,0.31,0.11,342.00,0.78,0.10,94.00,0.22,0.12,322.00,0.74,0.10,114.00,0.26,0.12,314.00,0.72,0.10,122.00,0.28,0.11,344.00,0.79,0.11,92.00,0.21,0.09
Posdoctorado,10.00,0.71,0.00,4.00,0.29,0.00,10.00,0.71,0.00,4.00,0.29,0.00,12.00,0.86,0.00,2.00,0.14,0.00,12.00,0.86,0.00,2.00,0.14,0.00,11.00,0.79,0.00,3.00,0.21,0.00,11.00,0.79,0.00,3.00,0.21,0.00,12.00,0.86,0.00,2.00,0.14,0.00
Menor o igual a 10,1652.00,0.57,0.66,1235.00,0.43,0.70,1756.00,0.61,0.66,1131.00,0.39,0.71,2069.00,0.72,0.68,818.00,0.28,0.69,2334.00,0.81,0.68,553.00,0.19,0.68,2232.00,0.77,0.68,655.00,0.23,0.69,2101.00,0.73,0.67,786.00,0.27,0.69,2206.00,0.76,0.67,681.00,0.24,0.70
11 a 20,552.00,0.62,0.22,341.00,0.38,0.19,584.00,0.65,0.22,309.00,0.35,0.19,654.00,0.73,0.21,239.00,0.27,0.20,721.00,0.81,0.21,172.00,0.19,0.21,696.00,0.78,0.21,197.00,0.22,0.21,656.00,0.74,0.21,237.00,0.27,0.21,699.00,0.78,0.21,194.00,0.22,0.20
21 a 30,284.00,0.60,0.11,188.00,0.40,0.11,320.00,0.68,0.12,152.00,0.32,0.10,340.00,0.72,0.11,132.00,0.28,0.11,386.00,0.82,0.11,86.00,0.18,0.11,369.00,0.78,0.11,103.00,0.22,0.11,362.00,0.77,0.12,110.00,0.23,0.10,368.00,0.78,0.11,104.00,0.22,0.11
31 a 40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41 a 50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mayor o igual a 51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Definitivo o base,1939.00,0.58,0.78,1407.00,0.42,0.80,2082.00,0.62,0.78,1264.00,0.38,0.79,2412.00,0.72,0.79,934.00,0.28,0.79,2706.00,0.81,0.79,640.00,0.19,0.79,2576.00,0.77,0.78,770.00,0.23,0.81,2442.00,0.73,0.78,904.00,0.27,0.80,2571.00,0.77,0.79,775.00,0.23,0.79
Interino,83.00,0.62,0.03,51.00,0.38,0.03,85.00,0.63,0.03,49.00,0.37,0.03,93.00,0.69,0.03,41.00,0.31,0.03,110.00,0.82,0.03,24.00,0.18,0.03,110.00,0.82,0.03,24.00,0.18,0.03,103.00,0.77,0.03,31.00,0.23,0.03,104.00,0.78,0.03,30.00,0.22,0.03
No tengo nombramiento,273.00,0.59,0.11,188.00,0.41,0.11,295.00,0.64,0.11,166.00,0.36,0.10,348.00,0.76,0.11,113.00,0.25,0.10,385.00,0.84,0.11,76.00,0.17,0.09,374.00,0.81,0.11,87.00,0.19,0.09,348.00,0.76,0.11,113.00,0.25,0.10,355.00,0.77,0.11,106.00,0.23,0.11
Otro,193.00,0.62,0.08,118.00,0.38,0.07,198.00,0.64,0.07,113.00,0.36,0.07,210.00,0.68,0.07,101.00,0.33,0.09,240.00,0.77,0.07,71.00,0.23,0.09,237.00,0.76,0.07,74.00,0.24,0.08,226.00,0.73,0.07,85.00,0.27,0.08,243.00,0.78,0.07,68.00,0.22,0.07
GENERAL PÚBLICA,1589.00,0.57,0.64,1190.00,0.43,0.68,1698.00,0.61,0.64,1081.00,0.39,0.68,2003.00,0.72,0.65,776.00,0.28,0.65,2232.00,0.80,0.65,547.00,0.20,0.67,2127.00,0.77,0.65,652.00,0.24,0.68,2019.00,0.73,0.65,760.00,0.27,0.67,2089.00,0.75,0.64,690.00,0.25,0.71
INDÍGENAS,239.00,0.65,0.10,130.00,0.35,0.07,247.00,0.67,0.09,122.00,0.33,0.08,263.00,0.71,0.09,106.00,0.29,0.09,317.00,0.86,0.09,52.00,0.14,0.06,302.00,0.82,0.09,67.00,0.18,0.07,279.00,0.76,0.09,90.00,0.24,0.08,306.00,0.83,0.09,63.00,0.17,0.06
TÉCNICA,344.00,0.61,0.14,217.00,0.39,0.12,372.00,0.66,0.14,189.00,0.34,0.12,405.00,0.72,0.13,156.00,0.28,0.13,449.00,0.80,0.13,112.00,0.20,0.14,428.00,0.76,0.13,133.00,0.24,0.14,416.00,0.74,0.13,145.00,0.26,0.13,444.00,0.79,0.14,117.00,0.21,0.12
TELESECUNDARIA,316.00,0.58,0.13,227.00,0.42,0.13,343.00,0.63,0.13,200.00,0.37,0.13,392.00,0.72,0.13,151.00,0.28,0.13,443.00,0.82,0.13,100.00,0.18,0.12,440.00,0.81,0.13,103.00,0.19,0.11,405.00,0.75,0.13,138.00,0.25,0.12,434.00,0.80,0.13,109.00,0.20,0.11
Total,2488.00,0.59,1.00,1764.00,0.42,1.00,2660.00,0.63,1.00,1592.00,0.37,1.00,3063.00,0.72,1.00,1189.00,0.28,1.00,3441.00,0.81,1.00,811.00,0.19,1.00,3297.00,0.78,1.00,955.00,0.23,1.00,3119.00,0.73,1.00,1133.00,0.27,1.00,3273.00,0.77,1.00,979.00,0.23,1.00
